[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1662291436.392000 9/4/2022, 1:37:16 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, 
INFO, WEIGHT, 9.700
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 
INFO, COMMENT, 
INFO, SEQUENCE FILE: M(H)-5t.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1662291436.392,,-1.944960e+000,5.004856e+000,1.089258e-007,0.000000e+000,0.000000e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,1.865864e-003,0,,0,
1662291444.862,,-1.944960e+000,5.004686e+000,9.868044e-007,0.000000e+000,0.000000e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.204895e-003,0,,0,
1662292326.605,,0.000000e+000,1.999052e+000,3.896462e-005,0.000000e+000,-1.067409e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,3.479719e-004,0,,0,
1662292334.825,,0.000000e+000,1.998965e+000,-3.117752e-004,0.000000e+000,-9.823672e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,4.060268e-004,0,,0,
1662292357.255,,9.275929e+000,1.999038e+000,2.270503e-006,0.000000e+000,-6.114864e-001,0.000000e+000,3,5.769915e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,8.990765e-004,0,,0,
1662292373.045,,9.275929e+000,2.000097e+000,2.472233e-006,0.000000e+000,-7.570266e-001,0.000000e+000,3,7.045616e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,3.480911e-004,0,,0,
1662292387.685,,1.855186e+001,1.999908e+000,6.827217e-006,0.000000e+000,-2.540053e-001,0.000000e+000,3,4.574880e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,3.199577e-004,0,,0,
1662292396.555,,1.855186e+001,2.000053e+000,3.799159e-006,0.000000e+000,5.444738e-002,0.000000e+000,3,7.946509e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.884865e-005,0,,0,
1662292411.825,,2.947352e+001,1.999792e+000,5.142963e-006,0.000000e+000,-2.298202e-002,0.000000e+000,3,6.502029e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,4.360676e-004,0,,0,
1662292420.295,,2.947352e+001,2.000126e+000,6.004740e-006,0.000000e+000,2.580640e-002,0.000000e+000,3,8.278519e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.319813e-004,0,,0,
1662292435.265,,3.994636e+001,1.999661e+000,1.084904e-005,0.000000e+000,2.010122e-001,0.000000e+000,3,3.700341e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,4.639626e-004,0,,0,
1662292443.735,,3.994636e+001,1.999792e+000,8.634486e-006,0.000000e+000,1.265530e-001,0.000000e+000,3,8.010089e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.028942e-004,0,,0,
1662292458.735,,4.907267e+001,1.999646e+000,1.205606e-005,0.000000e+000,2.149194e-001,0.000000e+000,3,5.978703e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,4.929304e-004,0,,0,
1662292467.205,,4.907267e+001,1.999981e+000,1.065763e-005,0.000000e+000,1.903498e-001,0.000000e+000,3,8.163545e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,1.161098e-004,0,,0,
1662292482.435,,5.984472e+001,1.999545e+000,1.523204e-005,0.000000e+000,1.895900e-001,0.000000e+000,3,7.334571e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,4.060268e-004,0,,0,
