[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1662130718.051000 9/2/2022, 4:58:38 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, 
INFO, WEIGHT, 9.700
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 
INFO, COMMENT, 
INFO, SEQUENCE FILE: M(H)-5t.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1662130718.051,,0.000000e+000,2.000053e+000,-2.099558e-006,0.000000e+000,7.178960e-001,0.000000e+000,3,9.311917e-002,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.030134e-004,0,,0,
1662130726.771,,0.000000e+000,2.000169e+000,-1.234791e-006,0.000000e+000,7.549865e-001,0.000000e+000,3,5.213617e-002,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,8.702278e-005,0,,0,
1662130741.741,,1.346506e+000,2.000097e+000,-1.331820e-006,0.000000e+000,9.249637e-001,0.000000e+000,3,4.285305e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,1.158714e-004,0,,0,
1662130758.221,,1.346506e+000,2.000213e+000,-1.257834e-006,0.000000e+000,8.663874e-001,0.000000e+000,3,4.391913e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,1.161098e-004,0,,0,
1662130773.691,,5.236415e+000,2.000140e+000,9.643146e-007,0.000000e+000,-5.494140e-001,0.000000e+000,3,4.782140e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.908707e-005,0,,0,
1662130789.901,,5.236415e+000,2.000213e+000,1.213423e-006,0.000000e+000,-5.607764e-001,0.000000e+000,3,6.673607e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.793571e-005,0,,0,
1662130804.871,,8.527871e+000,2.000097e+000,2.579319e-006,0.000000e+000,-3.046750e-001,0.000000e+000,3,3.760045e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.793571e-005,0,,0,
1662130813.341,,8.527871e+000,2.000227e+000,2.431797e-006,0.000000e+000,-5.334206e-001,0.000000e+000,3,2.971408e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.908707e-005,0,,0,
1662130828.252,,1.196894e+001,2.000184e+000,4.491574e-006,0.000000e+000,3.884313e-001,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,1.740456e-004,0,,0,
1662130837.102,,1.196894e+001,2.000300e+000,1.542970e-006,0.000000e+000,-2.334191e-001,0.000000e+000,3,1.691150e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.793571e-005,0,,0,
1662130851.822,,1.496118e+001,2.000242e+000,2.696162e-006,0.000000e+000,2.186925e-001,0.000000e+000,3,5.274033e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,0.000000e+000,0,,0,
1662130860.072,,1.496118e+001,2.000242e+000,4.637894e-006,0.000000e+000,5.344477e-002,0.000000e+000,3,7.546952e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.817413e-005,0,,0,
1662130875.332,,1.810303e+001,2.000184e+000,3.253738e-006,0.000000e+000,-2.381101e-001,0.000000e+000,3,4.503048e-002,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,1.161098e-004,0,,0,
