[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1662036831.132000 9/1/2022, 2:53:51 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, 
INFO, WEIGHT, 9.700
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 
INFO, COMMENT, 
INFO, SEQUENCE FILE: MT-350K^-0.5T.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1662036831.132,,5.000000e+003,1.999879e+000,1.257725e-003,0.000000e+000,-1.005503e-002,0.000000e+000,3,7.005988e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,3.778934e-004,0,,0,
1662036885.602,,5.000000e+003,3.103586e+000,1.056723e-003,0.000000e+000,-9.089354e-003,0.000000e+000,3,6.988634e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,1.600940e-001,0,,0,
1662036927.103,,5.000000e+003,4.778289e+000,8.890741e-004,0.000000e+000,-6.964317e-003,0.000000e+000,3,6.987187e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,7.573657e-001,0,,0,
1662036938.323,,5.000000e+003,5.530417e+000,8.134316e-004,0.000000e+000,-6.189866e-003,0.000000e+000,3,6.970266e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.371418e-001,0,,0,
1662036948.293,,5.000000e+003,6.416408e+000,7.200571e-004,0.000000e+000,2.819179e-002,0.000000e+000,3,6.436564e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.342150e-001,0,,0,
1662036959.263,,5.000000e+003,7.406426e+000,7.219322e-004,0.000000e+000,-5.386828e-003,0.000000e+000,3,6.997674e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.782671e-001,0,,0,
1662036970.233,,5.000000e+003,8.327736e+000,6.241254e-004,0.000000e+000,-3.507073e-003,0.000000e+000,3,6.911113e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,4.604511e-001,0,,0,
1662036983.253,,5.000000e+003,9.415092e+000,5.698756e-004,0.000000e+000,-2.259739e-003,0.000000e+000,3,6.884215e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.436272e-001,0,,0,
1662036994.973,,5.000000e+003,1.035065e+001,5.447474e-004,0.000000e+000,1.841872e-003,0.000000e+000,3,6.717707e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,3.994894e-001,0,,0,
1662037007.943,,5.000000e+003,1.129619e+001,4.893102e-004,0.000000e+000,5.209442e-005,0.000000e+000,3,6.829445e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,4.399500e-001,0,,0,
