Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Sample Resistance,He3 Temperature,Sorb Resistance,Sorb Temperature,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3878537977.77239,4.99959087371826,70000.203125,-1.23543461553401E-4,1.72752886831902E-7,1,4,13.4005146026611,5.00750737180338,32.490000128746,-0.15387620430866,-0.0230533159179439,1,-2.70004575658156E-8,,,,,,,,,,,,,,,,,,,,,4.99952554702759,4.99965620040894,70000.203125,70000.203125,54.9039320763327,5.63948100217312,2.77746987342834,54,1,0,0,1,0.298690795898438,32.7468223571777,1,1,3,4.99973773956299,0,4.99959087371826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878538016.35465,4.99995994567871,65000.30859375,-1.14133827397332E-4,1.64504206732942E-7,1,4,13.4005146026611,5.0074861065761,32.490000128746,-0.14213534772134,-0.0214316965207312,1,-1.3280971799144E-7,,,,,,,,,,,,,,,,,,,,,4.99987745285034,5.00004243850708,65000.30859375,65000.30859375,54.7499512580443,5.63912673526812,2.78088235855103,53,1,68,0,0,0.299530029296875,32.7468223571777,1,1,3,5.00004243850708,0,4.99995994567871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878538055.4551,5.00002384185791,60000.21875,-1.0484781492992E-4,1.56196360255235E-7,1,4,13.4005146026611,5.00746263194933,32.490000128746,-0.13056555068566,-0.0197193176988138,1,-1.47253226612864E-7,,,,,,,,,,,,,,,,,,,,,5.00000333786011,5.00004434585571,60000.21875,60000.21875,54.7159504174577,5.63918272544116,2.78627634048462,54,1,0,0,1,0.298614501953125,33.2355842590332,1,1,3,5.00010681152344,0,5.00002384185791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878538096.17206,4.99989056587219,55000.44921875,-9.56383887426969E-5,1.43104374955762E-7,1,4,13.4005146026611,5.0073917044956,32.490000128746,-0.119096525252335,-0.017975493879869,1,-1.25166985768277E-7,,,,,,,,,,,,,,,,,,,,,4.99978685379028,4.9999942779541,55000.44921875,55000.44921875,54.6885934192846,5.63923681841685,2.78315806388855,53,1,68,0,0,0.2984619140625,33.7243423461914,1,1,3,4.99978685379028,0,4.99989056587219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878538135.12825,4.99983549118042,50000.30859375,-8.65032747035214E-5,9.74740472563375E-8,1,4,13.4005146026611,5.00745083158578,32.490000128746,-0.107717969797385,-0.0162892970709996,1,-1.37702063693725E-7,,,,,,,,,,,,,,,,,,,,,4.99972009658814,4.99995088577271,50000.30859375,50000.30859375,54.5420380719289,5.6386481450882,2.78560996055603,54,1,0,0,1,0.300521850585937,33.7243423461914,1,1,3,4.99995088577271,0,4.99983549118042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878538173.60194,5.00000381469727,45000.40234375,-7.74006687296777E-5,7.50713491154493E-8,1,4,13.4005146026611,5.00740491524939,32.490000128746,-0.0963860358994966,-0.0145462874983565,1,-1.00149235210921E-7,,,,,,,,,,,,,,,,,,,,,4.99992275238037,5.00008487701416,45000.40234375,45000.40234375,54.413850994775,5.63815792549329,2.78703856468201,52,1,68,0,0,0.29815673828125,33.7243423461914,1,1,3,5.00008487701416,0,5.00000381469727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878538211.38766,5.0000479221344,40000.15234375,-6.82976532718479E-5,7.8675090508738E-8,1,4,13.4005146026611,5.00733643490367,32.490000128746,-0.0850520248967398,-0.0128120015061719,1,-6.9690600221961E-8,,,,,,,,,,,,,,,,,,,,,5.0000171661377,5.0000786781311,40000.15234375,40000.15234375,54.3364697713711,5.63871775801624,2.78774929046631,52,1,68,0,0,0.299148559570313,33.7243423461914,1,1,3,5.0000786781311,0,5.0000479221344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878538250.51962,5.00001668930054,35000.14453125,-5.93051611568503E-5,4.60999106995843E-8,1,4,13.4005146026611,5.00731070991721,32.490000128746,-0.0738514849874207,-0.0111352621677273,1,-6.87427917802877E-8,,,,,,,,,,,,,,,,,,,,,4.99984121322632,5.00019216537476,35000.14453125,35000.14453125,54.2497090057365,5.63740218927407,2.79024696350098,52,1,68,0,0,0.297927856445313,33.7243423461914,1,1,3,4.99984121322632,0,5.00001668930054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878538289.67513,4.99985098838806,29999.638671875,-5.03561549131009E-5,3.70933470888033E-8,1,4,13.4005146026611,5.00735356118826,32.490000128746,-0.0627087544973295,-0.00945154215558899,1,-5.55203708680441E-8,,,,,,,,,,,,,,,,,,,,,4.99970769882202,4.9999942779541,29999.638671875,29999.638671875,54.1301198422942,5.63803706480677,2.78378105163574,52,1,68,0,0,0.306930541992188,34.2131004333496,1,1,3,4.9999942779541,0,4.99985098838806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878538328.76779,4.99993896484375,24999.669921875,-4.14329185309626E-5,3.23182087319908E-8,1,4,13.4005146026611,5.00732962319601,32.490000128746,-0.0515929925365995,-0.00779850770224753,1,-6.32286741379513E-8,,,,,,,,,,,,,,,,,,,,,4.99988079071045,4.99999713897705,24999.669921875,24999.669921875,53.9816104236403,5.63692850707295,2.78678393363953,54,1,0,0,1,0.299301147460937,33.7243423461914,1,1,3,4.99988079071045,0,4.99993896484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878538368.61519,5.00015163421631,19999.81640625,-3.26185907252807E-5,3.38042481059426E-8,1,4,13.4005146026611,5.00736518931974,32.490000128746,-0.0406164682744808,-0.00614737558698627,1,-5.60725734402658E-8,,,,,,,,,,,,,,,,,,,,,5.00012159347534,5.00018167495728,19999.81640625,19999.81640625,54.0554743187076,5.63694110991203,2.78943371772766,54,1,0,0,1,0.298919677734375,34.2131004333496,1,1,3,5.00012159347534,0,5.00015163421631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878538407.32799,5.00000810623169,14999.7119140625,-2.3881792432634E-5,3.05442843852267E-8,1,4,13.4005146026611,5.00726319632503,32.490000128746,-0.0297383605813786,-0.00448901542126812,1,-3.168006217412E-8,,,,,,,,,,,,,,,,,,,,,4.99990272521973,5.00011348724365,14999.7119140625,14999.7119140625,53.8956312865249,5.63789310444696,2.78860592842102,54,1,0,0,1,0.298538208007812,33.7243423461914,1,1,3,5.00011348724365,0,5.00000810623169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878538446.16931,5.00023794174194,9999.794921875,-1.52481742269549E-5,2.29993629340888E-8,1,4,13.4005146026611,5.00733130439412,32.490000128746,-0.018978825789535,-0.0029266709739349,1,-6.87586475753793E-8,,,,,,,,,,,,,,,,,,,,,5.00018644332886,5.00028944015503,9999.794921875,9999.794921875,53.9507360971307,5.63695676301043,2.79011011123657,54,1,0,0,1,0.298004150390625,34.2131004333496,1,1,3,5.00018644332886,0,5.00023794174194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
