Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Sample Resistance,He3 Temperature,Sorb Resistance,Sorb Temperature,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3878534922.37544,349.920669555664,10000.3994140625,-1.78632079104356E-5,1.51743320695512E-8,1,4,13.4005146026611,5.00811912369462,32.8599996864796,-0.0222579405327944,-0.0032997169661804,1,2.35023393819212E-8,,,,,,,,,,,,,,,,,,,,,349.920257568359,349.921081542969,10000.3994140625,10000.3994140625,53.7002241567172,5.63013176963694,5.2987904548645,54,1,0,0,1,0.304946899414063,32.7468223571777,1,1,3,349.921081542969,0,349.920669555664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878534925.57426,349.925765991211,10000.3994140625,-1.78435214360973E-5,1.77803180444822E-8,1,4,13.4005146026611,5.00803704737002,32.8599996864796,-0.0222332255940666,-0.00329383819804586,1,2.52157561132586E-8,,,,,,,,,,,,,,,,,,,,,349.925262451172,349.92626953125,10000.3994140625,10000.3994140625,53.7439953537942,5.62944797622409,5.30563545227051,53,1,64,0,0,0.297317504882812,32.2580642700195,6,1,3,349.92626953125,0,349.925765991211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878534928.48794,349.943298339844,10000.3994140625,-1.7851209127179E-5,1.51091419917908E-8,1,4,13.4005146026611,5.00809875198072,32.8599996864796,-0.0222428479858058,-0.00329758433213634,1,2.34042369984506E-8,,,,,,,,,,,,,,,,,,,,,349.92626953125,349.960327148438,10000.3994140625,10000.3994140625,53.7365698828615,5.63282710958701,5.30049180984497,54,1,0,0,1,0.298309326171875,33.2355842590332,6,1,3,349.960327148438,0,349.943298339844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878534933.08163,349.972885131836,10000.3994140625,-1.78504446619812E-5,1.38813139680459E-8,1,4,13.4005146026611,5.00806978816769,32.8599996864796,-0.0222430476296227,-0.00328851252272125,1,3.05506335298458E-8,,,,,,,,,,,,,,,,,,,,,349.960327148438,349.985443115234,10000.3994140625,10000.3994140625,53.7162475413615,5.63419153240736,5.30017757415771,54,1,0,0,1,0.297393798828125,33.2355842590332,2,1,3,349.985443115234,0,349.972885131836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878534937.12248,349.963806152344,10000.3994140625,-1.78426320410229E-5,1.48231513599286E-8,1,4,13.4005146026611,5.00799629603099,32.8599996864796,-0.0222329812715118,-0.0032861714316035,1,3.12070537852547E-8,,,,,,,,,,,,,,,,,,,,,349.942169189453,349.985443115234,10000.3994140625,10000.3994140625,53.8143419205249,5.63350358830649,5.29968976974487,54,1,0,0,1,0.2978515625,33.2355842590332,2,1,3,349.942169189453,0,349.963806152344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878534941.05705,349.897216796875,10000.3994140625,-1.78429362497002E-5,1.81971709458409E-8,1,4,13.4005146026611,5.00795851185223,32.8599996864796,-0.0222337454964032,-0.00328205071246956,1,3.45326424593198E-8,,,,,,,,,,,,,,,,,,,,,349.852264404297,349.942169189453,10000.3994140625,10000.3994140625,53.7221097552557,5.6332892634945,5.30387115478516,54,1,0,0,1,0.297622680664063,32.7468223571777,2,1,3,349.852264404297,0,349.897216796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878534945.08357,349.793533325195,10000.3994140625,-1.78411396200877E-5,1.31240661708209E-8,1,4,13.4005146026611,5.00799086041463,32.8599996864796,-0.0222318939393936,-0.00328050338790723,1,3.55297662904818E-8,,,,,,,,,,,,,,,,,,,,,349.734802246094,349.852264404297,10000.3994140625,10000.3994140625,53.8272387910922,5.63315100029399,5.30421543121338,54,1,0,0,1,0.302886962890625,33.2355842590332,2,1,3,349.734802246094,0,349.793533325195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878534949.1063,349.683486938477,10000.3994140625,-1.78489966510668E-5,1.37286561191051E-8,1,4,13.4005146026611,5.00794739620956,32.8599996864796,-0.0222428477526409,-0.00327232925042964,1,4.32349788179662E-8,,,,,,,,,,,,,,,,,,,,,349.632171630859,349.734802246094,10000.3994140625,10000.3994140625,53.7166383556211,5.63377839524988,5.30678844451904,54,1,0,0,1,0.297470092773438,33.2355842590332,2,1,3,349.626953125,0,349.683486938477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878534953.16438,349.557388305664,10000.3994140625,-1.78388205557294E-5,1.25325346451497E-8,1,4,13.4005146026611,5.00793210006886,32.8599996864796,-0.0222290370357252,-0.00327736629303261,1,3.76579752962423E-8,,,,,,,,,,,,,,,,,,,,,349.487823486328,349.626953125,10000.3994140625,10000.3994140625,53.8745273165057,5.63406050668203,5.3008918762207,54,1,0,0,1,0.298538208007812,32.7468223571777,2,1,3,349.487823486328,0,349.557388305664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878534957.19169,349.389770507812,10000.3994140625,-1.7855571897343E-5,1.52961172838874E-8,1,4,13.4005146026611,5.00792481751022,32.8599996864796,-0.0222497296422877,-0.00328134693931498,1,3.69630378700408E-8,,,,,,,,,,,,,,,,,,,,,349.291717529297,349.487823486328,10000.3994140625,10000.3994140625,53.8135602920057,5.63354930825088,5.30948114395142,54,1,0,0,1,0.297012329101562,33.2355842590332,2,1,3,349.291717529297,0,349.389770507812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
