[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3878509543.55328,11/25/2022,3:46 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,LCOT,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.8,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.79,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Sample Resistance,He3 Temperature,Sorb Resistance,Sorb Temperature,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3878509583.96097,199.981986999512,70000.0625,-0.000450206047482802,2.00730958245046E-7,1,4,13.4005146026611,5.00630010639621,32.990001142025,-0.560625400583339,-0.0834960912009189,1,2.90662872411265E-7,,,,,,,,,,,,,,,,,,,,,199.981918334961,199.982055664062,70000.0625,70000.0625,53.1945105047749,5.64078230505406,5.13144016265869,54,1,0,0,1,0.300979614257812,33.2355842590332,1,1,3,199.982055664062,0,199.981986999512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878509621.43686,199.998336791992,65000.41015625,-0.000417734818053382,1.61276178434589E-7,1,4,13.4005146026611,5.00633818596731,32.990001142025,-0.520154339078657,-0.077751080966769,1,4.77641826994999E-8,,,,,,,,,,,,,,,,,,,,,199.997817993164,199.99885559082,65000.41015625,65000.41015625,53.1906023621787,5.64103058684665,5.12658214569092,54,1,0,0,1,0.301437377929687,33.2355842590332,1,1,3,199.99885559082,0,199.998336791992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878509661.17487,200.072914123535,60000.33203125,-0.000385288354956198,6.76869220415286E-8,1,4,13.4005146026611,5.00640714769496,32.990001142025,-0.479768463417806,-0.071669783388473,1,7.90420151746263E-8,,,,,,,,,,,,,,,,,,,,,200.043746948242,200.102081298828,60000.33203125,60000.33203125,53.3019844261691,5.64030452527062,5.12818050384521,54,1,0,0,1,0.298843383789063,33.7243423461914,1,1,3,200.102081298828,0,200.072914123535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878509700.2452,200.178436279297,54999.609375,-0.000352823104705417,6.67134552713276E-8,1,4,13.4005146026611,5.00635648750923,32.990001142025,-0.439322422579348,-0.0657198555421732,1,5.76155505546212E-11,,,,,,,,,,,,,,,,,,,,,200.150955200195,200.205917358398,54999.609375,54999.609375,53.3262149102653,5.64009753677034,5.13469982147217,54,1,0,0,1,0.299758911132812,34.7018585205078,1,1,3,200.205917358398,0,200.178436279297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878509740.12073,200.238494873047,49999.58984375,-0.000320494016653861,9.26070044678738E-8,1,4,13.4005146026611,5.00629343367307,32.990001142025,-0.399070584601918,-0.0596288138830818,1,5.47428304090326E-8,,,,,,,,,,,,,,,,,,,,,200.226516723633,200.250473022461,49999.58984375,49999.58984375,53.4661264152076,5.64045327746341,5.13177490234375,54,1,0,0,1,0.301132202148438,34.2131004333496,1,1,3,200.250473022461,0,200.238494873047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878509779.73451,200.217323303223,44999.6875,-0.000288027799447995,6.26495519276612E-8,1,4,13.4005146026611,5.00635796958217,32.990001142025,-0.358658326691661,-0.0535402544598631,1,8.8625227176814E-8,,,,,,,,,,,,,,,,,,,,,200.204635620117,200.230010986328,44999.6875,44999.6875,53.360997379371,5.64026928559502,5.13461017608643,53,1,68,0,0,0.301055908203125,34.2131004333496,1,1,3,200.230010986328,0,200.217323303223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878509827.88238,200.206008911133,39999.68359375,-0.00025596438433317,5.83583892552386E-8,1,4,13.4005146026611,5.00638303457999,32.990001142025,-0.318785373311169,-0.047240467316742,10,3.51805287112706E-7,,,,,,,,,,,,,,,,,,,,,200.179977416992,200.232040405273,39999.68359375,39999.68359375,53.3750666927172,5.64050863020907,5.13563966751099,54,1,0,0,1,0.300369262695313,34.2131004333496,1,1,3,200.232040405273,0,200.206008911133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878509875.71588,200.22289276123,34999.56640625,-0.000223406162869991,4.25254676764762E-8,1,4,13.4005146026611,5.00643907877433,32.990001142025,-0.278198474665653,-0.0415150546776513,1,7.9905171624284E-8,,,,,,,,,,,,,,,,,,,,,200.211120605469,200.234664916992,34999.56640625,34999.56640625,53.4680804865057,5.64028454302751,5.12831401824951,54,1,0,0,1,0.3009033203125,34.2131004333496,1,1,3,200.234664916992,0,200.22289276123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878509915.52056,200.17024230957,29999.625,-0.000191119797657337,2.89184615531264E-8,1,4,13.4005146026611,5.00637597247675,32.990001142025,-0.237990452657462,-0.0355077063736651,1,7.39961602987644E-8,,,,,,,,,,,,,,,,,,,,,200.158309936523,200.182174682617,29999.625,29999.625,53.4446316309287,5.64007894149723,5.12931203842163,54,1,0,0,1,0.30059814453125,34.2131004333496,1,1,3,200.182174682617,0,200.17024230957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878509955.17147,200.171508789062,24999.619140625,-0.000158738861180018,2.51380467997683E-8,1,4,13.4005146026611,5.00629624920616,32.990001142025,-0.197658510143392,-0.0295273713334541,1,3.23050327995685E-8,,,,,,,,,,,,,,,,,,,,,200.150787353516,200.192230224609,24999.619140625,24999.619140625,53.482931428371,5.63966899240708,5.13254451751709,54,1,0,0,1,0.301895141601562,34.7018585205078,1,1,3,200.192230224609,0,200.171508789062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
