Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Sample Resistance,He3 Temperature,Sorb Resistance,Sorb Temperature,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3878518189.3946,299.990737915039,69999.5390625,-4.53999560134799E-4,2.21657289289411E-7,1,4,13.4005146026611,5.00634855952272,33.1499986350536,-0.565468737055753,-0.0834536835512872,10,8.93114366687349E-7,,,,,,,,,,,,,,,,,,,,,299.990509033203,299.990966796875,69999.5390625,69999.5390625,53.1311985947172,5.64295395187318,5.82194709777832,54,1,0,0,1,0.301055908203125,33.2355842590332,1,1,3,299.990966796875,0,299.990737915039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878518235.1738,300.000259399414,65000.43359375,-4.209975076003E-4,1.65106361528704E-7,1,4,13.4005146026611,5.00632357586754,33.1499986350536,-0.524212946175187,-0.0783706268834712,1,3.80211487017482E-8,,,,,,,,,,,,,,,,,,,,,300.000244140625,300.000274658203,65000.43359375,65000.43359375,53.0858641406018,5.64277964525462,5.90076208114624,53,1,68,0,0,0.30029296875,33.7243423461914,1,1,3,300.000274658203,0,300.000259399414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878518283.0528,300.065155029297,60000.33203125,-3.88552041558575E-4,1.0344434578758E-7,1,4,13.4005146026611,5.00633305103302,33.1499986350536,-0.483901427845443,-0.071747483505752,10,5.03676436812661E-7,,,,,,,,,,,,,,,,,,,,,300.046142578125,300.084167480469,60000.33203125,60000.33203125,53.2054533040441,5.64254512282411,5.97236776351929,54,1,0,0,1,0.301742553710937,34.2131004333496,1,1,3,300.084167480469,0,300.065155029297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878518329.33922,300.163177490234,54999.921875,-3.55712305755046E-4,8.80941668960632E-8,1,4,13.4005146026611,5.00627378830052,33.1499986350536,-0.442925633675314,-0.0661501175378109,1,8.54906961109802E-8,,,,,,,,,,,,,,,,,,,,,300.146453857422,300.179901123047,54999.921875,54999.921875,53.305110940246,5.64272935217507,6.04957485198975,53,1,68,0,0,0.300750732421875,34.2131004333496,1,1,3,300.179901123047,0,300.163177490234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878518376.64391,300.120574951172,49999.578125,-3.23293547341754E-4,7.78072583367367E-8,1,4,13.4005146026611,5.00632808945287,33.1499986350536,-0.402633142172914,-0.0596638687071661,10,4.45845857367444E-7,,,,,,,,,,,,,,,,,,,,,300.099975585937,300.141174316406,49999.578125,49999.578125,53.2308562309191,5.64269194135037,6.13990640640259,54,1,0,0,1,0.301971435546875,34.2131004333496,1,1,3,300.14208984375,0,300.120574951172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878518424.68717,300.134704589844,44999.72265625,-2.90506290984575E-4,7.06525385324517E-8,1,4,13.4005146026611,5.00629999352365,33.1499986350536,-0.361747030959918,-0.0539446728397397,1,1.33899558131027E-7,,,,,,,,,,,,,,,,,,,,,300.121276855469,300.148132324219,44999.72265625,44999.72265625,53.3668595932653,5.64293415426743,6.22310924530029,53,1,68,0,0,0.301895141601562,34.2131004333496,1,1,3,300.148132324219,0,300.134704589844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878518472.07517,300.16535949707,39999.59765625,-2.58029133487269E-4,4.41200368646902E-8,1,4,13.4005146026611,5.006338908371,33.1499986350536,-0.321356736500225,-0.0475953750976081,10,3.75181034274735E-7,,,,,,,,,,,,,,,,,,,,,300.150238037109,300.180480957031,39999.59765625,39999.59765625,53.4332980173999,5.64216902856254,6.31526279449463,54,1,0,0,1,0.302047729492188,34.7018585205078,1,1,3,300.180480957031,0,300.16535949707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878518519.22628,300.137283325195,34999.69140625,-2.25265654665917E-4,3.38968092160033E-8,1,4,13.4005146026611,5.00636358351702,33.1499986350536,-0.280503657109511,-0.0418894770848153,1,5.66699360565194E-8,,,,,,,,,,,,,,,,,,,,,300.133605957031,300.140960693359,34999.69140625,34999.69140625,53.3871819347653,5.64203008305952,6.40850448608398,54,1,0,0,1,0.301055908203125,34.7018585205078,1,1,3,300.133605957031,0,300.137283325195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878518559.09795,300.127899169922,29999.548828125,-1.92674628388982E-4,2.52032915823132E-8,1,4,13.4005146026611,5.00634708572913,33.1499986350536,-0.239920483246373,-0.0358241939708978,1,5.21849990380096E-8,,,,,,,,,,,,,,,,,,,,,300.110656738281,300.145141601562,29999.548828125,29999.548828125,53.4583101300153,5.64283874502166,6.48979616165161,54,1,0,0,1,0.301132202148438,34.7018585205078,1,1,3,300.145141601562,0,300.127899169922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878518598.79623,300.209350585937,24999.619140625,-1.60087859060404E-4,2.58925843618495E-8,1,4,13.4005146026611,5.00633256971665,33.1499986350536,-0.199341705572208,-0.0297690589038443,1,4.02449602307603E-8,,,,,,,,,,,,,,,,,,,,,300.188201904297,300.230499267578,24999.619140625,24999.619140625,53.360997379371,5.64221184019518,6.57964658737183,54,1,0,0,1,0.301513671875,34.7018585205078,1,1,3,300.230499267578,0,300.209350585937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878518638.92455,300.185424804687,19999.552734375,-1.27524911729712E-4,1.5983971138311E-8,1,4,13.4005146026611,5.00646939584251,33.1499986350536,-0.158799548431311,-0.0237199600448865,1,2.78653157364099E-8,,,,,,,,,,,,,,,,,,,,,300.179626464844,300.191223144531,19999.552734375,19999.552734375,53.4368153457364,5.64252016534238,6.66712951660156,54,1,0,0,1,0.299758911132812,34.7018585205078,1,1,3,300.179626464844,0,300.185424804687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878518678.48145,300.018173217773,14999.837890625,-9.49398892343997E-5,1.93992721798751E-8,1,4,13.4005146026611,5.00645889510726,33.1499986350536,-0.118222215957756,-0.0176637112960425,1,1.69701932697834E-8,,,,,,,,,,,,,,,,,,,,,300.016510009766,300.019836425781,14999.837890625,14999.837890625,53.5095067980249,5.64130369734241,6.73210668563843,54,1,0,0,1,0.301055908203125,34.7018585205078,1,1,3,300.016510009766,0,300.018173217773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
