Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Sample Resistance,He3 Temperature,Sorb Resistance,Sorb Temperature,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3878472894.73032,5.00016617774963,70000.3828125,-4.30952284320343E-4,2.63690647294468E-7,1,4,13.4005146026611,4.9761301371241,32.8599996864796,-0.532040211203817,-0.0798013607272406,1,-1.67493252857283E-7,,,,,,,,,,,,,,,,,,,,,5.00016403198242,5.00016832351685,70000.3828125,70000.3828125,54.4818526759481,5.6437066402104,2.9027681350708,53,1,68,0,0,0.29571533203125,32.7468223571777,1,1,3,5.00016403198242,0,5.00016617774963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878472941.7533,4.9999737739563,65000.18359375,-4.06288230741933E-4,1.01394063884663E-5,1,4,13.4005146026611,4.97611340104551,32.8599996864796,-0.500030288598574,-0.0856492791747791,10,-8.59394691226223E-6,,,,,,,,,,,,,,,,,,,,,4.9998722076416,5.000075340271,65000.18359375,65000.18359375,54.5381299293327,5.64449221916339,2.90900707244873,54,1,0,0,1,0.29693603515625,33.2355842590332,1,1,3,4.9998722076416,0,4.9999737739563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878472990.60313,5.00004911422729,60000.49609375,-3.66805750678069E-4,1.26080835591237E-7,1,4,13.4005146026611,4.97608180211056,32.8599996864796,-0.452803650398505,-0.0681699897738556,1,-3.43316603075654E-7,,,,,,,,,,,,,,,,,,,,,5.00003242492676,5.00006580352783,60000.49609375,60000.49609375,54.3290443004384,5.64360198538573,2.9093599319458,53,1,68,0,0,0.29815673828125,33.7243423461914,1,1,3,5.00006580352783,0,5.00004911422729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878473038.62995,5.00009942054749,55000.2734375,-3.37837102714847E-4,2.4282101041162E-6,1,4,13.4005146026611,4.9760314528138,32.8599996864796,-0.417064222516425,-0.062605720480792,10,-1.7071411327166E-7,,,,,,,,,,,,,,,,,,,,,5.00008106231689,5.00011777877808,55000.2734375,55000.2734375,54.3880572536404,5.64370927456073,2.91606497764587,54,1,0,0,1,0.299530029296875,33.7243423461914,1,1,3,5.00008106231689,0,5.00009942054749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878473086.45782,4.99991703033447,50000.41015625,-3.03384047844051E-4,1.02357794490562E-7,1,4,13.4005146026611,4.97608474943967,32.8599996864796,-0.374511921050431,-0.0563904110389614,1,-2.89746906218727E-7,,,,,,,,,,,,,,,,,,,,,4.99984836578369,4.99998569488525,50000.41015625,50000.41015625,54.2469733059192,5.64372207818372,2.91139221191406,54,1,0,0,1,0.297927856445313,33.7243423461914,1,1,3,4.99998569488525,0,4.99991703033447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878473125.72959,4.99997353553772,45000.44140625,-2.72043525678276E-4,6.03076056439302E-8,1,4,13.4005146026611,4.97606239466405,32.8599996864796,-0.335836957880575,-0.0504617715418105,1,-1.76376828585728E-7,,,,,,,,,,,,,,,,,,,,,4.99995136260986,4.99999570846558,45000.44140625,45000.44140625,54.1125332006115,5.64323889982552,2.911461353302,54,1,0,0,1,0.298995971679687,33.7243423461914,1,1,3,4.99999570846558,0,4.99997353553772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878473165.15822,4.99995732307434,40000.40234375,-2.40628944693029E-4,6.36515195963121E-8,1,4,13.4005146026611,4.97595537301975,32.8599996864796,-0.297040842688274,-0.0446729226120153,1,-1.88116346599206E-7,,,,,,,,,,,,,,,,,,,,,4.99979257583618,5.0001220703125,40000.40234375,40000.40234375,54.0210826638615,5.64204651783926,2.91919136047363,54,1,0,0,1,0.299530029296875,33.7243423461914,1,1,3,4.99979257583618,0,4.99995732307434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878473204.14117,4.99999213218689,35000.20703125,-2.093720803755E-4,5.90421313169654E-8,1,4,13.4005146026611,4.97597389937361,32.8599996864796,-0.25847150840063,-0.0387774309279946,1,-8.84834465163778E-8,,,,,,,,,,,,,,,,,,,,,4.99995088577271,5.00003337860107,35000.20703125,35000.20703125,53.9515177256499,5.64280958490891,2.91113877296448,53,1,68,0,0,0.296630859375,34.2131004333496,1,1,3,4.99995088577271,0,4.99999213218689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878473251.02202,5.00008797645569,30000.2421875,-1.78323381779708E-4,4.31380420777483E-8,1,4,13.4005146026611,4.97598166819562,32.8599996864796,-0.220168778749345,-0.032848850823934,10,6.89600929699447E-8,,,,,,,,,,,,,,,,,,,,,4.99998617172241,5.00018978118897,30000.2421875,30000.2421875,53.8866425585538,5.64198384745861,2.91927480697632,54,1,0,0,1,0.296783447265625,35.190616607666,1,1,3,5.00018978118897,0,5.00008797645569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878473298.67033,5.00010108947754,24999.896484375,-1.47293376029654E-4,4.28547153059959E-8,1,4,13.4005146026611,4.97601602511639,32.8599996864796,-0.181832206868717,-0.0273124011044664,1,-8.82745944560153E-8,,,,,,,,,,,,,,,,,,,,,4.99988794326782,5.00031423568726,24999.896484375,24999.896484375,53.8022266784769,5.64219062691361,2.92129063606262,54,1,0,0,1,0.297164916992188,33.7243423461914,1,1,3,5.00031423568726,0,5.00010108947754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878473337.37935,5.00026845932007,19999.69140625,-1.16399276599571E-4,3.9597320428652E-8,1,4,13.4005146026611,4.97598046278125,32.8599996864796,-0.143690938206344,-0.0215926787313883,1,-7.71652847805763E-8,,,,,,,,,,,,,,,,,,,,,5.00022172927856,5.00031518936157,19999.69140625,19999.69140625,53.6611427307557,5.6407821134812,2.91724038124084,54,1,0,0,1,0.2972412109375,33.7243423461914,1,1,3,5.00022172927856,0,5.00026845932007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878473375.83132,4.99982380867004,14999.7744140625,-8.57573076337134E-5,3.00106740795533E-8,1,4,13.4005146026611,4.97600341890007,32.8599996864796,-0.105860914080457,-0.0159369072755967,1,-7.98324404150114E-8,,,,,,,,,,,,,,,,,,,,,4.99978351593018,4.99986410140991,14999.7744140625,14999.7744140625,53.668959015948,5.64094462600865,2.92156791687012,54,1,0,0,1,0.297317504882812,34.2131004333496,1,1,3,4.99978351593018,0,4.99982380867004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878473413.69855,5.00002384185791,9999.958984375,-5.52993160080228E-5,2.21587022943268E-8,1,4,13.4005146026611,4.97595551194476,32.8599996864796,-0.0682623532953893,-0.0102735232976077,1,-4.90376063423385E-8,,,,,,,,,,,,,,,,,,,,,4.99999523162842,5.0000524520874,9999.958984375,9999.958984375,53.5958767493999,5.64072221334636,2.92087030410767,54,1,0,0,1,0.297012329101562,33.7243423461914,1,1,3,4.99999523162842,0,5.00002384185791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878473437.63781,5.00018835067749,9999.958984375,-5.53086232245422E-5,2.03615347610635E-8,1,4,13.4005146026611,4.97597685986635,32.8599996864796,-0.0682844808595841,-0.0102069484061578,1,6.32967117251414E-9,,,,,,,,,,,,,,,,,,,,,5.00009250640869,5.00028419494629,9999.958984375,9999.958984375,53.5016905128326,5.64036207275218,2.91336679458618,54,1,0,0,1,0.298309326171875,33.7243423461914,1,1,3,5.00028419494629,0,5.00018835067749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878473452.78954,4.99992084503174,9499.90234375,-5.22700193795283E-5,1.86746312137641E-8,1,4,13.4005146026611,4.97595614472389,32.8599996864796,-0.0645212230103704,-0.00972230590434603,1,-5.57184774837098E-8,,,,,,,,,,,,,,,,,,,,,4.99990510940552,4.99993658065796,9499.90234375,9499.90234375,53.5790717362364,5.64090770159359,2.91885280609131,52,1,68,0,0,0.298385620117188,34.2131004333496,1,1,3,4.99990510940552,0,4.99992084503174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878473469.4163,5.00006699562073,8999.80859375,-4.92403753379513E-5,1.71071373472753E-8,1,4,13.4005146026611,4.97607767954275,32.8599996864796,-0.0607838271121321,-0.00915736523234031,1,-5.10825729799744E-8,,,,,,,,,,,,,,,,,,,,,4.99999475479126,5.0001392364502,8999.80859375,8999.80859375,53.6048654773711,5.6406084508599,2.9160487651825,54,1,0,0,1,0.2972412109375,33.7243423461914,1,1,3,4.99999475479126,0,5.00006699562073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878473485.74794,5.00003337860107,8500.1064453125,-4.62540871933119E-5,2.02682060152683E-8,1,4,13.4005146026611,4.97594802786348,32.8699983656406,-0.057096799421034,-0.00859213890161061,1,-4.02544296356059E-8,,,,,,,,,,,,,,,,,,,,,4.99997282028198,5.00009393692017,8500.1064453125,8500.1064453125,53.4813681713326,5.64040830889646,2.91875743865967,52,1,68,0,0,0.2984619140625,34.2131004333496,1,1,3,5.00009393692017,0,5.00003337860107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
