[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3878452964.6842,11/24/2022,12:03 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,LCOT,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.8,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.79,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Sample Resistance,He3 Temperature,Sorb Resistance,Sorb Temperature,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3878452990.46991,349.932830810547,10000.3740234375,-6.25094097549526E-5,1.68437366455859E-8,1,4,13.4005146026611,4.97747476299389,33.2299992442131,-0.0772279604404367,-0.0114023481541083,1,1.19167903584977E-7,,,,,,,,,,,,,,,,,,,,,349.932281494141,349.933380126953,10000.3740234375,10000.3740234375,53.4282174320249,5.63634643917669,5.56977367401123,54,1,0,0,1,0.296783447265625,32.7468223571777,1,1,4,349.933380126953,0,349.932830810547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878453002.09427,349.947631835937,10000.3740234375,-6.24604548473886E-5,3.05182571822299E-8,1,4,13.4005146026611,4.9877290793863,33.2299992442131,-0.0773889073171807,-0.0114381202214598,100,1.09589083695563E-7,,,,,,,,,,,,,,,,,,,,,349.946929931641,349.948333740234,10000.3740234375,10000.3740234375,53.4274358035057,5.63567102945165,5.57853698730469,54,1,0,0,1,0.296783447265625,33.2355842590332,6,1,4,349.948333740234,0,349.947631835937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878453005.40289,349.932922363281,10000.3740234375,-6.24714409679307E-5,2.92798283009911E-8,1,4,13.4005146026611,4.98771922876071,33.2299992442131,-0.0774072515195926,-0.011407032985587,100,1.36304077455181E-7,,,,,,,,,,,,,,,,,,,,,349.917510986328,349.948333740234,10000.3740234375,10000.3740234375,53.5157598261787,5.63563988218701,5.57753133773804,54,1,0,0,1,0.302276611328125,33.2355842590332,6,1,4,349.917510986328,0,349.932922363281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878453009.8757,349.884567260742,10000.3740234375,-6.24609849131611E-5,2.7962196236098E-8,1,4,13.4005146026611,4.98770016809308,33.2299992442131,-0.0773917587268356,-0.0114192487906602,100,1.24828545510255E-7,,,,,,,,,,,,,,,,,,,,,349.853302001953,349.915832519531,10000.3740234375,10000.3740234375,53.4336888316595,5.63531747436938,5.57844543457031,54,1,0,0,1,0.29571533203125,33.2355842590332,2,1,4,349.853302001953,0,349.884567260742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878453020.42996,349.613296508789,10000.3740234375,-6.25027531471074E-5,1.97546267929877E-8,1,4,13.4005146026611,4.98763016383902,33.2299992442131,-0.0774385392008381,-0.0114497089911251,10,1.06303866734649E-7,,,,,,,,,,,,,,,,,,,,,349.604370117188,349.622222900391,10000.3740234375,10000.3740234375,53.440332674073,5.63564658325502,5.5804500579834,54,1,0,0,1,0.295791625976562,33.7243423461914,2,1,4,349.588348388672,0,349.613296508789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878453022.49815,349.542724609375,10000.3740234375,-6.24869365340159E-5,1.98814815526588E-8,1,4,13.4005146026611,4.98763016383902,33.2299992442131,-0.077422849993344,-0.0114206943647225,10,1.27362251977721E-7,,,,,,,,,,,,,,,,,,,,,349.50048828125,349.5849609375,10000.3740234375,10000.3740234375,53.4665172294672,5.63564658325502,5.58323049545288,54,1,0,0,1,0.295562744140625,33.2355842590332,2,1,4,349.50048828125,0,349.542724609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878453025.82,349.424743652344,10000.3740234375,-6.24958459991937E-5,1.97315877254206E-8,1,4,13.4005146026611,4.9875736890496,33.2299992442131,-0.0774346553018743,-0.0114088005669154,10,1.38151060121483E-7,,,,,,,,,,,,,,,,,,,,,349.353942871094,349.495544433594,10000.3740234375,10000.3740234375,53.4418959311114,5.63565418303339,5.57936191558838,54,1,0,0,1,0.30242919921875,33.2355842590332,2,1,4,349.353942871094,0,349.424743652344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878453029.84741,349.269134521484,10000.3740234375,-6.2505023948796E-5,1.72687624127647E-8,1,4,13.4005146026611,4.98764029636277,33.2299992442131,-0.0774456082111318,-0.0114231847558809,10,1.28083714969853E-7,,,,,,,,,,,,,,,,,,,,,349.184326171875,349.353942871094,10000.3740234375,10000.3740234375,53.445413259448,5.63598943643821,5.58027172088623,54,1,0,0,1,0.304794311523438,33.7243423461914,2,1,4,349.184326171875,0,349.269134521484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878453033.89969,349.115127563477,10000.3740234375,-6.25012040345968E-5,2.11707421734925E-8,1,4,13.4005146026611,4.98760573025477,33.2299992442131,-0.0774411163025792,-0.0114157333858564,10,1.33438432641437E-7,,,,,,,,,,,,,,,,,,,,,349.045928955078,349.184326171875,10000.3740234375,10000.3740234375,53.3754575069768,5.63542383367948,5.58378601074219,54,1,0,0,1,0.3033447265625,33.2355842590332,2,1,4,349.045928955078,0,349.115127563477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3878453037.91652,348.955841064453,10000.3740234375,-6.24979261433235E-5,2.11948596622267E-8,1,4,13.4005146026611,4.98755517227043,33.2299992442131,-0.0774362078125523,-0.0114132770546767,10,1.34800195277849E-7,,,,,,,,,,,,,,,,,,,,,348.865753173828,349.045928955078,10000.3740234375,10000.3740234375,53.3563076082556,5.63545086978548,5.58789968490601,54,1,0,0,1,0.301895141601562,33.2355842590332,2,1,4,348.865753173828,0,348.955841064453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
