Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3881424187.92683,399.983474731445,4999.56396484375,1.69420720493129E-4,1.64620408570713E-8,1,4,14.0008964538574,4.99623370221144,32.8599996864796,0.210300941516582,0.0318798528502156,1,-5.09867711838993E-8,,,,,,,,,,,,,,,,,,,,,399.983032226562,399.983917236328,4999.56396484375,4999.56396484375,53.2625121859479,5.86030701742598,5.12330722808838,56,1,0,0,1,0.326461791992188,32.2580642700195,1,1,3,399.983917236328,0,399.983474731445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881424191.27368,399.985214233398,4999.56396484375,1.7004905009419E-4,1.05005833349584E-7,1,4,14.0008964538574,4.99604741939593,32.8599996864796,0.211088386857876,0.0318744639458387,1,-1.49430428733233E-7,,,,,,,,,,,,,,,,,,,,,399.985015869141,399.985412597656,4999.56396484375,4999.56396484375,53.3574800510345,5.87594547897149,5.12196493148804,55,1,64,0,0,0.325393676757812,32.2580642700195,6,1,3,399.985412597656,0,399.985214233398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881424194.36528,399.975814819336,4999.56396484375,1.70801905051674E-4,1.60827968563887E-8,1,4,14.0008964538574,4.99615752009893,32.8599996864796,0.212019645910838,0.0320812944545652,1,-9.79451175860903E-8,,,,,,,,,,,,,,,,,,,,,399.966156005859,399.985473632812,4999.56396484375,4999.56396484375,53.2300746023999,5.87523420208962,5.12657308578491,56,1,0,0,1,0.326385498046875,31.7693061828613,6,1,3,399.966156005859,0,399.975814819336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881424198.93374,399.929565429687,4999.56396484375,1.70795297594213E-4,2.0175072933928E-8,1,4,14.0008964538574,4.99612709698401,32.8599996864796,0.212012162177405,0.0320631499122663,1,-1.11339592948435E-7,,,,,,,,,,,,,,,,,,,,,399.892974853516,399.966156005859,4999.56396484375,4999.56396484375,53.4364245314768,5.8761173707189,5.13086414337158,56,1,0,0,1,0.32470703125,32.2580642700195,2,1,3,399.890411376953,0,399.929565429687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881424202.97117,399.83610534668,4999.56396484375,1.70799643818079E-4,1.88557701548539E-8,1,4,14.0008964538574,4.99603582512076,32.8599996864796,0.212012594017715,0.0320601126571214,1,-1.13786003674767E-7,,,,,,,,,,,,,,,,,,,,,399.781799316406,399.890411376953,4999.56396484375,4999.56396484375,53.3117547826595,5.87604231099801,5.13064241409302,56,1,0,0,1,0.325088500976562,32.2580642700195,2,1,3,399.781799316406,0,399.83610534668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881424206.91464,399.699111938477,4999.56396484375,1.70803601726075E-4,1.85719288328668E-8,1,4,14.0008964538574,4.99598357869336,32.8599996864796,0.212016874958541,0.0320441061827304,1,-1.26905408975641E-7,,,,,,,,,,,,,,,,,,,,,399.616424560547,399.781799316406,4999.56396484375,4999.56396484375,53.2488336868614,5.87620293090119,5.13004302978516,56,1,0,0,1,0.32623291015625,32.7468223571777,2,1,3,399.616424560547,0,399.699111938477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881424210.91187,399.507186889648,4999.56396484375,1.70816272351533E-4,1.90599950592608E-8,1,4,14.0008964538574,4.99598919309539,32.8599996864796,0.212034042367651,0.0320392538959501,1,-1.32780202142536E-7,,,,,,,,,,,,,,,,,,,,,399.39794921875,399.616424560547,4999.56396484375,4999.56396484375,53.4618274583518,5.87682850826258,5.12478590011597,56,1,0,0,1,0.324935913085937,32.2580642700195,2,1,3,399.389709472656,0,399.507186889648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881424214.94745,399.290298461914,4999.56396484375,1.70841488293411E-4,2.15054170950261E-8,1,4,14.0008964538574,4.9959533419382,32.8599996864796,0.212060780159233,0.0320596698526931,1,-1.19901717414018E-7,,,,,,,,,,,,,,,,,,,,,399.190887451172,399.389709472656,4999.56396484375,4999.56396484375,53.399687991073,5.87678630552905,5.12841987609863,56,1,0,0,1,0.325775146484375,32.7468223571777,2,1,3,399.190887451172,0,399.290298461914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881424218.91653,399.037887573242,4999.56396484375,1.70852740505125E-4,2.00459977789865E-8,1,4,14.0008964538574,4.99593180514502,32.8599996864796,0.212071071338485,0.0320773588902687,1,-1.07202646094917E-7,,,,,,,,,,,,,,,,,,,,,398.884887695313,399.190887451172,4999.56396484375,4999.56396484375,53.3398934093518,5.87689693994605,5.13612270355225,56,1,0,0,1,0.3265380859375,32.7468223571777,2,1,3,398.884887695313,0,399.037887573242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881424222.91075,398.75373840332,4999.56396484375,1.70865806477462E-4,1.88921715369268E-8,1,4,14.0008964538574,4.99591160324818,32.8599996864796,0.212087728777236,0.0320688318527219,1,-1.15911413050836E-7,,,,,,,,,,,,,,,,,,,,,398.622589111328,398.884887695313,4999.56396484375,4999.56396484375,53.3824921636499,5.87710289324705,5.13019514083862,56,1,0,0,1,0.326919555664063,33.2355842590332,2,1,3,398.622589111328,0,398.75373840332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881424226.97285,398.455413818359,4999.56396484375,1.70935744634555E-4,2.81884892114565E-8,1,4,14.0008964538574,4.99587043876918,32.8599996864796,0.212170565666782,0.032091633001817,1,-1.07865269746161E-7,,,,,,,,,,,,,,,,,,,,,398.301818847656,398.609008789063,4999.56396484375,4999.56396484375,53.5282658824864,5.87673573620376,5.1316351890564,55,1,64,0,0,0.324020385742188,32.7468223571777,2,1,3,398.301818847656,0,398.455413818359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881424231.09376,398.155624389648,4999.56396484375,1.71249199424491E-4,3.34851683828252E-8,1,4,14.0008964538574,4.99586208010862,32.8599996864796,0.212556241403292,0.03216946923259,1,-9.27031880408108E-8,,,,,,,,,,,,,,,,,,,,,398.034271240234,398.276977539063,4999.56396484375,4999.56396484375,53.3187894393326,5.87740668646176,5.13059139251709,56,1,0,0,1,0.3271484375,32.7468223571777,2,1,3,398.034271240234,0,398.155624389648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881424234.91301,397.877456665039,4999.56396484375,1.71749386773398E-4,2.93436060661562E-8,1,4,14.0008964538574,4.99588723803788,32.8599996864796,0.213161125906955,0.0323785789183223,1,-3.7907197987442E-10,,,,,,,,,,,,,,,,,,,,,397.720642089844,398.034271240234,4999.56396484375,4999.56396484375,53.3492729515826,5.87775288018793,5.13190937042236,56,1,0,0,1,0.326919555664063,32.7468223571777,2,1,3,397.720642089844,0,397.877456665039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881424238.90393,397.543869018555,4999.56396484375,1.72159316763019E-4,2.63909155551825E-8,1,4,14.0008964538574,4.99585070512398,32.8599996864796,0.213651626825836,0.0325614011407685,1,8.49260573721739E-8,,,,,,,,,,,,,,,,,,,,,397.367095947266,397.720642089844,4999.56396484375,4999.56396484375,53.4661264152076,5.87859591388241,5.13235378265381,56,1,0,0,1,0.325546264648438,32.7468223571777,2,1,3,397.367095947266,0,397.543869018555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881424242.90348,397.202514648438,4999.56396484375,1.72365369484599E-4,1.79022580510358E-8,1,4,14.0008964538574,4.99585002776103,32.8599996864796,0.21390481465927,0.0326167280737729,1,9.82105504347758E-8,,,,,,,,,,,,,,,,,,,,,397.037933349609,397.367095947266,4999.56396484375,4999.56396484375,53.4426775596307,5.87905438924583,5.13492012023926,56,1,0,0,1,0.325546264648438,32.7468223571777,2,1,3,397.037933349609,0,397.202514648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881424246.90476,396.868682861328,4999.56396484375,1.7251847004577E-4,2.41483193362734E-8,1,4,14.0008964538574,4.99587274437617,32.8599996864796,0.21408801793768,0.0326996091021182,1,1.41566974423618E-7,,,,,,,,,,,,,,,,,,,,,396.699432373047,397.037933349609,4999.56396484375,4999.56396484375,53.3098007113614,5.87912858057542,5.13800001144409,56,1,0,0,1,0.326309204101562,32.7468223571777,2,1,3,396.699432373047,0,396.868682861328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881424250.93685,396.507888793945,4999.56396484375,1.72552319186303E-4,3.01684424605592E-8,1,4,14.0008964538574,4.9958292126367,32.8599996864796,0.214126771403566,0.0327098321979179,1,1.44983959402231E-7,,,,,,,,,,,,,,,,,,,,,396.331787109375,396.683990478516,4999.56396484375,4999.56396484375,53.4329072031403,5.87977923160171,5.13554334640503,56,1,0,0,1,0.325851440429687,32.7468223571777,2,1,3,396.331787109375,0,396.507888793945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881424255.1883,396.143661499023,4999.56396484375,1.72446608061457E-4,3.14466661247956E-8,1,4,14.0008964538574,4.99582345689123,32.8399986028671,0.213993238082923,0.0327029535405785,1,1.55541533791971E-7,,,,,,,,,,,,,,,,,,,,,396.010467529297,396.27685546875,4999.56396484375,4999.56396484375,53.3191802535922,5.87919159737763,5.14022541046143,55,1,64,0,0,0.3277587890625,32.7468223571777,2,1,3,396.010467529297,0,396.143661499023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881424259.13136,395.819091796875,4999.56396484375,1.72401385759948E-4,3.36026260167852E-8,1,4,14.0008964538574,4.99581772369759,32.8399986028671,0.213936100902003,0.0326987746002448,1,1.59085978572558E-7,,,,,,,,,,,,,,,,,,,,,395.665069580078,395.973114013672,4999.56396484375,4999.56396484375,53.3230883961883,5.87940727857891,5.13898992538452,56,1,0,0,1,0.325775146484375,32.7468223571777,2,1,3,395.665069580078,0,395.819091796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881424262.9148,395.471099853516,4999.56396484375,1.72453426649549E-4,3.42590487436184E-8,1,4,14.0008964538574,4.99581058895355,32.8399986028671,0.214002348825977,0.0326947716977684,1,1.48008377473968E-7,,,,,,,,,,,,,,,,,,,,,395.298583984375,395.643615722656,4999.56396484375,4999.56396484375,53.4161021899768,5.87919992198995,5.13879489898682,56,1,0,0,1,0.327301025390625,32.7468223571777,2,1,3,395.298583984375,0,395.471099853516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
