[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3883330548.82692,01/19/2023,11:00 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,LSAT//LCO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.59,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3883330590.32721,200.100364685059,69999.7109375,-0.000968054593764544,1.81622562924812E-7,1,4,13.4005146026611,5.00486105699928,30.5499993264675,-1.20514899775728,-0.178462925674266,10,1.43021436636923E-6,,,,,,,,,,,,,,,,,,,,,200.100250244141,200.100479125977,69999.7109375,69999.7109375,53.0495184144575,5.64476340015545,5.08689832687378,54,1,0,0,1,0.305023193359375,32.2580642700195,1,1,3,200.100250244141,0,200.100364685059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883330593.37829,200.097610473633,69999.7109375,-0.000967828206495961,1.34888756893257E-7,1,4,13.4005146026611,5.004806938818,30.5499993264675,-1.20487385736201,-0.178251956168312,10,1.56368452045132E-6,,,,,,,,,,,,,,,,,,,,,200.094970703125,200.100250244141,69999.7109375,69999.7109375,53.1354975515729,5.64498851604295,5.08271217346191,54,2,0,0,1,0.3021240234375,32.7468223571777,1,1,3,200.094970703125,0,200.097610473633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883330633.34499,200.044097900391,65000.37109375,-0.000884146904297618,1.26601867766596E-7,1,4,13.4005146026611,5.00475286772146,30.5499993264675,-1.10060726122526,-0.163325240163265,10,1.03644145921356E-6,,,,,,,,,,,,,,,,,,,,,200.016143798828,200.072052001953,65000.37109375,65000.37109375,53.1866942195826,5.64377602405664,5.08335828781128,54,1,0,0,1,0.3045654296875,32.7468223571777,1,1,3,200.072052001953,0,200.044097900391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883330637.39543,200.096153259277,65000.37109375,-0.00088439387309742,1.77876041817708E-7,1,4,13.4005146026611,5.00483481637119,30.5499993264675,-1.10095257659218,-0.163289885902478,10,1.10479666531441E-6,,,,,,,,,,,,,,,,,,,,,200.073394775391,200.118911743164,65000.37109375,65000.37109375,53.0499092287172,5.64461001446246,5.09038829803467,54,2,0,0,1,0.303573608398438,32.7468223571777,1,1,3,200.118911743164,0,200.096153259277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883330677.25341,200.129432678223,60000.47265625,-0.000801204546601134,1.2219872037828E-7,1,4,13.4005146026611,5.00479422377041,30.5499993264675,-0.997370813099485,-0.148000888626857,10,9.42765123394469E-7,,,,,,,,,,,,,,,,,,,,,200.125778198242,200.133087158203,60000.47265625,60000.47265625,53.4133664901595,5.64506975890772,5.08544635772705,54,1,0,0,1,0.304107666015625,33.2355842590332,1,1,3,200.133087158203,0,200.129432678223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883330681.09595,200.134826660156,60000.47265625,-0.000801358672725443,1.72309591514942E-7,1,4,13.4005146026611,5.00472596466873,30.5499993264675,-0.997572168824385,-0.147835884116265,10,1.09613006815175E-6,,,,,,,,,,,,,,,,,,,,,200.133087158203,200.136566162109,60000.47265625,60000.47265625,53.4032053194095,5.64582138751581,5.08343505859375,54,2,0,0,1,0.302658081054687,33.2355842590332,1,1,3,200.136566162109,0,200.134826660156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883330720.01294,200.149452209473,55000.17578125,-0.000717767738337256,1.55177169174938E-7,1,4,13.4005146026611,5.00471033361259,30.5499993264675,-0.893488801142642,-0.13255606665485,10,8.67901915955711E-7,,,,,,,,,,,,,,,,,,,,,200.121520996094,200.177383422852,55000.17578125,55000.17578125,53.218740988871,5.64389991506283,5.0818920135498,54,1,0,0,1,0.304183959960937,33.2355842590332,1,1,3,200.177383422852,0,200.149452209473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883330724.06264,200.197906494141,55000.17578125,-0.000717925941552283,1.131798474497E-7,1,4,13.4005146026611,5.00474573074698,30.5499993264675,-0.893710385065474,-0.132480905426378,10,9.53011302729876E-7,,,,,,,,,,,,,,,,,,,,,200.177383422852,200.21842956543,55000.17578125,55000.17578125,53.1816136342076,5.64405940510532,5.08747720718384,54,2,0,0,1,0.303497314453125,33.2355842590332,1,1,3,200.21842956543,0,200.197906494141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883330764.07046,200.202018737793,49999.62890625,-0.000634982532691592,1.63335685169283E-7,1,4,13.4005146026611,5.00480959835176,30.5499993264675,-0.790469308221903,-0.117197598016976,10,8.26530909292178E-7,,,,,,,,,,,,,,,,,,,,,200.176788330078,200.227249145508,49999.62890625,49999.62890625,53.3453648089864,5.64496356456797,5.08201503753662,54,1,0,0,1,0.302658081054687,33.7243423461914,1,1,3,200.227249145508,0,200.202018737793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883330774.52041,200.26456451416,49999.62890625,-0.000634430638764186,8.0206345265678E-8,1,4,13.4005146026611,5.00479261850481,30.5499993264675,-0.789620256855526,-0.118153173210885,1,-2.4240685219245E-8,,,,,,,,,,,,,,,,,,,,,200.264358520508,200.264770507813,49999.62890625,49999.62890625,53.414929747198,5.6441068100754,5.0876145362854,54,2,0,0,1,0.304489135742188,33.7243423461914,1,1,3,200.264358520508,0,200.26456451416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
