[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3883375494.97822,01/20/2023,11:29 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,LSAT//LCO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.59,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3883375633.90505,29.89430809021,70000.2265625,-0.000928984772485701,1.47881444258306E-7,1,4,13.4005146026611,4.97486228018072,30.4300002753735,-1.14637562376431,-0.172694131774407,1,-9.53702057970028E-7,,,,,,,,,,,,,,,,,,,,,29.8939647674561,29.8946514129639,70000.2265625,70000.2265625,53.3512270228807,5.64236622613582,4.42446041107178,46,1,100,0,0,0.299453735351562,31.2805480957031,1,1,3,29.8939647674561,0,29.89430809021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883375642.64971,29.9083280563354,70000.2265625,-0.000930210282853132,1.00168025564415E-5,1,4,13.4005146026611,4.97492062971391,30.4300002753735,-1.14618890260369,-0.184408748110626,10,-1.02595895894E-5,,,,,,,,,,,,,,,,,,,,,29.9082012176514,29.9084548950195,70000.2265625,70000.2265625,53.3856186777268,5.64240951242414,4.40425777435303,53,2,68,0,0,0.299072265625,31.2805480957031,1,1,3,29.9082012176514,0,29.9083280563354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883375689.61687,29.9069385528564,65000.3203125,-0.000847885288815411,1.39183464366899E-7,1,4,13.4005146026611,4.985172995448,30.4300002753735,-1.04940122831497,-0.157692599513025,1,-5.59971182551126E-7,,,,,,,,,,,,,,,,,,,,,29.9046459197998,29.9092311859131,65000.3203125,65000.3203125,53.3547443512172,5.64300010386548,4.36367845535278,54,1,0,0,1,0.2996826171875,31.7693061828613,1,1,3,29.9092311859131,0,29.9069385528564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883375693.52238,29.9115056991577,65000.3203125,-0.000847928592549468,1.40995505314128E-7,1,4,13.4005146026611,4.98506856130862,30.4300002753735,-1.04943817929459,-0.15760112909262,1,-4.83336819357387E-7,,,,,,,,,,,,,,,,,,,,,29.9094791412354,29.9135322570801,65000.3203125,65000.3203125,53.4071134620056,5.64372725174828,4.36523246765137,52,2,68,0,0,0.298843383789063,31.7693061828613,1,1,3,29.9135322570801,0,29.9115056991577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883375732.67851,29.9466381072998,60000.4453125,-0.000767153160795538,1.22852893928142E-7,1,4,13.4005146026611,4.98502425011912,30.4300002753735,-0.949456696582322,-0.142572518426394,1,-4.26448247734345E-7,,,,,,,,,,,,,,,,,,,,,29.9442272186279,29.9490489959717,60000.4453125,60000.4453125,53.4567468729768,5.64403504552451,4.33591222763062,51,1,100,0,0,0.298614501953125,32.2580642700195,1,1,3,29.9490489959717,0,29.9466381072998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883375743.14456,29.9650468826294,60000.4453125,-0.000767732814572381,9.136600521167E-8,1,4,13.4005146026611,4.98499623513029,30.4300002753735,-0.950379689390534,-0.141254711076034,10,7.24053598017662E-7,,,,,,,,,,,,,,,,,,,,,29.964750289917,29.9653434753418,60000.4453125,60000.4453125,53.5055986554287,5.64451054894695,4.33864116668701,54,2,0,0,1,0.299758911132812,32.2580642700195,1,1,3,29.9653434753418,0,29.9650468826294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883375790.65186,29.9752235412598,55000.25,-0.000686339431078041,9.25455581264902E-8,1,4,13.4005146026611,4.98483550270232,30.4300002753735,-0.849381624745387,-0.12762662722709,1,-4.46009240456657E-7,,,,,,,,,,,,,,,,,,,,,29.9751777648926,29.975269317627,55000.25,55000.25,53.3836646064287,5.64465286979601,4.34178113937378,48,1,100,0,0,0.299072265625,32.7468223571777,1,1,3,29.975269317627,0,29.9752235412598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883375800.84465,29.9812870025635,55000.25,-0.000686962586167012,1.45452823146366E-7,1,4,13.4005146026611,4.984783233569,30.4300002753735,-0.850364542034207,-0.126241666515894,10,7.64713720517934E-7,,,,,,,,,,,,,,,,,,,,,29.9807910919189,29.981782913208,55000.25,55000.25,53.4391602312941,5.64453669764776,4.34485244750977,54,2,0,0,1,0.298385620117188,33.2355842590332,1,1,3,29.981782913208,0,29.9812870025635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883375847.61915,30.0195970535278,50000.4609375,-0.000605725929928364,1.18638870097246E-7,1,4,13.4005146026611,4.98474636489433,30.4300002753735,-0.749588274991323,-0.112707318062646,1,-4.53260694636154E-7,,,,,,,,,,,,,,,,,,,,,30.0194110870361,30.0197830200195,50000.4609375,50000.4609375,53.521622040073,5.64420544367968,4.34948778152466,47,1,68,0,0,0.300369262695313,32.2580642700195,1,1,3,30.0194110870361,0,30.0195970535278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883375857.93027,30.0119314193726,50000.4609375,-0.000563205380932307,5.27183015138341E-5,1,4,13.4005146026611,4.9847545516994,30.4300002753735,-0.688472619955551,-0.161602320885408,10,-4.63203342165031E-5,,,,,,,,,,,,,,,,,,,,,30.0117168426514,30.0121459960937,50000.4609375,50000.4609375,53.4864487567076,5.64465602553549,4.34837293624878,53,2,68,0,0,0.298614501953125,32.2580642700195,1,1,3,30.0117168426514,0,30.0119314193726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
