[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3883315512.21822,01/19/2023,6:49 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,LSAT//LCO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.59,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3883315538.86489,399.993789672852,4999.71533203125,9.21396470803803E-5,2.08167585262094E-8,1,4,13.4005146026611,4.97787524512618,30.8999996632338,0.113829702221994,0.0169303277759798,1,-7.75162931630658E-8,,,,,,,,,,,,,,,,,,,,,399.993194580078,399.994384765625,4999.71533203125,4999.71533203125,53.4903568993037,5.6287867329925,5.25123643875122,54,1,0,0,1,0.29541015625,31.7693061828613,1,1,3,399.994384765625,0,399.993789672852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883315542.51928,399.996063232422,4999.71533203125,9.17950017361532E-5,2.5854065518507E-8,1,4,13.4005146026611,4.98718216693654,30.8999996632338,0.113707839910199,0.016869436990344,1,-1.1100529759065E-7,,,,,,,,,,,,,,,,,,,,,399.995697021484,399.996429443359,4999.71533203125,4999.71533203125,53.4188378897941,5.63787885414607,5.24654769897461,53,1,64,0,0,0.295257568359375,32.2580642700195,6,1,3,399.996429443359,0,399.996063232422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883315545.2922,400.00309753418,4999.71533203125,9.17599085999363E-5,1.03839487395119E-8,1,4,13.4005146026611,4.98720096732207,30.8999996632338,0.113665769981067,0.0168577318827772,1,-1.15278640635992E-7,,,,,,,,,,,,,,,,,,,,,399.996429443359,400.009765625,4999.71533203125,4999.71533203125,53.3989063625537,5.63844964266969,5.25278997421265,54,1,0,0,1,0.294723510742188,32.7468223571777,6,1,3,400.009765625,0,400.00309753418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883315550.07108,399.989013671875,4999.71533203125,9.17471144424478E-5,1.29771466016727E-8,1,4,13.4005146026611,4.98718765102468,30.8999996632338,0.113649290723855,0.0168566900491616,1,-1.14154958731685E-7,,,,,,,,,,,,,,,,,,,,,399.96826171875,400.009765625,4999.71533203125,4999.71533203125,53.4825406141114,5.63851704251522,5.25290966033936,54,1,0,0,1,0.294723510742188,32.7468223571777,2,1,3,399.966217041016,0,399.989013671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883315554.18094,399.937591552734,4999.71533203125,9.17663777960641E-5,1.11145600290523E-8,1,4,13.4005146026611,4.9871634062447,30.8999996632338,0.11367291165208,0.0168565453667327,1,-1.17060672282571E-7,,,,,,,,,,,,,,,,,,,,,399.908966064453,399.966217041016,4999.71533203125,4999.71533203125,53.4438500024095,5.63848364523631,5.25786352157593,54,1,0,0,1,0.294876098632812,32.2580642700195,2,1,3,399.908966064453,0,399.937591552734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883315557.96282,399.824356079102,4999.71533203125,9.17704361386546E-5,1.21606198414109E-8,1,4,13.4005146026611,4.98712627631589,30.8999996632338,0.113679221213082,0.0168406084530392,1,-1.30393885689694E-7,,,,,,,,,,,,,,,,,,,,,399.744934082031,399.903778076172,4999.71533203125,4999.71533203125,53.4469765164864,5.63834478738649,5.26033115386963,54,1,0,0,1,0.294723510742188,32.7468223571777,2,1,3,399.744934082031,0,399.824356079102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883315562.01454,399.697509765625,4999.71533203125,9.17774350301298E-5,8.06803097760347E-9,1,4,13.4005146026611,4.98706224904367,30.8999996632338,0.113685103392258,0.016846541463137,1,-1.26405380524643E-7,,,,,,,,,,,,,,,,,,,,,399.650085449219,399.744934082031,4999.71533203125,4999.71533203125,53.5610942802941,5.63870022829962,5.25498342514038,54,1,0,0,1,0.294723510742188,32.7468223571777,2,1,3,399.650085449219,0,399.697509765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883315565.87151,399.594100952148,4999.71533203125,9.17983281858143E-5,6.81883658552372E-9,1,4,13.4005146026611,4.98708543158708,30.8999996632338,0.113712671265944,0.0168441615099528,1,-1.31541250707092E-7,,,,,,,,,,,,,,,,,,,,,399.538116455078,399.650085449219,4999.71533203125,4999.71533203125,53.5564045091787,5.63838698694031,5.25665187835693,54,1,0,0,1,0.295028686523438,32.7468223571777,2,1,3,399.538116455078,0,399.594100952148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883315569.92832,399.483169555664,4999.71533203125,9.17851299875037E-5,9.15907445543305E-9,1,4,13.4005146026611,4.98700926666827,30.8999996632338,0.113693831947608,0.0168417491125406,1,-1.31223529133191E-7,,,,,,,,,,,,,,,,,,,,,399.42822265625,399.538116455078,4999.71533203125,4999.71533203125,53.6072103629288,5.63844516597167,5.26218461990356,54,1,0,0,1,0.295867919921875,32.7468223571777,2,1,3,399.42822265625,0,399.483169555664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883315573.90699,399.347290039063,4999.71533203125,9.17851579949415E-5,1.19315253272129E-8,1,4,13.4005146026611,4.98707947993566,30.8999996632338,0.11369755327067,0.0168324483008049,1,-1.3900622879543E-7,,,,,,,,,,,,,,,,,,,,,399.266357421875,399.42822265625,4999.71533203125,4999.71533203125,53.4837130568903,5.63825198543976,5.25917959213257,54,1,0,0,1,0.294952392578125,32.7468223571777,2,1,3,399.266357421875,0,399.347290039063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883315577.93515,399.192535400391,4999.71533203125,9.1780183274191E-5,1.03302867209919E-8,1,4,13.4005146026611,4.98706128307895,30.8999996632338,0.113690015270903,0.0168367568526766,1,-1.34713504424339E-7,,,,,,,,,,,,,,,,,,,,,399.127197265625,399.257873535156,4999.71533203125,4999.71533203125,53.4774600287364,5.63847630862438,5.26075983047485,54,1,0,0,1,0.296173095703125,32.7468223571777,2,1,3,399.127197265625,0,399.192535400391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
