[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3883237885.10658,01/18/2023,9:15 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,LSAT,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.8,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3883237927.39026,200.050788879395,69999.5234375,-0.00117135686363252,2.84586856693634E-7,1,4,13.4005146026611,5.00506226237075,30.2300006151199,-1.45789274693319,-0.218848604889665,1,-5.94725242368147E-7,,,,,,,,,,,,,,,,,,,,,200.050674438477,200.050903320313,69999.5234375,69999.5234375,53.1515209362172,5.64825370499335,5.41696453094482,54,1,0,0,1,0.301666259765625,32.7468223571777,1,1,3,200.050674438477,0,200.050788879395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883237930.43981,200.049766540527,69999.5234375,-0.00117136625555474,3.10214239552635E-7,1,4,13.4005146026611,5.00505790531579,30.2300006151199,-1.45791369122346,-0.218776362145875,1,-5.35494571265368E-7,,,,,,,,,,,,,,,,,,,,,200.048858642578,200.050674438477,69999.5234375,69999.5234375,53.0690591274383,5.64813761939678,5.41835355758667,54,2,0,0,1,0.304412841796875,32.7468223571777,1,1,3,200.048858642578,0,200.049766540527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883237970.34622,200.031318664551,65000.37109375,-0.00108737653249136,2.03775710660214E-7,1,4,13.4005146026611,5.00516112930487,30.2300006151199,-1.35336687420194,-0.203429670741526,1,-7.65612614950731E-7,,,,,,,,,,,,,,,,,,,,,200.030670166016,200.031967163086,65000.37109375,65000.37109375,53.0717948272556,5.64782843329902,5.41579103469849,54,1,0,0,1,0.303192138671875,33.2355842590332,1,1,3,200.030670166016,0,200.031318664551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883237974.41224,200.029914855957,65000.37109375,-0.00108742387778144,1.49778422986109E-7,1,4,13.4005146026611,5.00513910957033,30.2300006151199,-1.35342758550429,-0.203369687517058,1,-7.11346131952335E-7,,,,,,,,,,,,,,,,,,,,,200.029159545898,200.030670166016,65000.37109375,65000.37109375,53.2984670978326,5.64799734697728,5.41395807266235,54,2,0,0,1,0.300445556640625,33.2355842590332,1,1,3,200.029159545898,0,200.029914855957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883238014.3838,200.027778625488,60000.1171875,-0.00100365596282582,1.38885078262889E-7,1,4,13.4005146026611,5.00503556953209,30.2300006151199,-1.24914767698209,-0.187595717064388,1,-5.74368412739309E-7,,,,,,,,,,,,,,,,,,,,,200.022750854492,200.032806396484,60000.1171875,60000.1171875,53.2523510151979,5.64832540867945,5.41897392272949,54,1,0,0,1,0.304107666015625,33.2355842590332,1,1,3,200.032806396484,0,200.027778625488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883238018.2709,200.038314819336,60000.1171875,-0.00100366315778074,1.89400736887821E-7,1,4,13.4005146026611,5.00499303561607,30.2300006151199,-1.24913885007673,-0.187614463793114,1,-5.90144587725964E-7,,,,,,,,,,,,,,,,,,,,,200.032806396484,200.043823242187,60000.1171875,60000.1171875,53.353962722698,5.64839379309894,5.41980457305908,54,2,0,0,1,0.301437377929687,33.2355842590332,1,1,3,200.043823242187,0,200.038314819336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883238055.82087,200.048858642578,55000.17578125,-0.00091983664739857,1.62351882434561E-7,1,4,13.4005146026611,5.00500696871424,30.2300006151199,-1.14482814856349,-0.171854422760377,1,-4.67708838059234E-7,,,,,,,,,,,,,,,,,,,,,200.043716430664,200.054000854492,55000.17578125,55000.17578125,53.2574316005729,5.64878633129817,5.42095756530762,53,1,68,0,0,0.303573608398438,33.2355842590332,1,1,3,200.054000854492,0,200.048858642578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883238066.87052,200.060920715332,55000.17578125,-0.000920587097464266,1.17394704462004E-7,1,4,13.4005146026611,5.00515384415307,30.2300006151199,-1.14610062404191,-0.170053434546489,10,1.09709267236251E-6,,,,,,,,,,,,,,,,,,,,,200.060821533203,200.061019897461,55000.17578125,55000.17578125,53.244143915746,5.64831628879677,5.41719579696655,54,2,0,0,1,0.301971435546875,33.7243423461914,1,1,3,200.060821533203,0,200.060920715332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883238112.30935,200.033027648926,49999.77734375,-0.000836202245580322,9.22236151483004E-8,1,4,13.4005146026611,5.00510349403257,30.2300006151199,-1.04078838111938,-0.156076062644051,1,-2.99022197038527E-7,,,,,,,,,,,,,,,,,,,,,200.031875610352,200.0341796875,49999.77734375,49999.77734375,53.3070650115441,5.64853373675355,5.42047119140625,53,1,68,0,0,0.303115844726562,33.7243423461914,1,1,3,200.031875610352,0,200.033027648926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883238123.04954,200.027061462402,49999.77734375,-0.000836861802914495,1.2774274993932E-7,1,4,13.4005146026611,5.00505016847921,30.2300006151199,-1.04183442184019,-0.15458825752308,10,9.93078798456728E-7,,,,,,,,,,,,,,,,,,,,,200.026870727539,200.027252197266,49999.77734375,49999.77734375,53.3688136645633,5.64879501209381,5.41865396499634,54,2,0,0,1,0.303497314453125,33.7243423461914,1,1,3,200.026290893555,0,200.027061462402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
