Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3881352139.21459,300.037963867188,69999.7890625,-0.00129000585750806,3.44533242981374E-7,1,4,14.0008964538574,5.00498243809998,33.2500003278255,-1.60504281792147,-0.244381625026927,1,-4.52859286450037E-7,,,,,,,,,,,,,,,,,,,,,300.037872314453,300.038055419922,69999.7890625,69999.7890625,53.2101430751595,5.88146907211522,5.82574653625488,56,1,0,0,1,0.330734252929687,32.7468223571777,1,1,3,300.037841796875,0,300.037963867188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881352142.41413,300.038223266602,69999.7890625,-0.00129077924256733,3.37205856190561E-7,1,4,14.0008964538574,5.00504272229183,33.2500003278255,-1.60604523610282,-0.244445941299718,1,-3.83763100402474E-7,,,,,,,,,,,,,,,,,,,,,300.037841796875,300.038604736328,69999.7890625,69999.7890625,53.1581647786306,5.88097681387424,5.82995557785034,56,2,0,0,1,0.329055786132812,32.7468223571777,1,1,3,300.038604736328,0,300.038223266602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881352182.38592,300.004867553711,65000.30859375,-0.00119785732605146,3.50220748011127E-7,1,4,14.0008964538574,5.00501613157673,33.2500003278255,-1.49031691489422,-0.227502833382335,1,-8.83342451619325E-7,,,,,,,,,,,,,,,,,,,,,299.984222412109,300.025512695313,65000.30859375,65000.30859375,53.1921656192172,5.88137789286869,5.84338331222534,56,1,0,0,1,0.330810546875,33.2355842590332,1,1,3,300.025512695313,0,300.004867553711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881352186.43879,300.041152954102,65000.30859375,-0.00119760101741769,3.62568290815643E-7,1,4,14.0008964538574,5.0050282895176,33.2500003278255,-1.49004418712561,-0.227184367574053,1,-6.65713932455536E-7,,,,,,,,,,,,,,,,,,,,,300.025512695313,300.056793212891,65000.30859375,65000.30859375,53.274627427996,5.88187664165034,5.83751583099365,56,2,0,0,1,0.33050537109375,33.2355842590332,1,1,3,300.057556152344,0,300.041152954102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881352225.27339,300.136138916016,60000.47265625,-0.00110552140108034,2.48328194017834E-7,1,4,14.0008964538574,5.00486626409565,33.2500003278255,-1.37545494711926,-0.209459610245723,1,-4.15369851509934E-7,,,,,,,,,,,,,,,,,,,,,300.112640380859,300.159637451172,60000.47265625,60000.47265625,53.2906508126403,5.88251566710008,5.85058403015137,56,1,0,0,1,0.331039428710937,33.2355842590332,1,1,3,300.159637451172,0,300.136138916016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881352229.25112,300.172302246094,60000.47265625,-0.00110569469037793,2.68360230152716E-7,1,4,14.0008964538574,5.00491294075673,33.2500003278255,-1.37566225323501,-0.209667899020308,1,-5.54252055380945E-7,,,,,,,,,,,,,,,,,,,,,300.159637451172,300.184967041016,60000.47265625,60000.47265625,53.2789263848518,5.88210940049737,5.85224962234497,56,2,0,0,1,0.330352783203125,33.7243423461914,1,1,3,300.184967041016,0,300.172302246094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881352266.75267,300.213577270508,54999.984375,-0.00101364916640871,1.95159141178537E-7,1,4,14.0008964538574,5.00478721699103,33.2500003278255,-1.26107809465007,-0.192341279185815,1,-6.16060275800434E-7,,,,,,,,,,,,,,,,,,,,,300.191833496094,300.235321044922,54999.984375,54999.984375,53.2984670978326,5.88278725945582,5.88023328781128,56,1,0,0,1,0.330429077148438,33.7243423461914,1,1,3,300.235321044922,0,300.213577270508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881352270.75017,300.245513916016,54999.984375,-0.00101353141535312,2.3550031365113E-7,1,4,14.0008964538574,5.00482526183145,33.2500003278255,-1.26098964719778,-0.192027089433804,1,-3.79784867386408E-7,,,,,,,,,,,,,,,,,,,,,300.235321044922,300.255706787109,54999.984375,54999.984375,53.2730641709576,5.88232736940493,5.87960577011108,55,2,68,0,0,0.330963134765625,33.7243423461914,1,1,3,300.256225585937,0,300.245513916016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881352318.71247,300.156021118164,49999.81640625,-9.21733978110273E-4,1.61627309131205E-7,1,4,14.0008964538574,5.00468937318268,33.2500003278255,-1.14704652694003,-0.172583329721357,10,1.29816864467869E-6,,,,,,,,,,,,,,,,,,,,,300.139312744141,300.172729492188,49999.81640625,49999.81640625,53.3992971768133,5.88278125579673,5.93249082565308,56,1,0,0,1,0.33050537109375,34.2131004333496,1,1,3,300.174407958984,0,300.156021118164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881352329.3473,300.202941894531,49999.81640625,-9.21349669017026E-4,1.65589475834742E-7,1,4,14.0008964538574,5.00484081379237,33.2500003278255,-1.14630057315455,-0.174600458742584,1,-3.75523705818373E-7,,,,,,,,,,,,,,,,,,,,,300.202789306641,300.203094482422,49999.81640625,49999.81640625,53.3727218071595,5.8816052212292,5.93223190307617,56,2,0,0,1,0.330047607421875,34.2131004333496,1,1,3,300.203125,0,300.202941894531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
