[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3881323170.55303,12/27/2022,5:22 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,LAO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.74,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3881323195.10534,399.987731933594,4999.6396484375,-9.22772803633431E-5,1.48975455111959E-8,1,4,14.0008964538574,4.99686564470688,33.4299989044666,-0.114578313468202,-0.0172695520105406,1,1.06158497477806E-7,,,,,,,,,,,,,,,,,,,,,399.987457275391,399.988006591797,4999.6396484375,4999.6396484375,53.5071619124672,5.86257457403168,13.6318578720093,56,1,0,0,1,0.329742431640625,31.7693061828613,1,1,3,399.988006591797,0,399.987731933594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881323198.53716,399.98942565918,4999.6396484375,-9.22598715063217E-5,1.87639371108361E-8,1,4,14.0008964538574,4.99720636877804,33.4299989044666,-0.114567360487632,-0.0172697466991954,1,1.04685281155335E-7,,,,,,,,,,,,,,,,,,,,,399.989318847656,399.989532470703,4999.6396484375,4999.6396484375,53.4235276609095,5.87192402858564,13.6424407958984,54,1,64,0,0,0.326690673828125,31.7693061828613,6,1,3,399.989532470703,0,399.98942565918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881323200.73781,399.985137939453,4999.6396484375,-9.22680367599155E-5,9.84490688102243E-9,1,4,14.0008964538574,4.99723806683663,33.4299989044666,-0.114580294701539,-0.017259729269634,1,1.14117357886009E-7,,,,,,,,,,,,,,,,,,,,,399.980743408203,399.989532470703,4999.6396484375,4999.6396484375,53.4020328766306,5.87273235023898,13.6410350799561,56,1,0,0,1,0.325241088867188,31.7693061828613,6,1,3,399.980743408203,0,399.985137939453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881323204.38301,399.955673217773,4999.6396484375,-9.22704902789226E-5,1.08898439620731E-8,1,4,14.0008964538574,4.99722434304257,33.4299989044666,-0.11458358338071,-0.0172556292001817,1,1.17738888641969E-7,,,,,,,,,,,,,,,,,,,,,399.930603027344,399.980743408203,4999.6396484375,4999.6396484375,53.4954374846787,5.87232465385866,13.6395196914673,56,1,0,0,1,0.326385498046875,32.2580642700195,2,1,3,399.930603027344,0,399.955673217773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881323208.50433,399.871704101562,4999.6396484375,-9.22632571819948E-5,9.86604017809839E-9,1,4,14.0008964538574,4.99722507074457,33.4299989044666,-0.114574133300411,-0.0172575138762447,1,1.15125055603648E-7,,,,,,,,,,,,,,,,,,,,,399.812805175781,399.930603027344,4999.6396484375,4999.6396484375,53.4970007417172,5.87272637982155,13.648756980896,56,1,0,0,1,0.325546264648438,31.7693061828613,2,1,3,399.812805175781,0,399.871704101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881323212.50406,399.749435424805,4999.6396484375,-9.22670682058931E-5,1.24643634810587E-8,1,4,14.0008964538574,4.99724187448337,33.4299989044666,-0.114580066499467,-0.0172539553361432,1,1.18635507261684E-7,,,,,,,,,,,,,,,,,,,,,399.686065673828,399.812805175781,4999.6396484375,4999.6396484375,53.5059894696884,5.87299647743976,13.6493625640869,56,1,0,0,1,0.324935913085937,31.7693061828613,2,1,3,399.686065673828,0,399.749435424805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881323216.35458,399.589401245117,4999.6396484375,-9.22908833154849E-5,9.32387698604227E-9,1,4,14.0008964538574,4.99729203661273,33.4299989044666,-0.114612753553243,-0.0172487633511765,1,1.26629983747046E-7,,,,,,,,,,,,,,,,,,,,,399.492736816406,399.686065673828,4999.6396484375,4999.6396484375,53.5294383252653,5.87356523146012,13.6457767486572,56,1,0,0,1,0.329055786132812,32.7468223571777,2,1,3,399.492736816406,0,399.589401245117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881323220.35555,399.367858886719,4999.6396484375,-9.22790894120173E-5,1.09518469228174E-8,1,4,14.0008964538574,4.99721440098471,33.4299989044666,-0.114596544871767,-0.0172400588541732,1,1.31547144676218E-7,,,,,,,,,,,,,,,,,,,,,399.242980957031,399.492736816406,4999.6396484375,4999.6396484375,53.5376454247172,5.87399481016577,13.653712272644,56,1,0,0,1,0.324935913085937,32.2580642700195,2,1,3,399.242980957031,0,399.367858886719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881323224.37182,399.126663208008,4999.6396484375,-9.22902546422374E-5,1.08432077464038E-8,1,4,14.0008964538574,4.99720887427271,33.4299989044666,-0.114609079018587,-0.0172497145380756,1,1.25444681896743E-7,,,,,,,,,,,,,,,,,,,,,399.010345458984,399.242980957031,4999.6396484375,4999.6396484375,53.4813681713326,5.87359256002852,13.657829284668,56,1,0,0,1,0.326690673828125,32.2580642700195,2,1,3,399.010345458984,0,399.126663208008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881323228.3848,398.886444091797,4999.6396484375,-9.22851027206184E-5,1.03929706143924E-8,1,4,14.0008964538574,4.99721945314679,33.4299989044666,-0.114604025457019,-0.0172421892483897,1,1.30764345044659E-7,,,,,,,,,,,,,,,,,,,,,398.762542724609,399.010345458984,4999.6396484375,4999.6396484375,53.6138542053422,5.87348939743358,13.6510076522827,56,1,0,0,1,0.329513549804687,31.2805480957031,2,1,3,398.762542724609,0,398.886444091797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
