[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3881338643.97406,12/27/2022,9:40 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,LAO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.74,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3881338780.4444,10.0002555847168,70000.328125,-0.00118973765949549,6.36652676466542E-7,1,4,14.0008964538574,4.99571334364673,32.9700000584126,-1.47631039467903,-0.225739643081677,1,-1.17263818692762E-6,,,,,,,,,,,,,,,,,,,,,10.0001878738403,10.0003232955933,70000.328125,70000.328125,53.9468279545346,5.87691087850644,3.80657052993774,36,1,100,0,0,0.32684326171875,31.7693061828613,1,1,3,10.0003786087036,0,10.0002555847168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881338789.58015,10.0002956390381,70000.328125,-0.00121679664844873,3.69315308176721E-5,1,4,14.0008964538574,4.99571234946862,32.9700000584126,-1.50823701775218,-0.241733920733843,10,-9.95007890730636E-6,,,,,,,,,,,,,,,,,,,,,10.0002546310425,10.0003366470337,70000.328125,70000.328125,54.0183469640442,5.87738760655769,3.79926896095276,50,2,68,0,0,0.3271484375,32.2580642700195,1,1,3,10.0004053115845,0,10.0002956390381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881338835.79429,9.99938297271729,65000.421875,-0.00108508024304227,0.000101619753309013,1,4,14.0008964538574,4.99562923446389,32.9700000584126,-1.36378378237314,-0.0915157759953531,100,9.10811386390443E-5,,,,,,,,,,,,,,,,,,,,,9.99921226501465,9.99955368041992,65000.421875,65000.421875,54.0402325625826,5.87774069838309,3.82187724113464,50,1,68,0,0,0.32623291015625,32.2580642700195,1,1,3,9.99955368041992,0,9.99938297271729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881338846.34387,9.99981117248535,65000.421875,-0.00109245977192877,7.69108836711677E-5,1,4,14.0008964538574,4.99557079580503,32.9700000584126,-1.3443733201933,-0.280833398543756,1000,-6.03507705067963E-5,,,,,,,,,,,,,,,,,,,,,9.99971485137939,9.99990749359131,65000.421875,65000.421875,53.9268964272942,5.87747845054252,3.82316279411316,56,2,0,0,1,0.3271484375,31.7693061828613,1,1,3,9.99990749359131,0,9.99981117248535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881338893.13679,9.99975204467773,60000.34375,-0.000976885477761473,6.01873932767017E-5,1,4,14.0008964538574,4.99553636064354,32.9700000584126,-1.20382142840596,-0.240030431239597,10,-4.50293858930677E-5,,,,,,,,,,,,,,,,,,,,,9.99954128265381,9.99996280670166,60000.34375,60000.34375,54.0433590766596,5.87722015762112,3.82320976257324,45,1,68,0,0,0.325469970703125,32.7468223571777,1,1,3,10.0000553131104,0,9.99975204467773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881338903.66781,9.99997663497925,60000.34375,-0.000979818090872539,0.000157870189979264,1,4,14.0008964538574,4.99553022230257,32.9700000584126,-1.19217171777652,-0.341221704289724,100,-0.000126124848321448,,,,,,,,,,,,,,,,,,,,,9.99993991851807,10.0000133514404,60000.34375,60000.34375,54.1144872719096,5.87771122370371,3.83503723144531,51,2,68,0,0,0.325241088867188,32.7468223571777,1,1,3,10.0000133514404,0,9.99997663497925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881338949.92363,9.99990892410278,55000.26171875,-0.000980886637079689,5.08452282855233E-5,1,4,14.0008964538574,4.99537176972549,32.9700000584126,-1.22037413882059,-0.164123725242418,1000,1.67383019196335E-5,,,,,,,,,,,,,,,,,,,,,9.99989986419678,9.99991798400879,55000.26171875,55000.26171875,53.9116546711692,5.87709422120194,3.84376192092895,56,1,0,0,1,0.326004028320313,32.7468223571777,1,1,3,9.99991798400879,0,9.99990892410278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881338960.45839,9.99978017807007,55000.26171875,-0.000918373520735938,4.78624182058083E-5,1,4,14.0008964538574,4.99553560821727,32.9700000584126,-1.14136303666071,-0.162147870217311,10,8.84082259123412E-6,,,,,,,,,,,,,,,,,,,,,9.99970531463623,9.99985504150391,55000.26171875,55000.26171875,53.5907961640249,5.87708291039411,3.84547734260559,56,2,0,0,1,0.330429077148438,32.7468223571777,1,1,3,9.99970531463623,0,9.99978017807007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881338999.02474,9.99940776824951,50000.4453125,-0.000825193305464705,1.39517410156136E-5,1,4,14.0008964538574,4.99538421299353,32.9700000584126,-1.02490892387801,-0.149675060235073,10,4.73233576806872E-6,,,,,,,,,,,,,,,,,,,,,9.99905872344971,9.99975681304932,50000.4453125,50000.4453125,53.8483427611115,5.87730563944468,3.84850430488586,46,1,68,0,0,0.326156616210937,33.2355842590332,1,1,3,9.99905872344971,0,9.99940776824951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881339009.76485,9.99847984313965,50000.4453125,-0.000829096607580184,1.48622329482926E-5,1,4,14.0008964538574,4.99539392023932,32.9700000584126,-1.03135779762675,-0.139862808708857,100,1.32326523349471E-5,,,,,,,,,,,,,,,,,,,,,9.99846935272217,9.99849033355713,50000.4453125,50000.4453125,53.8846884872557,5.87715878774378,3.84767031669617,56,2,0,0,1,0.328903198242188,33.2355842590332,1,1,3,9.99846935272217,0,9.99847984313965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881339055.88782,9.9968695640564,45000.390625,-0.000755431683057984,6.26047767977748E-6,1,4,14.0008964538574,4.99532121397467,32.9700000584126,-0.937836734688891,-0.13971889293959,10,2.15666757113364E-6,,,,,,,,,,,,,,,,,,,,,9.99639797210693,9.99734115600586,45000.390625,45000.390625,53.9292413128519,5.87648175976423,3.84900188446045,48,1,68,0,0,0.325775146484375,33.2355842590332,1,1,3,9.99639797210693,0,9.9968695640564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881339066.28254,9.99360370635986,45000.390625,-0.000735834892872538,0.000114098963368301,1,4,14.0008964538574,4.99535206401304,32.9700000584126,-0.911228614651456,-0.151154429783815,100,-1.00343913695346E-5,,,,,,,,,,,,,,,,,,,,,9.99335956573486,9.99384784698486,45000.390625,45000.390625,53.8241122770153,5.87740888809556,3.84640622138977,49,2,68,0,0,0.326690673828125,33.2355842590332,1,1,3,9.993239402771,0,9.99360370635986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881339112.18766,9.99652433395386,40000.25,-0.000344719148077962,0.000175954041681128,1,4,14.0008964538574,4.99526817377539,32.9700000584126,-0.434015769985431,-0.0238096741415183,1000,3.31752516844953E-5,,,,,,,,,,,,,,,,,,,,,9.99580192565918,9.99724674224854,40000.25,40000.25,53.8284112338711,5.87730175701312,3.84844207763672,56,1,0,0,1,0.325164794921875,33.2355842590332,1,1,3,9.99580192565918,0,9.99652433395386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881339122.42217,9.9954719543457,40000.25,-0.000556188495456492,6.17408398649638E-5,1,4,14.0008964538574,4.99527196561301,32.9700000584126,-0.68283799925533,-0.15314459853499,10,-3.89291250316773E-5,,,,,,,,,,,,,,,,,,,,,9.99537754058838,9.99556636810303,40000.25,40000.25,53.7733064232653,5.87644230663306,3.83618807792664,53,2,68,0,0,0.32806396484375,33.7243423461914,1,1,3,9.99556636810303,0,9.9954719543457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881339167.47041,9.99862003326416,35000.1328125,-0.00046351388924138,0.000159943806210009,1,4,14.0008964538574,4.99522906250955,32.9700000584126,-0.58909108693601,0.00428711292319894,100,7.38623856169282E-5,,,,,,,,,,,,,,,,,,,,,9.99769973754883,9.99954032897949,35000.1328125,35000.1328125,53.8979761720826,5.87705652838791,3.82798767089844,51,1,68,0,0,0.325851440429687,33.7243423461914,1,1,3,9.99769973754883,0,9.99862003326416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881339178.23761,9.99858951568604,35000.1328125,-0.000587941424819215,9.46186676389907E-5,1,4,14.0008964538574,4.99523636747228,32.9700000584126,-0.708847139309125,-0.247251943820271,1000,-0.000109945668132919,,,,,,,,,,,,,,,,,,,,,9.99837398529053,9.99880504608154,35000.1328125,35000.1328125,53.7256270835922,5.87728295432193,3.82541584968567,56,2,0,0,1,0.3271484375,33.2355842590332,1,1,3,9.99880504608154,0,9.99858951568604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881339223.21401,9.99994659423828,29999.927734375,-0.000495784623243193,1.18024466479929E-7,1,4,14.0008964538574,4.99525430614863,32.9700000584126,-0.615337845413868,-0.0926587167387332,100,6.38639238513342E-7,,,,,,,,,,,,,,,,,,,,,9.99961662292481,10.0002765655518,29999.927734375,29999.927734375,53.6607519164961,5.87607690352696,3.81958723068237,56,1,0,0,1,0.327377319335937,33.2355842590332,1,1,3,9.99961662292481,0,9.99994659423828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881339227.20773,9.99963283538818,29999.927734375,-0.000499570577618495,2.7924176638171E-5,1,4,14.0008964538574,4.99521721947056,32.9700000584126,-0.626708665134588,-0.0493995912108804,100,3.60744935934348E-5,,,,,,,,,,,,,,,,,,,,,9.99961662292481,9.99964904785156,29999.927734375,29999.927734375,53.5173230832172,5.87659147355231,3.82552576065063,56,2,0,0,1,0.326766967773438,33.2355842590332,1,1,3,9.99964904785156,0,9.99963283538818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3881339274.06712,9.99969100952148,24999.71875,-0.000411629853422095,7.02839254519846E-8,1,4,14.0008964538574,4.99518826420832,32.9700000584126,-0.51085329517145,-0.0771089875428177,10,3.85467536093786E-7,,,,,,,,,,,,,,,,,,,,,9.99967670440674,9.99970531463623,24999.71875,24999.71875,53.7494667534288,5.87614249413576,3.82472372055054,56,1,0,0,1,0.3265380859375,33.2355842590332,1,1,3,9.99967670440674,0,9.99969100952148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
