Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3883202242.31754,399.987030029297,4999.48876953125,-8.42744497961651E-5,1.26781580876275E-8,1,4,13.4005146026611,5.00894293712212,30.57000041008,-0.105030746407752,-0.0155786949819137,1,1.04602316475001E-7,,,,,,,,,,,,,,,,,,,,,399.986419677734,399.987640380859,4999.48876953125,4999.48876953125,53.4215735896114,5.62152592412548,4.87145853042603,54,1,0,0,1,0.302658081054687,32.7468223571777,1,1,3,399.987640380859,0,399.987030029297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202245.67085,399.989929199219,4999.48876953125,-8.42604130848635E-5,3.42481788366537E-8,1,4,13.4005146026611,5.00899139253175,30.57000041008,-0.105023008441608,-0.0155205854484214,1,1.49305422862996E-7,,,,,,,,,,,,,,,,,,,,,399.989593505859,399.990264892578,4999.48876953125,4999.48876953125,53.3441923662076,5.63743549876269,4.8796877861023,52,1,64,0,0,0.311508178710937,31.7693061828613,6,1,3,399.990264892578,0,399.989929199219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202248.5103,399.98095703125,4999.48876953125,-8.42365173288863E-5,1.11137472493633E-8,1,4,13.4005146026611,5.00898117495609,30.57000041008,-0.104984156494436,-0.0155747565848514,1,1.02221875809621E-7,,,,,,,,,,,,,,,,,,,,,399.971649169922,399.990264892578,4999.48876953125,4999.48876953125,53.4266541749864,5.63697328366659,4.87722969055176,54,1,0,0,1,0.310134887695313,32.2580642700195,6,1,3,399.971649169922,0,399.98095703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202253.08767,399.940292358398,4999.48876953125,-8.42482151635913E-5,9.45909663642039E-9,1,4,13.4005146026611,5.00897770597983,30.57000041008,-0.104999374650846,-0.0155719526527293,1,1.06209914111044E-7,,,,,,,,,,,,,,,,,,,,,399.908935546875,399.971649169922,4999.48876953125,4999.48876953125,53.455574430198,5.63712655371792,4.88088941574097,54,1,0,0,1,0.30303955078125,32.7468223571777,2,1,3,399.9052734375,0,399.940292358398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202257.11928,399.852920532227,4999.48876953125,-8.42445644488025E-5,1.47211492939711E-8,1,4,13.4005146026611,5.00901543428266,30.57000041008,-0.104996719022153,-0.0155661670660652,1,1.10438336212553E-7,,,,,,,,,,,,,,,,,,,,,399.800567626953,399.9052734375,4999.48876953125,4999.48876953125,53.4610458298326,5.63705655279242,4.88022994995117,54,1,0,0,1,0.3106689453125,32.7468223571777,2,1,3,399.800567626953,0,399.852920532227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202261.0063,399.706909179687,4999.48876953125,-8.42551637971805E-5,1.19935355858417E-8,1,4,13.4005146026611,5.00897436584935,30.57000041008,-0.105009277142899,-0.0155642635497527,1,1.13408405888306E-7,,,,,,,,,,,,,,,,,,,,,399.613250732422,399.800567626953,4999.48876953125,4999.48876953125,53.4540111731595,5.63729475093343,4.88692426681519,54,1,0,0,1,0.303573608398438,32.7468223571777,2,1,3,399.613250732422,0,399.706909179687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202265.05811,399.513168334961,4999.48876953125,-8.42488057158574E-5,1.10468722570949E-8,1,4,13.4005146026611,5.00895460827068,30.57000041008,-0.105000351653267,-0.0155658271117894,1,1.11133622601207E-7,,,,,,,,,,,,,,,,,,,,,399.4130859375,399.613250732422,4999.48876953125,4999.48876953125,53.4293898748037,5.63733726978472,4.89060068130493,54,1,0,0,1,0.30303955078125,32.7468223571777,2,1,3,399.4130859375,0,399.513168334961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202269.07115,399.292755126953,4999.48876953125,-8.425890703445E-5,1.54808581069253E-8,1,4,13.4005146026611,5.00899171775655,30.57000041008,-0.105013990761608,-0.0155681058886857,1,1.10945300148707E-7,,,,,,,,,,,,,,,,,,,,,399.172424316406,399.4130859375,4999.48876953125,4999.48876953125,53.4731610718807,5.63741766133589,4.89445829391479,54,1,0,0,1,0.304107666015625,33.2355842590332,2,1,3,399.172424316406,0,399.292755126953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202273.10011,399.031234741211,4999.48876953125,-8.42513145734719E-5,1.09266565909073E-8,1,4,13.4005146026611,5.00896441213596,30.57000041008,-0.105004860617842,-0.0155590139481432,1,1.17010823146846E-7,,,,,,,,,,,,,,,,,,,,,398.902679443359,399.159790039063,4999.48876953125,4999.48876953125,53.4672988579864,5.63736285367076,4.88927841186523,54,1,0,0,1,0.31005859375,33.2355842590332,2,1,3,398.902679443359,0,399.031234741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202277.12157,398.755432128906,4999.48876953125,-8.42560911901043E-5,9.55512682870397E-9,1,4,13.4005146026611,5.00897838112233,30.57000041008,-0.105010177677821,-0.0155669453207151,1,1.11408956786498E-7,,,,,,,,,,,,,,,,,,,,,398.608184814453,398.902679443359,4999.48876953125,4999.48876953125,53.3649055219672,5.63742689642356,4.89828538894653,54,1,0,0,1,0.311355590820313,32.2580642700195,2,1,3,398.608184814453,0,398.755432128906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202281.25864,398.445999145508,4999.48876953125,-8.42232164078393E-5,6.08461697265657E-8,1,4,13.4005146026611,5.00890601679206,30.57000041008,-0.104972023126285,-0.0155275522136447,1,1.37853244500199E-7,,,,,,,,,,,,,,,,,,,,,398.299102783203,398.592895507812,4999.48876953125,4999.48876953125,53.5118516835826,5.63664809711323,4.90001916885376,53,1,64,0,0,0.2972412109375,32.7468223571777,2,1,3,398.299102783203,0,398.445999145508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202285.19772,398.125762939453,4999.48876953125,-8.42928738474083E-5,3.70987781764063E-8,1,4,13.4005146026611,5.00889878981083,30.57000041008,-0.105053829439232,-0.0155724481820106,1,1.12217732578065E-7,,,,,,,,,,,,,,,,,,,,,397.952423095703,398.299102783203,4999.48876953125,4999.48876953125,53.5915777925441,5.63730985927504,4.89695930480957,54,1,0,0,1,0.308685302734375,33.2355842590332,2,1,3,397.952423095703,0,398.125762939453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202289.24582,397.779205322266,4999.48876953125,-8.42539506249823E-5,1.12463355622814E-8,1,4,13.4005146026611,5.00890321574806,30.57000041008,-0.105006811222599,-0.0155561723341018,1,1.19472457177821E-7,,,,,,,,,,,,,,,,,,,,,397.605987548828,397.952423095703,4999.48876953125,4999.48876953125,53.4790232857749,5.63732301756904,4.9055438041687,54,1,0,0,1,0.3033447265625,33.2355842590332,2,1,3,397.605987548828,0,397.779205322266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202293.25501,397.457244873047,4999.48876953125,-8.42594476205821E-5,9.62984327908901E-9,1,4,13.4005146026611,5.00889295695947,30.57000041008,-0.105013010709605,-0.0155594884498711,1,1.17597726565201E-7,,,,,,,,,,,,,,,,,,,,,397.308502197266,397.605987548828,4999.48876953125,4999.48876953125,53.5388178674961,5.63691153955033,4.90660285949707,54,1,0,0,1,0.302886962890625,33.2355842590332,2,1,3,397.296173095703,0,397.457244873047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202297.28355,397.141296386719,4999.48876953125,-8.42508924037636E-5,1.18416880648345E-8,1,4,13.4005146026611,5.00886323916437,30.57000041008,-0.105004500966779,-0.0155375693994608,1,1.33805417145908E-7,,,,,,,,,,,,,,,,,,,,,396.986419677734,397.296173095703,4999.48876953125,4999.48876953125,53.4696437435441,5.63713247318027,4.90735626220703,54,1,0,0,1,0.295791625976562,33.2355842590332,2,1,3,396.986419677734,0,397.141296386719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202301.31538,396.800827026367,4999.48876953125,-8.4256156021784E-5,1.25580653182985E-8,1,4,13.4005146026611,5.00886855590308,30.57000041008,-0.105009926086575,-0.0155471923452445,1,1.26888478159303E-7,,,,,,,,,,,,,,,,,,,,,396.629211425781,396.972442626953,4999.48876953125,4999.48876953125,53.4989548130153,5.63708227975626,4.90847158432007,54,1,0,0,1,0.311126708984375,32.7468223571777,2,1,3,396.629211425781,0,396.800827026367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202305.33304,396.451293945313,4999.48876953125,-8.43334515817752E-5,1.54860193510592E-7,1,4,13.4005146026611,5.00887514200879,30.57000041008,-0.10512755173268,-0.0154204506344504,1,2.40190021733602E-7,,,,,,,,,,,,,,,,,,,,,396.273376464844,396.629211425781,4999.48876953125,4999.48876953125,53.4872303852268,5.63684601294949,4.91649484634399,54,1,0,0,1,0.311203002929687,33.2355842590332,2,1,3,396.273376464844,0,396.451293945313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202309.47861,396.083282470703,4999.48876953125,-8.42568402992744E-5,1.41138805738706E-8,1,4,13.4005146026611,5.00888180303385,30.57000041008,-0.105011945553296,-0.0155421719917284,1,1.31066002485653E-7,,,,,,,,,,,,,,,,,,,,,395.906707763672,396.259857177734,4999.48876953125,4999.48876953125,53.5614850945537,5.63739583852037,4.91475963592529,53,1,64,0,0,0.3118896484375,33.2355842590332,2,1,3,395.906707763672,0,396.083282470703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202313.48421,395.733749389648,4999.48876953125,-8.42562521152261E-5,1.34720433221361E-8,1,4,13.4005146026611,5.00885715670157,30.57000041008,-0.105009761243053,-0.0155468304805179,1,1.27153581209838E-7,,,,,,,,,,,,,,,,,,,,,395.560791015625,395.906707763672,4999.48876953125,4999.48876953125,53.5360821676787,5.63742709309352,4.92223501205444,54,1,0,0,1,0.304183959960937,33.2355842590332,2,1,3,395.560791015625,0,395.733749389648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202317.52664,395.364730834961,4999.48876953125,-8.4253987579483E-5,1.18790170341736E-8,1,4,13.4005146026611,5.00882156125789,30.57000041008,-0.105006003488414,-0.0155455397329753,1,1.27726794880742E-7,,,,,,,,,,,,,,,,,,,,,395.168670654297,395.560791015625,4999.48876953125,4999.48876953125,53.4868395709672,5.63685580760763,4.91735124588013,54,1,0,0,1,0.310821533203125,33.2355842590332,2,1,3,395.168670654297,0,395.364730834961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202321.5475,394.993927001953,4999.48876953125,-8.42593381141452E-5,1.30945832539195E-8,1,4,13.4005146026611,5.00884031822575,30.57000041008,-0.105012794323454,-0.0155494637167002,1,1.25443300838155E-7,,,,,,,,,,,,,,,,,,,,,394.819183349609,395.168670654297,4999.48876953125,4999.48876953125,53.4137573044191,5.63714156719778,4.91923522949219,54,1,0,0,1,0.303955078125,33.2355842590332,2,1,3,394.819183349609,0,394.993927001953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202325.52577,394.623046875,4999.48876953125,-8.42524091301036E-5,9.05729387668112E-9,1,4,13.4005146026611,5.00882013294519,30.57000041008,-0.105003784884744,-0.0155466429588783,1,1.26600296580188E-7,,,,,,,,,,,,,,,,,,,,,394.426910400391,394.819183349609,4999.48876953125,4999.48876953125,53.5349097248999,5.63719005052497,4.92273902893066,54,1,0,0,1,0.3094482421875,33.2355842590332,2,1,3,394.426910400391,0,394.623046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202329.55618,394.232681274414,4999.48876953125,-8.42504200852974E-5,1.20493379688415E-8,1,4,13.4005146026611,5.00879954925153,30.57000041008,-0.105001407661782,-0.0155414753371604,1,1.30378413568041E-7,,,,,,,,,,,,,,,,,,,,,394.038452148438,394.426910400391,4999.48876953125,4999.48876953125,53.5224036685922,5.63724789082202,4.92434215545654,54,1,0,0,1,0.295867919921875,33.7243423461914,2,1,3,394.02490234375,0,394.232681274414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202333.55355,393.840682983398,4999.48876953125,-8.42591487882038E-5,1.47294086359399E-8,1,4,13.4005146026611,5.00882946171856,30.57000041008,-0.105011930497945,-0.0155514523715609,1,1.23781175179003E-7,,,,,,,,,,,,,,,,,,,,,393.656463623047,394.02490234375,4999.48876953125,4999.48876953125,53.3891360060633,5.63732716260475,4.9264817237854,54,1,0,0,1,0.3045654296875,33.2355842590332,2,1,3,393.645568847656,0,393.840682983398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202337.86813,393.490737915039,4999.48876953125,-8.42773292376035E-5,1.57466409239951E-8,1,4,13.4005146026611,5.00871824556248,30.5499993264675,-0.105032104054629,-0.0155491461795075,1,1.27964439692209E-7,,,,,,,,,,,,,,,,,,,,,393.367828369141,393.613647460937,4999.48876953125,4999.48876953125,53.501299698573,5.63748768455494,4.92970275878906,52,1,64,0,0,0.30303955078125,33.2355842590332,2,1,3,393.367828369141,0,393.490737915039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202341.59572,393.16242980957,4999.48876953125,-8.42788732170583E-5,1.61538070414573E-8,1,4,13.4005146026611,5.00876720266233,30.5499993264675,-0.105036188312102,-0.0155447955906753,1,1.31857523999179E-7,,,,,,,,,,,,,,,,,,,,,392.973358154297,393.351501464844,4999.48876953125,4999.48876953125,53.4688621150249,5.63716417254887,4.92984533309937,54,1,0,0,1,0.2972412109375,33.2355842590332,2,1,3,392.973358154297,0,393.16242980957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202345.65224,392.789794921875,4999.48876953125,-8.42843778193644E-5,1.75574872957679E-8,1,4,13.4005146026611,5.00876543482993,30.5499993264675,-0.105042855471122,-0.0155467482711337,1,1.31107666571763E-7,,,,,,,,,,,,,,,,,,,,,392.625335693359,392.954254150391,4999.48876953125,4999.48876953125,53.5243577398903,5.63690376119942,4.93556547164917,54,1,0,0,1,0.298385620117188,33.2355842590332,2,1,3,392.625335693359,0,392.789794921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202349.66251,392.425933837891,4999.48876953125,-8.42696851234386E-5,1.60327046494605E-8,1,4,13.4005146026611,5.00879204778705,30.5499993264675,-0.105025373258559,-0.0155438241758975,1,1.31349149544988E-7,,,,,,,,,,,,,,,,,,,,,392.226531982422,392.625335693359,4999.48876953125,4999.48876953125,53.5188863402557,5.63721148460635,4.9369683265686,54,1,0,0,1,0.3033447265625,33.7243423461914,2,1,3,392.226531982422,0,392.425933837891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202353.71142,392.050491333008,4999.48876953125,-8.42743862795104E-5,1.38201896665076E-8,1,4,13.4005146026611,5.00877244377924,30.5499993264675,-0.105031839646942,-0.0155367058351837,1,1.37697113389123E-7,,,,,,,,,,,,,,,,,,,,,391.874450683594,392.226531982422,4999.48876953125,4999.48876953125,53.5052078411691,5.63760496366014,4.93631649017334,54,1,0,0,1,0.296630859375,33.2355842590332,2,1,3,391.874450683594,0,392.050491333008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202357.73623,391.680877685547,4999.48876953125,-8.42770834470437E-5,1.86019679939259E-8,1,4,13.4005146026611,5.00875512071086,30.5499993264675,-0.105034679251568,-0.0155372228711304,1,1.37625363569733E-7,,,,,,,,,,,,,,,,,,,,,391.4873046875,391.874450683594,4999.48876953125,4999.48876953125,53.5208404115537,5.63698563307258,4.94486331939697,54,1,0,0,1,0.304107666015625,33.7243423461914,2,1,3,391.4873046875,0,391.680877685547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3883202361.79287,391.318542480469,4999.48876953125,-8.42784294692915E-5,1.35748471876029E-8,1,4,13.4005146026611,5.00874170707555,30.5499993264675,-0.105034693123028,-0.0155459061801894,1,1.30811059754211E-7,,,,,,,,,,,,,,,,,,,,,391.176788330078,391.460296630859,4999.48876953125,4999.48876953125,53.3875727490249,5.63715253661495,4.94660663604736,54,1,0,0,1,0.311508178710937,33.2355842590332,2,1,3,391.176788330078,0,391.318542480469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
