Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3877825596.77503,350.056594848633,69999.828125,-4.69021071801033E-4,1.62085771447701E-7,1,4,13.4005146026611,4.99770864346791,33.1399999558926,-0.582659724886647,-0.0867334408460567,1,3.37702169825539E-7,,,,,,,,,,,,,,,,,,,,,350.056549072266,350.056640625,69999.828125,69999.828125,53.1741881632749,5.63898243148651,7.291672706604,54,1,0,0,1,0.296554565429687,33.7243423461914,1,1,3,350.056549072266,0,350.056594848633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3877825635.13657,350.01171875,65000.20703125,-4.35816144232747E-4,1.52367536037928E-7,1,4,13.4005146026611,4.99769280205286,33.1399999558926,-0.541386160363714,-0.0807333640311059,1,2.00537103569775E-7,,,,,,,,,,,,,,,,,,,,,349.996917724609,350.026519775391,65000.20703125,65000.20703125,53.2636846287268,5.63914593489503,7.29081869125366,53,1,68,0,0,0.298309326171875,32.7468223571777,1,1,3,350.026519775391,0,350.01171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3877825674.23574,349.983337402344,60000.41015625,-4.02927623967962E-4,9.91859867164822E-8,1,4,13.4005146026611,4.99771417383498,33.1399999558926,-0.500536114588406,-0.0746263875439849,1,1.97434382993229E-7,,,,,,,,,,,,,,,,,,,,,349.982574462891,349.984100341797,60000.41015625,60000.41015625,53.2703284711402,5.63895694496291,7.29927587509155,53,1,68,0,0,0.304183959960937,34.7018585205078,1,1,3,349.982574462891,0,349.983337402344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3877825721.11358,350.026351928711,54999.93359375,-3.70255808307095E-4,1.14321380950803E-7,1,4,13.4005146026611,4.99768276318762,33.1399999558926,-0.460012351110396,-0.0681281632546775,10,5.40852093998488E-7,,,,,,,,,,,,,,,,,,,,,350.01123046875,350.041473388672,54999.93359375,54999.93359375,53.2468796155633,5.63942681259305,7.30291652679443,54,1,0,0,1,0.297012329101562,34.7018585205078,1,1,3,350.041473388672,0,350.026351928711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3877825768.80556,349.990570068359,49999.6015625,-3.37100532714125E-4,6.03228177146105E-8,1,4,13.4005146026611,4.99769326475188,33.1399999558926,-0.418751509982375,-0.0624914237453763,1,1.19078427235452E-7,,,,,,,,,,,,,,,,,,,,,349.979278564453,350.001861572266,49999.6015625,49999.6015625,53.4215735896114,5.63919965704171,7.29997873306274,54,1,0,0,1,0.296707153320313,34.7018585205078,1,1,3,350.001861572266,0,349.990570068359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3877825807.74779,349.97639465332,44999.8359375,-3.04210321631699E-4,4.19340633971867E-8,1,4,13.4005146026611,4.99769261418667,33.1399999558926,-0.37790855385718,-0.0563017151419192,1,1.81958162479149E-7,,,,,,,,,,,,,,,,,,,,,349.962890625,349.989898681641,44999.8359375,44999.8359375,53.435252088698,5.63934665153916,7.30163860321045,54,1,0,0,1,0.297012329101562,34.7018585205078,1,1,3,349.989898681641,0,349.97639465332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3877825846.93237,350.005599975586,39999.6328125,-2.7127324188902E-4,4.90283925377597E-8,1,4,13.4005146026611,4.99775460133368,33.1399999558926,-0.336992102488309,-0.0502459338841732,1,1.30719192488038E-7,,,,,,,,,,,,,,,,,,,,,349.986755371094,350.024444580078,39999.6328125,39999.6328125,53.482931428371,5.63953397341228,7.30438661575317,54,1,0,0,1,0.30364990234375,34.7018585205078,1,1,3,350.024444580078,0,350.005599975586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3877825886.3632,350.001098632812,34999.70703125,-2.38337723232765E-4,5.10077067988884E-8,1,4,13.4005146026611,4.99772330025008,33.1399999558926,-0.29607750806337,-0.0441284061401366,1,1.28323713407794E-7,,,,,,,,,,,,,,,,,,,,,349.9873046875,350.014892578125,34999.70703125,34999.70703125,53.5110700550634,5.63940461186264,7.30956792831421,54,1,0,0,1,0.3033447265625,34.7018585205078,1,1,3,350.014892578125,0,350.001098632812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3877825926.22806,350.049789428711,29999.73828125,-2.05463227940218E-4,3.43608428450395E-8,1,4,13.4005146026611,4.99770361026156,33.1399999558926,-0.255241747802821,-0.0380125125206294,1,1.33927290394912E-7,,,,,,,,,,,,,,,,,,,,,350.04931640625,350.050262451172,29999.73828125,29999.73828125,53.607991991448,5.63939943581081,7.30790662765503,54,1,0,0,1,0.29632568359375,35.190616607666,1,1,3,350.04931640625,0,350.049789428711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3877825965.24958,349.940933227539,24999.76953125,-1.72553180548752E-4,2.7217888744543E-8,1,4,13.4005146026611,4.99771390612751,33.1399999558926,-0.214356242427893,-0.0319427252698809,1,9.73645188324014E-8,,,,,,,,,,,,,,,,,,,,,349.926879882812,349.954986572266,24999.76953125,24999.76953125,53.5587493947364,5.63953781440804,7.31085872650146,54,1,0,0,1,0.296859741210937,35.190616607666,1,1,3,349.954986572266,0,349.940933227539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
