Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3877762571.20396,349.919509887695,10000.3623046875,-6.56240181896002E-5,1.63507347817562E-8,1,4,13.4005146026611,5.00902110108336,33.1399999558926,-0.081794965489257,-0.0120888035899264,1,1.15559166539055E-7,,,,,,,,,,,,,,,,,,,,,349.918975830078,349.920043945313,10000.3623046875,10000.3623046875,53.4629999011307,5.63882354383209,6.32615041732788,54,1,0,0,1,0.309524536132812,33.2355842590332,1,1,3,349.920043945313,0,349.919509887695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3877762574.40359,349.923416137695,10000.3623046875,-6.56103330624185E-5,2.1047805078883E-8,1,4,13.4005146026611,5.00932875103072,33.1399999558926,-0.0817823816285992,-0.0121043384760907,1,1.01878763741712E-7,,,,,,,,,,,,,,,,,,,,,349.922760009766,349.924072265625,10000.3623046875,10000.3623046875,53.3582616795537,5.63621780997311,6.33095502853394,52,1,64,0,0,0.305404663085937,33.2355842590332,6,1,3,349.924072265625,0,349.923416137695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3877762577.33069,349.940231323242,10000.3623046875,-6.55991766131634E-5,1.28083770191742E-8,1,4,13.4005146026611,5.00897733000161,33.1399999558926,-0.0817576860916695,-0.0121196286461557,1,8.69868134275664E-8,,,,,,,,,,,,,,,,,,,,,349.924072265625,349.956390380859,10000.3623046875,10000.3623046875,53.4387694170345,5.63891511282012,6.33396291732788,54,1,0,0,1,0.303421020507812,33.2355842590332,6,1,3,349.956390380859,0,349.940231323242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3877762581.92266,349.968292236328,10000.3623046875,-6.56138694704206E-5,1.27326013267676E-8,1,4,13.4005146026611,5.00896118502246,33.1399999558926,-0.0817763166201718,-0.0121176970430227,1,9.06911188912829E-8,,,,,,,,,,,,,,,,,,,,,349.958465576172,349.978118896484,10000.3623046875,10000.3623046875,53.4954374846787,5.63865450653913,6.33749532699585,54,1,0,0,1,0.303726196289063,33.7243423461914,2,1,3,349.978118896484,0,349.968292236328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3877762585.94352,349.958480834961,10000.3623046875,-6.56036773043717E-5,1.31256647711072E-8,1,4,13.4005146026611,5.00899844432453,33.1399999558926,-0.0817653408032023,-0.0121100783999908,1,9.538160642068E-8,,,,,,,,,,,,,,,,,,,,,349.938842773438,349.978118896484,10000.3623046875,10000.3623046875,53.5122424978422,5.63864120211278,6.33867025375366,54,1,0,0,1,0.297088623046875,33.7243423461914,2,1,3,349.938842773438,0,349.958480834961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3877762589.83205,349.879043579102,10000.3623046875,-6.56264730315373E-5,1.46856276840297E-8,1,4,13.4005146026611,5.00893876351891,33.1399999558926,-0.081793004807693,-0.0121099771425586,1,9.87111396139018E-8,,,,,,,,,,,,,,,,,,,,,349.819244384766,349.938842773438,10000.3623046875,10000.3623046875,53.5224036685922,5.63927656419659,6.34095191955566,54,1,0,0,1,0.3021240234375,33.2355842590332,2,1,3,349.819244384766,0,349.879043579102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3877762593.87325,349.777130126953,10000.3623046875,-6.55978950159837E-5,1.71839820730789E-8,1,4,13.4005146026611,5.00900192708509,33.1399999558926,-0.081757980258471,-0.0121105817925396,1,9.41220753973849E-8,,,,,,,,,,,,,,,,,,,,,349.735015869141,349.819244384766,10000.3623046875,10000.3623046875,53.4465857022268,5.63865610928416,6.34097909927368,54,1,0,0,1,0.304107666015625,33.7243423461914,2,1,3,349.735015869141,0,349.777130126953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3877762597.9161,349.659637451172,10000.3623046875,-6.56105876214428E-5,1.31179865794299E-8,1,4,13.4005146026611,5.00895597017516,33.1399999558926,-0.0817746994847203,-0.0120997457390809,1,1.04592393766073E-7,,,,,,,,,,,,,,,,,,,,,349.590850830078,349.728424072266,10000.3623046875,10000.3623046875,53.4512754733422,5.63899404598473,6.34289407730103,54,1,0,0,1,0.310745239257812,33.7243423461914,2,1,3,349.590850830078,0,349.659637451172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3877762601.99852,349.510589599609,10000.3623046875,-6.56208943181849E-5,1.40319479585124E-8,1,4,13.4005146026611,5.00895379324852,33.1399999558926,-0.0817859544510555,-0.0121119420680222,1,9.6340450375054E-8,,,,,,,,,,,,,,,,,,,,,349.430328369141,349.590850830078,10000.3623046875,10000.3623046875,53.5052078411691,5.63924143277235,6.34336376190186,54,1,0,0,1,0.304489135742188,33.2355842590332,2,1,3,349.430328369141,0,349.510589599609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3877762606.03399,349.312866210937,10000.3623046875,-6.56300831516879E-5,1.52760115185394E-8,1,4,13.4005146026611,5.00892890148833,33.1399999558926,-0.0817972068199023,-0.0121110936641299,1,9.83284061700268E-8,,,,,,,,,,,,,,,,,,,,,349.198944091797,349.426788330078,10000.3623046875,10000.3623046875,53.5708646367845,5.63902222046508,6.34899473190308,54,1,0,0,1,0.3094482421875,33.2355842590332,2,1,3,349.198944091797,0,349.312866210937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
