Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Sample Resistance,He3 Temperature,Sorb Resistance,Sorb Temperature,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3879815655.68258,349.983337402344,70000.1171875,-4.33100629045017E-4,2.07786553582604E-7,1,4,13.4005146026611,4.98424206644111,33.6400009691715,-0.535982726663782,-0.0799403117576571,1,1.89227823269831E-7,,,,,,,,,,,,,,,,,,,,,349.983245849609,349.983428955078,70000.1171875,70000.1171875,53.1609004784479,5.64741126621354,7.00603437423706,54,1,0,0,1,0.300979614257812,33.2355842590332,1,1,3,349.983734130859,0,349.983337402344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3879815659.08997,349.985275268555,70000.1171875,-4.33067135095578E-4,1.04983594868967E-7,1,4,13.4005146026611,4.98418469031262,33.6400009691715,-0.535934891145635,-0.0799176615002353,1,2.01478039309985E-7,,,,,,,,,,,,,,,,,,,,,349.983856201172,349.986694335937,70000.1171875,70000.1171875,53.1214282382268,5.64775981793971,7.0080738067627,54,2,0,0,1,0.30181884765625,32.7468223571777,1,1,3,349.986694335937,0,349.985275268555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3879815663.39719,349.987350463867,70000.1171875,-4.33113564129897E-4,1.65379522629231E-7,1,4,13.4005146026611,4.98419028307481,33.6400009691715,-0.535998465250988,-0.0798911075639913,1,2.29983820524595E-7,,,,,,,,,,,,,,,,,,,,,349.986694335937,349.988006591797,70000.1171875,70000.1171875,53.1792687486499,5.64729593347858,7.00308513641357,54,3,0,0,1,0.302200317382812,33.2355842590332,1,1,3,349.988006591797,0,349.987350463867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3879815727.19035,349.976211547852,64999.98046875,-4.01946175851735E-4,8.90340348680013E-8,1,4,13.4005146026611,4.98392950319375,33.6400009691715,-0.497367805165329,-0.074290570771637,1,8.90004818975339E-8,,,,,,,,,,,,,,,,,,,,,349.956695556641,349.995727539063,64999.98046875,64999.98046875,53.1823952627268,5.64834085322185,6.95773410797119,54,1,0,0,1,0.301361083984375,33.7243423461914,1,1,3,349.995727539063,0,349.976211547852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3879815731.24407,350.006561279297,64999.98046875,-4.01987298254991E-4,9.29183991057256E-8,1,4,13.4005146026611,4.9839021161465,33.6400009691715,-0.497411086595702,-0.0743227895245771,1,6.86507027804371E-8,,,,,,,,,,,,,,,,,,,,,349.995727539063,350.017395019531,64999.98046875,64999.98046875,53.1929472477364,5.64888910738041,6.95700216293335,54,2,0,0,1,0.302047729492188,33.7243423461914,1,1,3,350.017395019531,0,350.006561279297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3879815735.20186,350.024139404297,64999.98046875,-4.01976813377676E-4,1.90190798953083E-7,1,4,13.4005146026611,4.98382524876024,33.6499996483326,-0.497392315377708,-0.074286047089564,1,9.54775512066939E-8,,,,,,,,,,,,,,,,,,,,,350.017852783203,350.030426025391,64999.98046875,64999.98046875,53.1792687486499,5.6491441848585,6.95211935043335,54,3,0,0,1,0.301132202148438,33.7243423461914,1,1,3,350.030426025391,0,350.024139404297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3879815800.20919,350.033950805664,59999.75390625,-3.70927095355407E-4,9.51635211508117E-8,1,4,13.4005146026611,4.98390714525546,33.6400009691715,-0.458970507491189,-0.068633370459543,1,2.03874417166795E-8,,,,,,,,,,,,,,,,,,,,,350.033111572266,350.034790039063,59999.75390625,59999.75390625,53.2249940170249,5.64813698127239,6.91281604766846,54,1,0,0,1,0.30059814453125,33.7243423461914,1,1,3,350.033111572266,0,350.033950805664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3879815804.28753,350.031646728516,59999.75390625,-3.70916891900436E-4,5.61641261978142E-8,1,4,13.4005146026611,4.98403162679748,33.6499996483326,-0.458986868022426,-0.0685476362869488,1,9.0090857378808E-8,,,,,,,,,,,,,,,,,,,,,350.030090332031,350.033203125,59999.75390625,59999.75390625,53.2675927713229,5.64812524594417,6.91024494171143,54,2,0,0,1,0.301132202148438,34.2131004333496,1,1,3,350.030090332031,0,350.031646728516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3879815808.37202,350.029632568359,59999.75390625,-3.70909763496784E-4,1.09807941032389E-7,1,4,13.4005146026611,4.98397839267924,33.6400009691715,-0.458980859501681,-0.0684805135055102,1,1.42440443140208E-7,,,,,,,,,,,,,,,,,,,,,350.029510498047,350.029754638672,59999.75390625,59999.75390625,53.2101430751595,5.64845396324744,6.90618801116943,54,3,0,0,1,0.301666259765625,34.2131004333496,1,1,3,350.029510498047,0,350.029632568359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3879815873.19629,349.949523925781,54999.76953125,-3.39920623257435E-4,1.1509286016433E-7,1,4,13.4005146026611,4.98386402308504,33.6400009691715,-0.420610263361026,-0.0628215972113705,1,7.83446319266558E-8,,,,,,,,,,,,,,,,,,,,,349.945526123047,349.953521728516,54999.76953125,54999.76953125,53.2308562309191,5.64919545926583,6.87830495834351,54,1,0,0,1,0.302276611328125,34.2131004333496,1,1,3,349.953521728516,0,349.949523925781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
