Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Sample Resistance,He3 Temperature,Sorb Resistance,Sorb Temperature,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3879746629.08653,349.997589111328,4999.66455078125,-3.05951803482802E-5,8.0151767864871E-9,1,6,13.4005146026611,5.00884384442885,33.6400009691715,-0.0381350451473249,-0.00561874889556729,1,6.7523494109387E-8,,,,,,,,,,,,,,,,,,,,,349.99755859375,349.997619628906,4999.66455078125,4999.66455078125,53.4680804865057,5.63227286719826,5.54652976989746,80,1,0,0,1,0.30517578125,32.2580642700195,1,1,3,349.997619628906,0,349.997589111328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3879746634.32443,350.006393432617,4999.66455078125,-3.05661414173982E-5,1.51732201781436E-8,1,6,13.4005146026611,5.00869078951145,33.6400009691715,-0.0380939223203763,-0.00563523935699451,1,4.97518805534018E-8,,,,,,,,,,,,,,,,,,,,,349.997985839844,350.014801025391,4999.66455078125,4999.66455078125,53.2757998707749,5.63291588395155,5.54993104934692,80,1,0,0,1,0.311126708984375,32.2580642700195,6,1,3,350.015869140625,0,350.006393432617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3879746639.42371,350.018081665039,4999.66455078125,-3.05743678251085E-5,1.07640691951488E-8,1,6,13.4005146026611,5.00870455557951,33.6400009691715,-0.0381042913471332,-0.00563697641694795,1,4.96057416914778E-8,,,,,,,,,,,,,,,,,,,,,350.015869140625,350.020294189453,4999.66455078125,4999.66455078125,53.4751151431787,5.63301203009235,5.54851675033569,80,1,0,0,1,0.302352905273438,32.7468223571777,2,1,3,350.020294189453,0,350.018081665039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3879746645.20629,349.95085144043,4999.66455078125,-3.05739769084402E-5,2.42562708000219E-8,1,6,13.4005146026611,5.00867584870278,33.6400009691715,-0.0381058254570639,-0.00562130692604925,1,6.20871631159464E-8,,,,,,,,,,,,,,,,,,,,,349.882476806641,350.019226074219,4999.66455078125,4999.66455078125,53.4383786027749,5.63235002628971,5.55126523971558,80,1,0,0,1,0.302505493164063,32.2580642700195,2,1,3,349.882476806641,0,349.95085144043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3879746651.52094,349.774307250977,4999.66455078125,-3.05632260754667E-5,1.43412576815528E-8,1,6,13.4005146026611,5.00865285275493,33.6400009691715,-0.0380919139464851,-0.00562108439635381,1,6.06285554920115E-8,,,,,,,,,,,,,,,,,,,,,349.666137695313,349.882476806641,4999.66455078125,4999.66455078125,53.4153205614576,5.63273943987836,5.55221366882324,80,1,0,0,1,0.304489135742188,32.7468223571777,2,1,3,349.660217285156,0,349.774307250977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3879746657.505,349.554870605469,4999.66455078125,-3.05727972640155E-5,1.84390903604874E-8,1,6,13.4005146026611,5.00866437095852,33.6400009691715,-0.038101932245151,-0.00563645318988979,1,4.97400029403397E-8,,,,,,,,,,,,,,,,,,,,,349.449523925781,349.660217285156,4999.66455078125,4999.66455078125,53.3801472780922,5.63268602103526,5.55253124237061,80,1,0,0,1,0.303573608398438,33.2355842590332,2,1,3,349.449523925781,0,349.554870605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3879746663.08106,349.300598144531,4999.66455078125,-3.05707952013367E-5,2.07146556786051E-8,1,6,13.4005146026611,5.00864972796619,33.6400009691715,-0.038100111139906,-0.00563051486085955,1,5.41880869087129E-8,,,,,,,,,,,,,,,,,,,,,349.151672363281,349.449523925781,4999.66455078125,4999.66455078125,53.4082859047845,5.63293275131202,5.55503845214844,80,1,0,0,1,0.303726196289063,33.2355842590332,2,1,3,349.151672363281,0,349.300598144531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3879746669.09102,348.978271484375,4999.66455078125,-3.05688691810491E-5,2.29825067939114E-8,1,6,13.4005146026611,5.0085935551117,33.6400009691715,-0.0380960994993359,-0.00563685086030818,1,4.87438198513934E-8,,,,,,,,,,,,,,,,,,,,,348.804870605469,349.151672363281,4999.66455078125,4999.66455078125,53.4243092894287,5.63219723975598,5.55474853515625,80,1,0,0,1,0.30914306640625,32.7468223571777,2,1,3,348.804870605469,0,348.978271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3879746675.50945,348.58528137207,4999.66455078125,-3.05663681794078E-5,9.14047423301382E-9,1,6,13.4005146026611,5.00856799626978,33.6400009691715,-0.0380943153213201,-0.00562562477670161,1,5.73476054856249E-8,,,,,,,,,,,,,,,,,,,,,348.401428222656,348.769134521484,4999.66455078125,4999.66455078125,53.4157113757172,5.6325672828106,5.55429458618164,80,1,0,0,1,0.303802490234375,33.2355842590332,2,1,3,348.401428222656,0,348.58528137207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3879746681.04501,348.181991577148,4999.66455078125,-3.05614578032741E-5,1.04520840928195E-8,1,6,13.4005146026611,5.00858016153138,33.6400009691715,-0.0380883563063889,-0.00562453022927509,1,5.75068648321165E-8,,,,,,,,,,,,,,,,,,,,,347.976898193359,348.387084960937,4999.66455078125,4999.66455078125,53.4661264152076,5.6330335103345,5.55727434158325,80,1,0,0,1,0.302810668945313,32.7468223571777,2,1,3,347.976898193359,0,348.181991577148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
