#twotheta, yobs, ycal, bkg, diff
42.0,62.4833,1.0,1.0,1.0
42.01,75.4944,1.0,1.0,1.0
42.02,76.0111,1.0,1.0,1.0
42.03,59.0111,1.0,1.0,1.0
42.04,61.0,1.0,1.0,1.0
42.05,54.4833,1.0,1.0,1.0
42.06,77.0111,1.0,1.0,1.0
42.07,77.0,1.0,1.0,1.0
42.08,73.5056,1.0,1.0,1.0
42.09,68.9889,1.0,1.0,1.0
42.1,74.4944,1.0,1.0,1.0
42.11,55.5167,1.0,1.0,1.0
42.12,74.4944,1.0,1.0,1.0
42.13,77.9889,1.0,1.0,1.0
42.14,74.0,1.0,1.0,1.0
42.15,58.0111,1.0,1.0,1.0
42.16,82.4944,1.0,1.0,1.0
42.17,73.4944,1.0,1.0,1.0
42.18,78.5167,1.0,1.0,1.0
42.19,58.4833,1.0,1.0,1.0
42.2,88.0111,1.0,1.0,1.0
42.21,56.5056,1.0,1.0,1.0
42.22,65.4944,1.0,1.0,1.0
42.23,81.4944,1.0,1.0,1.0
42.24,69.0,1.0,1.0,1.0
42.25,72.5056,1.0,1.0,1.0
42.26,52.5056,1.0,1.0,1.0
42.27,60.4944,1.0,1.0,1.0
42.28,63.0,1.0,1.0,1.0
42.29,81.4944,1.0,1.0,1.0
42.3,67.9889,1.0,1.0,1.0
42.31,59.0111,1.0,1.0,1.0
42.32,69.0111,1.0,1.0,1.0
42.33,67.9889,1.0,1.0,1.0
42.34,56.0,1.0,1.0,1.0
42.35,73.5056,1.0,1.0,1.0
42.36,59.0,1.0,1.0,1.0
42.37,82.5056,1.0,1.0,1.0
42.38,72.0,1.0,1.0,1.0
42.39,95.0,1.0,1.0,1.0
42.4,62.4833,1.0,1.0,1.0
42.41,70.5167,1.0,1.0,1.0
42.42,89.4833,1.0,1.0,1.0
42.43,77.0111,1.0,1.0,1.0
42.44,62.5056,1.0,1.0,1.0
42.45,63.9778,1.0,1.0,1.0
42.46,76.0222,1.0,1.0,1.0
42.47,67.4833,1.0,1.0,1.0
42.48,73.5056,1.0,1.0,1.0
42.49,96.4944,1.0,1.0,1.0
42.5,71.0111,1.0,1.0,1.0
42.51,88.4944,1.0,1.0,1.0
42.52,82.5056,1.0,1.0,1.0
42.53,86.4944,1.0,1.0,1.0
42.54,62.0111,1.0,1.0,1.0
42.55,81.4944,1.0,1.0,1.0
42.56,75.9889,1.0,1.0,1.0
42.57,54.5056,1.0,1.0,1.0
42.58,71.5056,1.0,1.0,1.0
42.59,92.9889,1.0,1.0,1.0
42.6,85.5167,1.0,1.0,1.0
42.61,81.4944,1.0,1.0,1.0
42.62,77.9889,1.0,1.0,1.0
42.63,79.0111,1.0,1.0,1.0
42.64,84.0,1.0,1.0,1.0
42.65,65.0,1.0,1.0,1.0
42.66,91.9889,1.0,1.0,1.0
42.67,85.0111,1.0,1.0,1.0
42.68,85.5056,1.0,1.0,1.0
42.69,89.4833,1.0,1.0,1.0
42.7,90.5056,1.0,1.0,1.0
42.71,75.4944,1.0,1.0,1.0
42.72,74.5167,1.0,1.0,1.0
42.73,78.0,1.0,1.0,1.0
42.74,82.4833,1.0,1.0,1.0
42.75,95.0111,1.0,1.0,1.0
42.76,79.0,1.0,1.0,1.0
42.77,94.9889,1.0,1.0,1.0
42.78,101.5056,1.0,1.0,1.0
42.79,86.0111,1.0,1.0,1.0
42.8,53.9889,1.0,1.0,1.0
42.81,81.5056,1.0,1.0,1.0
42.82,94.9778,1.0,1.0,1.0
42.83,73.5278,1.0,1.0,1.0
42.84,83.4833,1.0,1.0,1.0
42.85,99.5056,1.0,1.0,1.0
42.86,75.4944,1.0,1.0,1.0
42.87,69.5167,1.0,1.0,1.0
42.88,68.9778,1.0,1.0,1.0
42.89,78.0,1.0,1.0,1.0
42.9,83.0222,1.0,1.0,1.0
42.91,71.0,1.0,1.0,1.0
42.92,90.4833,1.0,1.0,1.0
42.93,68.5056,1.0,1.0,1.0
42.94,85.0111,1.0,1.0,1.0
42.95,92.9778,1.0,1.0,1.0
42.96,76.0222,1.0,1.0,1.0
42.97,79.4944,1.0,1.0,1.0
42.98,102.4833,1.0,1.0,1.0
42.99,99.0111,1.0,1.0,1.0
43.0,89.5056,1.0,1.0,1.0
43.01,107.5056,1.0,1.0,1.0
43.02,81.9889,1.0,1.0,1.0
43.03,73.4944,1.0,1.0,1.0
43.04,82.5056,1.0,1.0,1.0
43.05,77.5056,1.0,1.0,1.0
43.06,88.5056,1.0,1.0,1.0
43.07,84.9889,1.0,1.0,1.0
43.08,110.4833,1.0,1.0,1.0
43.09,91.0111,1.0,1.0,1.0
43.1,84.0111,1.0,1.0,1.0
43.11,88.0,1.0,1.0,1.0
43.12,104.0,1.0,1.0,1.0
43.13,101.4944,1.0,1.0,1.0
43.14,81.9889,1.0,1.0,1.0
43.15,97.0111,1.0,1.0,1.0
43.16,84.4944,1.0,1.0,1.0
43.17,90.0111,1.0,1.0,1.0
43.18,99.9778,1.0,1.0,1.0
43.19,126.5167,1.0,1.0,1.0
43.2,88.0,1.0,1.0,1.0
43.21,64.0111,1.0,1.0,1.0
43.22,87.4833,1.0,1.0,1.0
43.23,112.5167,1.0,1.0,1.0
43.24,100.4944,1.0,1.0,1.0
43.25,104.0,1.0,1.0,1.0
43.26,99.9778,1.0,1.0,1.0
43.27,134.5056,1.0,1.0,1.0
43.28,111.0111,1.0,1.0,1.0
43.29,110.5056,1.0,1.0,1.0
43.3,96.4944,1.0,1.0,1.0
43.31,105.4944,1.0,1.0,1.0
43.32,75.5056,1.0,1.0,1.0
43.33,112.4944,1.0,1.0,1.0
43.34,106.0,1.0,1.0,1.0
43.35,119.4944,1.0,1.0,1.0
43.36,89.5056,1.0,1.0,1.0
43.37,132.0,1.0,1.0,1.0
43.38,90.5056,1.0,1.0,1.0
43.39,125.5056,1.0,1.0,1.0
43.4,91.0,1.0,1.0,1.0
43.41,93.0,1.0,1.0,1.0
43.42,99.5056,1.0,1.0,1.0
43.43,113.9889,1.0,1.0,1.0
43.44,118.0,1.0,1.0,1.0
43.45,116.4944,1.0,1.0,1.0
43.46,114.5167,1.0,1.0,1.0
43.47,139.9778,1.0,1.0,1.0
43.48,112.0,1.0,1.0,1.0
43.49,110.0,1.0,1.0,1.0
43.5,118.5167,1.0,1.0,1.0
43.51,124.4944,1.0,1.0,1.0
43.52,123.0111,1.0,1.0,1.0
43.53,135.4944,1.0,1.0,1.0
43.54,122.4944,1.0,1.0,1.0
43.55,85.0111,1.0,1.0,1.0
43.56,130.9778,1.0,1.0,1.0
43.57,105.0111,1.0,1.0,1.0
43.58,125.0111,1.0,1.0,1.0
43.59,122.9778,1.0,1.0,1.0
43.6,135.5167,1.0,1.0,1.0
43.61,119.0,1.0,1.0,1.0
43.62,100.9778,1.0,1.0,1.0
43.63,124.5278,1.0,1.0,1.0
43.64,123.4944,1.0,1.0,1.0
43.65,137.0,1.0,1.0,1.0
43.66,131.4944,1.0,1.0,1.0
43.67,129.9889,1.0,1.0,1.0
43.68,146.0,1.0,1.0,1.0
43.69,135.0222,1.0,1.0,1.0
43.7,149.9889,1.0,1.0,1.0
43.71,114.4944,1.0,1.0,1.0
43.72,139.5167,1.0,1.0,1.0
43.73,127.9889,1.0,1.0,1.0
43.74,130.5056,1.0,1.0,1.0
43.75,141.4944,1.0,1.0,1.0
43.76,128.0,1.0,1.0,1.0
43.77,92.0,1.0,1.0,1.0
43.78,118.5056,1.0,1.0,1.0
43.79,136.9889,1.0,1.0,1.0
43.8,132.5056,1.0,1.0,1.0
43.81,155.0111,1.0,1.0,1.0
43.82,97.4722,1.0,1.0,1.0
43.83,126.0,1.0,1.0,1.0
43.84,118.0,1.0,1.0,1.0
43.85,141.5056,1.0,1.0,1.0
43.86,125.5167,1.0,1.0,1.0
43.87,116.4944,1.0,1.0,1.0
43.88,136.4944,1.0,1.0,1.0
43.89,120.0,1.0,1.0,1.0
43.9,165.0,1.0,1.0,1.0
43.91,152.4944,1.0,1.0,1.0
43.92,149.0,1.0,1.0,1.0
43.93,142.4944,1.0,1.0,1.0
43.94,136.0222,1.0,1.0,1.0
43.95,159.0,1.0,1.0,1.0
43.96,139.4944,1.0,1.0,1.0
43.97,122.4944,1.0,1.0,1.0
43.98,169.4833,1.0,1.0,1.0
43.99,148.0222,1.0,1.0,1.0
44.0,148.9889,1.0,1.0,1.0
44.01,137.0111,1.0,1.0,1.0
44.02,178.0,1.0,1.0,1.0
44.03,154.4944,1.0,1.0,1.0
44.04,159.5167,1.0,1.0,1.0
44.05,138.4722,1.0,1.0,1.0
