#twotheta, yobs, ycal, bkg, diff
42.0,6.5056,1.0,1.0,1.0
42.01,10.4944,1.0,1.0,1.0
42.02,5.5056,1.0,1.0,1.0
42.03,9.0,1.0,1.0,1.0
42.04,1.4944,1.0,1.0,1.0
42.05,15.5056,1.0,1.0,1.0
42.06,11.0,1.0,1.0,1.0
42.07,13.0,1.0,1.0,1.0
42.08,14.0,1.0,1.0,1.0
42.09,13.0,1.0,1.0,1.0
42.1,27.0,1.0,1.0,1.0
42.11,7.0,1.0,1.0,1.0
42.12,5.0,1.0,1.0,1.0
42.13,16.0,1.0,1.0,1.0
42.14,11.0,1.0,1.0,1.0
42.15,6.0,1.0,1.0,1.0
42.16,15.0,1.0,1.0,1.0
42.17,7.0,1.0,1.0,1.0
42.18,11.0,1.0,1.0,1.0
42.19,19.0,1.0,1.0,1.0
42.2,14.0,1.0,1.0,1.0
42.21,13.0,1.0,1.0,1.0
42.22,15.0,1.0,1.0,1.0
42.23,9.0,1.0,1.0,1.0
42.24,9.0,1.0,1.0,1.0
42.25,6.0,1.0,1.0,1.0
42.26,30.0,1.0,1.0,1.0
42.27,15.0,1.0,1.0,1.0
42.28,7.0,1.0,1.0,1.0
42.29,4.0,1.0,1.0,1.0
42.3,14.0,1.0,1.0,1.0
42.31,8.4833,1.0,1.0,1.0
42.32,17.5167,1.0,1.0,1.0
42.33,13.0,1.0,1.0,1.0
42.34,14.0,1.0,1.0,1.0
42.35,12.0,1.0,1.0,1.0
42.36,9.4944,1.0,1.0,1.0
42.37,15.5056,1.0,1.0,1.0
42.38,8.0,1.0,1.0,1.0
42.39,7.0,1.0,1.0,1.0
42.4,27.4944,1.0,1.0,1.0
42.41,8.5056,1.0,1.0,1.0
42.42,8.0,1.0,1.0,1.0
42.43,0.0,1.0,1.0,1.0
42.44,9.0,1.0,1.0,1.0
42.45,8.0,1.0,1.0,1.0
42.46,10.0,1.0,1.0,1.0
42.47,19.0,1.0,1.0,1.0
42.48,13.0,1.0,1.0,1.0
42.49,2.0,1.0,1.0,1.0
42.5,6.0,1.0,1.0,1.0
42.51,2.4944,1.0,1.0,1.0
42.52,13.5056,1.0,1.0,1.0
42.53,4.0,1.0,1.0,1.0
42.54,4.0,1.0,1.0,1.0
42.55,8.0,1.0,1.0,1.0
42.56,5.0,1.0,1.0,1.0
42.57,8.0,1.0,1.0,1.0
42.58,0.0,1.0,1.0,1.0
42.59,5.4944,1.0,1.0,1.0
42.6,3.5056,1.0,1.0,1.0
42.61,12.0,1.0,1.0,1.0
42.62,11.4944,1.0,1.0,1.0
42.63,63.0,1.0,1.0,1.0
42.64,12.5056,1.0,1.0,1.0
42.65,3.0,1.0,1.0,1.0
42.66,11.0,1.0,1.0,1.0
42.67,17.4944,1.0,1.0,1.0
42.68,10.5056,1.0,1.0,1.0
42.69,7.0,1.0,1.0,1.0
42.7,8.4944,1.0,1.0,1.0
42.71,15.0,1.0,1.0,1.0
42.72,15.5056,1.0,1.0,1.0
42.73,11.4944,1.0,1.0,1.0
42.74,8.5056,1.0,1.0,1.0
42.75,20.0,1.0,1.0,1.0
42.76,13.0,1.0,1.0,1.0
42.77,20.4944,1.0,1.0,1.0
42.78,23.0,1.0,1.0,1.0
42.79,19.5056,1.0,1.0,1.0
42.8,14.9889,1.0,1.0,1.0
42.81,20.0111,1.0,1.0,1.0
42.82,9.0,1.0,1.0,1.0
42.83,17.0,1.0,1.0,1.0
42.84,2.0,1.0,1.0,1.0
42.85,16.4944,1.0,1.0,1.0
42.86,11.5056,1.0,1.0,1.0
42.87,11.0,1.0,1.0,1.0
42.88,7.0,1.0,1.0,1.0
42.89,15.0,1.0,1.0,1.0
42.9,13.0,1.0,1.0,1.0
42.91,17.0,1.0,1.0,1.0
42.92,12.0,1.0,1.0,1.0
42.93,14.0,1.0,1.0,1.0
42.94,9.0,1.0,1.0,1.0
42.95,23.0,1.0,1.0,1.0
42.96,11.0,1.0,1.0,1.0
42.97,9.4944,1.0,1.0,1.0
42.98,21.5056,1.0,1.0,1.0
42.99,9.0,1.0,1.0,1.0
43.0,14.4944,1.0,1.0,1.0
43.01,13.0,1.0,1.0,1.0
43.02,19.5056,1.0,1.0,1.0
43.03,0.0,1.0,1.0,1.0
43.04,3.0,1.0,1.0,1.0
43.05,13.4944,1.0,1.0,1.0
43.06,21.5056,1.0,1.0,1.0
43.07,8.0,1.0,1.0,1.0
43.08,2.4944,1.0,1.0,1.0
43.09,14.5056,1.0,1.0,1.0
43.1,16.0,1.0,1.0,1.0
43.11,16.0,1.0,1.0,1.0
43.12,14.0,1.0,1.0,1.0
43.13,11.9889,1.0,1.0,1.0
43.14,19.0111,1.0,1.0,1.0
43.15,12.0,1.0,1.0,1.0
43.16,8.0,1.0,1.0,1.0
43.17,11.0,1.0,1.0,1.0
43.18,7.0,1.0,1.0,1.0
43.19,6.0,1.0,1.0,1.0
43.2,8.4944,1.0,1.0,1.0
43.21,17.5056,1.0,1.0,1.0
43.22,8.4944,1.0,1.0,1.0
43.23,18.5056,1.0,1.0,1.0
43.24,11.0,1.0,1.0,1.0
43.25,8.0,1.0,1.0,1.0
43.26,7.4944,1.0,1.0,1.0
43.27,7.5056,1.0,1.0,1.0
43.28,11.0,1.0,1.0,1.0
43.29,3.0,1.0,1.0,1.0
43.3,19.0,1.0,1.0,1.0
43.31,12.0,1.0,1.0,1.0
43.32,7.4944,1.0,1.0,1.0
43.33,6.5056,1.0,1.0,1.0
43.34,13.0,1.0,1.0,1.0
43.35,12.0,1.0,1.0,1.0
43.36,11.0,1.0,1.0,1.0
43.37,10.0,1.0,1.0,1.0
43.38,10.0,1.0,1.0,1.0
43.39,7.0,1.0,1.0,1.0
43.4,19.9889,1.0,1.0,1.0
43.41,27.0111,1.0,1.0,1.0
43.42,23.0,1.0,1.0,1.0
43.43,24.0,1.0,1.0,1.0
43.44,10.4944,1.0,1.0,1.0
43.45,13.0,1.0,1.0,1.0
