#twotheta, yobs, ycal, bkg, diff
42.0,20.0,1.0,1.0,1.0
42.01,17.0,1.0,1.0,1.0
42.02,25.0,1.0,1.0,1.0
42.03,10.0,1.0,1.0,1.0
42.04,15.0,1.0,1.0,1.0
42.05,19.0,1.0,1.0,1.0
42.06,21.4944,1.0,1.0,1.0
42.07,18.5056,1.0,1.0,1.0
42.08,20.0,1.0,1.0,1.0
42.09,35.4944,1.0,1.0,1.0
42.1,7.5056,1.0,1.0,1.0
42.11,14.4944,1.0,1.0,1.0
42.12,12.5056,1.0,1.0,1.0
42.13,32.0,1.0,1.0,1.0
42.14,52.4944,1.0,1.0,1.0
42.15,21.0,1.0,1.0,1.0
42.16,22.5056,1.0,1.0,1.0
42.17,16.9889,1.0,1.0,1.0
42.18,32.0111,1.0,1.0,1.0
42.19,0.0,1.0,1.0,1.0
42.2,21.0,1.0,1.0,1.0
42.21,15.4944,1.0,1.0,1.0
42.22,21.5056,1.0,1.0,1.0
42.23,21.0,1.0,1.0,1.0
42.24,30.0,1.0,1.0,1.0
42.25,19.0,1.0,1.0,1.0
42.26,30.0,1.0,1.0,1.0
42.27,26.4944,1.0,1.0,1.0
42.28,20.5056,1.0,1.0,1.0
42.29,24.0,1.0,1.0,1.0
42.3,10.4944,1.0,1.0,1.0
42.31,27.5056,1.0,1.0,1.0
42.32,17.0,1.0,1.0,1.0
42.33,26.4944,1.0,1.0,1.0
42.34,26.5056,1.0,1.0,1.0
42.35,12.0,1.0,1.0,1.0
42.36,20.0,1.0,1.0,1.0
42.37,20.0,1.0,1.0,1.0
42.38,20.0,1.0,1.0,1.0
42.39,20.0,1.0,1.0,1.0
42.4,16.9778,1.0,1.0,1.0
42.41,30.5167,1.0,1.0,1.0
42.42,27.5056,1.0,1.0,1.0
42.43,26.4944,1.0,1.0,1.0
42.44,20.5056,1.0,1.0,1.0
42.45,17.0,1.0,1.0,1.0
42.46,23.0,1.0,1.0,1.0
42.47,23.4944,1.0,1.0,1.0
42.48,21.0,1.0,1.0,1.0
42.49,21.5056,1.0,1.0,1.0
42.5,24.0,1.0,1.0,1.0
42.51,15.0,1.0,1.0,1.0
42.52,25.0,1.0,1.0,1.0
42.53,26.0,1.0,1.0,1.0
42.54,25.0,1.0,1.0,1.0
42.55,37.4944,1.0,1.0,1.0
42.56,30.5056,1.0,1.0,1.0
42.57,28.4833,1.0,1.0,1.0
42.58,37.5167,1.0,1.0,1.0
42.59,23.0,1.0,1.0,1.0
42.6,20.0,1.0,1.0,1.0
42.61,21.0,1.0,1.0,1.0
42.62,18.0,1.0,1.0,1.0
42.63,28.4944,1.0,1.0,1.0
42.64,32.0,1.0,1.0,1.0
42.65,10.5056,1.0,1.0,1.0
42.66,24.4833,1.0,1.0,1.0
42.67,35.5056,1.0,1.0,1.0
42.68,27.5056,1.0,1.0,1.0
42.69,30.5056,1.0,1.0,1.0
42.7,31.0,1.0,1.0,1.0
42.71,23.4944,1.0,1.0,1.0
42.72,28.4944,1.0,1.0,1.0
42.73,22.0111,1.0,1.0,1.0
42.74,25.0,1.0,1.0,1.0
42.75,22.4944,1.0,1.0,1.0
42.76,18.5056,1.0,1.0,1.0
42.77,31.0,1.0,1.0,1.0
42.78,48.0,1.0,1.0,1.0
42.79,39.0,1.0,1.0,1.0
42.8,24.0,1.0,1.0,1.0
42.81,32.0,1.0,1.0,1.0
42.82,14.4944,1.0,1.0,1.0
42.83,12.5056,1.0,1.0,1.0
42.84,16.4944,1.0,1.0,1.0
42.85,18.5056,1.0,1.0,1.0
42.86,17.4944,1.0,1.0,1.0
42.87,7.5056,1.0,1.0,1.0
42.88,13.0,1.0,1.0,1.0
42.89,29.0,1.0,1.0,1.0
42.9,22.0,1.0,1.0,1.0
42.91,37.9889,1.0,1.0,1.0
42.92,14.0111,1.0,1.0,1.0
42.93,32.0,1.0,1.0,1.0
42.94,19.0,1.0,1.0,1.0
42.95,20.0,1.0,1.0,1.0
42.96,22.0,1.0,1.0,1.0
42.97,13.0,1.0,1.0,1.0
42.98,21.0,1.0,1.0,1.0
42.99,18.4944,1.0,1.0,1.0
43.0,15.0,1.0,1.0,1.0
43.01,19.5056,1.0,1.0,1.0
43.02,20.0,1.0,1.0,1.0
43.03,16.9889,1.0,1.0,1.0
43.04,27.5056,1.0,1.0,1.0
43.05,24.5056,1.0,1.0,1.0
43.06,21.0,1.0,1.0,1.0
43.07,17.0,1.0,1.0,1.0
43.08,18.4944,1.0,1.0,1.0
43.09,17.0,1.0,1.0,1.0
43.1,25.5056,1.0,1.0,1.0
43.11,6.0,1.0,1.0,1.0
43.12,28.4944,1.0,1.0,1.0
43.13,27.5056,1.0,1.0,1.0
43.14,20.0,1.0,1.0,1.0
43.15,31.0,1.0,1.0,1.0
43.16,30.0,1.0,1.0,1.0
43.17,28.0,1.0,1.0,1.0
43.18,23.4944,1.0,1.0,1.0
43.19,36.0,1.0,1.0,1.0
43.2,12.5056,1.0,1.0,1.0
43.21,12.0,1.0,1.0,1.0
43.22,33.4944,1.0,1.0,1.0
43.23,44.0,1.0,1.0,1.0
43.24,22.5056,1.0,1.0,1.0
43.25,32.9889,1.0,1.0,1.0
43.26,31.5056,1.0,1.0,1.0
43.27,31.0,1.0,1.0,1.0
43.28,41.9889,1.0,1.0,1.0
43.29,29.5056,1.0,1.0,1.0
43.3,40.0111,1.0,1.0,1.0
43.31,19.4944,1.0,1.0,1.0
43.32,35.5056,1.0,1.0,1.0
43.33,21.0,1.0,1.0,1.0
43.34,22.4944,1.0,1.0,1.0
43.35,32.5056,1.0,1.0,1.0
43.36,47.4944,1.0,1.0,1.0
43.37,23.5056,1.0,1.0,1.0
43.38,20.0,1.0,1.0,1.0
43.39,23.0,1.0,1.0,1.0
43.4,17.0,1.0,1.0,1.0
43.41,33.0,1.0,1.0,1.0
43.42,32.0,1.0,1.0,1.0
43.43,34.4944,1.0,1.0,1.0
43.44,27.5056,1.0,1.0,1.0
43.45,36.0,1.0,1.0,1.0
43.46,26.0,1.0,1.0,1.0
43.47,19.4944,1.0,1.0,1.0
43.48,20.5056,1.0,1.0,1.0
43.49,19.0,1.0,1.0,1.0
43.5,27.0,1.0,1.0,1.0
43.51,27.9889,1.0,1.0,1.0
43.52,32.5056,1.0,1.0,1.0
43.53,20.4944,1.0,1.0,1.0
43.54,22.0111,1.0,1.0,1.0
43.55,27.0,1.0,1.0,1.0
43.56,23.0,1.0,1.0,1.0
43.57,23.4944,1.0,1.0,1.0
43.58,29.5056,1.0,1.0,1.0
43.59,25.4944,1.0,1.0,1.0
43.6,32.5056,1.0,1.0,1.0
43.61,23.4944,1.0,1.0,1.0
43.62,27.5056,1.0,1.0,1.0
43.63,25.0,1.0,1.0,1.0
43.64,43.0,1.0,1.0,1.0
43.65,25.4944,1.0,1.0,1.0
43.66,25.5056,1.0,1.0,1.0
43.67,25.0,1.0,1.0,1.0
43.68,23.0,1.0,1.0,1.0
43.69,22.4944,1.0,1.0,1.0
43.7,40.0,1.0,1.0,1.0
43.71,36.5056,1.0,1.0,1.0
43.72,26.4944,1.0,1.0,1.0
43.73,28.0,1.0,1.0,1.0
43.74,25.5056,1.0,1.0,1.0
43.75,12.0,1.0,1.0,1.0
43.76,26.0,1.0,1.0,1.0
43.77,29.0,1.0,1.0,1.0
43.78,19.9889,1.0,1.0,1.0
43.79,24.0111,1.0,1.0,1.0
43.8,29.0,1.0,1.0,1.0
43.81,20.0,1.0,1.0,1.0
43.82,21.0,1.0,1.0,1.0
43.83,33.4944,1.0,1.0,1.0
43.84,26.5056,1.0,1.0,1.0
43.85,30.4944,1.0,1.0,1.0
43.86,31.5056,1.0,1.0,1.0
43.87,25.4944,1.0,1.0,1.0
43.88,22.5056,1.0,1.0,1.0
43.89,23.4944,1.0,1.0,1.0
43.9,41.5056,1.0,1.0,1.0
43.91,47.4944,1.0,1.0,1.0
43.92,26.5056,1.0,1.0,1.0
43.93,34.4944,1.0,1.0,1.0
43.94,28.0,1.0,1.0,1.0
43.95,38.0,1.0,1.0,1.0
43.96,46.5056,1.0,1.0,1.0
43.97,42.0,1.0,1.0,1.0
43.98,24.4944,1.0,1.0,1.0
43.99,40.5056,1.0,1.0,1.0
44.0,44.4944,1.0,1.0,1.0
44.01,59.5056,1.0,1.0,1.0
44.02,45.9889,1.0,1.0,1.0
44.03,51.0,1.0,1.0,1.0
44.04,47.5056,1.0,1.0,1.0
44.05,37.5056,1.0,1.0,1.0
44.06,48.4944,1.0,1.0,1.0
44.07,46.5056,1.0,1.0,1.0
44.08,32.0,1.0,1.0,1.0
44.09,46.0,1.0,1.0,1.0
44.1,40.0,1.0,1.0,1.0
44.11,44.0,1.0,1.0,1.0
44.12,41.9889,1.0,1.0,1.0
44.13,41.5056,1.0,1.0,1.0
44.14,31.5056,1.0,1.0,1.0
44.15,39.4944,1.0,1.0,1.0
44.16,26.4944,1.0,1.0,1.0
44.17,47.0111,1.0,1.0,1.0
44.18,35.0,1.0,1.0,1.0
44.19,43.9889,1.0,1.0,1.0
44.2,27.0111,1.0,1.0,1.0
44.21,25.0,1.0,1.0,1.0
44.22,28.0,1.0,1.0,1.0
44.23,36.4833,1.0,1.0,1.0
44.24,45.5056,1.0,1.0,1.0
44.25,35.5056,1.0,1.0,1.0
44.26,36.0,1.0,1.0,1.0
44.27,20.5056,1.0,1.0,1.0
44.28,29.4944,1.0,1.0,1.0
44.29,17.5056,1.0,1.0,1.0
44.3,33.4944,1.0,1.0,1.0
44.31,26.5056,1.0,1.0,1.0
44.32,20.9889,1.0,1.0,1.0
44.33,29.0111,1.0,1.0,1.0
44.34,27.0,1.0,1.0,1.0
44.35,34.4944,1.0,1.0,1.0
44.36,36.0,1.0,1.0,1.0
44.37,38.0,1.0,1.0,1.0
44.38,34.5056,1.0,1.0,1.0
44.39,16.0,1.0,1.0,1.0
44.4,34.0,1.0,1.0,1.0
44.41,19.9889,1.0,1.0,1.0
44.42,19.0,1.0,1.0,1.0
44.43,30.5056,1.0,1.0,1.0
44.44,38.5056,1.0,1.0,1.0
44.45,26.4944,1.0,1.0,1.0
44.46,29.4944,1.0,1.0,1.0
44.47,45.0,1.0,1.0,1.0
44.48,26.5056,1.0,1.0,1.0
44.49,45.4944,1.0,1.0,1.0
44.5,34.5056,1.0,1.0,1.0
44.51,38.0,1.0,1.0,1.0
44.52,32.0,1.0,1.0,1.0
44.53,28.5056,1.0,1.0,1.0
44.54,45.4944,1.0,1.0,1.0
44.55,32.0,1.0,1.0,1.0
44.56,45.5056,1.0,1.0,1.0
44.57,64.0,1.0,1.0,1.0
44.58,44.0,1.0,1.0,1.0
44.59,38.9889,1.0,1.0,1.0
44.6,41.5056,1.0,1.0,1.0
44.61,44.5056,1.0,1.0,1.0
44.62,53.4944,1.0,1.0,1.0
44.63,38.0,1.0,1.0,1.0
44.64,48.5056,1.0,1.0,1.0
44.65,50.4944,1.0,1.0,1.0
44.66,42.0,1.0,1.0,1.0
44.67,76.0,1.0,1.0,1.0
