#twotheta, yobs, ycal, bkg, diff
42.0,6.4944,1.0,1.0,1.0
42.01,5.5056,1.0,1.0,1.0
42.02,6.0,1.0,1.0,1.0
42.03,7.0,1.0,1.0,1.0
42.04,18.0,1.0,1.0,1.0
42.05,11.0,1.0,1.0,1.0
42.06,19.0,1.0,1.0,1.0
42.07,16.0,1.0,1.0,1.0
42.08,8.0,1.0,1.0,1.0
42.09,13.0,1.0,1.0,1.0
42.1,9.0,1.0,1.0,1.0
42.11,15.4944,1.0,1.0,1.0
42.12,10.5056,1.0,1.0,1.0
42.13,14.0,1.0,1.0,1.0
42.14,4.0,1.0,1.0,1.0
42.15,6.0,1.0,1.0,1.0
42.16,13.0,1.0,1.0,1.0
42.17,12.0,1.0,1.0,1.0
42.18,5.0,1.0,1.0,1.0
42.19,12.0,1.0,1.0,1.0
42.2,16.0,1.0,1.0,1.0
42.21,15.0,1.0,1.0,1.0
42.22,9.0,1.0,1.0,1.0
42.23,20.0,1.0,1.0,1.0
42.24,14.4944,1.0,1.0,1.0
42.25,9.5056,1.0,1.0,1.0
42.26,15.0,1.0,1.0,1.0
42.27,7.0,1.0,1.0,1.0
42.28,7.0,1.0,1.0,1.0
42.29,5.0,1.0,1.0,1.0
42.3,23.0,1.0,1.0,1.0
42.31,14.0,1.0,1.0,1.0
42.32,13.0,1.0,1.0,1.0
42.33,17.0,1.0,1.0,1.0
42.34,21.0,1.0,1.0,1.0
42.35,8.0,1.0,1.0,1.0
42.36,13.0,1.0,1.0,1.0
42.37,22.0,1.0,1.0,1.0
42.38,17.4944,1.0,1.0,1.0
42.39,8.5056,1.0,1.0,1.0
42.4,7.0,1.0,1.0,1.0
42.41,19.0,1.0,1.0,1.0
42.42,16.0,1.0,1.0,1.0
42.43,13.4944,1.0,1.0,1.0
42.44,20.5056,1.0,1.0,1.0
42.45,7.4944,1.0,1.0,1.0
42.46,10.5056,1.0,1.0,1.0
42.47,13.0,1.0,1.0,1.0
42.48,17.0,1.0,1.0,1.0
42.49,13.0,1.0,1.0,1.0
42.5,9.0,1.0,1.0,1.0
42.51,11.4944,1.0,1.0,1.0
42.52,13.5056,1.0,1.0,1.0
42.53,9.0,1.0,1.0,1.0
42.54,19.0,1.0,1.0,1.0
42.55,11.0,1.0,1.0,1.0
42.56,22.0,1.0,1.0,1.0
42.57,17.0,1.0,1.0,1.0
42.58,20.0,1.0,1.0,1.0
42.59,23.0,1.0,1.0,1.0
42.6,15.0,1.0,1.0,1.0
42.61,19.0,1.0,1.0,1.0
42.62,25.9889,1.0,1.0,1.0
42.63,26.0111,1.0,1.0,1.0
42.64,26.0,1.0,1.0,1.0
42.65,23.0,1.0,1.0,1.0
42.66,20.0,1.0,1.0,1.0
42.67,11.0,1.0,1.0,1.0
42.68,13.0,1.0,1.0,1.0
42.69,17.9889,1.0,1.0,1.0
42.7,22.0111,1.0,1.0,1.0
42.71,9.0,1.0,1.0,1.0
42.72,15.0,1.0,1.0,1.0
42.73,13.0,1.0,1.0,1.0
42.74,10.0,1.0,1.0,1.0
42.75,20.4944,1.0,1.0,1.0
42.76,19.5056,1.0,1.0,1.0
42.77,17.0,1.0,1.0,1.0
42.78,26.0,1.0,1.0,1.0
42.79,14.4944,1.0,1.0,1.0
42.8,12.5056,1.0,1.0,1.0
42.81,12.0,1.0,1.0,1.0
42.82,7.0,1.0,1.0,1.0
42.83,11.9889,1.0,1.0,1.0
42.84,32.0111,1.0,1.0,1.0
42.85,12.0,1.0,1.0,1.0
42.86,24.0,1.0,1.0,1.0
42.87,18.0,1.0,1.0,1.0
42.88,26.0,1.0,1.0,1.0
42.89,24.0,1.0,1.0,1.0
42.9,12.4944,1.0,1.0,1.0
42.91,23.5056,1.0,1.0,1.0
42.92,25.4944,1.0,1.0,1.0
42.93,19.5056,1.0,1.0,1.0
42.94,24.4944,1.0,1.0,1.0
42.95,20.5056,1.0,1.0,1.0
42.96,29.0,1.0,1.0,1.0
42.97,37.0,1.0,1.0,1.0
42.98,23.0,1.0,1.0,1.0
42.99,24.4944,1.0,1.0,1.0
43.0,16.5056,1.0,1.0,1.0
43.01,19.0,1.0,1.0,1.0
43.02,19.4944,1.0,1.0,1.0
43.03,10.5056,1.0,1.0,1.0
43.04,18.4944,1.0,1.0,1.0
43.05,20.5056,1.0,1.0,1.0
43.06,18.0,1.0,1.0,1.0
43.07,25.9889,1.0,1.0,1.0
43.08,15.0111,1.0,1.0,1.0
43.09,14.0,1.0,1.0,1.0
43.1,13.4944,1.0,1.0,1.0
43.11,15.5056,1.0,1.0,1.0
43.12,12.0,1.0,1.0,1.0
43.13,14.4944,1.0,1.0,1.0
43.14,16.4944,1.0,1.0,1.0
43.15,16.0111,1.0,1.0,1.0
43.16,23.4944,1.0,1.0,1.0
43.17,30.0,1.0,1.0,1.0
43.18,28.5056,1.0,1.0,1.0
43.19,13.4944,1.0,1.0,1.0
43.2,39.0,1.0,1.0,1.0
43.21,29.5056,1.0,1.0,1.0
43.22,19.0,1.0,1.0,1.0
43.23,24.9889,1.0,1.0,1.0
43.24,18.0111,1.0,1.0,1.0
43.25,27.0,1.0,1.0,1.0
43.26,34.4944,1.0,1.0,1.0
43.27,50.0,1.0,1.0,1.0
43.28,42.4944,1.0,1.0,1.0
43.29,30.5056,1.0,1.0,1.0
43.3,46.4944,1.0,1.0,1.0
43.31,30.4944,1.0,1.0,1.0
43.32,43.5167,1.0,1.0,1.0
43.33,19.0,1.0,1.0,1.0
43.34,30.4944,1.0,1.0,1.0
43.35,26.5056,1.0,1.0,1.0
43.36,30.0,1.0,1.0,1.0
43.37,22.4944,1.0,1.0,1.0
43.38,27.5056,1.0,1.0,1.0
43.39,23.9889,1.0,1.0,1.0
43.4,12.0,1.0,1.0,1.0
43.41,27.5056,1.0,1.0,1.0
43.42,17.5056,1.0,1.0,1.0
43.43,14.0,1.0,1.0,1.0
43.44,14.0,1.0,1.0,1.0
43.45,22.0,1.0,1.0,1.0
43.46,10.0,1.0,1.0,1.0
43.47,37.0,1.0,1.0,1.0
