#twotheta, yobs, ycal, bkg, diff
42.0,18.5056,1.0,1.0,1.0
42.01,12.4944,1.0,1.0,1.0
42.02,11.5056,1.0,1.0,1.0
42.03,7.0,1.0,1.0,1.0
42.04,15.0,1.0,1.0,1.0
42.05,17.0,1.0,1.0,1.0
42.06,20.0,1.0,1.0,1.0
42.07,7.0,1.0,1.0,1.0
42.08,10.0,1.0,1.0,1.0
42.09,6.4944,1.0,1.0,1.0
42.1,16.4944,1.0,1.0,1.0
42.11,20.5056,1.0,1.0,1.0
42.12,5.5056,1.0,1.0,1.0
42.13,17.0,1.0,1.0,1.0
42.14,14.0,1.0,1.0,1.0
42.15,9.0,1.0,1.0,1.0
42.16,16.0,1.0,1.0,1.0
42.17,8.0,1.0,1.0,1.0
42.18,13.0,1.0,1.0,1.0
42.19,11.0,1.0,1.0,1.0
42.2,20.0,1.0,1.0,1.0
42.21,19.4944,1.0,1.0,1.0
42.22,17.5056,1.0,1.0,1.0
42.23,21.4944,1.0,1.0,1.0
42.24,7.5056,1.0,1.0,1.0
42.25,8.0,1.0,1.0,1.0
42.26,21.0,1.0,1.0,1.0
42.27,14.0,1.0,1.0,1.0
42.28,22.0,1.0,1.0,1.0
42.29,23.0,1.0,1.0,1.0
42.3,19.0,1.0,1.0,1.0
42.31,24.0,1.0,1.0,1.0
42.32,14.9889,1.0,1.0,1.0
42.33,29.0111,1.0,1.0,1.0
42.34,13.9889,1.0,1.0,1.0
42.35,22.0111,1.0,1.0,1.0
42.36,21.0,1.0,1.0,1.0
42.37,22.0,1.0,1.0,1.0
42.38,19.0,1.0,1.0,1.0
42.39,31.4944,1.0,1.0,1.0
42.4,22.5056,1.0,1.0,1.0
42.41,23.4944,1.0,1.0,1.0
42.42,25.5056,1.0,1.0,1.0
42.43,22.0,1.0,1.0,1.0
42.44,13.0,1.0,1.0,1.0
42.45,27.0,1.0,1.0,1.0
42.46,23.0,1.0,1.0,1.0
42.47,25.4944,1.0,1.0,1.0
42.48,26.4944,1.0,1.0,1.0
42.49,30.0111,1.0,1.0,1.0
42.5,25.0,1.0,1.0,1.0
42.51,17.0,1.0,1.0,1.0
42.52,12.0,1.0,1.0,1.0
42.53,19.0,1.0,1.0,1.0
42.54,20.4944,1.0,1.0,1.0
42.55,17.5056,1.0,1.0,1.0
42.56,19.4944,1.0,1.0,1.0
42.57,21.0,1.0,1.0,1.0
42.58,28.5056,1.0,1.0,1.0
42.59,17.0,1.0,1.0,1.0
42.6,22.0,1.0,1.0,1.0
42.61,21.9889,1.0,1.0,1.0
42.62,11.0111,1.0,1.0,1.0
42.63,14.4944,1.0,1.0,1.0
42.64,15.5056,1.0,1.0,1.0
42.65,8.4944,1.0,1.0,1.0
42.66,14.5056,1.0,1.0,1.0
42.67,12.0,1.0,1.0,1.0
42.68,14.0,1.0,1.0,1.0
42.69,18.9889,1.0,1.0,1.0
42.7,10.0111,1.0,1.0,1.0
42.71,20.0,1.0,1.0,1.0
42.72,11.0,1.0,1.0,1.0
42.73,11.0,1.0,1.0,1.0
42.74,16.0,1.0,1.0,1.0
42.75,4.4944,1.0,1.0,1.0
42.76,15.5056,1.0,1.0,1.0
42.77,10.4944,1.0,1.0,1.0
42.78,13.5056,1.0,1.0,1.0
42.79,13.0,1.0,1.0,1.0
42.8,21.4944,1.0,1.0,1.0
42.81,11.5056,1.0,1.0,1.0
42.82,7.0,1.0,1.0,1.0
42.83,6.0,1.0,1.0,1.0
42.84,8.4944,1.0,1.0,1.0
42.85,11.5056,1.0,1.0,1.0
42.86,18.0,1.0,1.0,1.0
42.87,11.0,1.0,1.0,1.0
42.88,26.0,1.0,1.0,1.0
42.89,12.0,1.0,1.0,1.0
42.9,21.0,1.0,1.0,1.0
42.91,1.4944,1.0,1.0,1.0
42.92,16.5056,1.0,1.0,1.0
42.93,23.0,1.0,1.0,1.0
42.94,26.4944,1.0,1.0,1.0
