#twotheta, yobs, ycal, bkg, diff
42.0,9.9889,1.0,1.0,1.0
42.01,11.0111,1.0,1.0,1.0
42.02,12.0,1.0,1.0,1.0
42.03,15.4944,1.0,1.0,1.0
42.04,16.0,1.0,1.0,1.0
42.05,19.5056,1.0,1.0,1.0
42.06,17.0,1.0,1.0,1.0
42.07,24.0,1.0,1.0,1.0
42.08,17.4944,1.0,1.0,1.0
42.09,14.5056,1.0,1.0,1.0
42.1,18.4944,1.0,1.0,1.0
42.11,14.0,1.0,1.0,1.0
42.12,7.5056,1.0,1.0,1.0
42.13,12.0,1.0,1.0,1.0
42.14,10.4944,1.0,1.0,1.0
42.15,21.5056,1.0,1.0,1.0
42.16,8.4944,1.0,1.0,1.0
42.17,21.5056,1.0,1.0,1.0
42.18,17.0,1.0,1.0,1.0
42.19,20.0,1.0,1.0,1.0
42.2,5.4944,1.0,1.0,1.0
42.21,18.5056,1.0,1.0,1.0
42.22,4.0,1.0,1.0,1.0
42.23,24.0,1.0,1.0,1.0
42.24,2.0,1.0,1.0,1.0
42.25,9.4944,1.0,1.0,1.0
42.26,23.0,1.0,1.0,1.0
42.27,17.5056,1.0,1.0,1.0
42.28,14.0,1.0,1.0,1.0
42.29,20.0,1.0,1.0,1.0
42.3,19.4944,1.0,1.0,1.0
42.31,24.5056,1.0,1.0,1.0
42.32,7.0,1.0,1.0,1.0
42.33,12.0,1.0,1.0,1.0
42.34,15.9889,1.0,1.0,1.0
42.35,21.0111,1.0,1.0,1.0
42.36,11.0,1.0,1.0,1.0
42.37,17.9889,1.0,1.0,1.0
42.38,24.0111,1.0,1.0,1.0
42.39,22.4944,1.0,1.0,1.0
42.4,19.5056,1.0,1.0,1.0
42.41,17.0,1.0,1.0,1.0
42.42,27.4944,1.0,1.0,1.0
42.43,19.5056,1.0,1.0,1.0
42.44,13.0,1.0,1.0,1.0
42.45,21.0,1.0,1.0,1.0
42.46,16.0,1.0,1.0,1.0
42.47,18.4944,1.0,1.0,1.0
42.48,26.5056,1.0,1.0,1.0
42.49,17.0,1.0,1.0,1.0
42.5,12.0,1.0,1.0,1.0
42.51,28.0,1.0,1.0,1.0
42.52,20.0,1.0,1.0,1.0
42.53,5.0,1.0,1.0,1.0
42.54,17.0,1.0,1.0,1.0
42.55,30.4944,1.0,1.0,1.0
42.56,10.5056,1.0,1.0,1.0
42.57,32.0,1.0,1.0,1.0
42.58,34.0,1.0,1.0,1.0
42.59,17.0,1.0,1.0,1.0
42.6,18.0,1.0,1.0,1.0
42.61,22.0,1.0,1.0,1.0
42.62,29.0,1.0,1.0,1.0
42.63,22.0,1.0,1.0,1.0
42.64,15.0,1.0,1.0,1.0
42.65,31.0,1.0,1.0,1.0
42.66,11.0,1.0,1.0,1.0
42.67,17.4944,1.0,1.0,1.0
42.68,34.5056,1.0,1.0,1.0
42.69,37.0,1.0,1.0,1.0
42.7,36.0,1.0,1.0,1.0
42.71,31.4944,1.0,1.0,1.0
42.72,29.0,1.0,1.0,1.0
42.73,22.5056,1.0,1.0,1.0
42.74,23.0,1.0,1.0,1.0
42.75,21.4944,1.0,1.0,1.0
42.76,20.5056,1.0,1.0,1.0
42.77,33.0,1.0,1.0,1.0
42.78,16.0,1.0,1.0,1.0
42.79,18.4944,1.0,1.0,1.0
42.8,30.5056,1.0,1.0,1.0
42.81,15.0,1.0,1.0,1.0
42.82,24.0,1.0,1.0,1.0
42.83,26.0,1.0,1.0,1.0
42.84,35.0,1.0,1.0,1.0
42.85,14.0,1.0,1.0,1.0
42.86,18.0,1.0,1.0,1.0
42.87,19.0,1.0,1.0,1.0
42.88,30.0,1.0,1.0,1.0
42.89,18.4944,1.0,1.0,1.0
42.9,16.5056,1.0,1.0,1.0
42.91,12.4944,1.0,1.0,1.0
42.92,10.0,1.0,1.0,1.0
42.93,9.5056,1.0,1.0,1.0
42.94,25.0,1.0,1.0,1.0
42.95,15.4944,1.0,1.0,1.0
42.96,11.0,1.0,1.0,1.0
42.97,23.0,1.0,1.0,1.0
42.98,15.5056,1.0,1.0,1.0
42.99,17.9889,1.0,1.0,1.0
43.0,9.5056,1.0,1.0,1.0
43.01,19.5056,1.0,1.0,1.0
43.02,20.0,1.0,1.0,1.0
43.03,12.0,1.0,1.0,1.0
43.04,19.0,1.0,1.0,1.0
43.05,13.0,1.0,1.0,1.0
43.06,17.4944,1.0,1.0,1.0
43.07,22.5056,1.0,1.0,1.0
43.08,20.0,1.0,1.0,1.0
43.09,14.0,1.0,1.0,1.0
43.1,20.0,1.0,1.0,1.0
43.11,12.9889,1.0,1.0,1.0
43.12,20.5056,1.0,1.0,1.0
43.13,18.4944,1.0,1.0,1.0
43.14,10.0111,1.0,1.0,1.0
43.15,20.4944,1.0,1.0,1.0
43.16,31.5056,1.0,1.0,1.0
43.17,29.0,1.0,1.0,1.0
43.18,14.0,1.0,1.0,1.0
43.19,15.0,1.0,1.0,1.0
43.2,15.0,1.0,1.0,1.0
43.21,20.0,1.0,1.0,1.0
43.22,34.0,1.0,1.0,1.0
43.23,17.4944,1.0,1.0,1.0
43.24,21.5056,1.0,1.0,1.0
43.25,18.0,1.0,1.0,1.0
43.26,26.0,1.0,1.0,1.0
43.27,27.0,1.0,1.0,1.0
43.28,16.9889,1.0,1.0,1.0
43.29,72.5056,1.0,1.0,1.0
43.3,28.5056,1.0,1.0,1.0
43.31,16.0,1.0,1.0,1.0
43.32,26.0,1.0,1.0,1.0
43.33,39.0,1.0,1.0,1.0
43.34,37.0,1.0,1.0,1.0
43.35,23.4944,1.0,1.0,1.0
43.36,37.5056,1.0,1.0,1.0
43.37,41.0,1.0,1.0,1.0
43.38,31.0,1.0,1.0,1.0
43.39,40.0,1.0,1.0,1.0
43.4,30.0,1.0,1.0,1.0
43.41,48.4944,1.0,1.0,1.0
43.42,34.4944,1.0,1.0,1.0
43.43,40.0,1.0,1.0,1.0
43.44,36.0111,1.0,1.0,1.0
43.45,30.0,1.0,1.0,1.0
43.46,34.4944,1.0,1.0,1.0
43.47,22.0,1.0,1.0,1.0
43.48,38.5056,1.0,1.0,1.0
43.49,40.9889,1.0,1.0,1.0
43.5,43.5056,1.0,1.0,1.0
43.51,45.0,1.0,1.0,1.0
43.52,56.4944,1.0,1.0,1.0
43.53,38.0111,1.0,1.0,1.0
43.54,39.0,1.0,1.0,1.0
43.55,47.0,1.0,1.0,1.0
43.56,44.0,1.0,1.0,1.0
43.57,44.0,1.0,1.0,1.0
43.58,28.0,1.0,1.0,1.0
43.59,23.0,1.0,1.0,1.0
43.6,63.4944,1.0,1.0,1.0
43.61,40.0,1.0,1.0,1.0
43.62,55.5056,1.0,1.0,1.0
43.63,49.4833,1.0,1.0,1.0
43.64,59.5056,1.0,1.0,1.0
43.65,43.0111,1.0,1.0,1.0
43.66,33.4944,1.0,1.0,1.0
43.67,62.0,1.0,1.0,1.0
43.68,44.4944,1.0,1.0,1.0
43.69,56.4944,1.0,1.0,1.0
43.7,42.5167,1.0,1.0,1.0
43.71,27.4944,1.0,1.0,1.0
43.72,49.4944,1.0,1.0,1.0
43.73,35.0111,1.0,1.0,1.0
43.74,45.4833,1.0,1.0,1.0
43.75,46.0111,1.0,1.0,1.0
43.76,31.4944,1.0,1.0,1.0
43.77,31.5056,1.0,1.0,1.0
43.78,46.0,1.0,1.0,1.0
43.79,37.0,1.0,1.0,1.0
43.8,37.5056,1.0,1.0,1.0
43.81,37.0,1.0,1.0,1.0
43.82,37.4944,1.0,1.0,1.0
43.83,25.5056,1.0,1.0,1.0
43.84,27.0,1.0,1.0,1.0
43.85,30.0,1.0,1.0,1.0
43.86,18.4944,1.0,1.0,1.0
43.87,48.5056,1.0,1.0,1.0
43.88,31.0,1.0,1.0,1.0
43.89,21.0,1.0,1.0,1.0
43.9,43.9889,1.0,1.0,1.0
43.91,33.0111,1.0,1.0,1.0
43.92,22.9889,1.0,1.0,1.0
43.93,33.0111,1.0,1.0,1.0
43.94,16.4944,1.0,1.0,1.0
43.95,18.5056,1.0,1.0,1.0
43.96,29.0,1.0,1.0,1.0
43.97,23.0,1.0,1.0,1.0
43.98,24.0,1.0,1.0,1.0
43.99,11.0,1.0,1.0,1.0
44.0,21.4944,1.0,1.0,1.0
44.01,21.0,1.0,1.0,1.0
44.02,19.5056,1.0,1.0,1.0
