#twotheta, yobs, ycal, bkg, diff
42.0,17.4944,1.0,1.0,1.0
42.01,10.5056,1.0,1.0,1.0
42.02,11.4944,1.0,1.0,1.0
42.03,6.5056,1.0,1.0,1.0
42.04,13.0,1.0,1.0,1.0
42.05,18.4944,1.0,1.0,1.0
42.06,12.5056,1.0,1.0,1.0
42.07,15.4944,1.0,1.0,1.0
42.08,14.5056,1.0,1.0,1.0
42.09,17.4944,1.0,1.0,1.0
42.1,23.5056,1.0,1.0,1.0
42.11,5.0,1.0,1.0,1.0
42.12,11.0,1.0,1.0,1.0
42.13,12.0,1.0,1.0,1.0
42.14,14.0,1.0,1.0,1.0
42.15,11.0,1.0,1.0,1.0
42.16,16.0,1.0,1.0,1.0
42.17,22.4944,1.0,1.0,1.0
42.18,17.5056,1.0,1.0,1.0
42.19,18.0,1.0,1.0,1.0
42.2,8.0,1.0,1.0,1.0
42.21,18.0,1.0,1.0,1.0
42.22,9.0,1.0,1.0,1.0
42.23,21.0,1.0,1.0,1.0
42.24,15.0,1.0,1.0,1.0
42.25,17.0,1.0,1.0,1.0
42.26,7.0,1.0,1.0,1.0
42.27,17.0,1.0,1.0,1.0
42.28,5.4944,1.0,1.0,1.0
42.29,5.5056,1.0,1.0,1.0
42.3,24.0,1.0,1.0,1.0
42.31,15.0,1.0,1.0,1.0
42.32,27.0,1.0,1.0,1.0
42.33,24.0,1.0,1.0,1.0
42.34,11.0,1.0,1.0,1.0
42.35,23.0,1.0,1.0,1.0
42.36,25.0,1.0,1.0,1.0
42.37,30.0,1.0,1.0,1.0
42.38,9.0,1.0,1.0,1.0
42.39,28.0,1.0,1.0,1.0
42.4,17.0,1.0,1.0,1.0
42.41,18.4944,1.0,1.0,1.0
42.42,24.0,1.0,1.0,1.0
42.43,23.5056,1.0,1.0,1.0
42.44,23.4944,1.0,1.0,1.0
42.45,18.5056,1.0,1.0,1.0
42.46,22.9889,1.0,1.0,1.0
42.47,24.0,1.0,1.0,1.0
42.48,29.5056,1.0,1.0,1.0
42.49,26.0,1.0,1.0,1.0
42.5,30.4944,1.0,1.0,1.0
42.51,24.0111,1.0,1.0,1.0
42.52,17.9889,1.0,1.0,1.0
42.53,27.5056,1.0,1.0,1.0
42.54,16.5056,1.0,1.0,1.0
42.55,29.0,1.0,1.0,1.0
42.56,13.4944,1.0,1.0,1.0
42.57,15.0,1.0,1.0,1.0
42.58,18.5056,1.0,1.0,1.0
42.59,23.0,1.0,1.0,1.0
42.6,28.0,1.0,1.0,1.0
42.61,30.0,1.0,1.0,1.0
42.62,11.4944,1.0,1.0,1.0
42.63,26.5056,1.0,1.0,1.0
42.64,24.0,1.0,1.0,1.0
42.65,9.0,1.0,1.0,1.0
42.66,10.4944,1.0,1.0,1.0
42.67,18.0,1.0,1.0,1.0
42.68,26.0,1.0,1.0,1.0
42.69,31.5056,1.0,1.0,1.0
42.7,11.4944,1.0,1.0,1.0
42.71,14.5056,1.0,1.0,1.0
42.72,22.0,1.0,1.0,1.0
42.73,16.0,1.0,1.0,1.0
42.74,6.0,1.0,1.0,1.0
42.75,14.0,1.0,1.0,1.0
42.76,20.0,1.0,1.0,1.0
42.77,12.0,1.0,1.0,1.0
42.78,14.0,1.0,1.0,1.0
42.79,24.0,1.0,1.0,1.0
42.8,11.9889,1.0,1.0,1.0
42.81,26.0111,1.0,1.0,1.0
42.82,9.0,1.0,1.0,1.0
42.83,21.0,1.0,1.0,1.0
42.84,19.0,1.0,1.0,1.0
42.85,24.0,1.0,1.0,1.0
42.86,12.0,1.0,1.0,1.0
42.87,14.9889,1.0,1.0,1.0
42.88,15.0111,1.0,1.0,1.0
42.89,17.0,1.0,1.0,1.0
42.9,19.0,1.0,1.0,1.0
42.91,10.4944,1.0,1.0,1.0
42.92,14.0,1.0,1.0,1.0
42.93,23.0,1.0,1.0,1.0
42.94,15.5056,1.0,1.0,1.0
42.95,16.0,1.0,1.0,1.0
42.96,12.0,1.0,1.0,1.0
42.97,0.0,1.0,1.0,1.0
42.98,10.4944,1.0,1.0,1.0
42.99,7.0,1.0,1.0,1.0
43.0,21.5056,1.0,1.0,1.0
43.01,15.0,1.0,1.0,1.0
43.02,18.0,1.0,1.0,1.0
43.03,12.0,1.0,1.0,1.0
43.04,15.0,1.0,1.0,1.0
43.05,23.9889,1.0,1.0,1.0
43.06,16.0111,1.0,1.0,1.0
43.07,22.9778,1.0,1.0,1.0
43.08,20.0222,1.0,1.0,1.0
43.09,7.0,1.0,1.0,1.0
43.1,9.0,1.0,1.0,1.0
43.11,20.4944,1.0,1.0,1.0
43.12,12.5056,1.0,1.0,1.0
43.13,19.0,1.0,1.0,1.0
43.14,23.0,1.0,1.0,1.0
43.15,23.4944,1.0,1.0,1.0
43.16,30.0,1.0,1.0,1.0
43.17,22.5056,1.0,1.0,1.0
43.18,17.0,1.0,1.0,1.0
43.19,20.9889,1.0,1.0,1.0
43.2,36.0111,1.0,1.0,1.0
43.21,23.0,1.0,1.0,1.0
43.22,8.0,1.0,1.0,1.0
43.23,29.0,1.0,1.0,1.0
43.24,29.0,1.0,1.0,1.0
43.25,66.0,1.0,1.0,1.0
43.26,45.4944,1.0,1.0,1.0
43.27,23.0,1.0,1.0,1.0
43.28,17.4944,1.0,1.0,1.0
43.29,34.0111,1.0,1.0,1.0
43.3,40.0,1.0,1.0,1.0
43.31,30.0,1.0,1.0,1.0
43.32,33.9889,1.0,1.0,1.0
43.33,52.0111,1.0,1.0,1.0
43.34,42.9889,1.0,1.0,1.0
43.35,42.0111,1.0,1.0,1.0
43.36,35.9889,1.0,1.0,1.0
43.37,51.4944,1.0,1.0,1.0
43.38,45.5167,1.0,1.0,1.0
43.39,43.0,1.0,1.0,1.0
43.4,56.4944,1.0,1.0,1.0
43.41,43.9889,1.0,1.0,1.0
43.42,44.0111,1.0,1.0,1.0
43.43,40.0,1.0,1.0,1.0
43.44,41.5056,1.0,1.0,1.0
43.45,43.9889,1.0,1.0,1.0
43.46,51.0111,1.0,1.0,1.0
43.47,48.0,1.0,1.0,1.0
43.48,33.4944,1.0,1.0,1.0
43.49,43.5056,1.0,1.0,1.0
43.5,46.0,1.0,1.0,1.0
43.51,27.0,1.0,1.0,1.0
43.52,44.9889,1.0,1.0,1.0
43.53,31.0,1.0,1.0,1.0
43.54,36.4944,1.0,1.0,1.0
43.55,42.5167,1.0,1.0,1.0
43.56,42.0,1.0,1.0,1.0
43.57,43.0,1.0,1.0,1.0
43.58,53.0,1.0,1.0,1.0
43.59,30.0,1.0,1.0,1.0
43.6,27.9889,1.0,1.0,1.0
43.61,42.0,1.0,1.0,1.0
43.62,54.0111,1.0,1.0,1.0
43.63,31.4944,1.0,1.0,1.0
43.64,42.0,1.0,1.0,1.0
43.65,46.5056,1.0,1.0,1.0
43.66,37.9889,1.0,1.0,1.0
43.67,43.0111,1.0,1.0,1.0
43.68,26.4944,1.0,1.0,1.0
43.69,29.5056,1.0,1.0,1.0
43.7,36.4944,1.0,1.0,1.0
43.71,30.4833,1.0,1.0,1.0
43.72,32.0222,1.0,1.0,1.0
43.73,30.0,1.0,1.0,1.0
43.74,59.4944,1.0,1.0,1.0
43.75,24.5056,1.0,1.0,1.0
43.76,39.4944,1.0,1.0,1.0
43.77,44.4944,1.0,1.0,1.0
43.78,30.0111,1.0,1.0,1.0
43.79,28.4944,1.0,1.0,1.0
43.8,27.5056,1.0,1.0,1.0
43.81,33.9889,1.0,1.0,1.0
43.82,31.0,1.0,1.0,1.0
43.83,30.5056,1.0,1.0,1.0
43.84,22.0,1.0,1.0,1.0
43.85,26.0,1.0,1.0,1.0
43.86,17.0,1.0,1.0,1.0
43.87,30.5056,1.0,1.0,1.0
43.88,25.4944,1.0,1.0,1.0
43.89,32.5056,1.0,1.0,1.0
43.9,8.0,1.0,1.0,1.0
43.91,26.4944,1.0,1.0,1.0
43.92,24.5056,1.0,1.0,1.0
43.93,27.9889,1.0,1.0,1.0
43.94,20.0111,1.0,1.0,1.0
43.95,20.4944,1.0,1.0,1.0
43.96,20.4944,1.0,1.0,1.0
43.97,40.0111,1.0,1.0,1.0
43.98,24.0,1.0,1.0,1.0
43.99,30.0,1.0,1.0,1.0
44.0,31.0,1.0,1.0,1.0
44.01,18.0,1.0,1.0,1.0
44.02,30.0,1.0,1.0,1.0
44.03,33.0,1.0,1.0,1.0
44.04,43.4944,1.0,1.0,1.0
44.05,41.0,1.0,1.0,1.0
44.06,32.5056,1.0,1.0,1.0
44.07,44.0,1.0,1.0,1.0
44.08,40.4944,1.0,1.0,1.0
44.09,34.5056,1.0,1.0,1.0
44.1,42.4944,1.0,1.0,1.0
44.11,42.0,1.0,1.0,1.0
44.12,45.4944,1.0,1.0,1.0
44.13,34.5056,1.0,1.0,1.0
44.14,64.5056,1.0,1.0,1.0
44.15,47.4944,1.0,1.0,1.0
44.16,62.5056,1.0,1.0,1.0
44.17,43.4833,1.0,1.0,1.0
44.18,57.5056,1.0,1.0,1.0
44.19,44.4944,1.0,1.0,1.0
44.2,71.5056,1.0,1.0,1.0
44.21,55.0111,1.0,1.0,1.0
44.22,75.9778,1.0,1.0,1.0
44.23,61.0111,1.0,1.0,1.0
44.24,59.0111,1.0,1.0,1.0
44.25,73.0,1.0,1.0,1.0
44.26,64.4833,1.0,1.0,1.0
44.27,70.5167,1.0,1.0,1.0
44.28,83.0,1.0,1.0,1.0
44.29,79.9889,1.0,1.0,1.0
44.3,96.4944,1.0,1.0,1.0
44.31,78.5167,1.0,1.0,1.0
44.32,100.4611,1.0,1.0,1.0
44.33,119.0222,1.0,1.0,1.0
44.34,98.4944,1.0,1.0,1.0
44.35,104.5056,1.0,1.0,1.0
44.36,119.0,1.0,1.0,1.0
44.37,100.0,1.0,1.0,1.0
44.38,106.5056,1.0,1.0,1.0
44.39,89.9889,1.0,1.0,1.0
44.4,131.5056,1.0,1.0,1.0
44.41,132.0111,1.0,1.0,1.0
44.42,107.4944,1.0,1.0,1.0
44.43,121.0,1.0,1.0,1.0
44.44,114.0,1.0,1.0,1.0
44.45,109.0,1.0,1.0,1.0
44.46,108.5056,1.0,1.0,1.0
44.47,134.5056,1.0,1.0,1.0
44.48,135.9889,1.0,1.0,1.0
44.49,118.5056,1.0,1.0,1.0
44.5,131.4833,1.0,1.0,1.0
44.51,117.5167,1.0,1.0,1.0
44.52,136.0,1.0,1.0,1.0
44.53,124.4944,1.0,1.0,1.0
44.54,125.0,1.0,1.0,1.0
44.55,130.9889,1.0,1.0,1.0
44.56,128.0,1.0,1.0,1.0
44.57,118.4944,1.0,1.0,1.0
44.58,110.0222,1.0,1.0,1.0
44.59,115.0,1.0,1.0,1.0
44.6,117.4944,1.0,1.0,1.0
44.61,127.5056,1.0,1.0,1.0
44.62,118.4944,1.0,1.0,1.0
44.63,119.0,1.0,1.0,1.0
44.64,102.0,1.0,1.0,1.0
44.65,125.4944,1.0,1.0,1.0
44.66,133.5056,1.0,1.0,1.0
44.67,102.4944,1.0,1.0,1.0
44.68,104.5167,1.0,1.0,1.0
44.69,64.9889,1.0,1.0,1.0
44.7,105.0111,1.0,1.0,1.0
44.71,82.0,1.0,1.0,1.0
44.72,70.4944,1.0,1.0,1.0
44.73,96.0,1.0,1.0,1.0
44.74,82.5056,1.0,1.0,1.0
44.75,67.0,1.0,1.0,1.0
44.76,76.4944,1.0,1.0,1.0
44.77,69.5056,1.0,1.0,1.0
44.78,69.4833,1.0,1.0,1.0
44.79,79.5056,1.0,1.0,1.0
44.8,67.5056,1.0,1.0,1.0
44.81,57.5056,1.0,1.0,1.0
44.82,81.4944,1.0,1.0,1.0
44.83,70.0,1.0,1.0,1.0
44.84,54.4944,1.0,1.0,1.0
44.85,45.0111,1.0,1.0,1.0
44.86,47.4833,1.0,1.0,1.0
44.87,53.5167,1.0,1.0,1.0
44.88,38.4944,1.0,1.0,1.0
44.89,40.5056,1.0,1.0,1.0
44.9,35.0,1.0,1.0,1.0
44.91,49.4833,1.0,1.0,1.0
44.92,58.0111,1.0,1.0,1.0
44.93,49.0,1.0,1.0,1.0
44.94,33.4944,1.0,1.0,1.0
44.95,52.0111,1.0,1.0,1.0
44.96,65.0,1.0,1.0,1.0
44.97,51.4833,1.0,1.0,1.0
44.98,84.5056,1.0,1.0,1.0
44.99,66.5056,1.0,1.0,1.0
45.0,78.4944,1.0,1.0,1.0
45.01,84.5056,1.0,1.0,1.0
