#twotheta, yobs, ycal, bkg, diff
42.0,11.0,1.0,1.0,1.0
42.01,10.0,1.0,1.0,1.0
42.02,3.0,1.0,1.0,1.0
42.03,6.0,1.0,1.0,1.0
42.04,13.0,1.0,1.0,1.0
42.05,17.0,1.0,1.0,1.0
42.06,13.0,1.0,1.0,1.0
42.07,17.9889,1.0,1.0,1.0
42.08,16.5056,1.0,1.0,1.0
42.09,21.4944,1.0,1.0,1.0
42.1,12.5056,1.0,1.0,1.0
42.11,10.5056,1.0,1.0,1.0
42.12,11.0,1.0,1.0,1.0
42.13,17.4944,1.0,1.0,1.0
42.14,17.5056,1.0,1.0,1.0
42.15,12.0,1.0,1.0,1.0
42.16,16.4944,1.0,1.0,1.0
42.17,6.5056,1.0,1.0,1.0
42.18,10.0,1.0,1.0,1.0
42.19,7.0,1.0,1.0,1.0
42.2,15.0,1.0,1.0,1.0
42.21,11.0,1.0,1.0,1.0
42.22,20.0,1.0,1.0,1.0
42.23,16.9889,1.0,1.0,1.0
42.24,8.5056,1.0,1.0,1.0
42.25,9.5056,1.0,1.0,1.0
42.26,22.0,1.0,1.0,1.0
42.27,21.0,1.0,1.0,1.0
42.28,9.4944,1.0,1.0,1.0
42.29,14.5056,1.0,1.0,1.0
42.3,13.0,1.0,1.0,1.0
42.31,17.0,1.0,1.0,1.0
42.32,5.4944,1.0,1.0,1.0
42.33,16.5056,1.0,1.0,1.0
42.34,11.0,1.0,1.0,1.0
42.35,22.0,1.0,1.0,1.0
42.36,11.0,1.0,1.0,1.0
42.37,9.0,1.0,1.0,1.0
42.38,9.0,1.0,1.0,1.0
42.39,8.0,1.0,1.0,1.0
42.4,13.0,1.0,1.0,1.0
42.41,18.0,1.0,1.0,1.0
42.42,7.0,1.0,1.0,1.0
42.43,10.0,1.0,1.0,1.0
42.44,4.0,1.0,1.0,1.0
42.45,13.0,1.0,1.0,1.0
42.46,16.0,1.0,1.0,1.0
42.47,7.0,1.0,1.0,1.0
42.48,5.9889,1.0,1.0,1.0
42.49,18.0111,1.0,1.0,1.0
42.5,4.0,1.0,1.0,1.0
42.51,12.0,1.0,1.0,1.0
42.52,1.0,1.0,1.0,1.0
42.53,4.0,1.0,1.0,1.0
42.54,11.0,1.0,1.0,1.0
42.55,11.0,1.0,1.0,1.0
42.56,12.0,1.0,1.0,1.0
42.57,18.0,1.0,1.0,1.0
42.58,6.0,1.0,1.0,1.0
42.59,8.0,1.0,1.0,1.0
42.6,26.0,1.0,1.0,1.0
42.61,3.0,1.0,1.0,1.0
42.62,16.4944,1.0,1.0,1.0
42.63,9.5056,1.0,1.0,1.0
42.64,13.0,1.0,1.0,1.0
42.65,15.0,1.0,1.0,1.0
42.66,3.4944,1.0,1.0,1.0
42.67,16.5056,1.0,1.0,1.0
42.68,3.0,1.0,1.0,1.0
42.69,17.0,1.0,1.0,1.0
42.7,12.4944,1.0,1.0,1.0
42.71,12.5056,1.0,1.0,1.0
42.72,15.0,1.0,1.0,1.0
42.73,12.0,1.0,1.0,1.0
42.74,7.0,1.0,1.0,1.0
42.75,15.0,1.0,1.0,1.0
42.76,10.0,1.0,1.0,1.0
42.77,3.4944,1.0,1.0,1.0
42.78,10.0,1.0,1.0,1.0
42.79,24.5056,1.0,1.0,1.0
42.8,15.0,1.0,1.0,1.0
42.81,3.0,1.0,1.0,1.0
42.82,3.0,1.0,1.0,1.0
42.83,4.0,1.0,1.0,1.0
42.84,8.4944,1.0,1.0,1.0
42.85,6.5056,1.0,1.0,1.0
42.86,16.0,1.0,1.0,1.0
42.87,4.0,1.0,1.0,1.0
42.88,15.4944,1.0,1.0,1.0
42.89,11.5056,1.0,1.0,1.0
42.9,17.0,1.0,1.0,1.0
42.91,8.4944,1.0,1.0,1.0
42.92,16.0,1.0,1.0,1.0
42.93,14.5056,1.0,1.0,1.0
42.94,7.9889,1.0,1.0,1.0
42.95,12.0111,1.0,1.0,1.0
42.96,16.0,1.0,1.0,1.0
42.97,6.0,1.0,1.0,1.0
42.98,9.0,1.0,1.0,1.0
42.99,17.0,1.0,1.0,1.0
43.0,7.0,1.0,1.0,1.0
43.01,4.0,1.0,1.0,1.0
43.02,9.0,1.0,1.0,1.0
43.03,8.0,1.0,1.0,1.0
