#twotheta, yobs, ycal, bkg, diff
42.0,46.5056,1.0,1.0,1.0
42.01,40.0,1.0,1.0,1.0
42.02,40.4944,1.0,1.0,1.0
42.03,50.0,1.0,1.0,1.0
42.04,37.5056,1.0,1.0,1.0
42.05,33.9889,1.0,1.0,1.0
42.06,41.5056,1.0,1.0,1.0
42.07,37.0,1.0,1.0,1.0
42.08,27.0,1.0,1.0,1.0
42.09,50.0,1.0,1.0,1.0
42.1,43.0,1.0,1.0,1.0
42.11,48.5056,1.0,1.0,1.0
42.12,38.4944,1.0,1.0,1.0
42.13,35.5056,1.0,1.0,1.0
42.14,30.0,1.0,1.0,1.0
42.15,38.4944,1.0,1.0,1.0
42.16,34.0,1.0,1.0,1.0
42.17,39.0,1.0,1.0,1.0
42.18,50.0,1.0,1.0,1.0
42.19,23.5056,1.0,1.0,1.0
42.2,43.0,1.0,1.0,1.0
42.21,42.0,1.0,1.0,1.0
42.22,28.0,1.0,1.0,1.0
42.23,26.0,1.0,1.0,1.0
42.24,31.4944,1.0,1.0,1.0
42.25,26.5056,1.0,1.0,1.0
42.26,36.0,1.0,1.0,1.0
42.27,41.9889,1.0,1.0,1.0
42.28,35.0111,1.0,1.0,1.0
42.29,41.0,1.0,1.0,1.0
42.3,24.0,1.0,1.0,1.0
42.31,19.0,1.0,1.0,1.0
42.32,32.0,1.0,1.0,1.0
42.33,47.0,1.0,1.0,1.0
42.34,26.4944,1.0,1.0,1.0
42.35,36.5056,1.0,1.0,1.0
42.36,32.4944,1.0,1.0,1.0
42.37,29.5056,1.0,1.0,1.0
42.38,23.9889,1.0,1.0,1.0
42.39,25.5056,1.0,1.0,1.0
42.4,33.5056,1.0,1.0,1.0
42.41,30.4944,1.0,1.0,1.0
42.42,28.5056,1.0,1.0,1.0
42.43,21.0,1.0,1.0,1.0
42.44,26.0,1.0,1.0,1.0
42.45,24.0,1.0,1.0,1.0
42.46,15.0,1.0,1.0,1.0
42.47,32.0,1.0,1.0,1.0
42.48,17.4944,1.0,1.0,1.0
42.49,30.5056,1.0,1.0,1.0
42.5,7.0,1.0,1.0,1.0
42.51,18.0,1.0,1.0,1.0
42.52,31.0,1.0,1.0,1.0
42.53,29.0,1.0,1.0,1.0
42.54,7.0,1.0,1.0,1.0
42.55,9.0,1.0,1.0,1.0
42.56,21.4944,1.0,1.0,1.0
42.57,24.5056,1.0,1.0,1.0
42.58,18.0,1.0,1.0,1.0
42.59,13.4944,1.0,1.0,1.0
42.6,27.5056,1.0,1.0,1.0
42.61,47.4944,1.0,1.0,1.0
42.62,13.5056,1.0,1.0,1.0
42.63,23.4944,1.0,1.0,1.0
42.64,29.5056,1.0,1.0,1.0
42.65,15.0,1.0,1.0,1.0
42.66,32.0,1.0,1.0,1.0
42.67,14.0,1.0,1.0,1.0
42.68,13.9889,1.0,1.0,1.0
42.69,18.0111,1.0,1.0,1.0
42.7,20.0,1.0,1.0,1.0
42.71,18.9889,1.0,1.0,1.0
42.72,37.5056,1.0,1.0,1.0
42.73,30.4944,1.0,1.0,1.0
42.74,27.0111,1.0,1.0,1.0
42.75,27.4944,1.0,1.0,1.0
42.76,33.0,1.0,1.0,1.0
42.77,29.0,1.0,1.0,1.0
42.78,24.5056,1.0,1.0,1.0
42.79,22.4944,1.0,1.0,1.0
42.8,26.5056,1.0,1.0,1.0
42.81,28.0,1.0,1.0,1.0
42.82,18.4944,1.0,1.0,1.0
42.83,25.5056,1.0,1.0,1.0
42.84,17.0,1.0,1.0,1.0
42.85,24.0,1.0,1.0,1.0
42.86,23.0,1.0,1.0,1.0
42.87,26.9889,1.0,1.0,1.0
42.88,24.0111,1.0,1.0,1.0
42.89,40.9889,1.0,1.0,1.0
42.9,32.5056,1.0,1.0,1.0
42.91,45.5056,1.0,1.0,1.0
42.92,37.4944,1.0,1.0,1.0
42.93,29.9889,1.0,1.0,1.0
42.94,51.0111,1.0,1.0,1.0
42.95,37.5056,1.0,1.0,1.0
42.96,39.0,1.0,1.0,1.0
42.97,50.0,1.0,1.0,1.0
42.98,44.4944,1.0,1.0,1.0
42.99,26.5056,1.0,1.0,1.0
43.0,29.4944,1.0,1.0,1.0
43.01,43.0,1.0,1.0,1.0
43.02,27.5056,1.0,1.0,1.0
43.03,44.4944,1.0,1.0,1.0
43.04,51.9889,1.0,1.0,1.0
43.05,57.5056,1.0,1.0,1.0
43.06,53.5056,1.0,1.0,1.0
43.07,56.0,1.0,1.0,1.0
43.08,61.5056,1.0,1.0,1.0
43.09,44.9889,1.0,1.0,1.0
43.1,55.0111,1.0,1.0,1.0
43.11,71.0,1.0,1.0,1.0
43.12,43.0,1.0,1.0,1.0
43.13,50.9889,1.0,1.0,1.0
43.14,57.0,1.0,1.0,1.0
43.15,70.0,1.0,1.0,1.0
43.16,51.4944,1.0,1.0,1.0
43.17,64.5056,1.0,1.0,1.0
43.18,60.5056,1.0,1.0,1.0
43.19,85.5056,1.0,1.0,1.0
43.2,80.4944,1.0,1.0,1.0
43.21,73.4944,1.0,1.0,1.0
43.22,57.4944,1.0,1.0,1.0
