#twotheta, yobs, ycal, bkg, diff
42.0,6.0,1.0,1.0,1.0
42.01,4.0,1.0,1.0,1.0
42.02,3.0,1.0,1.0,1.0
42.03,3.0,1.0,1.0,1.0
42.04,9.0,1.0,1.0,1.0
42.05,6.0,1.0,1.0,1.0
42.06,9.0,1.0,1.0,1.0
42.07,4.0,1.0,1.0,1.0
42.08,10.0,1.0,1.0,1.0
42.09,0.0,1.0,1.0,1.0
42.1,9.0,1.0,1.0,1.0
42.11,10.0,1.0,1.0,1.0
42.12,5.4944,1.0,1.0,1.0
42.13,8.0,1.0,1.0,1.0
42.14,8.5056,1.0,1.0,1.0
42.15,9.0,1.0,1.0,1.0
42.16,5.0,1.0,1.0,1.0
42.17,15.0,1.0,1.0,1.0
42.18,11.0,1.0,1.0,1.0
42.19,3.0,1.0,1.0,1.0
42.2,12.0,1.0,1.0,1.0
42.21,13.4944,1.0,1.0,1.0
42.22,16.5056,1.0,1.0,1.0
42.23,15.4944,1.0,1.0,1.0
42.24,15.5056,1.0,1.0,1.0
42.25,22.0,1.0,1.0,1.0
42.26,8.0,1.0,1.0,1.0
42.27,9.4944,1.0,1.0,1.0
42.28,4.5056,1.0,1.0,1.0
42.29,9.0,1.0,1.0,1.0
42.3,21.0,1.0,1.0,1.0
42.31,6.9889,1.0,1.0,1.0
42.32,14.0111,1.0,1.0,1.0
42.33,12.4944,1.0,1.0,1.0
42.34,13.5056,1.0,1.0,1.0
42.35,30.0,1.0,1.0,1.0
42.36,16.0,1.0,1.0,1.0
42.37,28.4944,1.0,1.0,1.0
42.38,16.5056,1.0,1.0,1.0
42.39,15.4944,1.0,1.0,1.0
42.4,20.5056,1.0,1.0,1.0
42.41,7.0,1.0,1.0,1.0
42.42,6.0,1.0,1.0,1.0
42.43,23.0,1.0,1.0,1.0
42.44,15.4944,1.0,1.0,1.0
42.45,23.5056,1.0,1.0,1.0
42.46,13.4944,1.0,1.0,1.0
42.47,32.4944,1.0,1.0,1.0
42.48,26.5056,1.0,1.0,1.0
42.49,12.5056,1.0,1.0,1.0
42.5,22.0,1.0,1.0,1.0
42.51,15.0,1.0,1.0,1.0
42.52,14.4944,1.0,1.0,1.0
42.53,17.5056,1.0,1.0,1.0
42.54,14.4944,1.0,1.0,1.0
42.55,10.0,1.0,1.0,1.0
42.56,12.5056,1.0,1.0,1.0
42.57,16.0,1.0,1.0,1.0
42.58,15.0,1.0,1.0,1.0
42.59,12.0,1.0,1.0,1.0
42.6,11.0,1.0,1.0,1.0
42.61,5.0,1.0,1.0,1.0
42.62,5.0,1.0,1.0,1.0
42.63,13.0,1.0,1.0,1.0
42.64,14.4944,1.0,1.0,1.0
42.65,11.5056,1.0,1.0,1.0
42.66,17.0,1.0,1.0,1.0
42.67,12.4944,1.0,1.0,1.0
42.68,8.5056,1.0,1.0,1.0
42.69,7.0,1.0,1.0,1.0
42.7,5.0,1.0,1.0,1.0
42.71,5.0,1.0,1.0,1.0
42.72,9.0,1.0,1.0,1.0
42.73,16.0,1.0,1.0,1.0
42.74,3.0,1.0,1.0,1.0
42.75,14.0,1.0,1.0,1.0
42.76,16.4944,1.0,1.0,1.0
42.77,11.5056,1.0,1.0,1.0
42.78,13.0,1.0,1.0,1.0
42.79,7.0,1.0,1.0,1.0
42.8,11.4944,1.0,1.0,1.0
42.81,8.5056,1.0,1.0,1.0
42.82,5.0,1.0,1.0,1.0
42.83,17.4944,1.0,1.0,1.0
42.84,6.5056,1.0,1.0,1.0
42.85,7.0,1.0,1.0,1.0
42.86,13.0,1.0,1.0,1.0
42.87,13.0,1.0,1.0,1.0
42.88,25.0,1.0,1.0,1.0
42.89,10.9889,1.0,1.0,1.0
42.9,19.0111,1.0,1.0,1.0
42.91,24.0,1.0,1.0,1.0
42.92,17.0,1.0,1.0,1.0
42.93,16.0,1.0,1.0,1.0
42.94,13.0,1.0,1.0,1.0
42.95,15.0,1.0,1.0,1.0
42.96,26.0,1.0,1.0,1.0
42.97,15.0,1.0,1.0,1.0
42.98,37.0,1.0,1.0,1.0
42.99,28.4944,1.0,1.0,1.0
43.0,32.5056,1.0,1.0,1.0
43.01,19.4944,1.0,1.0,1.0
43.02,23.5056,1.0,1.0,1.0
43.03,24.0,1.0,1.0,1.0
43.04,30.0,1.0,1.0,1.0
43.05,28.4944,1.0,1.0,1.0
43.06,23.0,1.0,1.0,1.0
43.07,39.4944,1.0,1.0,1.0
43.08,35.0,1.0,1.0,1.0
43.09,47.5056,1.0,1.0,1.0
43.1,24.5056,1.0,1.0,1.0
43.11,32.4944,1.0,1.0,1.0
43.12,33.0,1.0,1.0,1.0
43.13,35.0,1.0,1.0,1.0
43.14,28.5056,1.0,1.0,1.0
43.15,39.4833,1.0,1.0,1.0
43.16,24.5167,1.0,1.0,1.0
43.17,29.0,1.0,1.0,1.0
43.18,37.4944,1.0,1.0,1.0
43.19,43.5056,1.0,1.0,1.0
43.2,36.0,1.0,1.0,1.0
43.21,33.0,1.0,1.0,1.0
43.22,31.0,1.0,1.0,1.0
43.23,24.0,1.0,1.0,1.0
43.24,24.0,1.0,1.0,1.0
43.25,33.0,1.0,1.0,1.0
43.26,30.4944,1.0,1.0,1.0
43.27,26.5056,1.0,1.0,1.0
43.28,21.4944,1.0,1.0,1.0
43.29,30.5056,1.0,1.0,1.0
43.3,29.0,1.0,1.0,1.0
43.31,25.4944,1.0,1.0,1.0
43.32,19.5056,1.0,1.0,1.0
43.33,15.0,1.0,1.0,1.0
43.34,9.0,1.0,1.0,1.0
43.35,14.0,1.0,1.0,1.0
43.36,10.0,1.0,1.0,1.0
43.37,14.0,1.0,1.0,1.0
43.38,8.0,1.0,1.0,1.0
43.39,7.0,1.0,1.0,1.0
43.4,7.4944,1.0,1.0,1.0
43.41,12.5056,1.0,1.0,1.0
43.42,10.0,1.0,1.0,1.0
43.43,10.0,1.0,1.0,1.0
43.44,16.0,1.0,1.0,1.0
43.45,12.0,1.0,1.0,1.0
43.46,15.0,1.0,1.0,1.0
43.47,10.0,1.0,1.0,1.0
43.48,10.0,1.0,1.0,1.0
43.49,23.4944,1.0,1.0,1.0
43.5,12.5056,1.0,1.0,1.0
43.51,13.0,1.0,1.0,1.0
43.52,9.0,1.0,1.0,1.0
43.53,17.0,1.0,1.0,1.0
43.54,11.0,1.0,1.0,1.0
43.55,16.0,1.0,1.0,1.0
43.56,26.9889,1.0,1.0,1.0
43.57,13.5056,1.0,1.0,1.0
43.58,13.5056,1.0,1.0,1.0
43.59,20.9889,1.0,1.0,1.0
43.6,25.0111,1.0,1.0,1.0
43.61,23.0,1.0,1.0,1.0
43.62,29.4944,1.0,1.0,1.0
