#twotheta, yobs, ycal, bkg, diff
42.0,32.0222,1.0,1.0,1.0
42.01,26.0,1.0,1.0,1.0
42.02,39.0,1.0,1.0,1.0
42.03,19.0,1.0,1.0,1.0
42.04,20.4944,1.0,1.0,1.0
42.05,26.5056,1.0,1.0,1.0
42.06,30.0,1.0,1.0,1.0
42.07,45.4833,1.0,1.0,1.0
42.08,31.5167,1.0,1.0,1.0
42.09,29.9889,1.0,1.0,1.0
42.1,37.0111,1.0,1.0,1.0
42.11,39.0,1.0,1.0,1.0
42.12,19.0,1.0,1.0,1.0
42.13,21.0,1.0,1.0,1.0
42.14,25.0,1.0,1.0,1.0
42.15,32.4833,1.0,1.0,1.0
42.16,24.5167,1.0,1.0,1.0
42.17,20.0,1.0,1.0,1.0
42.18,26.0,1.0,1.0,1.0
42.19,19.0,1.0,1.0,1.0
42.2,7.0,1.0,1.0,1.0
42.21,26.0,1.0,1.0,1.0
42.22,20.0,1.0,1.0,1.0
42.23,14.4944,1.0,1.0,1.0
42.24,15.5056,1.0,1.0,1.0
42.25,11.0,1.0,1.0,1.0
42.26,13.0,1.0,1.0,1.0
42.27,23.0,1.0,1.0,1.0
42.28,24.4944,1.0,1.0,1.0
42.29,12.5056,1.0,1.0,1.0
42.3,22.0,1.0,1.0,1.0
42.31,15.0,1.0,1.0,1.0
42.32,23.4944,1.0,1.0,1.0
42.33,8.5056,1.0,1.0,1.0
42.34,7.0,1.0,1.0,1.0
42.35,30.0,1.0,1.0,1.0
42.36,16.0,1.0,1.0,1.0
42.37,22.0,1.0,1.0,1.0
42.38,15.0,1.0,1.0,1.0
42.39,8.0,1.0,1.0,1.0
42.4,91.0,1.0,1.0,1.0
42.41,18.4944,1.0,1.0,1.0
42.42,20.5056,1.0,1.0,1.0
42.43,36.4944,1.0,1.0,1.0
42.44,46.0,1.0,1.0,1.0
42.45,27.5056,1.0,1.0,1.0
42.46,18.0,1.0,1.0,1.0
42.47,29.0,1.0,1.0,1.0
42.48,24.0,1.0,1.0,1.0
42.49,34.4944,1.0,1.0,1.0
42.5,22.0,1.0,1.0,1.0
42.51,41.5056,1.0,1.0,1.0
42.52,27.0,1.0,1.0,1.0
42.53,22.9889,1.0,1.0,1.0
42.54,62.5056,1.0,1.0,1.0
42.55,44.4944,1.0,1.0,1.0
42.56,27.0111,1.0,1.0,1.0
42.57,50.9889,1.0,1.0,1.0
42.58,54.0,1.0,1.0,1.0
42.59,46.0111,1.0,1.0,1.0
42.6,48.9889,1.0,1.0,1.0
42.61,42.0111,1.0,1.0,1.0
42.62,29.4944,1.0,1.0,1.0
42.63,38.0,1.0,1.0,1.0
42.64,40.5056,1.0,1.0,1.0
42.65,52.4833,1.0,1.0,1.0
42.66,64.5167,1.0,1.0,1.0
42.67,40.0,1.0,1.0,1.0
42.68,52.4944,1.0,1.0,1.0
42.69,34.4944,1.0,1.0,1.0
42.7,62.0111,1.0,1.0,1.0
42.71,39.4944,1.0,1.0,1.0
42.72,60.5056,1.0,1.0,1.0
42.73,43.4944,1.0,1.0,1.0
42.74,55.5056,1.0,1.0,1.0
42.75,52.4944,1.0,1.0,1.0
42.76,46.0,1.0,1.0,1.0
42.77,54.5056,1.0,1.0,1.0
42.78,52.4944,1.0,1.0,1.0
42.79,47.0,1.0,1.0,1.0
42.8,52.5056,1.0,1.0,1.0
42.81,28.4944,1.0,1.0,1.0
42.82,43.0,1.0,1.0,1.0
42.83,34.0,1.0,1.0,1.0
42.84,38.0,1.0,1.0,1.0
42.85,32.5056,1.0,1.0,1.0
42.86,25.9889,1.0,1.0,1.0
42.87,26.0111,1.0,1.0,1.0
42.88,19.9889,1.0,1.0,1.0
42.89,33.5056,1.0,1.0,1.0
42.9,31.5056,1.0,1.0,1.0
42.91,23.4944,1.0,1.0,1.0
42.92,12.5056,1.0,1.0,1.0
42.93,9.4944,1.0,1.0,1.0
42.94,18.5056,1.0,1.0,1.0
42.95,36.0,1.0,1.0,1.0
42.96,22.9889,1.0,1.0,1.0
42.97,16.0,1.0,1.0,1.0
42.98,31.0111,1.0,1.0,1.0
42.99,19.9889,1.0,1.0,1.0
43.0,9.5056,1.0,1.0,1.0
43.01,21.0,1.0,1.0,1.0
43.02,15.5056,1.0,1.0,1.0
43.03,22.0,1.0,1.0,1.0
43.04,20.0,1.0,1.0,1.0
43.05,12.0,1.0,1.0,1.0
43.06,25.4944,1.0,1.0,1.0
43.07,28.5056,1.0,1.0,1.0
43.08,26.9889,1.0,1.0,1.0
43.09,19.4944,1.0,1.0,1.0
43.1,30.5056,1.0,1.0,1.0
43.11,19.5056,1.0,1.0,1.0
43.12,30.5056,1.0,1.0,1.0
43.13,27.0,1.0,1.0,1.0
43.14,40.9889,1.0,1.0,1.0
43.15,39.0111,1.0,1.0,1.0
43.16,49.4944,1.0,1.0,1.0
43.17,56.0,1.0,1.0,1.0
43.18,35.0,1.0,1.0,1.0
43.19,45.5056,1.0,1.0,1.0
43.2,40.0,1.0,1.0,1.0
43.21,48.4944,1.0,1.0,1.0
43.22,65.5056,1.0,1.0,1.0
43.23,70.0,1.0,1.0,1.0
43.24,72.4944,1.0,1.0,1.0
43.25,70.4944,1.0,1.0,1.0
43.26,69.0,1.0,1.0,1.0
43.27,74.0111,1.0,1.0,1.0
43.28,53.9889,1.0,1.0,1.0
43.29,57.5056,1.0,1.0,1.0
43.3,56.4944,1.0,1.0,1.0
43.31,78.9889,1.0,1.0,1.0
43.32,68.0222,1.0,1.0,1.0
43.33,74.0,1.0,1.0,1.0
43.34,62.4944,1.0,1.0,1.0
43.35,86.0,1.0,1.0,1.0
43.36,72.4944,1.0,1.0,1.0
43.37,93.0,1.0,1.0,1.0
43.38,75.0,1.0,1.0,1.0
43.39,82.4944,1.0,1.0,1.0
43.4,65.5167,1.0,1.0,1.0
43.41,67.9778,1.0,1.0,1.0
43.42,81.0222,1.0,1.0,1.0
43.43,58.9889,1.0,1.0,1.0
43.44,78.4833,1.0,1.0,1.0
43.45,115.5167,1.0,1.0,1.0
43.46,67.0111,1.0,1.0,1.0
43.47,67.4944,1.0,1.0,1.0
43.48,52.0,1.0,1.0,1.0
43.49,64.5056,1.0,1.0,1.0
43.5,63.9778,1.0,1.0,1.0
43.51,40.0222,1.0,1.0,1.0
43.52,60.9889,1.0,1.0,1.0
43.53,50.0,1.0,1.0,1.0
43.54,45.0,1.0,1.0,1.0
43.55,37.0111,1.0,1.0,1.0
43.56,40.4833,1.0,1.0,1.0
43.57,32.5167,1.0,1.0,1.0
43.58,33.9889,1.0,1.0,1.0
43.59,42.0,1.0,1.0,1.0
43.6,33.0111,1.0,1.0,1.0
43.61,41.0,1.0,1.0,1.0
43.62,23.9889,1.0,1.0,1.0
43.63,31.0111,1.0,1.0,1.0
43.64,24.0,1.0,1.0,1.0
43.65,27.0,1.0,1.0,1.0
43.66,38.0,1.0,1.0,1.0
43.67,17.9889,1.0,1.0,1.0
43.68,30.5056,1.0,1.0,1.0
43.69,30.4944,1.0,1.0,1.0
43.7,32.0111,1.0,1.0,1.0
43.71,15.0,1.0,1.0,1.0
43.72,37.4944,1.0,1.0,1.0
43.73,28.0,1.0,1.0,1.0
43.74,22.0,1.0,1.0,1.0
43.75,40.5056,1.0,1.0,1.0
43.76,31.0,1.0,1.0,1.0
43.77,37.0,1.0,1.0,1.0
43.78,33.4944,1.0,1.0,1.0
43.79,25.4944,1.0,1.0,1.0
43.8,47.5056,1.0,1.0,1.0
43.81,52.4944,1.0,1.0,1.0
43.82,29.0111,1.0,1.0,1.0
43.83,39.4944,1.0,1.0,1.0
43.84,62.4944,1.0,1.0,1.0
43.85,52.0111,1.0,1.0,1.0
43.86,61.4944,1.0,1.0,1.0
43.87,58.0,1.0,1.0,1.0
43.88,72.4833,1.0,1.0,1.0
43.89,60.5056,1.0,1.0,1.0
43.9,65.5056,1.0,1.0,1.0
43.91,66.5056,1.0,1.0,1.0
43.92,78.0,1.0,1.0,1.0
43.93,103.4944,1.0,1.0,1.0
43.94,73.0,1.0,1.0,1.0
43.95,90.5056,1.0,1.0,1.0
43.96,106.0,1.0,1.0,1.0
43.97,83.4944,1.0,1.0,1.0
43.98,92.0,1.0,1.0,1.0
43.99,118.4944,1.0,1.0,1.0
44.0,104.0111,1.0,1.0,1.0
44.01,67.9889,1.0,1.0,1.0
44.02,115.4944,1.0,1.0,1.0
44.03,119.0111,1.0,1.0,1.0
44.04,115.4833,1.0,1.0,1.0
44.05,109.5278,1.0,1.0,1.0
44.06,129.4833,1.0,1.0,1.0
44.07,102.0111,1.0,1.0,1.0
44.08,104.4944,1.0,1.0,1.0
44.09,118.4944,1.0,1.0,1.0
44.1,114.9889,1.0,1.0,1.0
44.11,145.0,1.0,1.0,1.0
44.12,125.4944,1.0,1.0,1.0
44.13,122.0222,1.0,1.0,1.0
44.14,109.0,1.0,1.0,1.0
44.15,114.0,1.0,1.0,1.0
44.16,102.9889,1.0,1.0,1.0
44.17,127.5056,1.0,1.0,1.0
44.18,118.4944,1.0,1.0,1.0
