#twotheta, yobs, ycal, bkg, diff
42.0,8.4944,1.0,1.0,1.0
42.01,7.5056,1.0,1.0,1.0
42.02,7.0,1.0,1.0,1.0
42.03,8.0,1.0,1.0,1.0
42.04,5.0,1.0,1.0,1.0
42.05,10.0,1.0,1.0,1.0
42.06,0.0,1.0,1.0,1.0
42.07,2.0,1.0,1.0,1.0
42.08,5.0,1.0,1.0,1.0
42.09,10.0,1.0,1.0,1.0
42.1,6.0,1.0,1.0,1.0
42.11,10.0,1.0,1.0,1.0
42.12,3.0,1.0,1.0,1.0
42.13,7.0,1.0,1.0,1.0
42.14,8.9889,1.0,1.0,1.0
42.15,10.0111,1.0,1.0,1.0
42.16,8.0,1.0,1.0,1.0
42.17,8.0,1.0,1.0,1.0
42.18,0.0,1.0,1.0,1.0
42.19,4.0,1.0,1.0,1.0
42.2,17.9889,1.0,1.0,1.0
42.21,12.0111,1.0,1.0,1.0
42.22,15.0,1.0,1.0,1.0
42.23,6.0,1.0,1.0,1.0
42.24,3.4944,1.0,1.0,1.0
42.25,4.5056,1.0,1.0,1.0
42.26,14.0,1.0,1.0,1.0
42.27,14.0,1.0,1.0,1.0
42.28,2.0,1.0,1.0,1.0
42.29,15.4944,1.0,1.0,1.0
42.3,8.5056,1.0,1.0,1.0
42.31,10.0,1.0,1.0,1.0
42.32,14.4944,1.0,1.0,1.0
42.33,22.4944,1.0,1.0,1.0
42.34,24.0111,1.0,1.0,1.0
42.35,12.0,1.0,1.0,1.0
42.36,16.0,1.0,1.0,1.0
42.37,10.0,1.0,1.0,1.0
42.38,16.0,1.0,1.0,1.0
42.39,31.0,1.0,1.0,1.0
42.4,15.0,1.0,1.0,1.0
42.41,17.4944,1.0,1.0,1.0
42.42,21.5056,1.0,1.0,1.0
42.43,26.0,1.0,1.0,1.0
42.44,37.0,1.0,1.0,1.0
42.45,21.0,1.0,1.0,1.0
42.46,21.0,1.0,1.0,1.0
42.47,19.0,1.0,1.0,1.0
42.48,30.9889,1.0,1.0,1.0
42.49,25.5056,1.0,1.0,1.0
42.5,18.5056,1.0,1.0,1.0
42.51,34.4944,1.0,1.0,1.0
42.52,16.5056,1.0,1.0,1.0
42.53,35.9889,1.0,1.0,1.0
42.54,22.0,1.0,1.0,1.0
42.55,24.0111,1.0,1.0,1.0
42.56,10.0,1.0,1.0,1.0
42.57,20.0,1.0,1.0,1.0
42.58,19.0,1.0,1.0,1.0
42.59,16.0,1.0,1.0,1.0
42.6,20.0,1.0,1.0,1.0
42.61,20.0,1.0,1.0,1.0
42.62,30.0,1.0,1.0,1.0
42.63,14.0,1.0,1.0,1.0
42.64,28.4944,1.0,1.0,1.0
42.65,16.5056,1.0,1.0,1.0
42.66,9.0,1.0,1.0,1.0
42.67,16.4944,1.0,1.0,1.0
42.68,25.5056,1.0,1.0,1.0
42.69,9.0,1.0,1.0,1.0
42.7,8.0,1.0,1.0,1.0
42.71,8.9889,1.0,1.0,1.0
42.72,14.5056,1.0,1.0,1.0
42.73,17.5056,1.0,1.0,1.0
42.74,4.0,1.0,1.0,1.0
42.75,7.0,1.0,1.0,1.0
42.76,5.4944,1.0,1.0,1.0
42.77,9.5056,1.0,1.0,1.0
42.78,13.0,1.0,1.0,1.0
42.79,3.9889,1.0,1.0,1.0
42.8,12.0111,1.0,1.0,1.0
42.81,16.0,1.0,1.0,1.0
42.82,13.0,1.0,1.0,1.0
42.83,11.0,1.0,1.0,1.0
42.84,7.0,1.0,1.0,1.0
42.85,5.0,1.0,1.0,1.0
42.86,18.0,1.0,1.0,1.0
42.87,9.0,1.0,1.0,1.0
42.88,7.0,1.0,1.0,1.0
42.89,11.0,1.0,1.0,1.0
42.9,14.0,1.0,1.0,1.0
42.91,17.0,1.0,1.0,1.0
42.92,29.0,1.0,1.0,1.0
42.93,16.0,1.0,1.0,1.0
42.94,14.0,1.0,1.0,1.0
42.95,23.0,1.0,1.0,1.0
42.96,13.0,1.0,1.0,1.0
42.97,13.9889,1.0,1.0,1.0
42.98,35.0111,1.0,1.0,1.0
42.99,30.0,1.0,1.0,1.0
43.0,30.9889,1.0,1.0,1.0
43.01,39.0111,1.0,1.0,1.0
43.02,40.0,1.0,1.0,1.0
43.03,28.0,1.0,1.0,1.0
43.04,37.4944,1.0,1.0,1.0
43.05,59.0,1.0,1.0,1.0
43.06,33.0,1.0,1.0,1.0
43.07,39.4944,1.0,1.0,1.0
43.08,43.4944,1.0,1.0,1.0
43.09,43.0111,1.0,1.0,1.0
43.1,58.5056,1.0,1.0,1.0
43.11,53.0,1.0,1.0,1.0
43.12,40.0,1.0,1.0,1.0
43.13,47.4944,1.0,1.0,1.0
43.14,37.5056,1.0,1.0,1.0
43.15,34.0,1.0,1.0,1.0
43.16,45.0,1.0,1.0,1.0
43.17,46.9889,1.0,1.0,1.0
43.18,39.0111,1.0,1.0,1.0
43.19,41.0,1.0,1.0,1.0
43.2,35.0,1.0,1.0,1.0
43.21,45.0,1.0,1.0,1.0
43.22,23.0,1.0,1.0,1.0
43.23,23.4944,1.0,1.0,1.0
43.24,39.5056,1.0,1.0,1.0
43.25,48.4944,1.0,1.0,1.0
43.26,27.0,1.0,1.0,1.0
43.27,35.5056,1.0,1.0,1.0
43.28,33.0,1.0,1.0,1.0
43.29,31.0,1.0,1.0,1.0
43.3,18.0,1.0,1.0,1.0
43.31,21.0,1.0,1.0,1.0
43.32,21.0,1.0,1.0,1.0
43.33,41.0,1.0,1.0,1.0
43.34,11.0,1.0,1.0,1.0
