#twotheta, yobs, ycal, bkg, diff
42.0,5.0,1.0,1.0,1.0
42.01,0.0,1.0,1.0,1.0
42.02,13.0,1.0,1.0,1.0
42.03,9.0,1.0,1.0,1.0
42.04,11.0,1.0,1.0,1.0
42.05,11.0,1.0,1.0,1.0
42.06,9.0,1.0,1.0,1.0
42.07,13.4944,1.0,1.0,1.0
42.08,14.5056,1.0,1.0,1.0
42.09,7.0,1.0,1.0,1.0
42.1,16.0,1.0,1.0,1.0
42.11,11.0,1.0,1.0,1.0
42.12,7.0,1.0,1.0,1.0
42.13,7.0,1.0,1.0,1.0
42.14,4.0,1.0,1.0,1.0
42.15,4.0,1.0,1.0,1.0
42.16,12.0,1.0,1.0,1.0
42.17,4.0,1.0,1.0,1.0
42.18,11.0,1.0,1.0,1.0
42.19,18.0,1.0,1.0,1.0
42.2,10.0,1.0,1.0,1.0
42.21,7.0,1.0,1.0,1.0
42.22,13.0,1.0,1.0,1.0
42.23,8.0,1.0,1.0,1.0
42.24,9.0,1.0,1.0,1.0
42.25,4.0,1.0,1.0,1.0
42.26,9.0,1.0,1.0,1.0
42.27,8.4944,1.0,1.0,1.0
42.28,17.5056,1.0,1.0,1.0
42.29,7.9889,1.0,1.0,1.0
42.3,15.0111,1.0,1.0,1.0
42.31,15.4944,1.0,1.0,1.0
42.32,7.5056,1.0,1.0,1.0
42.33,8.0,1.0,1.0,1.0
42.34,11.0,1.0,1.0,1.0
42.35,13.4944,1.0,1.0,1.0
42.36,8.5056,1.0,1.0,1.0
42.37,14.4944,1.0,1.0,1.0
42.38,2.5056,1.0,1.0,1.0
42.39,4.0,1.0,1.0,1.0
42.4,5.4944,1.0,1.0,1.0
42.41,8.5056,1.0,1.0,1.0
42.42,8.0,1.0,1.0,1.0
42.43,4.0,1.0,1.0,1.0
42.44,24.0,1.0,1.0,1.0
42.45,7.0,1.0,1.0,1.0
42.46,14.0,1.0,1.0,1.0
42.47,5.0,1.0,1.0,1.0
42.48,5.0,1.0,1.0,1.0
42.49,12.0,1.0,1.0,1.0
42.5,15.0,1.0,1.0,1.0
42.51,5.0,1.0,1.0,1.0
42.52,6.0,1.0,1.0,1.0
42.53,18.0,1.0,1.0,1.0
42.54,24.4944,1.0,1.0,1.0
42.55,12.0,1.0,1.0,1.0
42.56,7.5056,1.0,1.0,1.0
42.57,4.0,1.0,1.0,1.0
42.58,14.0,1.0,1.0,1.0
42.59,12.4944,1.0,1.0,1.0
42.6,12.5056,1.0,1.0,1.0
42.61,14.0,1.0,1.0,1.0
42.62,8.0,1.0,1.0,1.0
42.63,7.0,1.0,1.0,1.0
42.64,9.0,1.0,1.0,1.0
42.65,5.0,1.0,1.0,1.0
42.66,6.0,1.0,1.0,1.0
42.67,12.0,1.0,1.0,1.0
42.68,6.0,1.0,1.0,1.0
42.69,6.0,1.0,1.0,1.0
42.7,4.0,1.0,1.0,1.0
42.71,8.0,1.0,1.0,1.0
42.72,7.0,1.0,1.0,1.0
42.73,7.0,1.0,1.0,1.0
42.74,6.0,1.0,1.0,1.0
42.75,5.0,1.0,1.0,1.0
42.76,11.0,1.0,1.0,1.0
42.77,10.0,1.0,1.0,1.0
42.78,8.4944,1.0,1.0,1.0
42.79,13.5056,1.0,1.0,1.0
42.8,6.0,1.0,1.0,1.0
42.81,6.0,1.0,1.0,1.0
42.82,2.0,1.0,1.0,1.0
42.83,5.0,1.0,1.0,1.0
42.84,13.4944,1.0,1.0,1.0
42.85,24.5056,1.0,1.0,1.0
42.86,8.0,1.0,1.0,1.0
42.87,11.0,1.0,1.0,1.0
42.88,8.0,1.0,1.0,1.0
42.89,9.0,1.0,1.0,1.0
42.9,5.0,1.0,1.0,1.0
42.91,8.0,1.0,1.0,1.0
42.92,15.0,1.0,1.0,1.0
42.93,14.0,1.0,1.0,1.0
42.94,10.0,1.0,1.0,1.0
42.95,8.0,1.0,1.0,1.0
42.96,4.0,1.0,1.0,1.0
42.97,11.0,1.0,1.0,1.0
42.98,19.0,1.0,1.0,1.0
42.99,3.0,1.0,1.0,1.0
43.0,14.0,1.0,1.0,1.0
43.01,10.0,1.0,1.0,1.0
43.02,68.0,1.0,1.0,1.0
43.03,13.0,1.0,1.0,1.0
43.04,26.0,1.0,1.0,1.0
43.05,5.4944,1.0,1.0,1.0
43.06,6.0,1.0,1.0,1.0
43.07,11.5056,1.0,1.0,1.0
43.08,13.0,1.0,1.0,1.0
43.09,19.4944,1.0,1.0,1.0
43.1,11.5056,1.0,1.0,1.0
43.11,115.0,1.0,1.0,1.0
43.12,12.0,1.0,1.0,1.0
43.13,18.0,1.0,1.0,1.0
43.14,21.4944,1.0,1.0,1.0
43.15,16.5056,1.0,1.0,1.0
43.16,5.0,1.0,1.0,1.0
43.17,12.0,1.0,1.0,1.0
43.18,8.0,1.0,1.0,1.0
43.19,9.4944,1.0,1.0,1.0
43.2,13.0,1.0,1.0,1.0
43.21,13.5056,1.0,1.0,1.0
43.22,5.0,1.0,1.0,1.0
43.23,25.0,1.0,1.0,1.0
43.24,12.0,1.0,1.0,1.0
43.25,7.0,1.0,1.0,1.0
43.26,23.0,1.0,1.0,1.0
43.27,11.4944,1.0,1.0,1.0
43.28,12.5056,1.0,1.0,1.0
43.29,16.0,1.0,1.0,1.0
43.3,14.0,1.0,1.0,1.0
43.31,13.0,1.0,1.0,1.0
43.32,19.0,1.0,1.0,1.0
43.33,11.4944,1.0,1.0,1.0
43.34,17.5056,1.0,1.0,1.0
43.35,13.0,1.0,1.0,1.0
43.36,6.0,1.0,1.0,1.0
43.37,19.4944,1.0,1.0,1.0
43.38,19.5056,1.0,1.0,1.0
43.39,13.0,1.0,1.0,1.0
43.4,8.0,1.0,1.0,1.0
43.41,10.0,1.0,1.0,1.0
43.42,11.0,1.0,1.0,1.0
43.43,2.0,1.0,1.0,1.0
43.44,11.4833,1.0,1.0,1.0
43.45,6.5167,1.0,1.0,1.0
43.46,14.0,1.0,1.0,1.0
43.47,8.0,1.0,1.0,1.0
43.48,12.0,1.0,1.0,1.0
43.49,11.0,1.0,1.0,1.0
43.5,20.9889,1.0,1.0,1.0
43.51,13.0111,1.0,1.0,1.0
43.52,5.4944,1.0,1.0,1.0
43.53,14.5056,1.0,1.0,1.0
43.54,12.9889,1.0,1.0,1.0
43.55,24.0111,1.0,1.0,1.0
43.56,13.0,1.0,1.0,1.0
43.57,17.0,1.0,1.0,1.0
43.58,12.0,1.0,1.0,1.0
43.59,13.0,1.0,1.0,1.0
43.6,23.4944,1.0,1.0,1.0
43.61,13.5056,1.0,1.0,1.0
43.62,14.0,1.0,1.0,1.0
43.63,10.0,1.0,1.0,1.0
43.64,14.0,1.0,1.0,1.0
43.65,32.0,1.0,1.0,1.0
43.66,22.4944,1.0,1.0,1.0
43.67,11.5056,1.0,1.0,1.0
43.68,18.4944,1.0,1.0,1.0
43.69,26.0,1.0,1.0,1.0
43.7,16.0,1.0,1.0,1.0
43.71,28.5056,1.0,1.0,1.0
43.72,25.0,1.0,1.0,1.0
43.73,33.0,1.0,1.0,1.0
43.74,15.4944,1.0,1.0,1.0
43.75,32.5056,1.0,1.0,1.0
43.76,34.4944,1.0,1.0,1.0
43.77,32.5056,1.0,1.0,1.0
43.78,32.9889,1.0,1.0,1.0
43.79,25.5056,1.0,1.0,1.0
43.8,28.5056,1.0,1.0,1.0
43.81,38.0,1.0,1.0,1.0
43.82,33.0,1.0,1.0,1.0
43.83,44.4944,1.0,1.0,1.0
43.84,34.5056,1.0,1.0,1.0
43.85,28.0,1.0,1.0,1.0
43.86,47.0,1.0,1.0,1.0
43.87,31.0,1.0,1.0,1.0
43.88,44.0,1.0,1.0,1.0
43.89,33.0,1.0,1.0,1.0
43.9,26.0,1.0,1.0,1.0
43.91,44.0,1.0,1.0,1.0
43.92,30.0,1.0,1.0,1.0
43.93,22.0,1.0,1.0,1.0
43.94,18.0,1.0,1.0,1.0
43.95,40.4944,1.0,1.0,1.0
43.96,38.5056,1.0,1.0,1.0
43.97,30.9778,1.0,1.0,1.0
43.98,46.5167,1.0,1.0,1.0
43.99,44.5056,1.0,1.0,1.0
44.0,48.9889,1.0,1.0,1.0
44.01,58.0111,1.0,1.0,1.0
44.02,44.4944,1.0,1.0,1.0
44.03,47.0,1.0,1.0,1.0
44.04,42.0,1.0,1.0,1.0
44.05,43.5056,1.0,1.0,1.0
44.06,46.4944,1.0,1.0,1.0
44.07,68.4944,1.0,1.0,1.0
44.08,55.0111,1.0,1.0,1.0
44.09,47.0,1.0,1.0,1.0
44.1,38.4833,1.0,1.0,1.0
44.11,49.5056,1.0,1.0,1.0
44.12,64.0,1.0,1.0,1.0
44.13,55.5056,1.0,1.0,1.0
44.14,57.5056,1.0,1.0,1.0
44.15,52.4944,1.0,1.0,1.0
44.16,35.5056,1.0,1.0,1.0
44.17,79.4944,1.0,1.0,1.0
44.18,61.5056,1.0,1.0,1.0
44.19,55.4833,1.0,1.0,1.0
44.2,58.0111,1.0,1.0,1.0
44.21,49.4944,1.0,1.0,1.0
44.22,42.0111,1.0,1.0,1.0
44.23,52.9778,1.0,1.0,1.0
44.24,69.0222,1.0,1.0,1.0
44.25,84.9889,1.0,1.0,1.0
44.26,64.0,1.0,1.0,1.0
44.27,63.0111,1.0,1.0,1.0
44.28,77.4944,1.0,1.0,1.0
44.29,74.0,1.0,1.0,1.0
44.3,64.4944,1.0,1.0,1.0
44.31,104.5056,1.0,1.0,1.0
44.32,55.5056,1.0,1.0,1.0
44.33,57.4944,1.0,1.0,1.0
44.34,70.4944,1.0,1.0,1.0
44.35,86.4944,1.0,1.0,1.0
44.36,57.5167,1.0,1.0,1.0
44.37,78.4944,1.0,1.0,1.0
44.38,81.4833,1.0,1.0,1.0
44.39,69.5056,1.0,1.0,1.0
44.4,85.5056,1.0,1.0,1.0
44.41,104.9889,1.0,1.0,1.0
44.42,103.5056,1.0,1.0,1.0
44.43,76.5167,1.0,1.0,1.0
44.44,82.9889,1.0,1.0,1.0
44.45,101.0,1.0,1.0,1.0
44.46,70.4944,1.0,1.0,1.0
44.47,72.0111,1.0,1.0,1.0
44.48,92.4833,1.0,1.0,1.0
44.49,105.5167,1.0,1.0,1.0
44.5,99.5056,1.0,1.0,1.0
44.51,80.4833,1.0,1.0,1.0
44.52,88.0,1.0,1.0,1.0
44.53,90.5056,1.0,1.0,1.0
44.54,89.5056,1.0,1.0,1.0
44.55,82.9889,1.0,1.0,1.0
44.56,80.5056,1.0,1.0,1.0
44.57,59.0,1.0,1.0,1.0
44.58,112.5056,1.0,1.0,1.0
44.59,114.9889,1.0,1.0,1.0
44.6,68.5167,1.0,1.0,1.0
44.61,79.9889,1.0,1.0,1.0
44.62,59.0,1.0,1.0,1.0
44.63,78.0111,1.0,1.0,1.0
44.64,84.0,1.0,1.0,1.0
44.65,67.9889,1.0,1.0,1.0
44.66,78.5056,1.0,1.0,1.0
44.67,65.0,1.0,1.0,1.0
44.68,85.5056,1.0,1.0,1.0
44.69,47.0,1.0,1.0,1.0
44.7,65.9889,1.0,1.0,1.0
44.71,80.0111,1.0,1.0,1.0
44.72,81.0,1.0,1.0,1.0
44.73,84.4833,1.0,1.0,1.0
44.74,84.4944,1.0,1.0,1.0
44.75,81.5167,1.0,1.0,1.0
44.76,83.4944,1.0,1.0,1.0
44.77,108.0111,1.0,1.0,1.0
44.78,87.0,1.0,1.0,1.0
44.79,99.9889,1.0,1.0,1.0
44.8,116.0,1.0,1.0,1.0
44.81,119.9889,1.0,1.0,1.0
44.82,107.0111,1.0,1.0,1.0
44.83,123.0,1.0,1.0,1.0
44.84,111.0,1.0,1.0,1.0
44.85,113.5056,1.0,1.0,1.0
44.86,126.4944,1.0,1.0,1.0
44.87,122.0,1.0,1.0,1.0
44.88,171.4722,1.0,1.0,1.0
44.89,169.4944,1.0,1.0,1.0
44.9,173.0333,1.0,1.0,1.0
44.91,162.0111,1.0,1.0,1.0
