#twotheta, yobs, ycal, bkg, diff
42.0,37.4944,1.0,1.0,1.0
42.01,38.5056,1.0,1.0,1.0
42.02,40.0,1.0,1.0,1.0
42.03,31.9889,1.0,1.0,1.0
42.04,48.5056,1.0,1.0,1.0
42.05,37.5056,1.0,1.0,1.0
42.06,32.4944,1.0,1.0,1.0
42.07,39.5056,1.0,1.0,1.0
42.08,39.4944,1.0,1.0,1.0
42.09,37.5056,1.0,1.0,1.0
42.1,43.4944,1.0,1.0,1.0
42.11,49.5056,1.0,1.0,1.0
42.12,45.4944,1.0,1.0,1.0
42.13,50.0,1.0,1.0,1.0
42.14,43.4944,1.0,1.0,1.0
42.15,40.0111,1.0,1.0,1.0
42.16,35.4944,1.0,1.0,1.0
42.17,32.9889,1.0,1.0,1.0
42.18,48.5167,1.0,1.0,1.0
42.19,46.4944,1.0,1.0,1.0
42.2,58.0,1.0,1.0,1.0
42.21,64.0,1.0,1.0,1.0
42.22,50.0,1.0,1.0,1.0
42.23,46.9889,1.0,1.0,1.0
42.24,61.0111,1.0,1.0,1.0
42.25,57.0,1.0,1.0,1.0
42.26,44.0,1.0,1.0,1.0
42.27,41.5056,1.0,1.0,1.0
42.28,41.4944,1.0,1.0,1.0
42.29,47.0,1.0,1.0,1.0
42.3,33.4944,1.0,1.0,1.0
42.31,61.0,1.0,1.0,1.0
42.32,50.0,1.0,1.0,1.0
42.33,61.5056,1.0,1.0,1.0
42.34,49.0,1.0,1.0,1.0
42.35,50.0,1.0,1.0,1.0
42.36,48.0,1.0,1.0,1.0
42.37,58.5056,1.0,1.0,1.0
42.38,36.4833,1.0,1.0,1.0
42.39,51.5167,1.0,1.0,1.0
42.4,54.0,1.0,1.0,1.0
42.41,59.4944,1.0,1.0,1.0
42.42,41.5056,1.0,1.0,1.0
42.43,62.0,1.0,1.0,1.0
42.44,32.0,1.0,1.0,1.0
42.45,58.9889,1.0,1.0,1.0
42.46,53.5056,1.0,1.0,1.0
42.47,37.5056,1.0,1.0,1.0
42.48,56.0,1.0,1.0,1.0
42.49,43.4944,1.0,1.0,1.0
42.5,56.5056,1.0,1.0,1.0
42.51,46.9778,1.0,1.0,1.0
42.52,45.0111,1.0,1.0,1.0
42.53,51.5056,1.0,1.0,1.0
42.54,42.0,1.0,1.0,1.0
42.55,47.5056,1.0,1.0,1.0
42.56,53.4944,1.0,1.0,1.0
42.57,50.0,1.0,1.0,1.0
42.58,56.0,1.0,1.0,1.0
42.59,60.0,1.0,1.0,1.0
42.6,56.9889,1.0,1.0,1.0
42.61,74.5167,1.0,1.0,1.0
42.62,61.4833,1.0,1.0,1.0
42.63,63.0111,1.0,1.0,1.0
42.64,68.0,1.0,1.0,1.0
42.65,63.4944,1.0,1.0,1.0
42.66,48.0,1.0,1.0,1.0
42.67,61.0,1.0,1.0,1.0
42.68,54.4944,1.0,1.0,1.0
42.69,65.5167,1.0,1.0,1.0
42.7,51.0,1.0,1.0,1.0
42.71,62.4944,1.0,1.0,1.0
42.72,54.9889,1.0,1.0,1.0
42.73,49.5167,1.0,1.0,1.0
42.74,50.0,1.0,1.0,1.0
42.75,34.4944,1.0,1.0,1.0
42.76,65.9889,1.0,1.0,1.0
42.77,57.5167,1.0,1.0,1.0
42.78,48.0,1.0,1.0,1.0
42.79,61.4944,1.0,1.0,1.0
42.8,72.5056,1.0,1.0,1.0
42.81,50.4944,1.0,1.0,1.0
42.82,58.0,1.0,1.0,1.0
42.83,70.0,1.0,1.0,1.0
42.84,58.4944,1.0,1.0,1.0
42.85,56.5056,1.0,1.0,1.0
42.86,65.4944,1.0,1.0,1.0
42.87,76.0111,1.0,1.0,1.0
42.88,77.9778,1.0,1.0,1.0
42.89,70.0222,1.0,1.0,1.0
42.9,67.0,1.0,1.0,1.0
42.91,50.9889,1.0,1.0,1.0
42.92,76.0111,1.0,1.0,1.0
42.93,68.9889,1.0,1.0,1.0
42.94,68.0,1.0,1.0,1.0
42.95,80.0,1.0,1.0,1.0
42.96,60.5056,1.0,1.0,1.0
42.97,72.9889,1.0,1.0,1.0
42.98,90.5167,1.0,1.0,1.0
42.99,63.4944,1.0,1.0,1.0
43.0,70.5056,1.0,1.0,1.0
43.01,57.4833,1.0,1.0,1.0
43.02,77.5167,1.0,1.0,1.0
43.03,51.4944,1.0,1.0,1.0
43.04,77.0,1.0,1.0,1.0
43.05,88.0,1.0,1.0,1.0
43.06,55.9889,1.0,1.0,1.0
43.07,63.5056,1.0,1.0,1.0
43.08,58.0111,1.0,1.0,1.0
43.09,36.0,1.0,1.0,1.0
43.1,56.0,1.0,1.0,1.0
43.11,70.4833,1.0,1.0,1.0
43.12,59.0,1.0,1.0,1.0
43.13,58.0111,1.0,1.0,1.0
