#twotheta, yobs, ycal, bkg, diff
42.0,23.0,1.0,1.0,1.0
42.01,23.0,1.0,1.0,1.0
42.02,14.4944,1.0,1.0,1.0
42.03,30.0,1.0,1.0,1.0
42.04,14.5056,1.0,1.0,1.0
42.05,8.0,1.0,1.0,1.0
42.06,12.0,1.0,1.0,1.0
42.07,13.4944,1.0,1.0,1.0
42.08,36.5056,1.0,1.0,1.0
42.09,15.4944,1.0,1.0,1.0
42.1,19.5056,1.0,1.0,1.0
42.11,19.0,1.0,1.0,1.0
42.12,21.0,1.0,1.0,1.0
42.13,11.0,1.0,1.0,1.0
42.14,5.0,1.0,1.0,1.0
42.15,20.0,1.0,1.0,1.0
42.16,17.4944,1.0,1.0,1.0
42.17,14.5056,1.0,1.0,1.0
42.18,14.0,1.0,1.0,1.0
42.19,17.0,1.0,1.0,1.0
42.2,9.0,1.0,1.0,1.0
42.21,26.0,1.0,1.0,1.0
42.22,20.0,1.0,1.0,1.0
42.23,7.4944,1.0,1.0,1.0
42.24,18.5056,1.0,1.0,1.0
42.25,17.0,1.0,1.0,1.0
42.26,20.0,1.0,1.0,1.0
42.27,13.0,1.0,1.0,1.0
42.28,25.0,1.0,1.0,1.0
42.29,26.0,1.0,1.0,1.0
42.3,18.4944,1.0,1.0,1.0
42.31,6.5056,1.0,1.0,1.0
42.32,15.0,1.0,1.0,1.0
42.33,27.0,1.0,1.0,1.0
42.34,31.0,1.0,1.0,1.0
42.35,27.0,1.0,1.0,1.0
42.36,29.0,1.0,1.0,1.0
42.37,31.4944,1.0,1.0,1.0
42.38,22.4944,1.0,1.0,1.0
42.39,26.0111,1.0,1.0,1.0
42.4,26.0,1.0,1.0,1.0
42.41,25.9889,1.0,1.0,1.0
42.42,30.4944,1.0,1.0,1.0
42.43,28.0111,1.0,1.0,1.0
42.44,33.0,1.0,1.0,1.0
42.45,45.5056,1.0,1.0,1.0
42.46,20.0,1.0,1.0,1.0
42.47,35.4944,1.0,1.0,1.0
42.48,21.5056,1.0,1.0,1.0
42.49,15.4944,1.0,1.0,1.0
42.5,20.4944,1.0,1.0,1.0
42.51,26.0111,1.0,1.0,1.0
42.52,13.0,1.0,1.0,1.0
42.53,33.0,1.0,1.0,1.0
42.54,12.4944,1.0,1.0,1.0
42.55,21.0,1.0,1.0,1.0
42.56,13.0,1.0,1.0,1.0
42.57,16.5056,1.0,1.0,1.0
42.58,19.4944,1.0,1.0,1.0
42.59,12.5056,1.0,1.0,1.0
42.6,31.4944,1.0,1.0,1.0
42.61,16.0,1.0,1.0,1.0
42.62,17.5056,1.0,1.0,1.0
42.63,14.0,1.0,1.0,1.0
42.64,16.0,1.0,1.0,1.0
42.65,20.0,1.0,1.0,1.0
42.66,21.0,1.0,1.0,1.0
42.67,15.0,1.0,1.0,1.0
42.68,12.0,1.0,1.0,1.0
42.69,14.0,1.0,1.0,1.0
42.7,21.0,1.0,1.0,1.0
42.71,22.4944,1.0,1.0,1.0
42.72,17.5056,1.0,1.0,1.0
42.73,17.0,1.0,1.0,1.0
42.74,18.9889,1.0,1.0,1.0
42.75,34.0111,1.0,1.0,1.0
42.76,30.0,1.0,1.0,1.0
42.77,38.0,1.0,1.0,1.0
42.78,29.4833,1.0,1.0,1.0
42.79,40.5167,1.0,1.0,1.0
42.8,23.4944,1.0,1.0,1.0
42.81,22.5056,1.0,1.0,1.0
42.82,17.0,1.0,1.0,1.0
42.83,43.0,1.0,1.0,1.0
42.84,44.0,1.0,1.0,1.0
42.85,33.9889,1.0,1.0,1.0
42.86,39.0111,1.0,1.0,1.0
42.87,36.4944,1.0,1.0,1.0
42.88,28.5056,1.0,1.0,1.0
42.89,40.9889,1.0,1.0,1.0
42.9,29.0111,1.0,1.0,1.0
42.91,51.9889,1.0,1.0,1.0
42.92,41.0111,1.0,1.0,1.0
42.93,33.0,1.0,1.0,1.0
42.94,46.0,1.0,1.0,1.0
42.95,33.0,1.0,1.0,1.0
42.96,31.9889,1.0,1.0,1.0
42.97,19.0111,1.0,1.0,1.0
42.98,24.0,1.0,1.0,1.0
42.99,27.9889,1.0,1.0,1.0
43.0,31.5056,1.0,1.0,1.0
43.01,19.5056,1.0,1.0,1.0
43.02,24.9889,1.0,1.0,1.0
43.03,22.0111,1.0,1.0,1.0
43.04,22.0,1.0,1.0,1.0
43.05,14.0,1.0,1.0,1.0
43.06,15.0,1.0,1.0,1.0
43.07,22.0,1.0,1.0,1.0
43.08,13.0,1.0,1.0,1.0
43.09,12.0,1.0,1.0,1.0
43.1,27.4944,1.0,1.0,1.0
43.11,16.5056,1.0,1.0,1.0
43.12,18.4944,1.0,1.0,1.0
43.13,26.5056,1.0,1.0,1.0
43.14,19.4944,1.0,1.0,1.0
43.15,18.5056,1.0,1.0,1.0
43.16,16.4944,1.0,1.0,1.0
43.17,21.5056,1.0,1.0,1.0
43.18,23.4833,1.0,1.0,1.0
43.19,42.5167,1.0,1.0,1.0
43.2,38.0,1.0,1.0,1.0
43.21,23.4944,1.0,1.0,1.0
43.22,33.5056,1.0,1.0,1.0
43.23,37.4944,1.0,1.0,1.0
43.24,50.9889,1.0,1.0,1.0
43.25,33.0,1.0,1.0,1.0
43.26,49.5167,1.0,1.0,1.0
43.27,29.0,1.0,1.0,1.0
43.28,50.9889,1.0,1.0,1.0
43.29,19.0111,1.0,1.0,1.0
43.3,58.4944,1.0,1.0,1.0
43.31,40.5056,1.0,1.0,1.0
43.32,33.0,1.0,1.0,1.0
43.33,36.0,1.0,1.0,1.0
43.34,35.0,1.0,1.0,1.0
43.35,58.0,1.0,1.0,1.0
43.36,55.0,1.0,1.0,1.0
43.37,59.4833,1.0,1.0,1.0
43.38,52.5167,1.0,1.0,1.0
43.39,31.0,1.0,1.0,1.0
43.4,34.0,1.0,1.0,1.0
43.41,39.0,1.0,1.0,1.0
43.42,37.0,1.0,1.0,1.0
43.43,33.9889,1.0,1.0,1.0
43.44,39.5056,1.0,1.0,1.0
43.45,41.5056,1.0,1.0,1.0
43.46,32.4944,1.0,1.0,1.0
43.47,40.5056,1.0,1.0,1.0
43.48,20.0,1.0,1.0,1.0
43.49,31.9889,1.0,1.0,1.0
43.5,33.0111,1.0,1.0,1.0
43.51,15.0,1.0,1.0,1.0
43.52,33.0,1.0,1.0,1.0
43.53,16.0,1.0,1.0,1.0
43.54,26.0,1.0,1.0,1.0
43.55,16.0,1.0,1.0,1.0
43.56,19.4944,1.0,1.0,1.0
43.57,9.5056,1.0,1.0,1.0
43.58,27.0,1.0,1.0,1.0
43.59,22.4944,1.0,1.0,1.0
43.6,18.5056,1.0,1.0,1.0
43.61,24.4944,1.0,1.0,1.0
43.62,30.5056,1.0,1.0,1.0
43.63,25.0,1.0,1.0,1.0
43.64,24.4944,1.0,1.0,1.0
43.65,28.4944,1.0,1.0,1.0
43.66,24.5056,1.0,1.0,1.0
43.67,25.4944,1.0,1.0,1.0
43.68,53.0,1.0,1.0,1.0
43.69,53.5056,1.0,1.0,1.0
43.7,42.5056,1.0,1.0,1.0
43.71,46.0,1.0,1.0,1.0
43.72,48.0,1.0,1.0,1.0
43.73,63.9889,1.0,1.0,1.0
43.74,58.0111,1.0,1.0,1.0
43.75,52.4944,1.0,1.0,1.0
43.76,64.5056,1.0,1.0,1.0
43.77,64.4944,1.0,1.0,1.0
43.78,82.4944,1.0,1.0,1.0
43.79,76.5056,1.0,1.0,1.0
43.8,96.0,1.0,1.0,1.0
43.81,69.9889,1.0,1.0,1.0
43.82,77.5056,1.0,1.0,1.0
43.83,83.0,1.0,1.0,1.0
43.84,66.5056,1.0,1.0,1.0
43.85,77.0,1.0,1.0,1.0
43.86,75.5056,1.0,1.0,1.0
43.87,56.4944,1.0,1.0,1.0
43.88,56.4944,1.0,1.0,1.0
43.89,45.0111,1.0,1.0,1.0
43.9,60.4944,1.0,1.0,1.0
43.91,57.0,1.0,1.0,1.0
43.92,50.5056,1.0,1.0,1.0
43.93,55.9889,1.0,1.0,1.0
43.94,32.5056,1.0,1.0,1.0
43.95,29.5056,1.0,1.0,1.0
43.96,13.9889,1.0,1.0,1.0
43.97,43.5056,1.0,1.0,1.0
43.98,34.4944,1.0,1.0,1.0
43.99,33.0111,1.0,1.0,1.0
44.0,35.0,1.0,1.0,1.0
44.01,16.0,1.0,1.0,1.0
44.02,28.9889,1.0,1.0,1.0
44.03,17.0111,1.0,1.0,1.0
44.04,15.0,1.0,1.0,1.0
44.05,41.0,1.0,1.0,1.0
44.06,30.4944,1.0,1.0,1.0
44.07,25.4944,1.0,1.0,1.0
44.08,41.0,1.0,1.0,1.0
44.09,30.0111,1.0,1.0,1.0
44.1,47.0,1.0,1.0,1.0
44.11,44.0,1.0,1.0,1.0
44.12,50.4944,1.0,1.0,1.0
44.13,48.0,1.0,1.0,1.0
44.14,60.9889,1.0,1.0,1.0
44.15,75.0111,1.0,1.0,1.0
44.16,81.4944,1.0,1.0,1.0
44.17,88.0111,1.0,1.0,1.0
44.18,86.9889,1.0,1.0,1.0
44.19,98.0,1.0,1.0,1.0
44.2,102.9889,1.0,1.0,1.0
44.21,104.0,1.0,1.0,1.0
44.22,124.0222,1.0,1.0,1.0
44.23,122.4722,1.0,1.0,1.0
44.24,118.0111,1.0,1.0,1.0
44.25,113.0,1.0,1.0,1.0
44.26,130.5056,1.0,1.0,1.0
44.27,122.4833,1.0,1.0,1.0
44.28,152.0222,1.0,1.0,1.0
44.29,120.4611,1.0,1.0,1.0
44.3,109.0333,1.0,1.0,1.0
44.31,124.0,1.0,1.0,1.0
44.32,111.5056,1.0,1.0,1.0
44.33,103.9889,1.0,1.0,1.0
44.34,87.5056,1.0,1.0,1.0
44.35,94.5056,1.0,1.0,1.0
44.36,94.0,1.0,1.0,1.0
44.37,96.4944,1.0,1.0,1.0
44.38,86.5056,1.0,1.0,1.0
44.39,70.9778,1.0,1.0,1.0
44.4,73.5167,1.0,1.0,1.0
44.41,68.5056,1.0,1.0,1.0
44.42,51.5056,1.0,1.0,1.0
44.43,59.4944,1.0,1.0,1.0
44.44,60.0,1.0,1.0,1.0
44.45,55.0,1.0,1.0,1.0
44.46,29.4944,1.0,1.0,1.0
44.47,21.0111,1.0,1.0,1.0
44.48,31.0,1.0,1.0,1.0
44.49,35.9778,1.0,1.0,1.0
44.5,36.5167,1.0,1.0,1.0
44.51,43.0,1.0,1.0,1.0
44.52,43.5056,1.0,1.0,1.0
44.53,32.4833,1.0,1.0,1.0
44.54,48.5167,1.0,1.0,1.0
44.55,55.9889,1.0,1.0,1.0
44.56,48.0111,1.0,1.0,1.0
44.57,81.4944,1.0,1.0,1.0
44.58,93.5056,1.0,1.0,1.0
44.59,112.9889,1.0,1.0,1.0
44.6,104.5056,1.0,1.0,1.0
44.61,123.5056,1.0,1.0,1.0
44.62,135.4833,1.0,1.0,1.0
44.63,155.5167,1.0,1.0,1.0
44.64,144.9778,1.0,1.0,1.0
44.65,189.4833,1.0,1.0,1.0
44.66,226.5389,1.0,1.0,1.0
44.67,219.4833,1.0,1.0,1.0
44.68,192.4722,1.0,1.0,1.0
44.69,245.0222,1.0,1.0,1.0
44.7,258.4833,1.0,1.0,1.0
44.71,245.5056,1.0,1.0,1.0
44.72,270.9889,1.0,1.0,1.0
44.73,305.5167,1.0,1.0,1.0
44.74,274.4944,1.0,1.0,1.0
44.75,262.0,1.0,1.0,1.0
44.76,280.4944,1.0,1.0,1.0
44.77,250.0111,1.0,1.0,1.0
44.78,280.4944,1.0,1.0,1.0
44.79,273.0222,1.0,1.0,1.0
44.8,278.4833,1.0,1.0,1.0
44.81,247.4833,1.0,1.0,1.0
44.82,243.9889,1.0,1.0,1.0
44.83,252.55,1.0,1.0,1.0
44.84,223.4722,1.0,1.0,1.0
44.85,212.5278,1.0,1.0,1.0
44.86,186.0,1.0,1.0,1.0
44.87,186.4833,1.0,1.0,1.0
44.88,169.5056,1.0,1.0,1.0
44.89,147.9889,1.0,1.0,1.0
44.9,132.0222,1.0,1.0,1.0
44.91,140.0,1.0,1.0,1.0
44.92,92.0,1.0,1.0,1.0
44.93,88.4944,1.0,1.0,1.0
44.94,76.0,1.0,1.0,1.0
44.95,65.9889,1.0,1.0,1.0
44.96,72.0111,1.0,1.0,1.0
44.97,77.0,1.0,1.0,1.0
44.98,64.0,1.0,1.0,1.0
44.99,101.4833,1.0,1.0,1.0
45.0,104.0111,1.0,1.0,1.0
45.01,126.4944,1.0,1.0,1.0
45.02,135.0,1.0,1.0,1.0
45.03,160.9889,1.0,1.0,1.0
45.04,191.0222,1.0,1.0,1.0
45.05,271.0,1.0,1.0,1.0
45.06,252.4944,1.0,1.0,1.0
45.07,328.4722,1.0,1.0,1.0
45.08,353.5278,1.0,1.0,1.0
45.09,361.45,1.0,1.0,1.0
45.1,431.4722,1.0,1.0,1.0
45.11,513.5389,1.0,1.0,1.0
45.12,540.4167,1.0,1.0,1.0
45.13,602.0555,1.0,1.0,1.0
45.14,627.0111,1.0,1.0,1.0
45.15,737.4278,1.0,1.0,1.0
