#twotheta, yobs, ycal, bkg, diff
42.0,63.0,1.0,1.0,1.0
42.01,39.0,1.0,1.0,1.0
42.02,70.0111,1.0,1.0,1.0
42.03,85.4944,1.0,1.0,1.0
42.04,81.4833,1.0,1.0,1.0
42.05,76.5167,1.0,1.0,1.0
42.06,82.0,1.0,1.0,1.0
42.07,117.9778,1.0,1.0,1.0
42.08,138.5167,1.0,1.0,1.0
42.09,151.5056,1.0,1.0,1.0
42.1,176.4944,1.0,1.0,1.0
42.11,208.9889,1.0,1.0,1.0
42.12,227.0111,1.0,1.0,1.0
42.13,251.9889,1.0,1.0,1.0
42.14,304.9889,1.0,1.0,1.0
42.15,343.0,1.0,1.0,1.0
42.16,367.9889,1.0,1.0,1.0
42.17,414.0,1.0,1.0,1.0
42.18,530.4833,1.0,1.0,1.0
42.19,549.9778,1.0,1.0,1.0
42.2,631.5278,1.0,1.0,1.0
42.21,651.9556,1.0,1.0,1.0
42.22,797.5056,1.0,1.0,1.0
42.23,802.0333,1.0,1.0,1.0
42.24,976.4944,1.0,1.0,1.0
42.25,1066.9556,1.0,1.0,1.0
42.26,1125.9778,1.0,1.0,1.0
42.27,1195.9556,1.0,1.0,1.0
42.28,1300.0111,1.0,1.0,1.0
42.29,1487.9556,1.0,1.0,1.0
42.3,1569.5277,1.0,1.0,1.0
42.31,1680.4945,1.0,1.0,1.0
42.32,1778.9889,1.0,1.0,1.0
42.33,1993.5056,1.0,1.0,1.0
42.34,1991.4834,1.0,1.0,1.0
42.35,2257.4277,1.0,1.0,1.0
42.36,2410.011,1.0,1.0,1.0
42.37,2592.0444,1.0,1.0,1.0
42.38,2657.439,1.0,1.0,1.0
42.39,2909.4612,1.0,1.0,1.0
42.4,3012.439,1.0,1.0,1.0
42.41,3162.55,1.0,1.0,1.0
42.42,3501.4834,1.0,1.0,1.0
42.43,3615.45,1.0,1.0,1.0
42.44,3769.011,1.0,1.0,1.0
42.45,3948.3833,1.0,1.0,1.0
42.46,4181.439,1.0,1.0,1.0
42.47,4285.0776,1.0,1.0,1.0
42.48,4485.9111,1.0,1.0,1.0
42.49,4727.6279,1.0,1.0,1.0
42.5,4916.3057,1.0,1.0,1.0
42.51,5255.5391,1.0,1.0,1.0
42.52,5378.0776,1.0,1.0,1.0
42.53,5609.4722,1.0,1.0,1.0
42.54,5737.8555,1.0,1.0,1.0
42.55,6105.3833,1.0,1.0,1.0
42.56,6014.7388,1.0,1.0,1.0
42.57,6429.3389,1.0,1.0,1.0
42.58,6558.3945,1.0,1.0,1.0
42.59,6833.0889,1.0,1.0,1.0
42.6,7015.4609,1.0,1.0,1.0
42.61,7260.022,1.0,1.0,1.0
42.62,7419.4722,1.0,1.0,1.0
42.63,7612.3833,1.0,1.0,1.0
42.64,7884.0669,1.0,1.0,1.0
42.65,7928.4058,1.0,1.0,1.0
42.66,8109.1001,1.0,1.0,1.0
42.67,8397.9111,1.0,1.0,1.0
42.68,8443.0107,1.0,1.0,1.0
42.69,8675.9668,1.0,1.0,1.0
42.7,8741.5059,1.0,1.0,1.0
42.71,9020.9775,1.0,1.0,1.0
42.72,9112.0107,1.0,1.0,1.0
42.73,9093.4277,1.0,1.0,1.0
42.74,9305.4609,1.0,1.0,1.0
42.75,9296.5723,1.0,1.0,1.0
42.76,9310.0332,1.0,1.0,1.0
42.77,9467.1172,1.0,1.0,1.0
42.78,9457.7168,1.0,1.0,1.0
42.79,9639.0664,1.0,1.0,1.0
42.8,9900.0557,1.0,1.0,1.0
42.81,9776.5273,1.0,1.0,1.0
42.82,9650.3281,1.0,1.0,1.0
42.83,9963.5615,1.0,1.0,1.0
42.84,9784.9668,1.0,1.0,1.0
42.85,9794.0439,1.0,1.0,1.0
42.86,9916.9443,1.0,1.0,1.0
42.87,9594.5498,1.0,1.0,1.0
42.88,9768.1553,1.0,1.0,1.0
42.89,9499.2949,1.0,1.0,1.0
42.9,9492.6719,1.0,1.0,1.0
42.91,9599.9004,1.0,1.0,1.0
42.92,9547.0996,1.0,1.0,1.0
42.93,9430.5166,1.0,1.0,1.0
42.94,9289.9219,1.0,1.0,1.0
42.95,9192.4385,1.0,1.0,1.0
42.96,9094.7275,1.0,1.0,1.0
42.97,8920.0557,1.0,1.0,1.0
42.98,8834.7666,1.0,1.0,1.0
42.99,8743.4727,1.0,1.0,1.0
43.0,8539.6387,1.0,1.0,1.0
43.01,8422.8887,1.0,1.0,1.0
43.02,8261.2109,1.0,1.0,1.0
43.03,7998.9443,1.0,1.0,1.0
43.04,7691.0444,1.0,1.0,1.0
43.05,7800.0332,1.0,1.0,1.0
43.06,7486.9331,1.0,1.0,1.0
43.07,7239.6167,1.0,1.0,1.0
43.08,7170.9775,1.0,1.0,1.0
43.09,6813.4609,1.0,1.0,1.0
43.1,6567.4502,1.0,1.0,1.0
43.11,6539.8276,1.0,1.0,1.0
43.12,6283.8223,1.0,1.0,1.0
43.13,6051.1001,1.0,1.0,1.0
43.14,5838.0889,1.0,1.0,1.0
43.15,5542.3833,1.0,1.0,1.0
43.16,5309.6387,1.0,1.0,1.0
43.17,5201.4609,1.0,1.0,1.0
43.18,4938.9111,1.0,1.0,1.0
43.19,4784.6943,1.0,1.0,1.0
43.2,4436.9224,1.0,1.0,1.0
