#twotheta, yobs, ycal, bkg, diff
42.0,2602.9556,1.0,1.0,1.0
42.01,2713.5388,1.0,1.0,1.0
42.02,2933.3945,1.0,1.0,1.0
42.03,3151.0112,1.0,1.0,1.0
42.04,3330.5833,1.0,1.0,1.0
42.05,3529.4167,1.0,1.0,1.0
42.06,3727.9556,1.0,1.0,1.0
42.07,3900.4834,1.0,1.0,1.0
42.08,4109.439,1.0,1.0,1.0
42.09,4334.5391,1.0,1.0,1.0
42.1,4467.4165,1.0,1.0,1.0
42.11,4808.9888,1.0,1.0,1.0
42.12,4889.5391,1.0,1.0,1.0
42.13,5385.8779,1.0,1.0,1.0
42.14,5336.5054,1.0,1.0,1.0
42.15,5788.0225,1.0,1.0,1.0
42.16,5927.9888,1.0,1.0,1.0
42.17,6142.7446,1.0,1.0,1.0
42.18,6480.1113,1.0,1.0,1.0
42.19,6729.0225,1.0,1.0,1.0
42.2,7078.5166,1.0,1.0,1.0
42.21,7193.8779,1.0,1.0,1.0
42.22,7417.1108,1.0,1.0,1.0
42.23,7885.3501,1.0,1.0,1.0
42.24,7987.4502,1.0,1.0,1.0
42.25,8249.0664,1.0,1.0,1.0
42.26,8452.833,1.0,1.0,1.0
42.27,8750.5947,1.0,1.0,1.0
42.28,9033.9004,1.0,1.0,1.0
42.29,9243.4941,1.0,1.0,1.0
42.3,9692.9336,1.0,1.0,1.0
42.31,9577.5723,1.0,1.0,1.0
42.32,10045.3164,1.0,1.0,1.0
42.33,10079.6611,1.0,1.0,1.0
42.34,10532.4502,1.0,1.0,1.0
42.35,10872.8555,1.0,1.0,1.0
42.36,11021.4277,1.0,1.0,1.0
42.37,11196.3838,1.0,1.0,1.0
42.38,11318.6387,1.0,1.0,1.0
42.39,11514.417,1.0,1.0,1.0
42.4,11775.6611,1.0,1.0,1.0
42.41,12286.2725,1.0,1.0,1.0
42.42,12349.6504,1.0,1.0,1.0
42.43,12348.7998,1.0,1.0,1.0
42.44,12603.9668,1.0,1.0,1.0
42.45,12743.6055,1.0,1.0,1.0
42.46,12737.5498,1.0,1.0,1.0
42.47,13175.4834,1.0,1.0,1.0
42.48,13263.583,1.0,1.0,1.0
42.49,13414.9775,1.0,1.0,1.0
42.5,13507.7666,1.0,1.0,1.0
42.51,13422.5166,1.0,1.0,1.0
42.52,13531.6719,1.0,1.0,1.0
42.53,13953.2832,1.0,1.0,1.0
42.54,13782.5723,1.0,1.0,1.0
42.55,13827.3281,1.0,1.0,1.0
42.56,13961.5947,1.0,1.0,1.0
42.57,13838.0664,1.0,1.0,1.0
42.58,13952.4385,1.0,1.0,1.0
42.59,14124.5615,1.0,1.0,1.0
42.6,14207.4727,1.0,1.0,1.0
42.61,14122.9004,1.0,1.0,1.0
42.62,14164.5723,1.0,1.0,1.0
42.63,13907.4385,1.0,1.0,1.0
42.64,14077.6055,1.0,1.0,1.0
42.65,13747.1221,1.0,1.0,1.0
42.66,13992.8779,1.0,1.0,1.0
42.67,13859.0996,1.0,1.0,1.0
42.68,13717.6162,1.0,1.0,1.0
42.69,13681.2725,1.0,1.0,1.0
42.7,13576.6055,1.0,1.0,1.0
42.71,13373.9443,1.0,1.0,1.0
42.72,13481.0225,1.0,1.0,1.0
42.73,13223.4834,1.0,1.0,1.0
42.74,13185.5615,1.0,1.0,1.0
42.75,12846.6387,1.0,1.0,1.0
42.76,12757.8887,1.0,1.0,1.0
42.77,12698.6162,1.0,1.0,1.0
42.78,12545.3613,1.0,1.0,1.0
42.79,12235.6279,1.0,1.0,1.0
42.8,12156.1445,1.0,1.0,1.0
42.81,11860.2949,1.0,1.0,1.0
42.82,11501.6611,1.0,1.0,1.0
42.83,11569.4834,1.0,1.0,1.0
42.84,11342.0557,1.0,1.0,1.0
42.85,10957.5166,1.0,1.0,1.0
42.86,10803.0439,1.0,1.0,1.0
42.87,10450.3838,1.0,1.0,1.0
42.88,10342.6387,1.0,1.0,1.0
42.89,9962.5166,1.0,1.0,1.0
42.9,9931.0996,1.0,1.0,1.0
42.91,9452.3838,1.0,1.0,1.0
42.92,9291.0332,1.0,1.0,1.0
42.93,9010.0664,1.0,1.0,1.0
42.94,8776.0996,1.0,1.0,1.0
