#twotheta, yobs, ycal, bkg, diff
42.0,195.4944,1.0,1.0,1.0
42.01,232.4944,1.0,1.0,1.0
42.02,263.9889,1.0,1.0,1.0
42.03,249.0111,1.0,1.0,1.0
42.04,245.5056,1.0,1.0,1.0
42.05,290.4833,1.0,1.0,1.0
42.06,338.5278,1.0,1.0,1.0
42.07,365.9778,1.0,1.0,1.0
42.08,358.0,1.0,1.0,1.0
42.09,425.9889,1.0,1.0,1.0
42.1,464.9778,1.0,1.0,1.0
42.11,502.4944,1.0,1.0,1.0
42.12,567.5278,1.0,1.0,1.0
42.13,600.4944,1.0,1.0,1.0
42.14,628.9667,1.0,1.0,1.0
42.15,687.0333,1.0,1.0,1.0
42.16,688.4944,1.0,1.0,1.0
42.17,815.9445,1.0,1.0,1.0
42.18,879.0,1.0,1.0,1.0
42.19,906.4833,1.0,1.0,1.0
42.2,1027.5278,1.0,1.0,1.0
42.21,1081.4279,1.0,1.0,1.0
42.22,1123.5833,1.0,1.0,1.0
42.23,1183.439,1.0,1.0,1.0
42.24,1265.0222,1.0,1.0,1.0
42.25,1321.9556,1.0,1.0,1.0
42.26,1424.5055,1.0,1.0,1.0
42.27,1528.9667,1.0,1.0,1.0
42.28,1626.4167,1.0,1.0,1.0
42.29,1712.0444,1.0,1.0,1.0
42.3,1811.561,1.0,1.0,1.0
42.31,1950.9778,1.0,1.0,1.0
42.32,1993.9222,1.0,1.0,1.0
42.33,2103.561,1.0,1.0,1.0
42.34,2265.9224,1.0,1.0,1.0
42.35,2344.5056,1.0,1.0,1.0
42.36,2510.4722,1.0,1.0,1.0
42.37,2588.0332,1.0,1.0,1.0
42.38,2657.4722,1.0,1.0,1.0
42.39,2861.45,1.0,1.0,1.0
42.4,2918.0222,1.0,1.0,1.0
42.41,2979.45,1.0,1.0,1.0
42.42,3221.561,1.0,1.0,1.0
42.43,3291.4944,1.0,1.0,1.0
42.44,3439.4834,1.0,1.0,1.0
42.45,3587.9778,1.0,1.0,1.0
42.46,3659.4612,1.0,1.0,1.0
42.47,3742.0222,1.0,1.0,1.0
42.48,4009.4277,1.0,1.0,1.0
42.49,4117.1221,1.0,1.0,1.0
42.5,4305.8223,1.0,1.0,1.0
42.51,4368.0889,1.0,1.0,1.0
42.52,4595.4277,1.0,1.0,1.0
42.53,4773.439,1.0,1.0,1.0
42.54,4824.978,1.0,1.0,1.0
42.55,4958.5054,1.0,1.0,1.0
42.56,5220.8999,1.0,1.0,1.0
42.57,5291.5498,1.0,1.0,1.0
42.58,5499.5498,1.0,1.0,1.0
42.59,5591.4834,1.0,1.0,1.0
42.6,5764.9888,1.0,1.0,1.0
