#twotheta, yobs, ycal, bkg, diff
38.0,13.0,1.0,1.0,1.0
38.01,47.0,1.0,1.0,1.0
38.02,21.4944,1.0,1.0,1.0
38.03,14.5056,1.0,1.0,1.0
38.04,24.0,1.0,1.0,1.0
38.05,18.9889,1.0,1.0,1.0
38.06,27.0111,1.0,1.0,1.0
38.07,15.0,1.0,1.0,1.0
38.08,24.0,1.0,1.0,1.0
38.09,24.0,1.0,1.0,1.0
38.1,27.9889,1.0,1.0,1.0
38.11,24.0111,1.0,1.0,1.0
38.12,32.0,1.0,1.0,1.0
38.13,18.0,1.0,1.0,1.0
38.14,26.0,1.0,1.0,1.0
38.15,22.0,1.0,1.0,1.0
38.16,24.0,1.0,1.0,1.0
38.17,32.4944,1.0,1.0,1.0
38.18,23.0,1.0,1.0,1.0
38.19,16.5056,1.0,1.0,1.0
38.2,18.4944,1.0,1.0,1.0
38.21,25.5056,1.0,1.0,1.0
38.22,12.0,1.0,1.0,1.0
38.23,38.0,1.0,1.0,1.0
38.24,31.4944,1.0,1.0,1.0
38.25,24.4944,1.0,1.0,1.0
38.26,20.0111,1.0,1.0,1.0
38.27,31.4944,1.0,1.0,1.0
38.28,25.5056,1.0,1.0,1.0
38.29,33.4944,1.0,1.0,1.0
38.3,21.5056,1.0,1.0,1.0
38.31,28.9889,1.0,1.0,1.0
38.32,27.5056,1.0,1.0,1.0
38.33,29.4944,1.0,1.0,1.0
38.34,30.0111,1.0,1.0,1.0
38.35,22.0,1.0,1.0,1.0
38.36,35.0,1.0,1.0,1.0
38.37,22.9889,1.0,1.0,1.0
38.38,15.0111,1.0,1.0,1.0
38.39,32.0,1.0,1.0,1.0
38.4,9.0,1.0,1.0,1.0
38.41,12.0,1.0,1.0,1.0
38.42,19.0,1.0,1.0,1.0
38.43,33.0,1.0,1.0,1.0
38.44,19.0,1.0,1.0,1.0
38.45,29.4944,1.0,1.0,1.0
38.46,9.5056,1.0,1.0,1.0
38.47,11.0,1.0,1.0,1.0
38.48,28.0,1.0,1.0,1.0
38.49,14.0,1.0,1.0,1.0
38.5,26.0,1.0,1.0,1.0
38.51,16.0,1.0,1.0,1.0
38.52,25.4944,1.0,1.0,1.0
38.53,25.5056,1.0,1.0,1.0
38.54,19.4944,1.0,1.0,1.0
38.55,18.5056,1.0,1.0,1.0
38.56,21.0,1.0,1.0,1.0
38.57,28.4944,1.0,1.0,1.0
38.58,48.0,1.0,1.0,1.0
