#twotheta, yobs, ycal, bkg, diff
42.0,9.4944,1.0,1.0,1.0
42.01,14.5056,1.0,1.0,1.0
42.02,6.0,1.0,1.0,1.0
42.03,18.0,1.0,1.0,1.0
42.04,20.0,1.0,1.0,1.0
42.05,4.4944,1.0,1.0,1.0
42.06,12.5056,1.0,1.0,1.0
42.07,13.0,1.0,1.0,1.0
42.08,7.0,1.0,1.0,1.0
42.09,14.0,1.0,1.0,1.0
42.1,4.0,1.0,1.0,1.0
42.11,7.4944,1.0,1.0,1.0
42.12,12.5056,1.0,1.0,1.0
42.13,4.4944,1.0,1.0,1.0
42.14,6.5056,1.0,1.0,1.0
42.15,5.0,1.0,1.0,1.0
42.16,10.4944,1.0,1.0,1.0
42.17,4.0,1.0,1.0,1.0
42.18,13.0,1.0,1.0,1.0
42.19,19.5056,1.0,1.0,1.0
42.2,20.0,1.0,1.0,1.0
42.21,13.0,1.0,1.0,1.0
42.22,10.0,1.0,1.0,1.0
42.23,11.0,1.0,1.0,1.0
42.24,7.4944,1.0,1.0,1.0
42.25,7.5056,1.0,1.0,1.0
42.26,12.0,1.0,1.0,1.0
42.27,16.4944,1.0,1.0,1.0
42.28,12.5056,1.0,1.0,1.0
42.29,13.4944,1.0,1.0,1.0
42.3,19.4944,1.0,1.0,1.0
42.31,9.0111,1.0,1.0,1.0
42.32,8.0,1.0,1.0,1.0
42.33,11.0,1.0,1.0,1.0
42.34,16.0,1.0,1.0,1.0
42.35,22.0,1.0,1.0,1.0
42.36,21.0,1.0,1.0,1.0
42.37,17.0,1.0,1.0,1.0
42.38,10.0,1.0,1.0,1.0
42.39,18.0,1.0,1.0,1.0
42.4,17.4944,1.0,1.0,1.0
42.41,20.5056,1.0,1.0,1.0
42.42,7.0,1.0,1.0,1.0
42.43,11.0,1.0,1.0,1.0
42.44,7.0,1.0,1.0,1.0
42.45,16.0,1.0,1.0,1.0
42.46,11.0,1.0,1.0,1.0
42.47,11.4944,1.0,1.0,1.0
42.48,4.5056,1.0,1.0,1.0
42.49,11.0,1.0,1.0,1.0
42.5,23.0,1.0,1.0,1.0
42.51,19.0,1.0,1.0,1.0
42.52,5.0,1.0,1.0,1.0
42.53,11.0,1.0,1.0,1.0
42.54,13.0,1.0,1.0,1.0
42.55,7.0,1.0,1.0,1.0
42.56,19.0,1.0,1.0,1.0
42.57,16.9889,1.0,1.0,1.0
42.58,12.0111,1.0,1.0,1.0
42.59,12.0,1.0,1.0,1.0
42.6,7.4944,1.0,1.0,1.0
42.61,13.5056,1.0,1.0,1.0
42.62,15.4944,1.0,1.0,1.0
42.63,11.5056,1.0,1.0,1.0
42.64,18.0,1.0,1.0,1.0
42.65,2.0,1.0,1.0,1.0
42.66,9.0,1.0,1.0,1.0
42.67,6.0,1.0,1.0,1.0
42.68,10.9889,1.0,1.0,1.0
42.69,8.0111,1.0,1.0,1.0
42.7,10.0,1.0,1.0,1.0
42.71,8.0,1.0,1.0,1.0
42.72,4.0,1.0,1.0,1.0
42.73,13.4944,1.0,1.0,1.0
42.74,9.5056,1.0,1.0,1.0
42.75,7.0,1.0,1.0,1.0
42.76,16.0,1.0,1.0,1.0
42.77,16.0,1.0,1.0,1.0
42.78,0.0,1.0,1.0,1.0
42.79,14.0,1.0,1.0,1.0
42.8,11.0,1.0,1.0,1.0
42.81,7.0,1.0,1.0,1.0
42.82,11.0,1.0,1.0,1.0
42.83,9.4944,1.0,1.0,1.0
42.84,13.5056,1.0,1.0,1.0
42.85,21.0,1.0,1.0,1.0
42.86,24.4944,1.0,1.0,1.0
42.87,20.5056,1.0,1.0,1.0
42.88,22.4944,1.0,1.0,1.0
42.89,12.5056,1.0,1.0,1.0
42.9,12.0,1.0,1.0,1.0
42.91,11.4944,1.0,1.0,1.0
42.92,14.5056,1.0,1.0,1.0
42.93,8.0,1.0,1.0,1.0
42.94,8.0,1.0,1.0,1.0
42.95,24.0,1.0,1.0,1.0
42.96,18.0,1.0,1.0,1.0
42.97,25.4944,1.0,1.0,1.0
42.98,15.0,1.0,1.0,1.0
42.99,17.5056,1.0,1.0,1.0
43.0,22.0,1.0,1.0,1.0
43.01,17.0,1.0,1.0,1.0
43.02,24.0,1.0,1.0,1.0
43.03,17.0,1.0,1.0,1.0
43.04,29.0,1.0,1.0,1.0
43.05,12.0,1.0,1.0,1.0
43.06,20.4944,1.0,1.0,1.0
43.07,34.5056,1.0,1.0,1.0
43.08,25.0,1.0,1.0,1.0
43.09,15.4944,1.0,1.0,1.0
43.1,25.0,1.0,1.0,1.0
43.11,27.5056,1.0,1.0,1.0
43.12,23.0,1.0,1.0,1.0
43.13,23.0,1.0,1.0,1.0
43.14,34.0,1.0,1.0,1.0
43.15,27.4944,1.0,1.0,1.0
43.16,20.5056,1.0,1.0,1.0
43.17,26.4944,1.0,1.0,1.0
43.18,42.0,1.0,1.0,1.0
43.19,16.5056,1.0,1.0,1.0
43.2,16.0,1.0,1.0,1.0
43.21,19.0,1.0,1.0,1.0
43.22,26.0,1.0,1.0,1.0
43.23,28.0,1.0,1.0,1.0
43.24,14.4944,1.0,1.0,1.0
43.25,25.5056,1.0,1.0,1.0
43.26,22.0,1.0,1.0,1.0
43.27,25.4944,1.0,1.0,1.0
43.28,16.5056,1.0,1.0,1.0
43.29,28.0,1.0,1.0,1.0
43.3,19.9889,1.0,1.0,1.0
43.31,31.0111,1.0,1.0,1.0
43.32,22.0,1.0,1.0,1.0
43.33,10.0,1.0,1.0,1.0
43.34,24.0,1.0,1.0,1.0
43.35,23.4944,1.0,1.0,1.0
43.36,10.5056,1.0,1.0,1.0
43.37,24.0,1.0,1.0,1.0
43.38,16.0,1.0,1.0,1.0
43.39,35.0,1.0,1.0,1.0
43.4,13.0,1.0,1.0,1.0
43.41,15.4944,1.0,1.0,1.0
43.42,14.5056,1.0,1.0,1.0
43.43,13.4944,1.0,1.0,1.0
43.44,22.5056,1.0,1.0,1.0
43.45,7.0,1.0,1.0,1.0
43.46,10.0,1.0,1.0,1.0
43.47,24.0,1.0,1.0,1.0
43.48,12.0,1.0,1.0,1.0
43.49,10.0,1.0,1.0,1.0
43.5,8.0,1.0,1.0,1.0
43.51,16.4944,1.0,1.0,1.0
43.52,11.5056,1.0,1.0,1.0
43.53,18.0,1.0,1.0,1.0
43.54,13.0,1.0,1.0,1.0
43.55,14.0,1.0,1.0,1.0
43.56,19.0,1.0,1.0,1.0
43.57,7.0,1.0,1.0,1.0
43.58,12.0,1.0,1.0,1.0
43.59,14.0,1.0,1.0,1.0
43.6,17.0,1.0,1.0,1.0
43.61,22.0,1.0,1.0,1.0
43.62,20.0,1.0,1.0,1.0
43.63,20.0,1.0,1.0,1.0
43.64,30.0,1.0,1.0,1.0
43.65,17.0,1.0,1.0,1.0
43.66,14.0,1.0,1.0,1.0
43.67,26.0,1.0,1.0,1.0
43.68,22.4944,1.0,1.0,1.0
43.69,35.0,1.0,1.0,1.0
43.7,31.0,1.0,1.0,1.0
43.71,23.5056,1.0,1.0,1.0
43.72,26.9889,1.0,1.0,1.0
43.73,41.0111,1.0,1.0,1.0
43.74,34.0,1.0,1.0,1.0
43.75,20.0,1.0,1.0,1.0
43.76,31.0,1.0,1.0,1.0
43.77,36.4944,1.0,1.0,1.0
43.78,42.5056,1.0,1.0,1.0
43.79,45.9889,1.0,1.0,1.0
43.8,43.5056,1.0,1.0,1.0
43.81,47.4944,1.0,1.0,1.0
43.82,36.0111,1.0,1.0,1.0
43.83,49.0,1.0,1.0,1.0
43.84,45.4944,1.0,1.0,1.0
43.85,44.5056,1.0,1.0,1.0
43.86,60.9889,1.0,1.0,1.0
43.87,45.5056,1.0,1.0,1.0
43.88,58.5056,1.0,1.0,1.0
43.89,55.0,1.0,1.0,1.0
43.9,59.0,1.0,1.0,1.0
43.91,46.0,1.0,1.0,1.0
43.92,65.0,1.0,1.0,1.0
43.93,56.9889,1.0,1.0,1.0
43.94,60.5056,1.0,1.0,1.0
43.95,53.0,1.0,1.0,1.0
43.96,53.4944,1.0,1.0,1.0
43.97,49.0111,1.0,1.0,1.0
43.98,59.0,1.0,1.0,1.0
43.99,57.0,1.0,1.0,1.0
44.0,40.0,1.0,1.0,1.0
44.01,54.9889,1.0,1.0,1.0
44.02,52.0111,1.0,1.0,1.0
44.03,61.4944,1.0,1.0,1.0
44.04,41.4944,1.0,1.0,1.0
44.05,36.0111,1.0,1.0,1.0
44.06,37.0,1.0,1.0,1.0
44.07,35.0,1.0,1.0,1.0
44.08,35.9889,1.0,1.0,1.0
44.09,32.5056,1.0,1.0,1.0
44.1,36.5056,1.0,1.0,1.0
44.11,35.0,1.0,1.0,1.0
44.12,27.4944,1.0,1.0,1.0
44.13,30.5056,1.0,1.0,1.0
44.14,18.0,1.0,1.0,1.0
44.15,19.4944,1.0,1.0,1.0
44.16,19.0,1.0,1.0,1.0
44.17,27.5056,1.0,1.0,1.0
44.18,28.0,1.0,1.0,1.0
44.19,12.0,1.0,1.0,1.0
44.2,28.0,1.0,1.0,1.0
44.21,23.9889,1.0,1.0,1.0
44.22,18.0111,1.0,1.0,1.0
44.23,8.9889,1.0,1.0,1.0
44.24,13.0,1.0,1.0,1.0
44.25,28.0111,1.0,1.0,1.0
44.26,14.0,1.0,1.0,1.0
44.27,33.0,1.0,1.0,1.0
44.28,16.0,1.0,1.0,1.0
44.29,17.0,1.0,1.0,1.0
44.3,13.0,1.0,1.0,1.0
44.31,24.0,1.0,1.0,1.0
44.32,23.0,1.0,1.0,1.0
44.33,17.4944,1.0,1.0,1.0
44.34,13.5056,1.0,1.0,1.0
44.35,11.0,1.0,1.0,1.0
44.36,28.0,1.0,1.0,1.0
44.37,25.0,1.0,1.0,1.0
44.38,26.4944,1.0,1.0,1.0
44.39,36.5056,1.0,1.0,1.0
44.4,23.9889,1.0,1.0,1.0
44.41,55.5056,1.0,1.0,1.0
44.42,56.9889,1.0,1.0,1.0
44.43,48.0,1.0,1.0,1.0
44.44,28.0111,1.0,1.0,1.0
44.45,55.5056,1.0,1.0,1.0
44.46,39.9889,1.0,1.0,1.0
44.47,69.5056,1.0,1.0,1.0
44.48,57.0,1.0,1.0,1.0
44.49,58.4944,1.0,1.0,1.0
44.5,59.5056,1.0,1.0,1.0
44.51,68.0,1.0,1.0,1.0
44.52,58.5056,1.0,1.0,1.0
44.53,68.9778,1.0,1.0,1.0
44.54,102.5056,1.0,1.0,1.0
44.55,97.0111,1.0,1.0,1.0
44.56,68.4944,1.0,1.0,1.0
44.57,83.0,1.0,1.0,1.0
44.58,97.0,1.0,1.0,1.0
44.59,116.0,1.0,1.0,1.0
44.6,101.9889,1.0,1.0,1.0
44.61,88.0,1.0,1.0,1.0
44.62,105.5056,1.0,1.0,1.0
44.63,97.0,1.0,1.0,1.0
44.64,107.0111,1.0,1.0,1.0
44.65,111.4944,1.0,1.0,1.0
44.66,107.0111,1.0,1.0,1.0
44.67,130.4833,1.0,1.0,1.0
44.68,110.5056,1.0,1.0,1.0
44.69,116.9889,1.0,1.0,1.0
44.7,121.0,1.0,1.0,1.0
44.71,111.0222,1.0,1.0,1.0
44.72,102.4833,1.0,1.0,1.0
44.73,111.0,1.0,1.0,1.0
44.74,89.5056,1.0,1.0,1.0
44.75,128.0,1.0,1.0,1.0
44.76,101.0111,1.0,1.0,1.0
44.77,111.9778,1.0,1.0,1.0
44.78,101.5167,1.0,1.0,1.0
44.79,87.9778,1.0,1.0,1.0
44.8,106.0222,1.0,1.0,1.0
44.81,64.5056,1.0,1.0,1.0
44.82,97.9889,1.0,1.0,1.0
44.83,87.4944,1.0,1.0,1.0
44.84,72.5056,1.0,1.0,1.0
44.85,55.5056,1.0,1.0,1.0
44.86,81.5056,1.0,1.0,1.0
44.87,63.4944,1.0,1.0,1.0
44.88,62.4944,1.0,1.0,1.0
44.89,59.5056,1.0,1.0,1.0
44.9,37.0,1.0,1.0,1.0
44.91,47.0,1.0,1.0,1.0
44.92,42.5056,1.0,1.0,1.0
44.93,59.0,1.0,1.0,1.0
44.94,56.9889,1.0,1.0,1.0
44.95,42.5056,1.0,1.0,1.0
44.96,21.5056,1.0,1.0,1.0
44.97,43.4944,1.0,1.0,1.0
44.98,30.5056,1.0,1.0,1.0
44.99,39.0,1.0,1.0,1.0
45.0,18.0,1.0,1.0,1.0
45.01,24.0,1.0,1.0,1.0
45.02,26.4833,1.0,1.0,1.0
45.03,33.0111,1.0,1.0,1.0
45.04,34.5056,1.0,1.0,1.0
45.05,20.4944,1.0,1.0,1.0
45.06,41.0,1.0,1.0,1.0
45.07,20.5056,1.0,1.0,1.0
45.08,22.0,1.0,1.0,1.0
45.09,34.0,1.0,1.0,1.0
45.1,39.0,1.0,1.0,1.0
45.11,42.0,1.0,1.0,1.0
45.12,42.9889,1.0,1.0,1.0
45.13,46.5056,1.0,1.0,1.0
45.14,47.0,1.0,1.0,1.0
45.15,84.5056,1.0,1.0,1.0
45.16,76.4722,1.0,1.0,1.0
45.17,79.0111,1.0,1.0,1.0
45.18,94.5056,1.0,1.0,1.0
45.19,97.0,1.0,1.0,1.0
45.2,104.4944,1.0,1.0,1.0
45.21,100.0,1.0,1.0,1.0
45.22,108.5167,1.0,1.0,1.0
45.23,121.9889,1.0,1.0,1.0
45.24,140.5056,1.0,1.0,1.0
45.25,161.4944,1.0,1.0,1.0
45.26,156.4833,1.0,1.0,1.0
45.27,155.0222,1.0,1.0,1.0
45.28,178.0,1.0,1.0,1.0
45.29,160.9778,1.0,1.0,1.0
45.3,196.0111,1.0,1.0,1.0
45.31,182.9778,1.0,1.0,1.0
45.32,218.0222,1.0,1.0,1.0
45.33,254.0,1.0,1.0,1.0
45.34,232.4944,1.0,1.0,1.0
45.35,285.9556,1.0,1.0,1.0
45.36,244.0444,1.0,1.0,1.0
45.37,247.0111,1.0,1.0,1.0
45.38,244.5056,1.0,1.0,1.0
45.39,228.4833,1.0,1.0,1.0
45.4,266.5056,1.0,1.0,1.0
45.41,224.9778,1.0,1.0,1.0
45.42,284.4944,1.0,1.0,1.0
45.43,252.0111,1.0,1.0,1.0
45.44,284.4944,1.0,1.0,1.0
45.45,261.0,1.0,1.0,1.0
45.46,276.0222,1.0,1.0,1.0
45.47,272.9889,1.0,1.0,1.0
45.48,245.0111,1.0,1.0,1.0
45.49,264.9778,1.0,1.0,1.0
45.5,267.0111,1.0,1.0,1.0
45.51,237.4944,1.0,1.0,1.0
45.52,250.5056,1.0,1.0,1.0
45.53,200.0111,1.0,1.0,1.0
45.54,198.0111,1.0,1.0,1.0
45.55,176.0,1.0,1.0,1.0
45.56,200.9778,1.0,1.0,1.0
45.57,186.9778,1.0,1.0,1.0
45.58,171.5389,1.0,1.0,1.0
45.59,157.9889,1.0,1.0,1.0
45.6,171.0111,1.0,1.0,1.0
45.61,171.4944,1.0,1.0,1.0
45.62,148.0111,1.0,1.0,1.0
45.63,147.9778,1.0,1.0,1.0
45.64,146.0,1.0,1.0,1.0
45.65,121.5167,1.0,1.0,1.0
45.66,108.9889,1.0,1.0,1.0
45.67,115.5167,1.0,1.0,1.0
45.68,114.5056,1.0,1.0,1.0
45.69,93.4833,1.0,1.0,1.0
45.7,113.0,1.0,1.0,1.0
45.71,88.0111,1.0,1.0,1.0
45.72,95.0,1.0,1.0,1.0
45.73,93.4833,1.0,1.0,1.0
45.74,117.5056,1.0,1.0,1.0
45.75,121.0111,1.0,1.0,1.0
45.76,161.9778,1.0,1.0,1.0
45.77,190.4944,1.0,1.0,1.0
45.78,195.0,1.0,1.0,1.0
45.79,195.5278,1.0,1.0,1.0
45.8,253.0,1.0,1.0,1.0
45.81,277.4833,1.0,1.0,1.0
45.82,340.9556,1.0,1.0,1.0
45.83,363.5167,1.0,1.0,1.0
45.84,433.0222,1.0,1.0,1.0
45.85,475.4833,1.0,1.0,1.0
45.86,584.0,1.0,1.0,1.0
45.87,698.9222,1.0,1.0,1.0
45.88,689.5167,1.0,1.0,1.0
45.89,796.4944,1.0,1.0,1.0
45.9,888.0,1.0,1.0,1.0
45.91,999.9889,1.0,1.0,1.0
45.92,1108.0,1.0,1.0,1.0
45.93,1262.4944,1.0,1.0,1.0
45.94,1401.9333,1.0,1.0,1.0
45.95,1523.5389,1.0,1.0,1.0
45.96,1722.4833,1.0,1.0,1.0
45.97,1825.0111,1.0,1.0,1.0
45.98,2011.4055,1.0,1.0,1.0
45.99,2314.9888,1.0,1.0,1.0
46.0,2407.45,1.0,1.0,1.0
46.01,2460.0557,1.0,1.0,1.0
46.02,2760.9221,1.0,1.0,1.0
46.03,3131.0444,1.0,1.0,1.0
46.04,3432.439,1.0,1.0,1.0
46.05,3584.3501,1.0,1.0,1.0
46.06,3860.5166,1.0,1.0,1.0
