#twotheta, yobs, ycal, bkg, diff
42.0,40.5056,1.0,1.0,1.0
42.01,30.5056,1.0,1.0,1.0
42.02,19.0,1.0,1.0,1.0
42.03,33.4944,1.0,1.0,1.0
42.04,20.0,1.0,1.0,1.0
42.05,51.0,1.0,1.0,1.0
42.06,16.5056,1.0,1.0,1.0
42.07,31.0,1.0,1.0,1.0
42.08,33.0,1.0,1.0,1.0
42.09,39.4944,1.0,1.0,1.0
42.1,32.4944,1.0,1.0,1.0
42.11,47.0,1.0,1.0,1.0
42.12,20.5056,1.0,1.0,1.0
42.13,26.0,1.0,1.0,1.0
42.14,36.5056,1.0,1.0,1.0
42.15,24.4944,1.0,1.0,1.0
42.16,30.5056,1.0,1.0,1.0
42.17,47.0,1.0,1.0,1.0
42.18,41.0,1.0,1.0,1.0
42.19,29.0,1.0,1.0,1.0
42.2,22.0,1.0,1.0,1.0
42.21,21.0,1.0,1.0,1.0
42.22,25.9889,1.0,1.0,1.0
42.23,28.0111,1.0,1.0,1.0
42.24,40.4944,1.0,1.0,1.0
42.25,37.5056,1.0,1.0,1.0
42.26,46.4944,1.0,1.0,1.0
42.27,29.5056,1.0,1.0,1.0
42.28,20.9889,1.0,1.0,1.0
42.29,43.0111,1.0,1.0,1.0
42.3,47.4944,1.0,1.0,1.0
42.31,41.5056,1.0,1.0,1.0
42.32,50.9889,1.0,1.0,1.0
42.33,19.0111,1.0,1.0,1.0
42.34,47.0,1.0,1.0,1.0
42.35,43.4944,1.0,1.0,1.0
42.36,49.5056,1.0,1.0,1.0
42.37,32.4944,1.0,1.0,1.0
42.38,41.4944,1.0,1.0,1.0
42.39,40.5056,1.0,1.0,1.0
42.4,25.0,1.0,1.0,1.0
42.41,39.5056,1.0,1.0,1.0
42.42,63.0,1.0,1.0,1.0
42.43,44.0,1.0,1.0,1.0
42.44,34.9889,1.0,1.0,1.0
42.45,46.5056,1.0,1.0,1.0
42.46,41.5056,1.0,1.0,1.0
42.47,29.9889,1.0,1.0,1.0
42.48,38.5056,1.0,1.0,1.0
42.49,36.5056,1.0,1.0,1.0
42.5,40.9889,1.0,1.0,1.0
42.51,38.5056,1.0,1.0,1.0
42.52,28.5056,1.0,1.0,1.0
42.53,35.0,1.0,1.0,1.0
42.54,38.9889,1.0,1.0,1.0
42.55,36.5056,1.0,1.0,1.0
42.56,40.4833,1.0,1.0,1.0
42.57,40.5167,1.0,1.0,1.0
42.58,57.5056,1.0,1.0,1.0
42.59,59.4944,1.0,1.0,1.0
42.6,55.0,1.0,1.0,1.0
42.61,32.5056,1.0,1.0,1.0
42.62,53.0,1.0,1.0,1.0
42.63,37.0,1.0,1.0,1.0
42.64,31.9889,1.0,1.0,1.0
42.65,60.0111,1.0,1.0,1.0
42.66,45.4833,1.0,1.0,1.0
42.67,54.5056,1.0,1.0,1.0
42.68,39.0111,1.0,1.0,1.0
42.69,42.4944,1.0,1.0,1.0
42.7,53.9889,1.0,1.0,1.0
42.71,49.0111,1.0,1.0,1.0
42.72,51.4944,1.0,1.0,1.0
42.73,42.0111,1.0,1.0,1.0
42.74,49.4944,1.0,1.0,1.0
42.75,35.5056,1.0,1.0,1.0
42.76,42.9889,1.0,1.0,1.0
42.77,46.0,1.0,1.0,1.0
42.78,52.4944,1.0,1.0,1.0
42.79,28.5167,1.0,1.0,1.0
42.8,48.4944,1.0,1.0,1.0
42.81,59.5056,1.0,1.0,1.0
42.82,44.4944,1.0,1.0,1.0
42.83,47.5056,1.0,1.0,1.0
42.84,41.4833,1.0,1.0,1.0
42.85,53.5056,1.0,1.0,1.0
42.86,52.5056,1.0,1.0,1.0
42.87,48.5056,1.0,1.0,1.0
42.88,57.4944,1.0,1.0,1.0
42.89,44.4944,1.0,1.0,1.0
42.9,38.5056,1.0,1.0,1.0
42.91,54.5056,1.0,1.0,1.0
42.92,31.0,1.0,1.0,1.0
42.93,51.0,1.0,1.0,1.0
42.94,33.4944,1.0,1.0,1.0
42.95,41.5056,1.0,1.0,1.0
42.96,51.4944,1.0,1.0,1.0
42.97,33.5056,1.0,1.0,1.0
42.98,54.0,1.0,1.0,1.0
42.99,38.9889,1.0,1.0,1.0
43.0,55.0111,1.0,1.0,1.0
43.01,63.9889,1.0,1.0,1.0
43.02,47.4944,1.0,1.0,1.0
43.03,72.5167,1.0,1.0,1.0
43.04,42.4944,1.0,1.0,1.0
43.05,61.4833,1.0,1.0,1.0
43.06,54.5167,1.0,1.0,1.0
43.07,42.0,1.0,1.0,1.0
43.08,47.0,1.0,1.0,1.0
43.09,59.5056,1.0,1.0,1.0
43.1,44.4944,1.0,1.0,1.0
43.11,59.9889,1.0,1.0,1.0
43.12,103.5167,1.0,1.0,1.0
43.13,71.9889,1.0,1.0,1.0
43.14,40.0111,1.0,1.0,1.0
43.15,53.9889,1.0,1.0,1.0
43.16,55.5056,1.0,1.0,1.0
43.17,61.5056,1.0,1.0,1.0
43.18,38.4944,1.0,1.0,1.0
43.19,58.0,1.0,1.0,1.0
43.2,54.5056,1.0,1.0,1.0
43.21,55.4833,1.0,1.0,1.0
43.22,58.5167,1.0,1.0,1.0
43.23,69.4833,1.0,1.0,1.0
43.24,56.5167,1.0,1.0,1.0
43.25,63.4833,1.0,1.0,1.0
43.26,61.0111,1.0,1.0,1.0
43.27,68.4944,1.0,1.0,1.0
43.28,61.0111,1.0,1.0,1.0
43.29,54.4944,1.0,1.0,1.0
43.3,61.0,1.0,1.0,1.0
43.31,80.5056,1.0,1.0,1.0
43.32,59.0,1.0,1.0,1.0
43.33,54.4944,1.0,1.0,1.0
43.34,48.4944,1.0,1.0,1.0
43.35,75.0,1.0,1.0,1.0
43.36,95.0,1.0,1.0,1.0
43.37,42.0,1.0,1.0,1.0
43.38,82.0111,1.0,1.0,1.0
43.39,68.0,1.0,1.0,1.0
43.4,74.0,1.0,1.0,1.0
43.41,66.0,1.0,1.0,1.0
43.42,65.9778,1.0,1.0,1.0
43.43,69.0222,1.0,1.0,1.0
43.44,71.0,1.0,1.0,1.0
43.45,59.0,1.0,1.0,1.0
43.46,59.4833,1.0,1.0,1.0
43.47,96.0,1.0,1.0,1.0
43.48,62.5056,1.0,1.0,1.0
43.49,62.0111,1.0,1.0,1.0
43.5,77.4833,1.0,1.0,1.0
43.51,86.4944,1.0,1.0,1.0
