#twotheta, yobs, ycal, bkg, diff
42.0,11.0,1.0,1.0,1.0
42.01,5.0,1.0,1.0,1.0
42.02,13.0,1.0,1.0,1.0
42.03,6.4944,1.0,1.0,1.0
42.04,14.5056,1.0,1.0,1.0
42.05,8.0,1.0,1.0,1.0
42.06,4.9889,1.0,1.0,1.0
42.07,11.0111,1.0,1.0,1.0
42.08,10.0,1.0,1.0,1.0
42.09,10.0,1.0,1.0,1.0
42.1,8.0,1.0,1.0,1.0
42.11,2.0,1.0,1.0,1.0
42.12,4.0,1.0,1.0,1.0
42.13,4.4944,1.0,1.0,1.0
42.14,16.0,1.0,1.0,1.0
42.15,3.5056,1.0,1.0,1.0
42.16,3.0,1.0,1.0,1.0
42.17,7.0,1.0,1.0,1.0
42.18,9.0,1.0,1.0,1.0
42.19,6.0,1.0,1.0,1.0
42.2,7.4944,1.0,1.0,1.0
42.21,10.5056,1.0,1.0,1.0
42.22,2.0,1.0,1.0,1.0
42.23,10.0,1.0,1.0,1.0
42.24,19.0,1.0,1.0,1.0
42.25,12.0,1.0,1.0,1.0
42.26,8.0,1.0,1.0,1.0
42.27,12.0,1.0,1.0,1.0
42.28,6.0,1.0,1.0,1.0
42.29,7.0,1.0,1.0,1.0
42.3,4.0,1.0,1.0,1.0
42.31,15.0,1.0,1.0,1.0
42.32,7.0,1.0,1.0,1.0
42.33,15.0,1.0,1.0,1.0
42.34,7.0,1.0,1.0,1.0
42.35,1.0,1.0,1.0,1.0
42.36,8.0,1.0,1.0,1.0
42.37,21.0,1.0,1.0,1.0
42.38,14.9889,1.0,1.0,1.0
42.39,8.0111,1.0,1.0,1.0
42.4,3.0,1.0,1.0,1.0
42.41,4.0,1.0,1.0,1.0
42.42,2.0,1.0,1.0,1.0
42.43,40.0,1.0,1.0,1.0
42.44,8.4944,1.0,1.0,1.0
42.45,4.5056,1.0,1.0,1.0
42.46,4.0,1.0,1.0,1.0
42.47,28.4944,1.0,1.0,1.0
42.48,4.5056,1.0,1.0,1.0
42.49,2.0,1.0,1.0,1.0
42.5,10.0,1.0,1.0,1.0
42.51,5.4944,1.0,1.0,1.0
42.52,8.5056,1.0,1.0,1.0
42.53,3.0,1.0,1.0,1.0
42.54,9.0,1.0,1.0,1.0
42.55,7.0,1.0,1.0,1.0
42.56,16.0,1.0,1.0,1.0
42.57,13.0,1.0,1.0,1.0
42.58,10.0,1.0,1.0,1.0
42.59,15.0,1.0,1.0,1.0
42.6,11.4944,1.0,1.0,1.0
42.61,7.5056,1.0,1.0,1.0
42.62,13.0,1.0,1.0,1.0
42.63,7.0,1.0,1.0,1.0
42.64,2.0,1.0,1.0,1.0
42.65,8.0,1.0,1.0,1.0
42.66,17.0,1.0,1.0,1.0
42.67,7.0,1.0,1.0,1.0
42.68,9.0,1.0,1.0,1.0
42.69,8.0,1.0,1.0,1.0
42.7,13.0,1.0,1.0,1.0
42.71,5.0,1.0,1.0,1.0
42.72,8.0,1.0,1.0,1.0
42.73,20.0,1.0,1.0,1.0
42.74,12.0,1.0,1.0,1.0
42.75,5.0,1.0,1.0,1.0
42.76,13.4944,1.0,1.0,1.0
42.77,3.5056,1.0,1.0,1.0
42.78,13.0,1.0,1.0,1.0
42.79,12.0,1.0,1.0,1.0
42.8,11.0,1.0,1.0,1.0
42.81,13.0,1.0,1.0,1.0
42.82,10.0,1.0,1.0,1.0
42.83,9.0,1.0,1.0,1.0
42.84,12.0,1.0,1.0,1.0
42.85,14.0,1.0,1.0,1.0
42.86,0.0,1.0,1.0,1.0
42.87,2.0,1.0,1.0,1.0
42.88,4.0,1.0,1.0,1.0
42.89,4.0,1.0,1.0,1.0
42.9,5.0,1.0,1.0,1.0
42.91,13.0,1.0,1.0,1.0
42.92,15.0,1.0,1.0,1.0
42.93,8.0,1.0,1.0,1.0
42.94,8.4944,1.0,1.0,1.0
42.95,18.5056,1.0,1.0,1.0
42.96,12.0,1.0,1.0,1.0
42.97,15.0,1.0,1.0,1.0
42.98,16.4944,1.0,1.0,1.0
42.99,3.0,1.0,1.0,1.0
43.0,11.0,1.0,1.0,1.0
43.01,14.5056,1.0,1.0,1.0
43.02,7.0,1.0,1.0,1.0
43.03,5.9889,1.0,1.0,1.0
43.04,11.5056,1.0,1.0,1.0
43.05,13.5056,1.0,1.0,1.0
43.06,8.0,1.0,1.0,1.0
43.07,19.0,1.0,1.0,1.0
43.08,17.0,1.0,1.0,1.0
43.09,14.0,1.0,1.0,1.0
43.1,19.0,1.0,1.0,1.0
43.11,10.0,1.0,1.0,1.0
43.12,9.0,1.0,1.0,1.0
43.13,15.0,1.0,1.0,1.0
43.14,6.0,1.0,1.0,1.0
43.15,9.0,1.0,1.0,1.0
43.16,14.0,1.0,1.0,1.0
43.17,13.0,1.0,1.0,1.0
43.18,12.0,1.0,1.0,1.0
43.19,11.0,1.0,1.0,1.0
43.2,11.4944,1.0,1.0,1.0
43.21,18.5056,1.0,1.0,1.0
43.22,19.0,1.0,1.0,1.0
43.23,12.0,1.0,1.0,1.0
43.24,20.4944,1.0,1.0,1.0
43.25,14.5056,1.0,1.0,1.0
43.26,15.0,1.0,1.0,1.0
43.27,27.0,1.0,1.0,1.0
43.28,8.0,1.0,1.0,1.0
43.29,15.4944,1.0,1.0,1.0
43.3,14.0,1.0,1.0,1.0
43.31,8.5056,1.0,1.0,1.0
43.32,13.0,1.0,1.0,1.0
43.33,12.0,1.0,1.0,1.0
43.34,14.0,1.0,1.0,1.0
43.35,7.0,1.0,1.0,1.0
43.36,10.0,1.0,1.0,1.0
43.37,11.0,1.0,1.0,1.0
43.38,9.0,1.0,1.0,1.0
43.39,14.9889,1.0,1.0,1.0
43.4,16.0111,1.0,1.0,1.0
43.41,13.0,1.0,1.0,1.0
43.42,17.9889,1.0,1.0,1.0
43.43,22.0111,1.0,1.0,1.0
43.44,18.0,1.0,1.0,1.0
43.45,20.4944,1.0,1.0,1.0
43.46,20.5056,1.0,1.0,1.0
43.47,9.0,1.0,1.0,1.0
43.48,2.0,1.0,1.0,1.0
43.49,10.4944,1.0,1.0,1.0
43.5,22.5056,1.0,1.0,1.0
43.51,18.0,1.0,1.0,1.0
43.52,13.0,1.0,1.0,1.0
43.53,16.0,1.0,1.0,1.0
43.54,13.4944,1.0,1.0,1.0
43.55,14.5056,1.0,1.0,1.0
43.56,20.4944,1.0,1.0,1.0
43.57,18.5056,1.0,1.0,1.0
43.58,31.0,1.0,1.0,1.0
43.59,12.9889,1.0,1.0,1.0
43.6,15.0111,1.0,1.0,1.0
43.61,21.0,1.0,1.0,1.0
43.62,20.0,1.0,1.0,1.0
43.63,17.0,1.0,1.0,1.0
43.64,21.4944,1.0,1.0,1.0
43.65,19.0,1.0,1.0,1.0
43.66,13.5056,1.0,1.0,1.0
43.67,20.0,1.0,1.0,1.0
43.68,18.4944,1.0,1.0,1.0
43.69,25.0,1.0,1.0,1.0
43.7,21.5056,1.0,1.0,1.0
43.71,31.0,1.0,1.0,1.0
43.72,19.9889,1.0,1.0,1.0
43.73,19.5056,1.0,1.0,1.0
43.74,20.0,1.0,1.0,1.0
43.75,18.0,1.0,1.0,1.0
43.76,16.5056,1.0,1.0,1.0
43.77,31.0,1.0,1.0,1.0
43.78,27.4944,1.0,1.0,1.0
43.79,44.5056,1.0,1.0,1.0
43.8,17.0,1.0,1.0,1.0
43.81,31.0,1.0,1.0,1.0
43.82,34.4944,1.0,1.0,1.0
43.83,17.5056,1.0,1.0,1.0
43.84,20.4833,1.0,1.0,1.0
43.85,27.0,1.0,1.0,1.0
43.86,34.5167,1.0,1.0,1.0
43.87,34.4944,1.0,1.0,1.0
43.88,33.0,1.0,1.0,1.0
43.89,36.5056,1.0,1.0,1.0
43.9,20.0,1.0,1.0,1.0
43.91,22.4944,1.0,1.0,1.0
43.92,29.0,1.0,1.0,1.0
43.93,29.5056,1.0,1.0,1.0
43.94,27.4944,1.0,1.0,1.0
43.95,27.5056,1.0,1.0,1.0
43.96,30.4944,1.0,1.0,1.0
43.97,27.4944,1.0,1.0,1.0
43.98,23.0111,1.0,1.0,1.0
43.99,30.0,1.0,1.0,1.0
44.0,25.4944,1.0,1.0,1.0
44.01,24.5056,1.0,1.0,1.0
44.02,36.0,1.0,1.0,1.0
44.03,32.4944,1.0,1.0,1.0
44.04,30.0,1.0,1.0,1.0
44.05,50.4944,1.0,1.0,1.0
44.06,28.0,1.0,1.0,1.0
44.07,41.4944,1.0,1.0,1.0
44.08,44.5167,1.0,1.0,1.0
44.09,29.0,1.0,1.0,1.0
44.1,26.0,1.0,1.0,1.0
44.11,23.0,1.0,1.0,1.0
44.12,22.0,1.0,1.0,1.0
44.13,40.4944,1.0,1.0,1.0
44.14,62.5056,1.0,1.0,1.0
44.15,29.4944,1.0,1.0,1.0
44.16,49.5056,1.0,1.0,1.0
44.17,35.9889,1.0,1.0,1.0
44.18,47.0111,1.0,1.0,1.0
44.19,45.9889,1.0,1.0,1.0
44.2,56.0111,1.0,1.0,1.0
44.21,34.4944,1.0,1.0,1.0
44.22,40.0,1.0,1.0,1.0
44.23,36.9889,1.0,1.0,1.0
44.24,35.0111,1.0,1.0,1.0
44.25,38.5056,1.0,1.0,1.0
44.26,51.9889,1.0,1.0,1.0
44.27,47.5056,1.0,1.0,1.0
44.28,51.0,1.0,1.0,1.0
44.29,52.5056,1.0,1.0,1.0
44.3,39.4944,1.0,1.0,1.0
44.31,51.4944,1.0,1.0,1.0
44.32,43.0111,1.0,1.0,1.0
44.33,60.4944,1.0,1.0,1.0
44.34,40.0,1.0,1.0,1.0
44.35,66.4944,1.0,1.0,1.0
44.36,60.0,1.0,1.0,1.0
44.37,55.0111,1.0,1.0,1.0
44.38,71.4944,1.0,1.0,1.0
44.39,58.4944,1.0,1.0,1.0
44.4,62.5056,1.0,1.0,1.0
44.41,66.5056,1.0,1.0,1.0
44.42,62.0,1.0,1.0,1.0
44.43,65.4944,1.0,1.0,1.0
44.44,77.0,1.0,1.0,1.0
44.45,72.4944,1.0,1.0,1.0
44.46,82.5056,1.0,1.0,1.0
44.47,77.9889,1.0,1.0,1.0
44.48,115.4944,1.0,1.0,1.0
44.49,98.5167,1.0,1.0,1.0
44.5,88.0,1.0,1.0,1.0
44.51,86.0,1.0,1.0,1.0
44.52,87.0,1.0,1.0,1.0
44.53,104.0,1.0,1.0,1.0
44.54,108.9889,1.0,1.0,1.0
44.55,102.5167,1.0,1.0,1.0
44.56,70.9889,1.0,1.0,1.0
44.57,102.0,1.0,1.0,1.0
44.58,93.4944,1.0,1.0,1.0
44.59,110.4944,1.0,1.0,1.0
44.6,119.5167,1.0,1.0,1.0
44.61,126.4944,1.0,1.0,1.0
44.62,92.4944,1.0,1.0,1.0
44.63,123.5056,1.0,1.0,1.0
44.64,125.4944,1.0,1.0,1.0
44.65,137.4944,1.0,1.0,1.0
44.66,91.5056,1.0,1.0,1.0
44.67,132.5056,1.0,1.0,1.0
44.68,111.4944,1.0,1.0,1.0
44.69,124.0111,1.0,1.0,1.0
44.7,131.0,1.0,1.0,1.0
44.71,131.4833,1.0,1.0,1.0
44.72,134.0111,1.0,1.0,1.0
44.73,139.9889,1.0,1.0,1.0
44.74,141.5056,1.0,1.0,1.0
44.75,128.4944,1.0,1.0,1.0
44.76,149.0,1.0,1.0,1.0
44.77,125.0222,1.0,1.0,1.0
44.78,168.9889,1.0,1.0,1.0
44.79,149.9778,1.0,1.0,1.0
44.8,145.5278,1.0,1.0,1.0
44.81,187.9889,1.0,1.0,1.0
44.82,148.9889,1.0,1.0,1.0
44.83,202.5056,1.0,1.0,1.0
44.84,200.0111,1.0,1.0,1.0
44.85,200.4944,1.0,1.0,1.0
44.86,196.4833,1.0,1.0,1.0
44.87,192.0111,1.0,1.0,1.0
44.88,159.0,1.0,1.0,1.0
44.89,213.5167,1.0,1.0,1.0
44.9,183.4611,1.0,1.0,1.0
44.91,226.0222,1.0,1.0,1.0
44.92,218.4833,1.0,1.0,1.0
44.93,214.5167,1.0,1.0,1.0
44.94,217.4944,1.0,1.0,1.0
44.95,211.5056,1.0,1.0,1.0
44.96,256.0,1.0,1.0,1.0
44.97,238.0111,1.0,1.0,1.0
44.98,224.9889,1.0,1.0,1.0
44.99,270.0,1.0,1.0,1.0
45.0,215.0,1.0,1.0,1.0
45.01,259.5056,1.0,1.0,1.0
45.02,265.4944,1.0,1.0,1.0
45.03,234.9778,1.0,1.0,1.0
45.04,222.0111,1.0,1.0,1.0
45.05,242.4944,1.0,1.0,1.0
45.06,273.0111,1.0,1.0,1.0
45.07,277.5056,1.0,1.0,1.0
45.08,260.4833,1.0,1.0,1.0
45.09,279.0333,1.0,1.0,1.0
45.1,288.4611,1.0,1.0,1.0
45.11,303.0111,1.0,1.0,1.0
45.12,282.0111,1.0,1.0,1.0
45.13,267.4944,1.0,1.0,1.0
45.14,275.9778,1.0,1.0,1.0
45.15,300.5167,1.0,1.0,1.0
45.16,288.0,1.0,1.0,1.0
45.17,276.0111,1.0,1.0,1.0
45.18,242.0,1.0,1.0,1.0
45.19,262.4944,1.0,1.0,1.0
45.2,250.0,1.0,1.0,1.0
45.21,241.5167,1.0,1.0,1.0
45.22,276.4611,1.0,1.0,1.0
45.23,266.0222,1.0,1.0,1.0
45.24,267.4944,1.0,1.0,1.0
45.25,273.0,1.0,1.0,1.0
45.26,276.0,1.0,1.0,1.0
45.27,262.4833,1.0,1.0,1.0
45.28,230.0333,1.0,1.0,1.0
45.29,275.4833,1.0,1.0,1.0
45.3,241.0222,1.0,1.0,1.0
45.31,231.4833,1.0,1.0,1.0
45.32,199.9778,1.0,1.0,1.0
45.33,251.0111,1.0,1.0,1.0
45.34,256.5056,1.0,1.0,1.0
45.35,293.5167,1.0,1.0,1.0
45.36,236.4833,1.0,1.0,1.0
45.37,251.0,1.0,1.0,1.0
45.38,249.4944,1.0,1.0,1.0
45.39,258.0111,1.0,1.0,1.0
45.4,258.0222,1.0,1.0,1.0
45.41,279.4722,1.0,1.0,1.0
45.42,268.0222,1.0,1.0,1.0
45.43,278.4722,1.0,1.0,1.0
45.44,241.9889,1.0,1.0,1.0
45.45,260.5167,1.0,1.0,1.0
45.46,257.0222,1.0,1.0,1.0
45.47,289.9778,1.0,1.0,1.0
45.48,333.9778,1.0,1.0,1.0
45.49,323.0111,1.0,1.0,1.0
45.5,327.0111,1.0,1.0,1.0
45.51,314.0,1.0,1.0,1.0
45.52,336.5167,1.0,1.0,1.0
45.53,386.9889,1.0,1.0,1.0
45.54,371.4833,1.0,1.0,1.0
45.55,348.5278,1.0,1.0,1.0
45.56,373.4833,1.0,1.0,1.0
45.57,385.5056,1.0,1.0,1.0
45.58,405.4833,1.0,1.0,1.0
45.59,377.5056,1.0,1.0,1.0
45.6,436.0111,1.0,1.0,1.0
45.61,430.45,1.0,1.0,1.0
45.62,471.5278,1.0,1.0,1.0
45.63,442.0111,1.0,1.0,1.0
45.64,455.4833,1.0,1.0,1.0
45.65,493.5167,1.0,1.0,1.0
45.66,465.9778,1.0,1.0,1.0
45.67,492.5278,1.0,1.0,1.0
45.68,543.9889,1.0,1.0,1.0
45.69,525.9667,1.0,1.0,1.0
45.7,495.5167,1.0,1.0,1.0
45.71,524.5056,1.0,1.0,1.0
45.72,540.4722,1.0,1.0,1.0
45.73,533.0111,1.0,1.0,1.0
45.74,573.5056,1.0,1.0,1.0
45.75,555.0333,1.0,1.0,1.0
45.76,572.4833,1.0,1.0,1.0
45.77,545.9778,1.0,1.0,1.0
45.78,607.4944,1.0,1.0,1.0
45.79,593.0222,1.0,1.0,1.0
45.8,586.0,1.0,1.0,1.0
45.81,574.0,1.0,1.0,1.0
45.82,596.0,1.0,1.0,1.0
45.83,645.4722,1.0,1.0,1.0
45.84,657.55,1.0,1.0,1.0
45.85,657.4722,1.0,1.0,1.0
45.86,614.5056,1.0,1.0,1.0
45.87,669.9667,1.0,1.0,1.0
45.88,691.0222,1.0,1.0,1.0
45.89,668.9556,1.0,1.0,1.0
45.9,671.0444,1.0,1.0,1.0
45.91,670.5056,1.0,1.0,1.0
45.92,676.4722,1.0,1.0,1.0
45.93,749.5278,1.0,1.0,1.0
45.94,745.9778,1.0,1.0,1.0
45.95,725.5056,1.0,1.0,1.0
45.96,721.0,1.0,1.0,1.0
45.97,831.4833,1.0,1.0,1.0
45.98,789.0222,1.0,1.0,1.0
45.99,805.4833,1.0,1.0,1.0
46.0,809.0,1.0,1.0,1.0
46.01,794.5056,1.0,1.0,1.0
