#twotheta, yobs, ycal, bkg, diff
42.0,27.4944,1.0,1.0,1.0
42.01,30.5056,1.0,1.0,1.0
42.02,20.4944,1.0,1.0,1.0
42.03,21.5056,1.0,1.0,1.0
42.04,20.0,1.0,1.0,1.0
42.05,23.4944,1.0,1.0,1.0
42.06,31.0,1.0,1.0,1.0
42.07,33.5056,1.0,1.0,1.0
42.08,12.0,1.0,1.0,1.0
42.09,16.4944,1.0,1.0,1.0
42.1,10.5056,1.0,1.0,1.0
42.11,15.4944,1.0,1.0,1.0
42.12,16.0,1.0,1.0,1.0
42.13,30.0,1.0,1.0,1.0
42.14,20.5056,1.0,1.0,1.0
42.15,35.0,1.0,1.0,1.0
42.16,29.0,1.0,1.0,1.0
42.17,22.0,1.0,1.0,1.0
42.18,14.0,1.0,1.0,1.0
42.19,34.0,1.0,1.0,1.0
42.2,10.0,1.0,1.0,1.0
42.21,12.0,1.0,1.0,1.0
42.22,27.0,1.0,1.0,1.0
42.23,16.4944,1.0,1.0,1.0
42.24,17.0,1.0,1.0,1.0
42.25,20.5056,1.0,1.0,1.0
42.26,14.0,1.0,1.0,1.0
42.27,15.0,1.0,1.0,1.0
42.28,21.0,1.0,1.0,1.0
42.29,27.9889,1.0,1.0,1.0
42.3,14.0111,1.0,1.0,1.0
42.31,29.0,1.0,1.0,1.0
42.32,26.0,1.0,1.0,1.0
42.33,24.0,1.0,1.0,1.0
42.34,38.4944,1.0,1.0,1.0
42.35,26.5056,1.0,1.0,1.0
42.36,27.4944,1.0,1.0,1.0
42.37,20.5056,1.0,1.0,1.0
42.38,21.4944,1.0,1.0,1.0
42.39,20.4944,1.0,1.0,1.0
42.4,11.0,1.0,1.0,1.0
42.41,25.0111,1.0,1.0,1.0
42.42,7.4944,1.0,1.0,1.0
42.43,23.0,1.0,1.0,1.0
42.44,15.0,1.0,1.0,1.0
42.45,27.5056,1.0,1.0,1.0
42.46,14.0,1.0,1.0,1.0
42.47,31.0,1.0,1.0,1.0
42.48,18.0,1.0,1.0,1.0
42.49,13.0,1.0,1.0,1.0
42.5,13.0,1.0,1.0,1.0
42.51,21.0,1.0,1.0,1.0
42.52,34.0,1.0,1.0,1.0
42.53,22.4944,1.0,1.0,1.0
42.54,25.5056,1.0,1.0,1.0
42.55,29.4944,1.0,1.0,1.0
42.56,41.4944,1.0,1.0,1.0
42.57,20.0111,1.0,1.0,1.0
42.58,17.0,1.0,1.0,1.0
42.59,16.0,1.0,1.0,1.0
42.6,31.0,1.0,1.0,1.0
42.61,30.0,1.0,1.0,1.0
42.62,25.0,1.0,1.0,1.0
42.63,12.0,1.0,1.0,1.0
42.64,16.0,1.0,1.0,1.0
42.65,28.0,1.0,1.0,1.0
42.66,13.0,1.0,1.0,1.0
42.67,27.4944,1.0,1.0,1.0
42.68,13.5056,1.0,1.0,1.0
42.69,34.0,1.0,1.0,1.0
42.7,31.9889,1.0,1.0,1.0
42.71,30.5056,1.0,1.0,1.0
42.72,25.5056,1.0,1.0,1.0
42.73,22.4944,1.0,1.0,1.0
42.74,21.5056,1.0,1.0,1.0
42.75,31.0,1.0,1.0,1.0
42.76,22.0,1.0,1.0,1.0
42.77,25.4944,1.0,1.0,1.0
42.78,22.0,1.0,1.0,1.0
42.79,33.0,1.0,1.0,1.0
42.8,26.5056,1.0,1.0,1.0
42.81,31.4944,1.0,1.0,1.0
42.82,10.5056,1.0,1.0,1.0
42.83,69.4944,1.0,1.0,1.0
42.84,23.5056,1.0,1.0,1.0
42.85,26.4944,1.0,1.0,1.0
42.86,39.0,1.0,1.0,1.0
42.87,27.5056,1.0,1.0,1.0
42.88,25.0,1.0,1.0,1.0
42.89,38.0,1.0,1.0,1.0
42.9,8.0,1.0,1.0,1.0
42.91,21.0,1.0,1.0,1.0
42.92,14.0,1.0,1.0,1.0
42.93,21.0,1.0,1.0,1.0
42.94,15.0,1.0,1.0,1.0
42.95,20.9889,1.0,1.0,1.0
42.96,25.5056,1.0,1.0,1.0
42.97,16.5056,1.0,1.0,1.0
42.98,27.0,1.0,1.0,1.0
42.99,31.0,1.0,1.0,1.0
43.0,20.0,1.0,1.0,1.0
43.01,27.0,1.0,1.0,1.0
43.02,36.0,1.0,1.0,1.0
43.03,35.0,1.0,1.0,1.0
43.04,24.0,1.0,1.0,1.0
43.05,18.0,1.0,1.0,1.0
43.06,29.9889,1.0,1.0,1.0
43.07,24.5056,1.0,1.0,1.0
43.08,30.0,1.0,1.0,1.0
43.09,25.5056,1.0,1.0,1.0
43.1,28.4944,1.0,1.0,1.0
43.11,33.4944,1.0,1.0,1.0
43.12,27.0111,1.0,1.0,1.0
43.13,22.9889,1.0,1.0,1.0
43.14,24.0111,1.0,1.0,1.0
43.15,40.4944,1.0,1.0,1.0
43.16,25.5056,1.0,1.0,1.0
43.17,18.0,1.0,1.0,1.0
43.18,18.0,1.0,1.0,1.0
43.19,25.4944,1.0,1.0,1.0
43.2,32.5056,1.0,1.0,1.0
