#twotheta, yobs, ycal, bkg, diff
16.0,0.0,1.0,1.0,1.0
16.01,2.0,1.0,1.0,1.0
16.02,1.0,1.0,1.0,1.0
16.03,2.0,1.0,1.0,1.0
16.04,0.0,1.0,1.0,1.0
16.05,2.0,1.0,1.0,1.0
16.06,5.0,1.0,1.0,1.0
16.07,0.0,1.0,1.0,1.0
16.08,3.0,1.0,1.0,1.0
16.09,5.0,1.0,1.0,1.0
16.1,0.0,1.0,1.0,1.0
16.11,0.0,1.0,1.0,1.0
16.12,0.0,1.0,1.0,1.0
16.13,0.0,1.0,1.0,1.0
16.14,0.0,1.0,1.0,1.0
16.15,0.0,1.0,1.0,1.0
16.16,13.0,1.0,1.0,1.0
16.17,6.0,1.0,1.0,1.0
16.18,0.0,1.0,1.0,1.0
16.19,0.0,1.0,1.0,1.0
16.2,2.0,1.0,1.0,1.0
16.21,0.0,1.0,1.0,1.0
16.22,2.0,1.0,1.0,1.0
16.23,6.0,1.0,1.0,1.0
16.24,1.0,1.0,1.0,1.0
16.25,0.0,1.0,1.0,1.0
16.26,2.0,1.0,1.0,1.0
16.27,0.0,1.0,1.0,1.0
16.28,2.0,1.0,1.0,1.0
16.29,3.0,1.0,1.0,1.0
16.3,0.0,1.0,1.0,1.0
16.31,2.0,1.0,1.0,1.0
16.32,0.0,1.0,1.0,1.0
16.33,5.0,1.0,1.0,1.0
16.34,0.0,1.0,1.0,1.0
16.35,3.0,1.0,1.0,1.0
16.36,0.0,1.0,1.0,1.0
16.37,6.0,1.0,1.0,1.0
16.38,0.0,1.0,1.0,1.0
16.39,0.0,1.0,1.0,1.0
16.4,0.0,1.0,1.0,1.0
16.41,1.0,1.0,1.0,1.0
16.42,4.0,1.0,1.0,1.0
16.43,0.0,1.0,1.0,1.0
16.44,2.0,1.0,1.0,1.0
16.45,0.0,1.0,1.0,1.0
16.46,0.0,1.0,1.0,1.0
16.47,0.0,1.0,1.0,1.0
16.48,0.0,1.0,1.0,1.0
16.49,2.0,1.0,1.0,1.0
16.5,51.0,1.0,1.0,1.0
16.51,0.0,1.0,1.0,1.0
16.52,2.0,1.0,1.0,1.0
16.53,2.0,1.0,1.0,1.0
16.54,0.0,1.0,1.0,1.0
16.55,0.0,1.0,1.0,1.0
16.56,4.0,1.0,1.0,1.0
16.57,2.0,1.0,1.0,1.0
16.58,0.0,1.0,1.0,1.0
16.59,3.0,1.0,1.0,1.0
16.6,4.0,1.0,1.0,1.0
16.61,7.4992,1.0,1.0,1.0
16.62,1.5008,1.0,1.0,1.0
16.63,6.0,1.0,1.0,1.0
16.64,0.0,1.0,1.0,1.0
16.65,0.0,1.0,1.0,1.0
16.66,0.0,1.0,1.0,1.0
16.67,4.0,1.0,1.0,1.0
16.68,2.0,1.0,1.0,1.0
16.69,1.0,1.0,1.0,1.0
16.7,2.0,1.0,1.0,1.0
16.71,0.0,1.0,1.0,1.0
16.72,2.0,1.0,1.0,1.0
16.73,0.0,1.0,1.0,1.0
16.74,0.0,1.0,1.0,1.0
16.75,2.0,1.0,1.0,1.0
16.76,0.0,1.0,1.0,1.0
16.77,3.0,1.0,1.0,1.0
16.78,3.0,1.0,1.0,1.0
16.79,2.0,1.0,1.0,1.0
16.8,0.0,1.0,1.0,1.0
16.81,0.0,1.0,1.0,1.0
16.82,0.0,1.0,1.0,1.0
16.83,4.0,1.0,1.0,1.0
16.84,2.0,1.0,1.0,1.0
16.85,2.0,1.0,1.0,1.0
16.86,0.0,1.0,1.0,1.0
16.87,0.0,1.0,1.0,1.0
16.88,2.0,1.0,1.0,1.0
16.89,0.0,1.0,1.0,1.0
16.9,0.0,1.0,1.0,1.0
16.91,2.0,1.0,1.0,1.0
16.92,0.0,1.0,1.0,1.0
16.93,0.0,1.0,1.0,1.0
16.94,2.0,1.0,1.0,1.0
16.95,3.0,1.0,1.0,1.0
16.96,2.0,1.0,1.0,1.0
16.97,0.0,1.0,1.0,1.0
16.98,2.0,1.0,1.0,1.0
16.99,0.0,1.0,1.0,1.0
17.0,6.0,1.0,1.0,1.0
17.01,0.0,1.0,1.0,1.0
17.02,5.0,1.0,1.0,1.0
17.03,0.0,1.0,1.0,1.0
17.04,0.0,1.0,1.0,1.0
17.05,2.0,1.0,1.0,1.0
17.06,0.0,1.0,1.0,1.0
17.07,6.0,1.0,1.0,1.0
17.08,0.0,1.0,1.0,1.0
