#twotheta, yobs, ycal, bkg, diff
42.0,1.0,1.0,1.0,1.0
42.01,2.0,1.0,1.0,1.0
42.02,0.0,1.0,1.0,1.0
42.03,6.0,1.0,1.0,1.0
42.04,4.0,1.0,1.0,1.0
42.05,5.4944,1.0,1.0,1.0
42.06,3.5056,1.0,1.0,1.0
42.07,6.0,1.0,1.0,1.0
42.08,5.0,1.0,1.0,1.0
42.09,5.0,1.0,1.0,1.0
42.1,0.0,1.0,1.0,1.0
42.11,6.0,1.0,1.0,1.0
42.12,4.0,1.0,1.0,1.0
42.13,3.0,1.0,1.0,1.0
42.14,2.0,1.0,1.0,1.0
42.15,0.0,1.0,1.0,1.0
42.16,0.0,1.0,1.0,1.0
42.17,0.0,1.0,1.0,1.0
42.18,3.0,1.0,1.0,1.0
42.19,0.0,1.0,1.0,1.0
42.2,2.0,1.0,1.0,1.0
42.21,2.0,1.0,1.0,1.0
42.22,2.0,1.0,1.0,1.0
42.23,0.0,1.0,1.0,1.0
42.24,0.0,1.0,1.0,1.0
42.25,0.0,1.0,1.0,1.0
42.26,0.0,1.0,1.0,1.0
42.27,0.0,1.0,1.0,1.0
42.28,3.0,1.0,1.0,1.0
42.29,4.0,1.0,1.0,1.0
42.3,2.0,1.0,1.0,1.0
42.31,5.0,1.0,1.0,1.0
42.32,4.0,1.0,1.0,1.0
42.33,2.0,1.0,1.0,1.0
42.34,3.0,1.0,1.0,1.0
42.35,12.0,1.0,1.0,1.0
42.36,0.0,1.0,1.0,1.0
42.37,2.0,1.0,1.0,1.0
42.38,0.0,1.0,1.0,1.0
42.39,2.0,1.0,1.0,1.0
42.4,3.0,1.0,1.0,1.0
42.41,0.0,1.0,1.0,1.0
42.42,3.0,1.0,1.0,1.0
42.43,0.0,1.0,1.0,1.0
42.44,4.0,1.0,1.0,1.0
42.45,7.0,1.0,1.0,1.0
42.46,4.0,1.0,1.0,1.0
42.47,5.0,1.0,1.0,1.0
42.48,4.0,1.0,1.0,1.0
42.49,5.0,1.0,1.0,1.0
42.5,0.0,1.0,1.0,1.0
42.51,0.0,1.0,1.0,1.0
42.52,6.0,1.0,1.0,1.0
42.53,2.0,1.0,1.0,1.0
42.54,0.0,1.0,1.0,1.0
42.55,7.0,1.0,1.0,1.0
42.56,2.0,1.0,1.0,1.0
42.57,3.0,1.0,1.0,1.0
42.58,4.0,1.0,1.0,1.0
42.59,3.0,1.0,1.0,1.0
42.6,0.0,1.0,1.0,1.0
42.61,2.0,1.0,1.0,1.0
42.62,2.0,1.0,1.0,1.0
42.63,4.0,1.0,1.0,1.0
42.64,0.0,1.0,1.0,1.0
42.65,7.0,1.0,1.0,1.0
42.66,0.0,1.0,1.0,1.0
42.67,4.0,1.0,1.0,1.0
42.68,0.0,1.0,1.0,1.0
42.69,2.0,1.0,1.0,1.0
42.7,2.0,1.0,1.0,1.0
42.71,0.0,1.0,1.0,1.0
42.72,0.0,1.0,1.0,1.0
42.73,4.0,1.0,1.0,1.0
42.74,2.0,1.0,1.0,1.0
42.75,6.0,1.0,1.0,1.0
42.76,10.0,1.0,1.0,1.0
42.77,5.0,1.0,1.0,1.0
42.78,0.0,1.0,1.0,1.0
42.79,5.0,1.0,1.0,1.0
42.8,8.0,1.0,1.0,1.0
42.81,0.0,1.0,1.0,1.0
42.82,10.0,1.0,1.0,1.0
42.83,3.4944,1.0,1.0,1.0
42.84,2.5056,1.0,1.0,1.0
42.85,4.0,1.0,1.0,1.0
42.86,0.0,1.0,1.0,1.0
42.87,5.0,1.0,1.0,1.0
42.88,2.0,1.0,1.0,1.0
42.89,4.0,1.0,1.0,1.0
42.9,0.0,1.0,1.0,1.0
42.91,6.0,1.0,1.0,1.0
42.92,8.4944,1.0,1.0,1.0
42.93,4.5056,1.0,1.0,1.0
42.94,2.0,1.0,1.0,1.0
42.95,0.0,1.0,1.0,1.0
42.96,5.0,1.0,1.0,1.0
42.97,3.0,1.0,1.0,1.0
42.98,2.0,1.0,1.0,1.0
42.99,5.0,1.0,1.0,1.0
43.0,7.0,1.0,1.0,1.0
43.01,2.0,1.0,1.0,1.0
43.02,6.0,1.0,1.0,1.0
43.03,5.0,1.0,1.0,1.0
43.04,0.0,1.0,1.0,1.0
43.05,5.0,1.0,1.0,1.0
43.06,6.0,1.0,1.0,1.0
43.07,7.0,1.0,1.0,1.0
43.08,5.0,1.0,1.0,1.0
43.09,0.0,1.0,1.0,1.0
43.1,5.0,1.0,1.0,1.0
43.11,0.0,1.0,1.0,1.0
43.12,10.9889,1.0,1.0,1.0
43.13,6.0111,1.0,1.0,1.0
43.14,7.4944,1.0,1.0,1.0
43.15,5.5056,1.0,1.0,1.0
43.16,9.0,1.0,1.0,1.0
43.17,12.0,1.0,1.0,1.0
43.18,8.0,1.0,1.0,1.0
43.19,3.0,1.0,1.0,1.0
43.2,0.0,1.0,1.0,1.0
43.21,13.0,1.0,1.0,1.0
43.22,4.0,1.0,1.0,1.0
43.23,5.0,1.0,1.0,1.0
43.24,5.0,1.0,1.0,1.0
43.25,13.0,1.0,1.0,1.0
43.26,5.0,1.0,1.0,1.0
43.27,19.0,1.0,1.0,1.0
43.28,8.0,1.0,1.0,1.0
43.29,9.0,1.0,1.0,1.0
43.3,18.0,1.0,1.0,1.0
43.31,9.0,1.0,1.0,1.0
43.32,12.0,1.0,1.0,1.0
43.33,2.0,1.0,1.0,1.0
43.34,15.0,1.0,1.0,1.0
43.35,11.4944,1.0,1.0,1.0
43.36,7.5056,1.0,1.0,1.0
43.37,6.0,1.0,1.0,1.0
43.38,6.0,1.0,1.0,1.0
43.39,8.0,1.0,1.0,1.0
43.4,19.4944,1.0,1.0,1.0
43.41,4.5056,1.0,1.0,1.0
43.42,13.0,1.0,1.0,1.0
43.43,10.0,1.0,1.0,1.0
43.44,23.0,1.0,1.0,1.0
43.45,8.0,1.0,1.0,1.0
43.46,13.0,1.0,1.0,1.0
43.47,12.0,1.0,1.0,1.0
43.48,17.0,1.0,1.0,1.0
43.49,16.0,1.0,1.0,1.0
43.5,12.9889,1.0,1.0,1.0
43.51,21.0111,1.0,1.0,1.0
43.52,21.0,1.0,1.0,1.0
43.53,20.0,1.0,1.0,1.0
43.54,28.0,1.0,1.0,1.0
43.55,11.0,1.0,1.0,1.0
43.56,17.0,1.0,1.0,1.0
43.57,17.0,1.0,1.0,1.0
43.58,24.0,1.0,1.0,1.0
43.59,20.0,1.0,1.0,1.0
43.6,20.4944,1.0,1.0,1.0
43.61,11.5056,1.0,1.0,1.0
43.62,26.4944,1.0,1.0,1.0
43.63,18.0,1.0,1.0,1.0
43.64,30.0,1.0,1.0,1.0
43.65,30.4944,1.0,1.0,1.0
43.66,41.5056,1.0,1.0,1.0
43.67,16.0,1.0,1.0,1.0
43.68,33.5056,1.0,1.0,1.0
43.69,23.0,1.0,1.0,1.0
43.7,10.9889,1.0,1.0,1.0
43.71,16.0111,1.0,1.0,1.0
43.72,32.4944,1.0,1.0,1.0
43.73,34.0,1.0,1.0,1.0
43.74,19.5056,1.0,1.0,1.0
43.75,28.0,1.0,1.0,1.0
43.76,10.0,1.0,1.0,1.0
43.77,10.0,1.0,1.0,1.0
43.78,10.0,1.0,1.0,1.0
43.79,26.4944,1.0,1.0,1.0
43.8,22.5056,1.0,1.0,1.0
43.81,37.9889,1.0,1.0,1.0
43.82,28.0111,1.0,1.0,1.0
43.83,28.0,1.0,1.0,1.0
43.84,28.0,1.0,1.0,1.0
43.85,19.0,1.0,1.0,1.0
43.86,18.9889,1.0,1.0,1.0
43.87,16.0111,1.0,1.0,1.0
43.88,24.0,1.0,1.0,1.0
43.89,15.0,1.0,1.0,1.0
43.9,37.4944,1.0,1.0,1.0
43.91,24.5056,1.0,1.0,1.0
43.92,4.0,1.0,1.0,1.0
43.93,18.0,1.0,1.0,1.0
43.94,27.0,1.0,1.0,1.0
43.95,14.0,1.0,1.0,1.0
43.96,26.0,1.0,1.0,1.0
43.97,15.0,1.0,1.0,1.0
43.98,6.0,1.0,1.0,1.0
43.99,27.0,1.0,1.0,1.0
44.0,34.0,1.0,1.0,1.0
44.01,21.9889,1.0,1.0,1.0
44.02,28.0111,1.0,1.0,1.0
44.03,22.0,1.0,1.0,1.0
44.04,16.9889,1.0,1.0,1.0
44.05,20.5056,1.0,1.0,1.0
44.06,18.0,1.0,1.0,1.0
44.07,8.0,1.0,1.0,1.0
44.08,17.5056,1.0,1.0,1.0
44.09,14.0,1.0,1.0,1.0
44.1,10.0,1.0,1.0,1.0
44.11,22.4944,1.0,1.0,1.0
44.12,8.5056,1.0,1.0,1.0
44.13,10.0,1.0,1.0,1.0
44.14,16.0,1.0,1.0,1.0
44.15,14.0,1.0,1.0,1.0
44.16,6.0,1.0,1.0,1.0
44.17,11.0,1.0,1.0,1.0
44.18,12.0,1.0,1.0,1.0
44.19,8.0,1.0,1.0,1.0
44.2,20.0,1.0,1.0,1.0
44.21,10.0,1.0,1.0,1.0
44.22,11.0,1.0,1.0,1.0
44.23,10.4944,1.0,1.0,1.0
44.24,17.5056,1.0,1.0,1.0
44.25,4.0,1.0,1.0,1.0
44.26,14.0,1.0,1.0,1.0
44.27,8.4944,1.0,1.0,1.0
44.28,11.5056,1.0,1.0,1.0
44.29,14.0,1.0,1.0,1.0
44.3,17.4944,1.0,1.0,1.0
44.31,11.5056,1.0,1.0,1.0
44.32,12.0,1.0,1.0,1.0
44.33,26.0,1.0,1.0,1.0
44.34,24.4944,1.0,1.0,1.0
44.35,19.5056,1.0,1.0,1.0
44.36,19.0,1.0,1.0,1.0
44.37,25.0,1.0,1.0,1.0
44.38,10.0,1.0,1.0,1.0
44.39,16.0,1.0,1.0,1.0
44.4,28.4833,1.0,1.0,1.0
44.41,19.5167,1.0,1.0,1.0
44.42,16.0,1.0,1.0,1.0
44.43,26.0,1.0,1.0,1.0
44.44,30.4944,1.0,1.0,1.0
44.45,26.5056,1.0,1.0,1.0
44.46,29.4944,1.0,1.0,1.0
44.47,29.0,1.0,1.0,1.0
44.48,24.5056,1.0,1.0,1.0
44.49,18.0,1.0,1.0,1.0
44.5,23.0,1.0,1.0,1.0
44.51,35.0,1.0,1.0,1.0
44.52,22.0,1.0,1.0,1.0
44.53,25.0,1.0,1.0,1.0
44.54,25.0,1.0,1.0,1.0
44.55,28.0,1.0,1.0,1.0
44.56,38.0,1.0,1.0,1.0
44.57,25.4833,1.0,1.0,1.0
44.58,30.5167,1.0,1.0,1.0
44.59,41.0,1.0,1.0,1.0
44.6,27.0,1.0,1.0,1.0
44.61,41.0,1.0,1.0,1.0
44.62,46.9889,1.0,1.0,1.0
44.63,41.0,1.0,1.0,1.0
44.64,41.0111,1.0,1.0,1.0
44.65,52.0,1.0,1.0,1.0
44.66,58.9889,1.0,1.0,1.0
44.67,35.5056,1.0,1.0,1.0
44.68,56.0,1.0,1.0,1.0
44.69,47.5056,1.0,1.0,1.0
44.7,53.0,1.0,1.0,1.0
44.71,37.0,1.0,1.0,1.0
44.72,38.0,1.0,1.0,1.0
44.73,36.4944,1.0,1.0,1.0
44.74,54.5056,1.0,1.0,1.0
44.75,49.0,1.0,1.0,1.0
44.76,44.0,1.0,1.0,1.0
44.77,70.0,1.0,1.0,1.0
44.78,66.0,1.0,1.0,1.0
44.79,54.9889,1.0,1.0,1.0
44.8,68.9889,1.0,1.0,1.0
44.81,65.0222,1.0,1.0,1.0
44.82,74.0,1.0,1.0,1.0
44.83,64.0,1.0,1.0,1.0
44.84,67.9889,1.0,1.0,1.0
44.85,71.0111,1.0,1.0,1.0
44.86,77.9889,1.0,1.0,1.0
44.87,91.0,1.0,1.0,1.0
44.88,96.0111,1.0,1.0,1.0
44.89,99.9889,1.0,1.0,1.0
44.9,122.4944,1.0,1.0,1.0
44.91,118.0111,1.0,1.0,1.0
44.92,107.5056,1.0,1.0,1.0
44.93,129.4722,1.0,1.0,1.0
44.94,146.5167,1.0,1.0,1.0
44.95,159.5056,1.0,1.0,1.0
44.96,154.9667,1.0,1.0,1.0
44.97,170.5389,1.0,1.0,1.0
44.98,175.9778,1.0,1.0,1.0
44.99,187.5056,1.0,1.0,1.0
45.0,189.4944,1.0,1.0,1.0
