#twotheta, yobs, ycal, bkg, diff
42.0,18.0,1.0,1.0,1.0
42.01,23.5056,1.0,1.0,1.0
42.02,18.0,1.0,1.0,1.0
42.03,15.0,1.0,1.0,1.0
42.04,9.0,1.0,1.0,1.0
42.05,9.9889,1.0,1.0,1.0
42.06,13.5056,1.0,1.0,1.0
42.07,22.0,1.0,1.0,1.0
42.08,23.0,1.0,1.0,1.0
42.09,18.5056,1.0,1.0,1.0
42.1,8.0,1.0,1.0,1.0
42.11,23.4944,1.0,1.0,1.0
42.12,13.0,1.0,1.0,1.0
42.13,10.0,1.0,1.0,1.0
42.14,7.5056,1.0,1.0,1.0
42.15,12.0,1.0,1.0,1.0
42.16,6.0,1.0,1.0,1.0
42.17,12.0,1.0,1.0,1.0
42.18,6.4944,1.0,1.0,1.0
42.19,12.0,1.0,1.0,1.0
42.2,24.0,1.0,1.0,1.0
42.21,13.0,1.0,1.0,1.0
42.22,17.5056,1.0,1.0,1.0
42.23,7.0,1.0,1.0,1.0
42.24,6.4944,1.0,1.0,1.0
42.25,11.5056,1.0,1.0,1.0
42.26,12.0,1.0,1.0,1.0
42.27,8.0,1.0,1.0,1.0
42.28,15.0,1.0,1.0,1.0
42.29,10.0,1.0,1.0,1.0
42.3,11.0,1.0,1.0,1.0
42.31,16.0,1.0,1.0,1.0
42.32,7.0,1.0,1.0,1.0
42.33,6.4944,1.0,1.0,1.0
42.34,7.5056,1.0,1.0,1.0
42.35,8.0,1.0,1.0,1.0
42.36,0.4944,1.0,1.0,1.0
42.37,11.5056,1.0,1.0,1.0
42.38,9.0,1.0,1.0,1.0
42.39,7.0,1.0,1.0,1.0
42.4,12.0,1.0,1.0,1.0
42.41,5.9889,1.0,1.0,1.0
42.42,4.0111,1.0,1.0,1.0
42.43,6.0,1.0,1.0,1.0
42.44,11.0,1.0,1.0,1.0
42.45,18.4944,1.0,1.0,1.0
42.46,6.5056,1.0,1.0,1.0
42.47,6.0,1.0,1.0,1.0
42.48,3.0,1.0,1.0,1.0
42.49,6.0,1.0,1.0,1.0
42.5,3.0,1.0,1.0,1.0
42.51,10.4944,1.0,1.0,1.0
42.52,8.5056,1.0,1.0,1.0
42.53,8.0,1.0,1.0,1.0
42.54,8.0,1.0,1.0,1.0
42.55,13.0,1.0,1.0,1.0
42.56,2.0,1.0,1.0,1.0
42.57,9.0,1.0,1.0,1.0
42.58,6.0,1.0,1.0,1.0
42.59,12.0,1.0,1.0,1.0
42.6,8.9889,1.0,1.0,1.0
42.61,4.5056,1.0,1.0,1.0
42.62,9.5056,1.0,1.0,1.0
42.63,18.0,1.0,1.0,1.0
42.64,7.0,1.0,1.0,1.0
42.65,7.0,1.0,1.0,1.0
42.66,8.0,1.0,1.0,1.0
42.67,7.0,1.0,1.0,1.0
42.68,20.0,1.0,1.0,1.0
42.69,5.0,1.0,1.0,1.0
42.7,18.4944,1.0,1.0,1.0
42.71,18.5056,1.0,1.0,1.0
42.72,7.4944,1.0,1.0,1.0
42.73,11.5056,1.0,1.0,1.0
42.74,16.0,1.0,1.0,1.0
42.75,13.0,1.0,1.0,1.0
42.76,8.0,1.0,1.0,1.0
42.77,13.0,1.0,1.0,1.0
42.78,10.0,1.0,1.0,1.0
42.79,17.0,1.0,1.0,1.0
42.8,9.0,1.0,1.0,1.0
42.81,8.4944,1.0,1.0,1.0
42.82,12.5056,1.0,1.0,1.0
42.83,21.0,1.0,1.0,1.0
42.84,13.9889,1.0,1.0,1.0
42.85,17.5056,1.0,1.0,1.0
42.86,21.5056,1.0,1.0,1.0
42.87,10.9889,1.0,1.0,1.0
42.88,17.0111,1.0,1.0,1.0
42.89,8.0,1.0,1.0,1.0
42.9,24.0,1.0,1.0,1.0
42.91,17.0,1.0,1.0,1.0
42.92,27.4944,1.0,1.0,1.0
42.93,11.5056,1.0,1.0,1.0
42.94,21.0,1.0,1.0,1.0
42.95,26.0,1.0,1.0,1.0
42.96,8.0,1.0,1.0,1.0
42.97,28.4944,1.0,1.0,1.0
42.98,27.4944,1.0,1.0,1.0
42.99,27.5056,1.0,1.0,1.0
43.0,19.5056,1.0,1.0,1.0
43.01,32.9889,1.0,1.0,1.0
43.02,21.0111,1.0,1.0,1.0
43.03,24.4944,1.0,1.0,1.0
43.04,24.4944,1.0,1.0,1.0
43.05,31.0111,1.0,1.0,1.0
43.06,18.0,1.0,1.0,1.0
43.07,33.0,1.0,1.0,1.0
43.08,24.0,1.0,1.0,1.0
43.09,21.4944,1.0,1.0,1.0
43.1,29.9889,1.0,1.0,1.0
43.11,30.5167,1.0,1.0,1.0
43.12,19.0,1.0,1.0,1.0
43.13,31.0,1.0,1.0,1.0
43.14,15.0,1.0,1.0,1.0
43.15,17.0,1.0,1.0,1.0
43.16,22.4944,1.0,1.0,1.0
43.17,13.5056,1.0,1.0,1.0
43.18,19.0,1.0,1.0,1.0
43.19,27.0,1.0,1.0,1.0
43.2,29.4944,1.0,1.0,1.0
43.21,40.5056,1.0,1.0,1.0
43.22,26.0,1.0,1.0,1.0
43.23,31.4944,1.0,1.0,1.0
43.24,15.5056,1.0,1.0,1.0
43.25,16.0,1.0,1.0,1.0
43.26,17.9889,1.0,1.0,1.0
43.27,21.5056,1.0,1.0,1.0
43.28,22.0,1.0,1.0,1.0
43.29,11.5056,1.0,1.0,1.0
43.3,11.4944,1.0,1.0,1.0
43.31,28.5056,1.0,1.0,1.0
43.32,21.0,1.0,1.0,1.0
43.33,17.0,1.0,1.0,1.0
43.34,11.0,1.0,1.0,1.0
43.35,14.0,1.0,1.0,1.0
43.36,18.0,1.0,1.0,1.0
43.37,16.0,1.0,1.0,1.0
43.38,15.0,1.0,1.0,1.0
43.39,12.0,1.0,1.0,1.0
43.4,17.0,1.0,1.0,1.0
43.41,24.0,1.0,1.0,1.0
43.42,26.4944,1.0,1.0,1.0
43.43,17.0,1.0,1.0,1.0
43.44,17.5056,1.0,1.0,1.0
43.45,21.0,1.0,1.0,1.0
43.46,9.0,1.0,1.0,1.0
43.47,5.0,1.0,1.0,1.0
43.48,19.0,1.0,1.0,1.0
43.49,8.0,1.0,1.0,1.0
43.5,17.0,1.0,1.0,1.0
43.51,23.0,1.0,1.0,1.0
43.52,5.0,1.0,1.0,1.0
43.53,11.0,1.0,1.0,1.0
43.54,10.0,1.0,1.0,1.0
43.55,11.0,1.0,1.0,1.0
43.56,16.0,1.0,1.0,1.0
43.57,13.0,1.0,1.0,1.0
43.58,13.0,1.0,1.0,1.0
43.59,20.9889,1.0,1.0,1.0
43.6,13.0111,1.0,1.0,1.0
43.61,14.0,1.0,1.0,1.0
43.62,10.0,1.0,1.0,1.0
43.63,24.0,1.0,1.0,1.0
43.64,6.0,1.0,1.0,1.0
43.65,14.0,1.0,1.0,1.0
43.66,29.0,1.0,1.0,1.0
43.67,15.0,1.0,1.0,1.0
43.68,14.0,1.0,1.0,1.0
43.69,16.0,1.0,1.0,1.0
43.7,13.0,1.0,1.0,1.0
43.71,17.0,1.0,1.0,1.0
43.72,17.0,1.0,1.0,1.0
43.73,16.0,1.0,1.0,1.0
43.74,15.0,1.0,1.0,1.0
43.75,16.0,1.0,1.0,1.0
43.76,16.0,1.0,1.0,1.0
43.77,18.0,1.0,1.0,1.0
43.78,9.0,1.0,1.0,1.0
43.79,14.9889,1.0,1.0,1.0
43.8,12.0111,1.0,1.0,1.0
43.81,22.0,1.0,1.0,1.0
43.82,23.4944,1.0,1.0,1.0
43.83,22.5056,1.0,1.0,1.0
43.84,21.0,1.0,1.0,1.0
43.85,32.0,1.0,1.0,1.0
43.86,12.0,1.0,1.0,1.0
43.87,16.0,1.0,1.0,1.0
43.88,22.0,1.0,1.0,1.0
43.89,21.4944,1.0,1.0,1.0
43.9,18.5056,1.0,1.0,1.0
43.91,29.4944,1.0,1.0,1.0
43.92,21.0,1.0,1.0,1.0
43.93,20.5056,1.0,1.0,1.0
43.94,27.0,1.0,1.0,1.0
43.95,22.4833,1.0,1.0,1.0
43.96,42.5167,1.0,1.0,1.0
43.97,40.0,1.0,1.0,1.0
43.98,32.0,1.0,1.0,1.0
43.99,46.4944,1.0,1.0,1.0
44.0,54.5056,1.0,1.0,1.0
44.01,36.4944,1.0,1.0,1.0
44.02,41.5056,1.0,1.0,1.0
44.03,40.4944,1.0,1.0,1.0
44.04,34.0,1.0,1.0,1.0
44.05,56.4944,1.0,1.0,1.0
44.06,66.0111,1.0,1.0,1.0
44.07,56.0,1.0,1.0,1.0
44.08,34.0,1.0,1.0,1.0
44.09,53.0,1.0,1.0,1.0
44.1,45.4944,1.0,1.0,1.0
44.11,37.0,1.0,1.0,1.0
44.12,45.4944,1.0,1.0,1.0
44.13,41.5056,1.0,1.0,1.0
44.14,39.0,1.0,1.0,1.0
44.15,34.9889,1.0,1.0,1.0
44.16,49.0111,1.0,1.0,1.0
44.17,42.0,1.0,1.0,1.0
44.18,27.5056,1.0,1.0,1.0
44.19,38.9889,1.0,1.0,1.0
44.2,47.5056,1.0,1.0,1.0
44.21,33.4944,1.0,1.0,1.0
44.22,37.0,1.0,1.0,1.0
44.23,44.4944,1.0,1.0,1.0
44.24,41.5167,1.0,1.0,1.0
44.25,29.0,1.0,1.0,1.0
44.26,48.0,1.0,1.0,1.0
44.27,38.4833,1.0,1.0,1.0
44.28,59.0111,1.0,1.0,1.0
44.29,30.5056,1.0,1.0,1.0
44.3,39.0,1.0,1.0,1.0
44.31,50.4944,1.0,1.0,1.0
44.32,29.5056,1.0,1.0,1.0
44.33,29.0,1.0,1.0,1.0
44.34,41.4944,1.0,1.0,1.0
44.35,32.4944,1.0,1.0,1.0
44.36,56.5056,1.0,1.0,1.0
44.37,40.5056,1.0,1.0,1.0
44.38,30.0,1.0,1.0,1.0
44.39,35.9889,1.0,1.0,1.0
44.4,25.0111,1.0,1.0,1.0
44.41,34.9889,1.0,1.0,1.0
44.42,36.0,1.0,1.0,1.0
44.43,34.0,1.0,1.0,1.0
44.44,35.5056,1.0,1.0,1.0
44.45,20.0,1.0,1.0,1.0
44.46,35.5056,1.0,1.0,1.0
44.47,36.0,1.0,1.0,1.0
44.48,29.4944,1.0,1.0,1.0
44.49,27.5056,1.0,1.0,1.0
44.5,19.0,1.0,1.0,1.0
44.51,37.0,1.0,1.0,1.0
44.52,41.4944,1.0,1.0,1.0
44.53,38.5056,1.0,1.0,1.0
44.54,32.4944,1.0,1.0,1.0
44.55,46.5056,1.0,1.0,1.0
44.56,18.0,1.0,1.0,1.0
44.57,27.0,1.0,1.0,1.0
44.58,12.9889,1.0,1.0,1.0
44.59,18.0,1.0,1.0,1.0
44.6,20.5056,1.0,1.0,1.0
44.61,36.0,1.0,1.0,1.0
44.62,22.5056,1.0,1.0,1.0
44.63,18.0,1.0,1.0,1.0
44.64,26.0,1.0,1.0,1.0
44.65,19.0,1.0,1.0,1.0
44.66,28.9889,1.0,1.0,1.0
44.67,21.0111,1.0,1.0,1.0
44.68,28.4944,1.0,1.0,1.0
44.69,43.0,1.0,1.0,1.0
44.7,34.0,1.0,1.0,1.0
44.71,25.5056,1.0,1.0,1.0
44.72,20.4944,1.0,1.0,1.0
44.73,34.0,1.0,1.0,1.0
44.74,30.0,1.0,1.0,1.0
44.75,41.0,1.0,1.0,1.0
44.76,38.0,1.0,1.0,1.0
44.77,42.5056,1.0,1.0,1.0
44.78,36.9889,1.0,1.0,1.0
44.79,35.5056,1.0,1.0,1.0
44.8,45.5056,1.0,1.0,1.0
44.81,49.4944,1.0,1.0,1.0
44.82,39.5056,1.0,1.0,1.0
44.83,38.4944,1.0,1.0,1.0
44.84,43.5056,1.0,1.0,1.0
44.85,25.0,1.0,1.0,1.0
44.86,38.0,1.0,1.0,1.0
44.87,39.0,1.0,1.0,1.0
44.88,37.4944,1.0,1.0,1.0
44.89,43.5056,1.0,1.0,1.0
44.9,42.4944,1.0,1.0,1.0
44.91,63.4833,1.0,1.0,1.0
44.92,59.0222,1.0,1.0,1.0
44.93,48.0,1.0,1.0,1.0
44.94,47.4944,1.0,1.0,1.0
44.95,63.5056,1.0,1.0,1.0
44.96,54.0,1.0,1.0,1.0
44.97,50.0,1.0,1.0,1.0
44.98,61.4944,1.0,1.0,1.0
44.99,64.4944,1.0,1.0,1.0
45.0,79.4944,1.0,1.0,1.0
45.01,76.5056,1.0,1.0,1.0
45.02,68.0,1.0,1.0,1.0
45.03,65.0111,1.0,1.0,1.0
45.04,73.0,1.0,1.0,1.0
45.05,90.9889,1.0,1.0,1.0
45.06,44.4944,1.0,1.0,1.0
45.07,80.0111,1.0,1.0,1.0
45.08,92.0,1.0,1.0,1.0
45.09,87.0,1.0,1.0,1.0
45.1,83.5056,1.0,1.0,1.0
45.11,112.4944,1.0,1.0,1.0
45.12,77.0,1.0,1.0,1.0
45.13,81.4833,1.0,1.0,1.0
45.14,85.5167,1.0,1.0,1.0
45.15,77.0,1.0,1.0,1.0
45.16,81.4944,1.0,1.0,1.0
45.17,79.0111,1.0,1.0,1.0
45.18,87.0,1.0,1.0,1.0
45.19,102.0,1.0,1.0,1.0
45.2,67.0,1.0,1.0,1.0
45.21,84.4944,1.0,1.0,1.0
45.22,97.9778,1.0,1.0,1.0
45.23,101.0222,1.0,1.0,1.0
45.24,102.4944,1.0,1.0,1.0
45.25,65.5056,1.0,1.0,1.0
45.26,85.0,1.0,1.0,1.0
45.27,65.5056,1.0,1.0,1.0
45.28,99.4944,1.0,1.0,1.0
45.29,94.5056,1.0,1.0,1.0
45.3,90.9889,1.0,1.0,1.0
45.31,76.5056,1.0,1.0,1.0
45.32,101.5056,1.0,1.0,1.0
45.33,96.0,1.0,1.0,1.0
45.34,64.9889,1.0,1.0,1.0
45.35,82.0111,1.0,1.0,1.0
45.36,88.0,1.0,1.0,1.0
45.37,108.4833,1.0,1.0,1.0
45.38,100.5167,1.0,1.0,1.0
45.39,69.9889,1.0,1.0,1.0
45.4,77.5056,1.0,1.0,1.0
45.41,73.0,1.0,1.0,1.0
45.42,61.0,1.0,1.0,1.0
45.43,67.0,1.0,1.0,1.0
45.44,73.9778,1.0,1.0,1.0
45.45,72.0222,1.0,1.0,1.0
45.46,67.5056,1.0,1.0,1.0
45.47,76.4944,1.0,1.0,1.0
45.48,88.5056,1.0,1.0,1.0
45.49,64.9889,1.0,1.0,1.0
45.5,87.5056,1.0,1.0,1.0
45.51,64.4944,1.0,1.0,1.0
45.52,73.5056,1.0,1.0,1.0
45.53,68.5056,1.0,1.0,1.0
45.54,66.9889,1.0,1.0,1.0
45.55,79.0,1.0,1.0,1.0
45.56,71.5056,1.0,1.0,1.0
45.57,62.0,1.0,1.0,1.0
