#twotheta, yobs, ycal, bkg, diff
42.0,28.5056,1.0,1.0,1.0
42.01,24.4944,1.0,1.0,1.0
42.02,11.5056,1.0,1.0,1.0
42.03,19.0,1.0,1.0,1.0
42.04,27.0,1.0,1.0,1.0
42.05,12.4944,1.0,1.0,1.0
42.06,28.9667,1.0,1.0,1.0
42.07,38.5389,1.0,1.0,1.0
42.08,19.0,1.0,1.0,1.0
42.09,20.0,1.0,1.0,1.0
42.1,8.0,1.0,1.0,1.0
42.11,23.0,1.0,1.0,1.0
42.12,16.9889,1.0,1.0,1.0
42.13,23.0111,1.0,1.0,1.0
42.14,15.4944,1.0,1.0,1.0
42.15,13.5056,1.0,1.0,1.0
42.16,21.0,1.0,1.0,1.0
42.17,25.0,1.0,1.0,1.0
42.18,18.9889,1.0,1.0,1.0
42.19,25.0111,1.0,1.0,1.0
42.2,15.0,1.0,1.0,1.0
42.21,19.0,1.0,1.0,1.0
42.22,27.0,1.0,1.0,1.0
42.23,25.0,1.0,1.0,1.0
42.24,29.4944,1.0,1.0,1.0
42.25,15.5056,1.0,1.0,1.0
42.26,6.4944,1.0,1.0,1.0
42.27,26.5056,1.0,1.0,1.0
42.28,32.0,1.0,1.0,1.0
42.29,32.0,1.0,1.0,1.0
42.3,22.0,1.0,1.0,1.0
42.31,24.0,1.0,1.0,1.0
42.32,19.0,1.0,1.0,1.0
42.33,11.0,1.0,1.0,1.0
42.34,32.0,1.0,1.0,1.0
42.35,13.4944,1.0,1.0,1.0
42.36,24.5056,1.0,1.0,1.0
42.37,38.0,1.0,1.0,1.0
42.38,21.4944,1.0,1.0,1.0
42.39,23.5056,1.0,1.0,1.0
42.4,25.9889,1.0,1.0,1.0
42.41,23.0111,1.0,1.0,1.0
42.42,25.4944,1.0,1.0,1.0
42.43,20.0,1.0,1.0,1.0
42.44,8.0,1.0,1.0,1.0
42.45,16.5056,1.0,1.0,1.0
42.46,17.0,1.0,1.0,1.0
42.47,21.0,1.0,1.0,1.0
42.48,31.0,1.0,1.0,1.0
42.49,29.9889,1.0,1.0,1.0
42.5,22.0,1.0,1.0,1.0
42.51,25.0111,1.0,1.0,1.0
42.52,25.4944,1.0,1.0,1.0
42.53,19.5056,1.0,1.0,1.0
42.54,19.0,1.0,1.0,1.0
42.55,22.0,1.0,1.0,1.0
42.56,31.9889,1.0,1.0,1.0
42.57,31.5056,1.0,1.0,1.0
42.58,24.5056,1.0,1.0,1.0
42.59,18.0,1.0,1.0,1.0
42.6,51.9889,1.0,1.0,1.0
42.61,32.0111,1.0,1.0,1.0
42.62,27.4944,1.0,1.0,1.0
42.63,17.5056,1.0,1.0,1.0
42.64,34.4833,1.0,1.0,1.0
42.65,28.5167,1.0,1.0,1.0
42.66,16.4944,1.0,1.0,1.0
42.67,28.5056,1.0,1.0,1.0
42.68,31.0,1.0,1.0,1.0
42.69,35.0,1.0,1.0,1.0
42.7,30.0,1.0,1.0,1.0
42.71,13.4944,1.0,1.0,1.0
42.72,17.5056,1.0,1.0,1.0
42.73,22.0,1.0,1.0,1.0
42.74,36.0,1.0,1.0,1.0
42.75,17.0,1.0,1.0,1.0
42.76,31.9889,1.0,1.0,1.0
42.77,21.0111,1.0,1.0,1.0
42.78,20.0,1.0,1.0,1.0
42.79,25.0,1.0,1.0,1.0
42.8,27.0,1.0,1.0,1.0
42.81,22.9889,1.0,1.0,1.0
42.82,51.0111,1.0,1.0,1.0
42.83,26.0,1.0,1.0,1.0
42.84,27.0,1.0,1.0,1.0
42.85,32.9889,1.0,1.0,1.0
42.86,38.0111,1.0,1.0,1.0
42.87,32.0,1.0,1.0,1.0
42.88,40.4944,1.0,1.0,1.0
42.89,20.5056,1.0,1.0,1.0
42.9,32.0,1.0,1.0,1.0
42.91,28.4944,1.0,1.0,1.0
42.92,20.4944,1.0,1.0,1.0
42.93,16.5056,1.0,1.0,1.0
42.94,27.5056,1.0,1.0,1.0
42.95,25.0,1.0,1.0,1.0
42.96,27.0,1.0,1.0,1.0
42.97,36.0,1.0,1.0,1.0
42.98,38.0,1.0,1.0,1.0
42.99,19.4944,1.0,1.0,1.0
43.0,34.0,1.0,1.0,1.0
43.01,28.5056,1.0,1.0,1.0
43.02,27.0,1.0,1.0,1.0
43.03,22.0,1.0,1.0,1.0
43.04,31.0,1.0,1.0,1.0
43.05,34.9889,1.0,1.0,1.0
43.06,25.0111,1.0,1.0,1.0
43.07,26.0,1.0,1.0,1.0
43.08,31.0,1.0,1.0,1.0
43.09,41.4944,1.0,1.0,1.0
43.1,37.0,1.0,1.0,1.0
43.11,37.0,1.0,1.0,1.0
43.12,32.5056,1.0,1.0,1.0
43.13,36.0,1.0,1.0,1.0
43.14,23.0,1.0,1.0,1.0
43.15,30.0,1.0,1.0,1.0
43.16,35.0,1.0,1.0,1.0
43.17,36.0,1.0,1.0,1.0
43.18,32.0,1.0,1.0,1.0
43.19,31.4944,1.0,1.0,1.0
43.2,21.0,1.0,1.0,1.0
43.21,34.0,1.0,1.0,1.0
43.22,26.0,1.0,1.0,1.0
43.23,26.5056,1.0,1.0,1.0
43.24,37.0,1.0,1.0,1.0
43.25,21.0,1.0,1.0,1.0
43.26,22.0,1.0,1.0,1.0
43.27,44.0,1.0,1.0,1.0
43.28,31.0,1.0,1.0,1.0
43.29,24.0,1.0,1.0,1.0
43.3,35.0,1.0,1.0,1.0
43.31,23.0,1.0,1.0,1.0
43.32,29.0,1.0,1.0,1.0
43.33,47.0,1.0,1.0,1.0
43.34,23.4944,1.0,1.0,1.0
43.35,31.0,1.0,1.0,1.0
43.36,126.5056,1.0,1.0,1.0
43.37,25.0,1.0,1.0,1.0
43.38,34.0,1.0,1.0,1.0
43.39,40.4944,1.0,1.0,1.0
43.4,36.0,1.0,1.0,1.0
43.41,23.5056,1.0,1.0,1.0
43.42,24.0,1.0,1.0,1.0
43.43,26.0,1.0,1.0,1.0
43.44,21.4944,1.0,1.0,1.0
43.45,30.4944,1.0,1.0,1.0
43.46,32.5056,1.0,1.0,1.0
43.47,23.5056,1.0,1.0,1.0
43.48,31.9889,1.0,1.0,1.0
43.49,31.0,1.0,1.0,1.0
43.5,32.0,1.0,1.0,1.0
43.51,12.0111,1.0,1.0,1.0
43.52,47.4944,1.0,1.0,1.0
43.53,25.5056,1.0,1.0,1.0
43.54,44.0,1.0,1.0,1.0
43.55,26.4944,1.0,1.0,1.0
43.56,31.4944,1.0,1.0,1.0
43.57,44.5056,1.0,1.0,1.0
43.58,23.9778,1.0,1.0,1.0
43.59,15.5278,1.0,1.0,1.0
43.6,31.0,1.0,1.0,1.0
43.61,32.0,1.0,1.0,1.0
43.62,33.4833,1.0,1.0,1.0
43.63,30.5167,1.0,1.0,1.0
43.64,21.0,1.0,1.0,1.0
43.65,38.0,1.0,1.0,1.0
43.66,38.4944,1.0,1.0,1.0
43.67,30.5056,1.0,1.0,1.0
43.68,39.0,1.0,1.0,1.0
43.69,25.9889,1.0,1.0,1.0
43.7,24.5056,1.0,1.0,1.0
43.71,35.5056,1.0,1.0,1.0
43.72,30.4944,1.0,1.0,1.0
43.73,20.5056,1.0,1.0,1.0
43.74,36.0,1.0,1.0,1.0
43.75,18.0,1.0,1.0,1.0
43.76,30.9889,1.0,1.0,1.0
43.77,33.0111,1.0,1.0,1.0
43.78,32.0,1.0,1.0,1.0
43.79,26.0,1.0,1.0,1.0
43.8,26.4944,1.0,1.0,1.0
43.81,25.5056,1.0,1.0,1.0
43.82,16.0,1.0,1.0,1.0
43.83,19.0,1.0,1.0,1.0
43.84,19.0,1.0,1.0,1.0
43.85,41.4944,1.0,1.0,1.0
43.86,28.5056,1.0,1.0,1.0
43.87,18.0,1.0,1.0,1.0
43.88,23.0,1.0,1.0,1.0
43.89,17.4944,1.0,1.0,1.0
43.9,35.5056,1.0,1.0,1.0
43.91,25.0,1.0,1.0,1.0
43.92,26.0,1.0,1.0,1.0
43.93,12.0,1.0,1.0,1.0
43.94,38.0,1.0,1.0,1.0
43.95,30.0,1.0,1.0,1.0
43.96,33.0,1.0,1.0,1.0
43.97,14.0,1.0,1.0,1.0
43.98,10.0,1.0,1.0,1.0
43.99,29.9889,1.0,1.0,1.0
44.0,26.5056,1.0,1.0,1.0
44.01,25.0,1.0,1.0,1.0
44.02,20.5056,1.0,1.0,1.0
44.03,31.4944,1.0,1.0,1.0
44.04,47.0,1.0,1.0,1.0
44.05,34.4944,1.0,1.0,1.0
44.06,29.5056,1.0,1.0,1.0
44.07,28.5056,1.0,1.0,1.0
44.08,33.0,1.0,1.0,1.0
44.09,26.0,1.0,1.0,1.0
44.1,24.0,1.0,1.0,1.0
44.11,25.9889,1.0,1.0,1.0
44.12,53.0111,1.0,1.0,1.0
44.13,27.4944,1.0,1.0,1.0
44.14,26.4944,1.0,1.0,1.0
44.15,42.5056,1.0,1.0,1.0
44.16,40.5056,1.0,1.0,1.0
44.17,45.0,1.0,1.0,1.0
44.18,55.0,1.0,1.0,1.0
44.19,48.0,1.0,1.0,1.0
44.2,25.4944,1.0,1.0,1.0
44.21,42.5056,1.0,1.0,1.0
44.22,36.0,1.0,1.0,1.0
44.23,53.4944,1.0,1.0,1.0
44.24,40.0,1.0,1.0,1.0
44.25,44.5056,1.0,1.0,1.0
44.26,34.0,1.0,1.0,1.0
44.27,32.9889,1.0,1.0,1.0
44.28,32.0111,1.0,1.0,1.0
44.29,46.0,1.0,1.0,1.0
44.3,58.0,1.0,1.0,1.0
44.31,43.9889,1.0,1.0,1.0
44.32,64.0,1.0,1.0,1.0
44.33,45.0,1.0,1.0,1.0
44.34,52.0,1.0,1.0,1.0
44.35,45.5056,1.0,1.0,1.0
44.36,53.5056,1.0,1.0,1.0
44.37,49.0,1.0,1.0,1.0
44.38,39.9778,1.0,1.0,1.0
44.39,64.5056,1.0,1.0,1.0
44.4,52.5167,1.0,1.0,1.0
44.41,82.4944,1.0,1.0,1.0
44.42,56.4944,1.0,1.0,1.0
44.43,63.0,1.0,1.0,1.0
44.44,73.0,1.0,1.0,1.0
44.45,61.0,1.0,1.0,1.0
44.46,63.0111,1.0,1.0,1.0
44.47,67.9889,1.0,1.0,1.0
44.48,78.5056,1.0,1.0,1.0
44.49,86.5056,1.0,1.0,1.0
44.5,83.4833,1.0,1.0,1.0
44.51,103.5056,1.0,1.0,1.0
44.52,112.4944,1.0,1.0,1.0
44.53,96.5167,1.0,1.0,1.0
44.54,102.9778,1.0,1.0,1.0
44.55,96.4944,1.0,1.0,1.0
44.56,130.5167,1.0,1.0,1.0
44.57,85.5056,1.0,1.0,1.0
44.58,126.9889,1.0,1.0,1.0
44.59,96.0111,1.0,1.0,1.0
44.6,97.4944,1.0,1.0,1.0
44.61,125.0,1.0,1.0,1.0
44.62,105.0111,1.0,1.0,1.0
44.63,124.9889,1.0,1.0,1.0
44.64,149.9889,1.0,1.0,1.0
44.65,146.5056,1.0,1.0,1.0
44.66,119.5056,1.0,1.0,1.0
44.67,127.9889,1.0,1.0,1.0
44.68,136.0111,1.0,1.0,1.0
44.69,155.0,1.0,1.0,1.0
44.7,146.9889,1.0,1.0,1.0
44.71,150.9889,1.0,1.0,1.0
44.72,164.5167,1.0,1.0,1.0
44.73,154.0,1.0,1.0,1.0
44.74,161.9889,1.0,1.0,1.0
44.75,180.4944,1.0,1.0,1.0
44.76,180.5167,1.0,1.0,1.0
44.77,193.0111,1.0,1.0,1.0
44.78,174.4944,1.0,1.0,1.0
44.79,221.9889,1.0,1.0,1.0
44.8,185.4833,1.0,1.0,1.0
44.81,198.0333,1.0,1.0,1.0
44.82,191.9667,1.0,1.0,1.0
44.83,225.0111,1.0,1.0,1.0
44.84,223.9889,1.0,1.0,1.0
44.85,205.0222,1.0,1.0,1.0
44.86,184.0,1.0,1.0,1.0
44.87,250.9778,1.0,1.0,1.0
44.88,254.5167,1.0,1.0,1.0
44.89,236.9889,1.0,1.0,1.0
44.9,271.0111,1.0,1.0,1.0
44.91,275.9556,1.0,1.0,1.0
44.92,268.0333,1.0,1.0,1.0
44.93,275.0,1.0,1.0,1.0
44.94,279.5278,1.0,1.0,1.0
44.95,285.4722,1.0,1.0,1.0
44.96,334.4833,1.0,1.0,1.0
44.97,325.0222,1.0,1.0,1.0
44.98,323.4944,1.0,1.0,1.0
44.99,331.5056,1.0,1.0,1.0
45.0,313.4722,1.0,1.0,1.0
45.01,364.0,1.0,1.0,1.0
45.02,338.5167,1.0,1.0,1.0
45.03,334.0111,1.0,1.0,1.0
45.04,358.5056,1.0,1.0,1.0
45.05,398.9667,1.0,1.0,1.0
45.06,415.5389,1.0,1.0,1.0
45.07,365.9889,1.0,1.0,1.0
45.08,367.4944,1.0,1.0,1.0
45.09,409.4833,1.0,1.0,1.0
45.1,415.0111,1.0,1.0,1.0
45.11,422.9667,1.0,1.0,1.0
45.12,430.4722,1.0,1.0,1.0
