#twotheta, yobs, ycal, bkg, diff
42.0,9.4944,1.0,1.0,1.0
42.01,8.0,1.0,1.0,1.0
42.02,4.4944,1.0,1.0,1.0
42.03,7.0111,1.0,1.0,1.0
42.04,2.4944,1.0,1.0,1.0
42.05,5.5056,1.0,1.0,1.0
42.06,8.0,1.0,1.0,1.0
42.07,8.0,1.0,1.0,1.0
42.08,7.0,1.0,1.0,1.0
42.09,5.0,1.0,1.0,1.0
42.1,9.4944,1.0,1.0,1.0
42.11,10.5056,1.0,1.0,1.0
42.12,2.0,1.0,1.0,1.0
42.13,5.0,1.0,1.0,1.0
42.14,6.0,1.0,1.0,1.0
42.15,2.0,1.0,1.0,1.0
42.16,11.0,1.0,1.0,1.0
42.17,9.0,1.0,1.0,1.0
42.18,8.0,1.0,1.0,1.0
42.19,8.0,1.0,1.0,1.0
42.2,8.0,1.0,1.0,1.0
42.21,15.0,1.0,1.0,1.0
42.22,5.0,1.0,1.0,1.0
42.23,9.0,1.0,1.0,1.0
42.24,9.0,1.0,1.0,1.0
42.25,12.4944,1.0,1.0,1.0
42.26,5.5056,1.0,1.0,1.0
42.27,3.0,1.0,1.0,1.0
42.28,8.0,1.0,1.0,1.0
42.29,5.0,1.0,1.0,1.0
42.3,10.0,1.0,1.0,1.0
42.31,13.0,1.0,1.0,1.0
42.32,12.0,1.0,1.0,1.0
42.33,6.0,1.0,1.0,1.0
42.34,11.0,1.0,1.0,1.0
42.35,4.0,1.0,1.0,1.0
42.36,8.0,1.0,1.0,1.0
42.37,13.0,1.0,1.0,1.0
42.38,6.0,1.0,1.0,1.0
42.39,9.4944,1.0,1.0,1.0
42.4,7.5056,1.0,1.0,1.0
42.41,3.0,1.0,1.0,1.0
42.42,4.0,1.0,1.0,1.0
42.43,5.0,1.0,1.0,1.0
42.44,4.0,1.0,1.0,1.0
42.45,10.0,1.0,1.0,1.0
42.46,5.4944,1.0,1.0,1.0
42.47,13.5056,1.0,1.0,1.0
42.48,6.0,1.0,1.0,1.0
42.49,11.4944,1.0,1.0,1.0
42.5,9.0,1.0,1.0,1.0
42.51,4.5056,1.0,1.0,1.0
42.52,12.0,1.0,1.0,1.0
42.53,11.4944,1.0,1.0,1.0
42.54,8.5056,1.0,1.0,1.0
42.55,8.4944,1.0,1.0,1.0
42.56,12.5056,1.0,1.0,1.0
42.57,5.0,1.0,1.0,1.0
42.58,3.0,1.0,1.0,1.0
42.59,4.0,1.0,1.0,1.0
42.6,5.0,1.0,1.0,1.0
42.61,10.0,1.0,1.0,1.0
42.62,5.0,1.0,1.0,1.0
42.63,5.0,1.0,1.0,1.0
42.64,5.0,1.0,1.0,1.0
42.65,8.0,1.0,1.0,1.0
42.66,12.0,1.0,1.0,1.0
42.67,8.0,1.0,1.0,1.0
42.68,18.4944,1.0,1.0,1.0
42.69,2.5056,1.0,1.0,1.0
42.7,8.0,1.0,1.0,1.0
42.71,9.0,1.0,1.0,1.0
42.72,20.0,1.0,1.0,1.0
42.73,2.0,1.0,1.0,1.0
42.74,8.9889,1.0,1.0,1.0
42.75,14.0111,1.0,1.0,1.0
42.76,4.0,1.0,1.0,1.0
42.77,9.4944,1.0,1.0,1.0
42.78,3.5056,1.0,1.0,1.0
42.79,4.4944,1.0,1.0,1.0
42.8,17.5056,1.0,1.0,1.0
42.81,6.0,1.0,1.0,1.0
42.82,2.0,1.0,1.0,1.0
42.83,7.4944,1.0,1.0,1.0
42.84,23.5056,1.0,1.0,1.0
42.85,7.0,1.0,1.0,1.0
42.86,4.0,1.0,1.0,1.0
42.87,14.0,1.0,1.0,1.0
42.88,13.0,1.0,1.0,1.0
42.89,9.0,1.0,1.0,1.0
42.9,11.4944,1.0,1.0,1.0
42.91,16.5056,1.0,1.0,1.0
42.92,8.0,1.0,1.0,1.0
42.93,16.4944,1.0,1.0,1.0
42.94,11.0,1.0,1.0,1.0
42.95,18.5056,1.0,1.0,1.0
42.96,11.0,1.0,1.0,1.0
42.97,10.0,1.0,1.0,1.0
42.98,15.0,1.0,1.0,1.0
42.99,16.4944,1.0,1.0,1.0
43.0,16.5056,1.0,1.0,1.0
43.01,4.0,1.0,1.0,1.0
43.02,14.4944,1.0,1.0,1.0
43.03,11.0,1.0,1.0,1.0
43.04,9.5056,1.0,1.0,1.0
43.05,5.0,1.0,1.0,1.0
43.06,18.0,1.0,1.0,1.0
43.07,9.0,1.0,1.0,1.0
43.08,15.4944,1.0,1.0,1.0
43.09,5.5056,1.0,1.0,1.0
43.1,26.0,1.0,1.0,1.0
43.11,5.0,1.0,1.0,1.0
43.12,3.0,1.0,1.0,1.0
43.13,15.0,1.0,1.0,1.0
43.14,12.0,1.0,1.0,1.0
43.15,13.0,1.0,1.0,1.0
43.16,22.0,1.0,1.0,1.0
43.17,20.0,1.0,1.0,1.0
43.18,15.4944,1.0,1.0,1.0
43.19,11.5056,1.0,1.0,1.0
43.2,6.0,1.0,1.0,1.0
43.21,17.0,1.0,1.0,1.0
43.22,5.0,1.0,1.0,1.0
43.23,12.4944,1.0,1.0,1.0
43.24,14.5056,1.0,1.0,1.0
43.25,12.0,1.0,1.0,1.0
43.26,9.0,1.0,1.0,1.0
43.27,20.0,1.0,1.0,1.0
43.28,5.0,1.0,1.0,1.0
43.29,7.4944,1.0,1.0,1.0
43.3,12.5056,1.0,1.0,1.0
43.31,14.0,1.0,1.0,1.0
43.32,17.0,1.0,1.0,1.0
43.33,10.4944,1.0,1.0,1.0
43.34,12.5056,1.0,1.0,1.0
43.35,17.9889,1.0,1.0,1.0
43.36,6.0111,1.0,1.0,1.0
43.37,4.0,1.0,1.0,1.0
43.38,12.0,1.0,1.0,1.0
43.39,10.4944,1.0,1.0,1.0
43.4,6.5056,1.0,1.0,1.0
43.41,8.0,1.0,1.0,1.0
43.42,6.0,1.0,1.0,1.0
43.43,6.4944,1.0,1.0,1.0
43.44,14.5056,1.0,1.0,1.0
43.45,10.0,1.0,1.0,1.0
43.46,11.0,1.0,1.0,1.0
43.47,4.0,1.0,1.0,1.0
43.48,12.0,1.0,1.0,1.0
43.49,19.0,1.0,1.0,1.0
43.5,14.0,1.0,1.0,1.0
43.51,13.0,1.0,1.0,1.0
43.52,16.0,1.0,1.0,1.0
43.53,15.0,1.0,1.0,1.0
43.54,2.0,1.0,1.0,1.0
43.55,10.0,1.0,1.0,1.0
43.56,4.0,1.0,1.0,1.0
43.57,14.0,1.0,1.0,1.0
43.58,14.4944,1.0,1.0,1.0
43.59,2.4944,1.0,1.0,1.0
43.6,4.5056,1.0,1.0,1.0
43.61,23.5056,1.0,1.0,1.0
43.62,6.0,1.0,1.0,1.0
43.63,10.0,1.0,1.0,1.0
43.64,8.0,1.0,1.0,1.0
43.65,9.4833,1.0,1.0,1.0
43.66,17.5167,1.0,1.0,1.0
43.67,7.4944,1.0,1.0,1.0
43.68,6.5056,1.0,1.0,1.0
43.69,17.0,1.0,1.0,1.0
43.7,14.0,1.0,1.0,1.0
43.71,5.0,1.0,1.0,1.0
43.72,8.0,1.0,1.0,1.0
43.73,13.0,1.0,1.0,1.0
43.74,14.0,1.0,1.0,1.0
43.75,0.0,1.0,1.0,1.0
43.76,12.0,1.0,1.0,1.0
43.77,9.0,1.0,1.0,1.0
43.78,11.0,1.0,1.0,1.0
43.79,10.0,1.0,1.0,1.0
43.8,2.0,1.0,1.0,1.0
43.81,10.4944,1.0,1.0,1.0
43.82,8.5056,1.0,1.0,1.0
43.83,12.0,1.0,1.0,1.0
43.84,7.0,1.0,1.0,1.0
43.85,13.0,1.0,1.0,1.0
43.86,13.4944,1.0,1.0,1.0
43.87,7.0,1.0,1.0,1.0
43.88,3.5056,1.0,1.0,1.0
43.89,12.0,1.0,1.0,1.0
43.9,5.0,1.0,1.0,1.0
43.91,10.0,1.0,1.0,1.0
43.92,15.0,1.0,1.0,1.0
43.93,6.0,1.0,1.0,1.0
43.94,23.0,1.0,1.0,1.0
43.95,6.0,1.0,1.0,1.0
43.96,7.0,1.0,1.0,1.0
43.97,5.0,1.0,1.0,1.0
43.98,5.0,1.0,1.0,1.0
43.99,6.0,1.0,1.0,1.0
44.0,10.0,1.0,1.0,1.0
44.01,12.4944,1.0,1.0,1.0
44.02,12.5056,1.0,1.0,1.0
44.03,6.0,1.0,1.0,1.0
44.04,11.0,1.0,1.0,1.0
44.05,11.0,1.0,1.0,1.0
44.06,4.0,1.0,1.0,1.0
44.07,2.0,1.0,1.0,1.0
44.08,9.0,1.0,1.0,1.0
44.09,9.0,1.0,1.0,1.0
44.1,9.0,1.0,1.0,1.0
44.11,10.0,1.0,1.0,1.0
44.12,17.0,1.0,1.0,1.0
44.13,15.0,1.0,1.0,1.0
44.14,6.0,1.0,1.0,1.0
44.15,8.0,1.0,1.0,1.0
44.16,8.0,1.0,1.0,1.0
44.17,14.4944,1.0,1.0,1.0
44.18,19.0,1.0,1.0,1.0
44.19,14.5056,1.0,1.0,1.0
44.2,3.0,1.0,1.0,1.0
44.21,2.0,1.0,1.0,1.0
44.22,2.0,1.0,1.0,1.0
44.23,8.0,1.0,1.0,1.0
44.24,11.0,1.0,1.0,1.0
44.25,9.4944,1.0,1.0,1.0
44.26,14.5056,1.0,1.0,1.0
44.27,11.9889,1.0,1.0,1.0
44.28,13.0111,1.0,1.0,1.0
44.29,7.0,1.0,1.0,1.0
44.3,5.0,1.0,1.0,1.0
44.31,11.0,1.0,1.0,1.0
44.32,11.4944,1.0,1.0,1.0
44.33,14.5056,1.0,1.0,1.0
44.34,15.4944,1.0,1.0,1.0
44.35,14.5056,1.0,1.0,1.0
44.36,26.0,1.0,1.0,1.0
44.37,21.0,1.0,1.0,1.0
44.38,21.4944,1.0,1.0,1.0
44.39,22.5056,1.0,1.0,1.0
44.4,20.9889,1.0,1.0,1.0
44.41,24.5056,1.0,1.0,1.0
44.42,27.5056,1.0,1.0,1.0
44.43,21.0,1.0,1.0,1.0
44.44,37.0,1.0,1.0,1.0
44.45,28.0,1.0,1.0,1.0
44.46,21.0,1.0,1.0,1.0
44.47,20.0,1.0,1.0,1.0
44.48,26.0,1.0,1.0,1.0
44.49,25.0,1.0,1.0,1.0
44.5,29.0,1.0,1.0,1.0
44.51,40.4944,1.0,1.0,1.0
44.52,29.5056,1.0,1.0,1.0
44.53,24.4944,1.0,1.0,1.0
44.54,24.5056,1.0,1.0,1.0
44.55,50.9889,1.0,1.0,1.0
44.56,23.0111,1.0,1.0,1.0
44.57,28.9889,1.0,1.0,1.0
44.58,29.0111,1.0,1.0,1.0
44.59,36.0,1.0,1.0,1.0
44.6,63.0,1.0,1.0,1.0
44.61,44.4944,1.0,1.0,1.0
44.62,39.5056,1.0,1.0,1.0
44.63,38.0,1.0,1.0,1.0
44.64,44.9889,1.0,1.0,1.0
44.65,36.0,1.0,1.0,1.0
44.66,51.0,1.0,1.0,1.0
44.67,34.0111,1.0,1.0,1.0
44.68,55.9889,1.0,1.0,1.0
44.69,46.9889,1.0,1.0,1.0
44.7,39.0111,1.0,1.0,1.0
44.71,59.0111,1.0,1.0,1.0
44.72,61.0,1.0,1.0,1.0
44.73,55.0,1.0,1.0,1.0
44.74,39.4944,1.0,1.0,1.0
44.75,73.5056,1.0,1.0,1.0
44.76,61.4833,1.0,1.0,1.0
