#twotheta, yobs, ycal, bkg, diff
42.0,4.0,1.0,1.0,1.0
42.01,14.0,1.0,1.0,1.0
42.02,5.0,1.0,1.0,1.0
42.03,7.0,1.0,1.0,1.0
42.04,11.0,1.0,1.0,1.0
42.05,2.0,1.0,1.0,1.0
42.06,8.0,1.0,1.0,1.0
42.07,7.4944,1.0,1.0,1.0
42.08,2.5056,1.0,1.0,1.0
42.09,6.0,1.0,1.0,1.0
42.1,6.0,1.0,1.0,1.0
42.11,8.4944,1.0,1.0,1.0
42.12,12.5056,1.0,1.0,1.0
42.13,0.0,1.0,1.0,1.0
42.14,11.0,1.0,1.0,1.0
42.15,7.0,1.0,1.0,1.0
42.16,9.0,1.0,1.0,1.0
42.17,7.0,1.0,1.0,1.0
42.18,14.0,1.0,1.0,1.0
42.19,1.4944,1.0,1.0,1.0
42.2,10.4944,1.0,1.0,1.0
42.21,3.5056,1.0,1.0,1.0
42.22,7.5056,1.0,1.0,1.0
42.23,7.0,1.0,1.0,1.0
42.24,12.0,1.0,1.0,1.0
42.25,9.0,1.0,1.0,1.0
42.26,8.0,1.0,1.0,1.0
42.27,7.0,1.0,1.0,1.0
42.28,7.0,1.0,1.0,1.0
42.29,5.0,1.0,1.0,1.0
42.3,13.0,1.0,1.0,1.0
42.31,12.0,1.0,1.0,1.0
42.32,17.0,1.0,1.0,1.0
42.33,9.0,1.0,1.0,1.0
42.34,2.0,1.0,1.0,1.0
42.35,10.9889,1.0,1.0,1.0
42.36,16.0111,1.0,1.0,1.0
42.37,4.0,1.0,1.0,1.0
42.38,13.0,1.0,1.0,1.0
42.39,11.0,1.0,1.0,1.0
42.4,7.0,1.0,1.0,1.0
42.41,5.0,1.0,1.0,1.0
42.42,11.0,1.0,1.0,1.0
42.43,14.0,1.0,1.0,1.0
42.44,16.0,1.0,1.0,1.0
42.45,16.0,1.0,1.0,1.0
42.46,10.0,1.0,1.0,1.0
42.47,7.0,1.0,1.0,1.0
42.48,5.0,1.0,1.0,1.0
42.49,10.0,1.0,1.0,1.0
42.5,12.0,1.0,1.0,1.0
42.51,12.0,1.0,1.0,1.0
42.52,8.0,1.0,1.0,1.0
42.53,8.0,1.0,1.0,1.0
42.54,0.0,1.0,1.0,1.0
42.55,14.0,1.0,1.0,1.0
42.56,6.9889,1.0,1.0,1.0
42.57,15.0111,1.0,1.0,1.0
42.58,16.4944,1.0,1.0,1.0
42.59,7.0,1.0,1.0,1.0
42.6,16.5056,1.0,1.0,1.0
42.61,4.0,1.0,1.0,1.0
42.62,10.0,1.0,1.0,1.0
42.63,6.0,1.0,1.0,1.0
42.64,7.0,1.0,1.0,1.0
42.65,7.0,1.0,1.0,1.0
42.66,0.0,1.0,1.0,1.0
42.67,13.0,1.0,1.0,1.0
42.68,6.0,1.0,1.0,1.0
42.69,6.0,1.0,1.0,1.0
42.7,0.0,1.0,1.0,1.0
42.71,8.0,1.0,1.0,1.0
42.72,9.0,1.0,1.0,1.0
42.73,14.0,1.0,1.0,1.0
42.74,9.0,1.0,1.0,1.0
42.75,12.0,1.0,1.0,1.0
42.76,10.0,1.0,1.0,1.0
42.77,13.0,1.0,1.0,1.0
42.78,6.0,1.0,1.0,1.0
42.79,13.0,1.0,1.0,1.0
42.8,8.0,1.0,1.0,1.0
42.81,14.4944,1.0,1.0,1.0
42.82,9.5056,1.0,1.0,1.0
42.83,10.0,1.0,1.0,1.0
42.84,12.4944,1.0,1.0,1.0
42.85,6.0,1.0,1.0,1.0
42.86,13.0,1.0,1.0,1.0
42.87,4.5056,1.0,1.0,1.0
42.88,7.4944,1.0,1.0,1.0
42.89,9.5056,1.0,1.0,1.0
42.9,6.0,1.0,1.0,1.0
42.91,12.0,1.0,1.0,1.0
42.92,4.0,1.0,1.0,1.0
42.93,10.0,1.0,1.0,1.0
42.94,13.0,1.0,1.0,1.0
42.95,9.0,1.0,1.0,1.0
42.96,7.0,1.0,1.0,1.0
42.97,0.4944,1.0,1.0,1.0
42.98,14.5056,1.0,1.0,1.0
42.99,5.4944,1.0,1.0,1.0
43.0,2.5056,1.0,1.0,1.0
43.01,7.4944,1.0,1.0,1.0
43.02,5.5056,1.0,1.0,1.0
43.03,7.0,1.0,1.0,1.0
43.04,10.0,1.0,1.0,1.0
43.05,4.0,1.0,1.0,1.0
43.06,0.0,1.0,1.0,1.0
43.07,3.0,1.0,1.0,1.0
43.08,6.0,1.0,1.0,1.0
43.09,7.0,1.0,1.0,1.0
43.1,7.0,1.0,1.0,1.0
43.11,19.0,1.0,1.0,1.0
43.12,11.4944,1.0,1.0,1.0
43.13,14.0,1.0,1.0,1.0
43.14,12.5056,1.0,1.0,1.0
43.15,17.9889,1.0,1.0,1.0
43.16,13.0111,1.0,1.0,1.0
43.17,9.0,1.0,1.0,1.0
43.18,8.0,1.0,1.0,1.0
43.19,18.0,1.0,1.0,1.0
43.2,6.0,1.0,1.0,1.0
43.21,6.0,1.0,1.0,1.0
43.22,9.0,1.0,1.0,1.0
43.23,16.0,1.0,1.0,1.0
43.24,13.0,1.0,1.0,1.0
43.25,4.4944,1.0,1.0,1.0
43.26,6.5056,1.0,1.0,1.0
43.27,2.4944,1.0,1.0,1.0
43.28,8.5056,1.0,1.0,1.0
43.29,11.0,1.0,1.0,1.0
43.3,15.0,1.0,1.0,1.0
43.31,2.0,1.0,1.0,1.0
43.32,10.4944,1.0,1.0,1.0
43.33,10.5056,1.0,1.0,1.0
43.34,11.0,1.0,1.0,1.0
43.35,7.0,1.0,1.0,1.0
43.36,22.0,1.0,1.0,1.0
43.37,14.4944,1.0,1.0,1.0
43.38,9.5056,1.0,1.0,1.0
43.39,0.0,1.0,1.0,1.0
43.4,15.0,1.0,1.0,1.0
43.41,14.0,1.0,1.0,1.0
43.42,13.0,1.0,1.0,1.0
43.43,4.0,1.0,1.0,1.0
43.44,9.4944,1.0,1.0,1.0
43.45,8.5056,1.0,1.0,1.0
43.46,15.0,1.0,1.0,1.0
43.47,11.0,1.0,1.0,1.0
43.48,12.0,1.0,1.0,1.0
43.49,13.0,1.0,1.0,1.0
43.5,8.4944,1.0,1.0,1.0
43.51,27.4944,1.0,1.0,1.0
43.52,17.0111,1.0,1.0,1.0
43.53,8.0,1.0,1.0,1.0
43.54,17.9889,1.0,1.0,1.0
43.55,11.5056,1.0,1.0,1.0
43.56,13.5056,1.0,1.0,1.0
43.57,26.0,1.0,1.0,1.0
43.58,15.0,1.0,1.0,1.0
43.59,8.0,1.0,1.0,1.0
43.6,21.4944,1.0,1.0,1.0
43.61,22.5056,1.0,1.0,1.0
43.62,13.0,1.0,1.0,1.0
43.63,23.9778,1.0,1.0,1.0
43.64,32.0222,1.0,1.0,1.0
43.65,21.0,1.0,1.0,1.0
43.66,19.0,1.0,1.0,1.0
43.67,24.4944,1.0,1.0,1.0
43.68,15.5056,1.0,1.0,1.0
43.69,11.4944,1.0,1.0,1.0
43.7,21.5056,1.0,1.0,1.0
43.71,22.4944,1.0,1.0,1.0
43.72,24.5056,1.0,1.0,1.0
43.73,27.0,1.0,1.0,1.0
43.74,29.4944,1.0,1.0,1.0
43.75,24.0,1.0,1.0,1.0
43.76,31.5056,1.0,1.0,1.0
43.77,24.4833,1.0,1.0,1.0
43.78,40.0111,1.0,1.0,1.0
43.79,42.5056,1.0,1.0,1.0
43.8,22.4944,1.0,1.0,1.0
43.81,17.5056,1.0,1.0,1.0
43.82,22.0,1.0,1.0,1.0
43.83,28.0,1.0,1.0,1.0
43.84,15.0,1.0,1.0,1.0
43.85,21.4944,1.0,1.0,1.0
43.86,24.0,1.0,1.0,1.0
43.87,16.5056,1.0,1.0,1.0
43.88,23.9889,1.0,1.0,1.0
43.89,12.0111,1.0,1.0,1.0
43.9,21.0,1.0,1.0,1.0
43.91,36.9889,1.0,1.0,1.0
43.92,30.0111,1.0,1.0,1.0
43.93,31.0,1.0,1.0,1.0
43.94,30.0,1.0,1.0,1.0
43.95,27.0,1.0,1.0,1.0
43.96,23.0,1.0,1.0,1.0
43.97,35.0,1.0,1.0,1.0
43.98,27.0,1.0,1.0,1.0
43.99,29.0,1.0,1.0,1.0
44.0,41.0,1.0,1.0,1.0
44.01,46.9667,1.0,1.0,1.0
44.02,33.5278,1.0,1.0,1.0
44.03,13.5056,1.0,1.0,1.0
44.04,29.4944,1.0,1.0,1.0
44.05,30.5056,1.0,1.0,1.0
44.06,26.4944,1.0,1.0,1.0
44.07,27.5056,1.0,1.0,1.0
44.08,42.4944,1.0,1.0,1.0
44.09,12.5056,1.0,1.0,1.0
44.1,22.0,1.0,1.0,1.0
44.11,34.0,1.0,1.0,1.0
44.12,23.0,1.0,1.0,1.0
44.13,17.0,1.0,1.0,1.0
44.14,12.0,1.0,1.0,1.0
44.15,22.0,1.0,1.0,1.0
44.16,22.0,1.0,1.0,1.0
44.17,20.9889,1.0,1.0,1.0
44.18,18.0111,1.0,1.0,1.0
44.19,9.0,1.0,1.0,1.0
44.2,36.0,1.0,1.0,1.0
44.21,16.0,1.0,1.0,1.0
44.22,22.0,1.0,1.0,1.0
44.23,17.0,1.0,1.0,1.0
44.24,20.0,1.0,1.0,1.0
44.25,15.0,1.0,1.0,1.0
44.26,16.0,1.0,1.0,1.0
44.27,24.4944,1.0,1.0,1.0
44.28,12.4944,1.0,1.0,1.0
44.29,24.0111,1.0,1.0,1.0
44.3,31.0,1.0,1.0,1.0
44.31,22.0,1.0,1.0,1.0
44.32,26.0,1.0,1.0,1.0
44.33,27.0,1.0,1.0,1.0
44.34,19.0,1.0,1.0,1.0
44.35,34.0,1.0,1.0,1.0
44.36,10.0,1.0,1.0,1.0
44.37,31.0,1.0,1.0,1.0
44.38,62.0,1.0,1.0,1.0
44.39,25.0,1.0,1.0,1.0
44.4,34.0,1.0,1.0,1.0
44.41,26.0,1.0,1.0,1.0
44.42,32.4944,1.0,1.0,1.0
44.43,49.5056,1.0,1.0,1.0
44.44,33.4833,1.0,1.0,1.0
44.45,23.5167,1.0,1.0,1.0
44.46,45.0,1.0,1.0,1.0
44.47,28.0,1.0,1.0,1.0
44.48,34.0,1.0,1.0,1.0
44.49,44.4944,1.0,1.0,1.0
44.5,30.4944,1.0,1.0,1.0
44.51,30.5056,1.0,1.0,1.0
44.52,46.0,1.0,1.0,1.0
44.53,40.5056,1.0,1.0,1.0
44.54,32.9778,1.0,1.0,1.0
44.55,38.5167,1.0,1.0,1.0
44.56,51.5056,1.0,1.0,1.0
44.57,35.4944,1.0,1.0,1.0
44.58,45.5056,1.0,1.0,1.0
44.59,37.4944,1.0,1.0,1.0
44.6,40.0,1.0,1.0,1.0
44.61,32.5056,1.0,1.0,1.0
44.62,44.9889,1.0,1.0,1.0
44.63,41.0111,1.0,1.0,1.0
44.64,55.4944,1.0,1.0,1.0
44.65,50.5056,1.0,1.0,1.0
44.66,61.9889,1.0,1.0,1.0
44.67,73.5056,1.0,1.0,1.0
44.68,58.4944,1.0,1.0,1.0
44.69,76.5056,1.0,1.0,1.0
44.7,63.5056,1.0,1.0,1.0
44.71,69.9889,1.0,1.0,1.0
44.72,57.0111,1.0,1.0,1.0
44.73,86.4944,1.0,1.0,1.0
44.74,78.0,1.0,1.0,1.0
44.75,73.0,1.0,1.0,1.0
44.76,75.9889,1.0,1.0,1.0
44.77,88.0111,1.0,1.0,1.0
44.78,82.4722,1.0,1.0,1.0
44.79,100.0333,1.0,1.0,1.0
44.8,79.9778,1.0,1.0,1.0
44.81,112.0111,1.0,1.0,1.0
44.82,125.4833,1.0,1.0,1.0
44.83,140.0222,1.0,1.0,1.0
44.84,123.5056,1.0,1.0,1.0
44.85,148.4722,1.0,1.0,1.0
44.86,162.4944,1.0,1.0,1.0
44.87,193.0,1.0,1.0,1.0
44.88,159.5278,1.0,1.0,1.0
44.89,176.4944,1.0,1.0,1.0
44.9,190.5056,1.0,1.0,1.0
44.91,197.4722,1.0,1.0,1.0
44.92,200.5056,1.0,1.0,1.0
44.93,228.0,1.0,1.0,1.0
44.94,241.9889,1.0,1.0,1.0
44.95,267.0,1.0,1.0,1.0
44.96,245.5167,1.0,1.0,1.0
44.97,275.9889,1.0,1.0,1.0
44.98,336.9778,1.0,1.0,1.0
44.99,355.0222,1.0,1.0,1.0
45.0,308.0111,1.0,1.0,1.0
45.01,367.0,1.0,1.0,1.0
45.02,373.9778,1.0,1.0,1.0
45.03,416.9667,1.0,1.0,1.0
45.04,461.0333,1.0,1.0,1.0
45.05,425.0222,1.0,1.0,1.0
45.06,471.0111,1.0,1.0,1.0
45.07,547.45,1.0,1.0,1.0
45.08,543.0111,1.0,1.0,1.0
45.09,533.4722,1.0,1.0,1.0
45.1,598.5278,1.0,1.0,1.0
45.11,540.9889,1.0,1.0,1.0
45.12,553.4944,1.0,1.0,1.0
45.13,550.0111,1.0,1.0,1.0
45.14,517.4833,1.0,1.0,1.0
45.15,544.5278,1.0,1.0,1.0
45.16,559.9556,1.0,1.0,1.0
45.17,559.5167,1.0,1.0,1.0
45.18,486.5056,1.0,1.0,1.0
45.19,540.0222,1.0,1.0,1.0
45.2,536.4944,1.0,1.0,1.0
45.21,527.4944,1.0,1.0,1.0
45.22,528.0,1.0,1.0,1.0
45.23,533.4944,1.0,1.0,1.0
45.24,524.0111,1.0,1.0,1.0
45.25,589.4944,1.0,1.0,1.0
45.26,540.0333,1.0,1.0,1.0
45.27,536.4722,1.0,1.0,1.0
45.28,521.9889,1.0,1.0,1.0
45.29,582.0222,1.0,1.0,1.0
45.3,560.4944,1.0,1.0,1.0
45.31,571.9222,1.0,1.0,1.0
45.32,593.5833,1.0,1.0,1.0
45.33,637.9889,1.0,1.0,1.0
45.34,722.9556,1.0,1.0,1.0
45.35,675.55,1.0,1.0,1.0
45.36,767.45,1.0,1.0,1.0
45.37,803.0,1.0,1.0,1.0
45.38,913.4611,1.0,1.0,1.0
45.39,998.5167,1.0,1.0,1.0
45.4,1054.4611,1.0,1.0,1.0
45.41,1114.0778,1.0,1.0,1.0
45.42,1179.9222,1.0,1.0,1.0
45.43,1300.0333,1.0,1.0,1.0
45.44,1266.9556,1.0,1.0,1.0
45.45,1401.5723,1.0,1.0,1.0
45.46,1405.9445,1.0,1.0,1.0
45.47,1469.0,1.0,1.0,1.0
45.48,1470.0222,1.0,1.0,1.0
45.49,1511.4722,1.0,1.0,1.0
45.5,1562.45,1.0,1.0,1.0
45.51,1638.5278,1.0,1.0,1.0
45.52,1644.5056,1.0,1.0,1.0
45.53,1564.4722,1.0,1.0,1.0
45.54,1693.4944,1.0,1.0,1.0
45.55,1687.0,1.0,1.0,1.0
45.56,1818.5278,1.0,1.0,1.0
45.57,1848.5167,1.0,1.0,1.0
45.58,2058.9666,1.0,1.0,1.0
45.59,1967.4388,1.0,1.0,1.0
45.6,2033.9889,1.0,1.0,1.0
45.61,2226.5723,1.0,1.0,1.0
45.62,2399.4612,1.0,1.0,1.0
45.63,2433.5056,1.0,1.0,1.0
45.64,2568.9221,1.0,1.0,1.0
45.65,2669.0334,1.0,1.0,1.0
45.66,2728.439,1.0,1.0,1.0
45.67,2836.4944,1.0,1.0,1.0
45.68,3015.9333,1.0,1.0,1.0
45.69,3139.6277,1.0,1.0,1.0
45.7,3077.4944,1.0,1.0,1.0
45.71,3183.9778,1.0,1.0,1.0
45.72,3238.439,1.0,1.0,1.0
45.73,3471.5166,1.0,1.0,1.0
45.74,3472.4612,1.0,1.0,1.0
45.75,3460.4722,1.0,1.0,1.0
45.76,3478.9666,1.0,1.0,1.0
45.77,3630.5833,1.0,1.0,1.0
45.78,3793.8445,1.0,1.0,1.0
45.79,3882.5833,1.0,1.0,1.0
45.8,4096.4058,1.0,1.0,1.0
45.81,4238.0444,1.0,1.0,1.0
45.82,4531.5835,1.0,1.0,1.0
45.83,4480.3721,1.0,1.0,1.0
45.84,4676.5391,1.0,1.0,1.0
45.85,4887.8887,1.0,1.0,1.0
45.86,4929.0332,1.0,1.0,1.0
45.87,4953.5278,1.0,1.0,1.0
45.88,5047.9888,1.0,1.0,1.0
45.89,5377.5166,1.0,1.0,1.0
45.9,5186.1001,1.0,1.0,1.0
45.91,5334.811,1.0,1.0,1.0
45.92,5484.5166,1.0,1.0,1.0
45.93,5278.5391,1.0,1.0,1.0
45.94,5253.5391,1.0,1.0,1.0
45.95,5276.4834,1.0,1.0,1.0
45.96,5423.4058,1.0,1.0,1.0
45.97,5431.0776,1.0,1.0,1.0
45.98,5398.8999,1.0,1.0,1.0
45.99,5408.0225,1.0,1.0,1.0
