#twotheta, yobs, ycal, bkg, diff
16.0,35.0,1.0,1.0,1.0
16.01,45.4976,1.0,1.0,1.0
16.02,40.5024,1.0,1.0,1.0
16.03,39.0,1.0,1.0,1.0
16.04,50.9984,1.0,1.0,1.0
16.05,38.0,1.0,1.0,1.0
16.06,57.0016,1.0,1.0,1.0
16.07,47.0,1.0,1.0,1.0
16.08,29.0,1.0,1.0,1.0
16.09,34.9984,1.0,1.0,1.0
16.1,37.5008,1.0,1.0,1.0
16.11,42.0,1.0,1.0,1.0
16.12,42.9984,1.0,1.0,1.0
16.13,38.5024,1.0,1.0,1.0
16.14,48.4992,1.0,1.0,1.0
16.15,45.5008,1.0,1.0,1.0
16.16,37.4992,1.0,1.0,1.0
16.17,41.5008,1.0,1.0,1.0
16.18,49.0,1.0,1.0,1.0
16.19,33.0,1.0,1.0,1.0
16.2,31.4992,1.0,1.0,1.0
16.21,28.4992,1.0,1.0,1.0
16.22,48.5008,1.0,1.0,1.0
16.23,33.0,1.0,1.0,1.0
16.24,33.5008,1.0,1.0,1.0
16.25,46.4992,1.0,1.0,1.0
16.26,27.4992,1.0,1.0,1.0
16.27,44.0016,1.0,1.0,1.0
16.28,49.0,1.0,1.0,1.0
16.29,44.4992,1.0,1.0,1.0
16.3,50.0,1.0,1.0,1.0
16.31,46.5008,1.0,1.0,1.0
16.32,14.9984,1.0,1.0,1.0
16.33,29.0016,1.0,1.0,1.0
16.34,42.4992,1.0,1.0,1.0
16.35,35.0,1.0,1.0,1.0
16.36,35.4992,1.0,1.0,1.0
16.37,43.0016,1.0,1.0,1.0
16.38,33.4992,1.0,1.0,1.0
16.39,42.5008,1.0,1.0,1.0
16.4,49.9984,1.0,1.0,1.0
16.41,40.4992,1.0,1.0,1.0
16.42,38.5024,1.0,1.0,1.0
16.43,49.0,1.0,1.0,1.0
16.44,44.0,1.0,1.0,1.0
16.45,41.4992,1.0,1.0,1.0
16.46,37.5008,1.0,1.0,1.0
16.47,21.9984,1.0,1.0,1.0
16.48,38.5008,1.0,1.0,1.0
16.49,53.0,1.0,1.0,1.0
16.5,45.9984,1.0,1.0,1.0
16.51,43.0016,1.0,1.0,1.0
16.52,37.4992,1.0,1.0,1.0
16.53,40.0016,1.0,1.0,1.0
16.54,42.0,1.0,1.0,1.0
16.55,36.9984,1.0,1.0,1.0
16.56,45.0,1.0,1.0,1.0
16.57,28.0016,1.0,1.0,1.0
16.58,32.4992,1.0,1.0,1.0
16.59,34.4992,1.0,1.0,1.0
16.6,46.0,1.0,1.0,1.0
16.61,33.0016,1.0,1.0,1.0
16.62,50.0,1.0,1.0,1.0
16.63,45.4976,1.0,1.0,1.0
16.64,43.5024,1.0,1.0,1.0
16.65,36.4992,1.0,1.0,1.0
16.66,32.5008,1.0,1.0,1.0
16.67,48.0,1.0,1.0,1.0
16.68,56.4992,1.0,1.0,1.0
16.69,44.5008,1.0,1.0,1.0
16.7,47.9969,1.0,1.0,1.0
16.71,36.0016,1.0,1.0,1.0
16.72,57.0,1.0,1.0,1.0
16.73,51.0,1.0,1.0,1.0
16.74,56.5008,1.0,1.0,1.0
16.75,40.5008,1.0,1.0,1.0
16.76,41.0,1.0,1.0,1.0
16.77,43.4992,1.0,1.0,1.0
16.78,62.5008,1.0,1.0,1.0
16.79,42.4992,1.0,1.0,1.0
16.8,33.5008,1.0,1.0,1.0
16.81,51.4976,1.0,1.0,1.0
16.82,52.5024,1.0,1.0,1.0
16.83,32.0,1.0,1.0,1.0
16.84,64.4992,1.0,1.0,1.0
16.85,40.5008,1.0,1.0,1.0
16.86,45.0,1.0,1.0,1.0
16.87,33.0,1.0,1.0,1.0
16.88,50.0,1.0,1.0,1.0
16.89,55.4992,1.0,1.0,1.0
16.9,33.5008,1.0,1.0,1.0
16.91,40.0,1.0,1.0,1.0
16.92,31.0,1.0,1.0,1.0
16.93,39.0,1.0,1.0,1.0
16.94,43.9984,1.0,1.0,1.0
16.95,55.5008,1.0,1.0,1.0
16.96,30.5008,1.0,1.0,1.0
