#twotheta, yobs, ycal, bkg, diff
17.0,28.008,1.0,1.0,1.0
17.01,62.992,1.0,1.0,1.0
17.02,45.0,1.0,1.0,1.0
17.03,45.008,1.0,1.0,1.0
17.04,34.496,1.0,1.0,1.0
17.05,40.496,1.0,1.0,1.0
17.06,51.0,1.0,1.0,1.0
17.07,45.504,1.0,1.0,1.0
17.08,58.496,1.0,1.0,1.0
17.09,39.008,1.0,1.0,1.0
17.1,67.504,1.0,1.0,1.0
17.11,32.992,1.0,1.0,1.0
17.12,48.504,1.0,1.0,1.0
17.13,55.496,1.0,1.0,1.0
17.14,58.0,1.0,1.0,1.0
17.15,36.0,1.0,1.0,1.0
17.16,34.0,1.0,1.0,1.0
17.17,25.496,1.0,1.0,1.0
17.18,44.008,1.0,1.0,1.0
17.19,53.0,1.0,1.0,1.0
17.2,42.992,1.0,1.0,1.0
17.21,40.504,1.0,1.0,1.0
17.22,37.0,1.0,1.0,1.0
17.23,60.504,1.0,1.0,1.0
17.24,42.504,1.0,1.0,1.0
17.25,47.504,1.0,1.0,1.0
17.26,41.9841,1.0,1.0,1.0
17.27,47.504,1.0,1.0,1.0
17.28,35.504,1.0,1.0,1.0
17.29,42.992,1.0,1.0,1.0
17.3,31.504,1.0,1.0,1.0
17.31,54.0,1.0,1.0,1.0
17.32,55.0,1.0,1.0,1.0
17.33,47.496,1.0,1.0,1.0
17.34,40.0,1.0,1.0,1.0
17.35,56.504,1.0,1.0,1.0
17.36,33.496,1.0,1.0,1.0
17.37,60.0,1.0,1.0,1.0
17.38,53.0,1.0,1.0,1.0
17.39,65.0,1.0,1.0,1.0
17.4,56.504,1.0,1.0,1.0
17.41,28.496,1.0,1.0,1.0
17.42,52.504,1.0,1.0,1.0
17.43,54.496,1.0,1.0,1.0
17.44,37.504,1.0,1.0,1.0
17.45,50.504,1.0,1.0,1.0
17.46,51.496,1.0,1.0,1.0
17.47,30.496,1.0,1.0,1.0
17.48,39.504,1.0,1.0,1.0
17.49,46.0,1.0,1.0,1.0
17.5,59.504,1.0,1.0,1.0
17.51,49.992,1.0,1.0,1.0
17.52,42.0,1.0,1.0,1.0
17.53,55.0,1.0,1.0,1.0
17.54,35.008,1.0,1.0,1.0
17.55,36.992,1.0,1.0,1.0
17.56,41.504,1.0,1.0,1.0
17.57,65.496,1.0,1.0,1.0
17.58,49.504,1.0,1.0,1.0
17.59,54.496,1.0,1.0,1.0
17.6,38.008,1.0,1.0,1.0
17.61,34.992,1.0,1.0,1.0
17.62,51.5119,1.0,1.0,1.0
17.63,55.992,1.0,1.0,1.0
17.64,47.496,1.0,1.0,1.0
17.65,67.504,1.0,1.0,1.0
17.66,44.496,1.0,1.0,1.0
17.67,40.504,1.0,1.0,1.0
17.68,43.496,1.0,1.0,1.0
17.69,47.0,1.0,1.0,1.0
17.7,50.0,1.0,1.0,1.0
17.71,60.0,1.0,1.0,1.0
17.72,53.504,1.0,1.0,1.0
17.73,44.496,1.0,1.0,1.0
17.74,48.008,1.0,1.0,1.0
17.75,48.0,1.0,1.0,1.0
17.76,74.496,1.0,1.0,1.0
17.77,55.504,1.0,1.0,1.0
17.78,38.504,1.0,1.0,1.0
17.79,44.4881,1.0,1.0,1.0
17.8,22.0159,1.0,1.0,1.0
17.81,52.992,1.0,1.0,1.0
17.82,62.992,1.0,1.0,1.0
17.83,46.008,1.0,1.0,1.0
17.84,47.496,1.0,1.0,1.0
17.85,45.504,1.0,1.0,1.0
17.86,56.992,1.0,1.0,1.0
17.87,38.0,1.0,1.0,1.0
17.88,69.008,1.0,1.0,1.0
17.89,42.992,1.0,1.0,1.0
17.9,45.008,1.0,1.0,1.0
17.91,50.0,1.0,1.0,1.0
17.92,52.0,1.0,1.0,1.0
17.93,50.992,1.0,1.0,1.0
17.94,35.504,1.0,1.0,1.0
17.95,51.0,1.0,1.0,1.0
17.96,49.0,1.0,1.0,1.0
17.97,25.496,1.0,1.0,1.0
17.98,35.008,1.0,1.0,1.0
17.99,47.496,1.0,1.0,1.0
18.0,31.0,1.0,1.0,1.0
18.01,52.008,1.0,1.0,1.0
18.02,46.4881,1.0,1.0,1.0
18.03,44.0,1.0,1.0,1.0
18.04,39.0,1.0,1.0,1.0
18.05,32.0,1.0,1.0,1.0
18.06,26.504,1.0,1.0,1.0
18.07,39.504,1.0,1.0,1.0
18.08,56.496,1.0,1.0,1.0
18.09,47.0,1.0,1.0,1.0
18.1,64.496,1.0,1.0,1.0
18.11,40.504,1.0,1.0,1.0
18.12,52.0,1.0,1.0,1.0
18.13,47.496,1.0,1.0,1.0
18.14,46.504,1.0,1.0,1.0
18.15,80.0,1.0,1.0,1.0
18.16,47.496,1.0,1.0,1.0
18.17,65.0,1.0,1.0,1.0
18.18,46.0,1.0,1.0,1.0
