#twotheta, yobs, ycal, bkg, diff
42.0,60.0,1.0,1.0,1.0
42.01,67.0111,1.0,1.0,1.0
42.02,68.4944,1.0,1.0,1.0
42.03,74.0,1.0,1.0,1.0
42.04,65.4833,1.0,1.0,1.0
42.05,61.0222,1.0,1.0,1.0
42.06,73.0,1.0,1.0,1.0
42.07,58.9889,1.0,1.0,1.0
42.08,77.0,1.0,1.0,1.0
42.09,41.0111,1.0,1.0,1.0
42.1,68.0,1.0,1.0,1.0
42.11,61.0,1.0,1.0,1.0
42.12,55.0,1.0,1.0,1.0
42.13,64.4944,1.0,1.0,1.0
42.14,50.0,1.0,1.0,1.0
42.15,66.0,1.0,1.0,1.0
42.16,39.5056,1.0,1.0,1.0
42.17,68.0,1.0,1.0,1.0
42.18,64.9889,1.0,1.0,1.0
42.19,62.0111,1.0,1.0,1.0
42.2,74.0,1.0,1.0,1.0
42.21,79.4944,1.0,1.0,1.0
42.22,64.4944,1.0,1.0,1.0
42.23,71.5056,1.0,1.0,1.0
42.24,50.0,1.0,1.0,1.0
42.25,63.5056,1.0,1.0,1.0
42.26,51.9778,1.0,1.0,1.0
42.27,52.0222,1.0,1.0,1.0
42.28,55.9889,1.0,1.0,1.0
42.29,72.5056,1.0,1.0,1.0
42.3,58.0,1.0,1.0,1.0
42.31,42.4944,1.0,1.0,1.0
42.32,73.4833,1.0,1.0,1.0
42.33,68.5278,1.0,1.0,1.0
42.34,59.4944,1.0,1.0,1.0
42.35,67.0,1.0,1.0,1.0
42.36,78.5056,1.0,1.0,1.0
42.37,64.0,1.0,1.0,1.0
42.38,66.4944,1.0,1.0,1.0
42.39,60.0,1.0,1.0,1.0
42.4,57.5056,1.0,1.0,1.0
42.41,49.4944,1.0,1.0,1.0
42.42,63.5056,1.0,1.0,1.0
42.43,77.0,1.0,1.0,1.0
42.44,68.9778,1.0,1.0,1.0
42.45,62.5167,1.0,1.0,1.0
42.46,79.4944,1.0,1.0,1.0
42.47,55.0111,1.0,1.0,1.0
42.48,74.0,1.0,1.0,1.0
42.49,71.4944,1.0,1.0,1.0
42.5,61.5056,1.0,1.0,1.0
42.51,62.0,1.0,1.0,1.0
42.52,76.4944,1.0,1.0,1.0
42.53,80.9889,1.0,1.0,1.0
42.54,60.0111,1.0,1.0,1.0
42.55,63.0,1.0,1.0,1.0
42.56,57.0,1.0,1.0,1.0
42.57,61.9889,1.0,1.0,1.0
42.58,91.5167,1.0,1.0,1.0
42.59,54.4944,1.0,1.0,1.0
42.6,63.5056,1.0,1.0,1.0
42.61,78.4944,1.0,1.0,1.0
42.62,76.0,1.0,1.0,1.0
42.63,55.4944,1.0,1.0,1.0
42.64,76.5056,1.0,1.0,1.0
42.65,68.0,1.0,1.0,1.0
42.66,78.5056,1.0,1.0,1.0
42.67,70.9889,1.0,1.0,1.0
42.68,61.5056,1.0,1.0,1.0
42.69,75.0,1.0,1.0,1.0
42.7,65.0,1.0,1.0,1.0
42.71,68.4833,1.0,1.0,1.0
42.72,74.0,1.0,1.0,1.0
42.73,91.0111,1.0,1.0,1.0
42.74,70.5056,1.0,1.0,1.0
42.75,69.0,1.0,1.0,1.0
42.76,86.9889,1.0,1.0,1.0
42.77,64.5056,1.0,1.0,1.0
42.78,82.4944,1.0,1.0,1.0
42.79,52.0111,1.0,1.0,1.0
42.8,70.5056,1.0,1.0,1.0
42.81,65.9889,1.0,1.0,1.0
42.82,75.5056,1.0,1.0,1.0
42.83,60.0,1.0,1.0,1.0
42.84,78.0,1.0,1.0,1.0
42.85,67.9889,1.0,1.0,1.0
42.86,84.0111,1.0,1.0,1.0
42.87,73.5056,1.0,1.0,1.0
42.88,62.4944,1.0,1.0,1.0
42.89,67.4833,1.0,1.0,1.0
42.9,101.5167,1.0,1.0,1.0
42.91,69.4944,1.0,1.0,1.0
42.92,70.0111,1.0,1.0,1.0
42.93,78.9889,1.0,1.0,1.0
42.94,80.5056,1.0,1.0,1.0
42.95,82.4944,1.0,1.0,1.0
42.96,70.0111,1.0,1.0,1.0
42.97,86.9889,1.0,1.0,1.0
42.98,78.0111,1.0,1.0,1.0
42.99,71.0,1.0,1.0,1.0
43.0,52.4944,1.0,1.0,1.0
43.01,68.4944,1.0,1.0,1.0
43.02,91.0,1.0,1.0,1.0
43.03,75.5056,1.0,1.0,1.0
43.04,62.4833,1.0,1.0,1.0
43.05,93.5167,1.0,1.0,1.0
43.06,81.5056,1.0,1.0,1.0
43.07,73.4944,1.0,1.0,1.0
43.08,73.0,1.0,1.0,1.0
43.09,75.0,1.0,1.0,1.0
43.1,77.9778,1.0,1.0,1.0
43.11,62.0111,1.0,1.0,1.0
43.12,98.0,1.0,1.0,1.0
43.13,68.5167,1.0,1.0,1.0
43.14,61.4833,1.0,1.0,1.0
43.15,70.5167,1.0,1.0,1.0
43.16,78.0,1.0,1.0,1.0
43.17,78.4944,1.0,1.0,1.0
43.18,80.0,1.0,1.0,1.0
43.19,76.4833,1.0,1.0,1.0
43.2,73.5056,1.0,1.0,1.0
43.21,74.4944,1.0,1.0,1.0
43.22,67.5056,1.0,1.0,1.0
43.23,42.5167,1.0,1.0,1.0
43.24,72.0,1.0,1.0,1.0
43.25,69.9889,1.0,1.0,1.0
43.26,87.5056,1.0,1.0,1.0
43.27,71.4944,1.0,1.0,1.0
43.28,82.0111,1.0,1.0,1.0
43.29,80.4833,1.0,1.0,1.0
43.3,54.5167,1.0,1.0,1.0
43.31,73.9889,1.0,1.0,1.0
43.32,75.0111,1.0,1.0,1.0
43.33,85.4833,1.0,1.0,1.0
43.34,86.5056,1.0,1.0,1.0
43.35,64.4944,1.0,1.0,1.0
43.36,80.4944,1.0,1.0,1.0
43.37,78.0111,1.0,1.0,1.0
43.38,71.0111,1.0,1.0,1.0
43.39,77.0,1.0,1.0,1.0
43.4,61.4944,1.0,1.0,1.0
43.41,70.0,1.0,1.0,1.0
43.42,68.5056,1.0,1.0,1.0
43.43,66.9889,1.0,1.0,1.0
43.44,74.5056,1.0,1.0,1.0
43.45,93.5056,1.0,1.0,1.0
43.46,75.0,1.0,1.0,1.0
43.47,65.0,1.0,1.0,1.0
43.48,74.9889,1.0,1.0,1.0
43.49,64.5056,1.0,1.0,1.0
43.5,68.5056,1.0,1.0,1.0
43.51,77.9889,1.0,1.0,1.0
43.52,83.0,1.0,1.0,1.0
43.53,83.0,1.0,1.0,1.0
43.54,105.0,1.0,1.0,1.0
43.55,88.4833,1.0,1.0,1.0
43.56,94.5278,1.0,1.0,1.0
43.57,92.0,1.0,1.0,1.0
43.58,80.9889,1.0,1.0,1.0
43.59,80.5056,1.0,1.0,1.0
43.6,84.0,1.0,1.0,1.0
43.61,73.0,1.0,1.0,1.0
43.62,86.5056,1.0,1.0,1.0
43.63,72.4944,1.0,1.0,1.0
43.64,72.4944,1.0,1.0,1.0
43.65,59.4944,1.0,1.0,1.0
43.66,87.0,1.0,1.0,1.0
43.67,77.5056,1.0,1.0,1.0
43.68,102.5056,1.0,1.0,1.0
43.69,107.4722,1.0,1.0,1.0
43.7,67.5167,1.0,1.0,1.0
43.71,76.0111,1.0,1.0,1.0
43.72,92.5056,1.0,1.0,1.0
43.73,86.0,1.0,1.0,1.0
43.74,101.9778,1.0,1.0,1.0
43.75,104.0222,1.0,1.0,1.0
43.76,102.9889,1.0,1.0,1.0
43.77,97.4944,1.0,1.0,1.0
43.78,83.0,1.0,1.0,1.0
43.79,105.0,1.0,1.0,1.0
43.8,98.5167,1.0,1.0,1.0
43.81,106.4722,1.0,1.0,1.0
43.82,125.0,1.0,1.0,1.0
43.83,93.5167,1.0,1.0,1.0
43.84,95.0111,1.0,1.0,1.0
43.85,114.9889,1.0,1.0,1.0
43.86,100.4833,1.0,1.0,1.0
43.87,121.0222,1.0,1.0,1.0
43.88,84.0,1.0,1.0,1.0
43.89,104.4833,1.0,1.0,1.0
43.9,121.5167,1.0,1.0,1.0
43.91,78.0,1.0,1.0,1.0
43.92,109.9889,1.0,1.0,1.0
43.93,94.0,1.0,1.0,1.0
43.94,86.0111,1.0,1.0,1.0
43.95,108.0,1.0,1.0,1.0
43.96,107.4944,1.0,1.0,1.0
43.97,86.9889,1.0,1.0,1.0
43.98,86.0111,1.0,1.0,1.0
43.99,121.5056,1.0,1.0,1.0
44.0,127.0,1.0,1.0,1.0
44.01,87.5056,1.0,1.0,1.0
44.02,109.0,1.0,1.0,1.0
44.03,86.0,1.0,1.0,1.0
44.04,93.0,1.0,1.0,1.0
44.05,94.0,1.0,1.0,1.0
44.06,128.9778,1.0,1.0,1.0
44.07,102.5167,1.0,1.0,1.0
44.08,117.4833,1.0,1.0,1.0
44.09,100.0111,1.0,1.0,1.0
44.1,119.5056,1.0,1.0,1.0
44.11,99.0,1.0,1.0,1.0
44.12,99.9889,1.0,1.0,1.0
44.13,128.5056,1.0,1.0,1.0
44.14,112.0111,1.0,1.0,1.0
44.15,152.9778,1.0,1.0,1.0
44.16,108.0111,1.0,1.0,1.0
44.17,100.4833,1.0,1.0,1.0
44.18,138.0111,1.0,1.0,1.0
44.19,147.4944,1.0,1.0,1.0
44.2,130.5167,1.0,1.0,1.0
44.21,126.4944,1.0,1.0,1.0
44.22,130.9778,1.0,1.0,1.0
44.23,142.0111,1.0,1.0,1.0
44.24,136.0111,1.0,1.0,1.0
44.25,130.5056,1.0,1.0,1.0
44.26,128.4944,1.0,1.0,1.0
44.27,146.4944,1.0,1.0,1.0
44.28,148.0,1.0,1.0,1.0
