#twotheta, yobs, ycal, bkg, diff
38.0,21.5056,1.0,1.0,1.0
38.01,35.5056,1.0,1.0,1.0
38.02,31.4944,1.0,1.0,1.0
38.03,25.5056,1.0,1.0,1.0
38.04,24.0,1.0,1.0,1.0
38.05,8.4944,1.0,1.0,1.0
38.06,28.5056,1.0,1.0,1.0
38.07,38.0,1.0,1.0,1.0
38.08,41.4944,1.0,1.0,1.0
38.09,18.0,1.0,1.0,1.0
38.1,25.5056,1.0,1.0,1.0
38.11,25.9889,1.0,1.0,1.0
38.12,39.0111,1.0,1.0,1.0
38.13,27.0,1.0,1.0,1.0
38.14,17.0,1.0,1.0,1.0
38.15,18.0,1.0,1.0,1.0
38.16,38.0,1.0,1.0,1.0
38.17,19.9889,1.0,1.0,1.0
38.18,32.0111,1.0,1.0,1.0
38.19,28.0,1.0,1.0,1.0
38.2,40.0,1.0,1.0,1.0
38.21,20.0,1.0,1.0,1.0
38.22,29.0,1.0,1.0,1.0
38.23,29.0,1.0,1.0,1.0
38.24,38.4944,1.0,1.0,1.0
38.25,46.5056,1.0,1.0,1.0
38.26,26.0,1.0,1.0,1.0
38.27,25.4944,1.0,1.0,1.0
38.28,64.4944,1.0,1.0,1.0
38.29,29.0111,1.0,1.0,1.0
38.3,21.0,1.0,1.0,1.0
38.31,32.9889,1.0,1.0,1.0
38.32,38.0,1.0,1.0,1.0
38.33,32.0111,1.0,1.0,1.0
38.34,30.0,1.0,1.0,1.0
38.35,36.4944,1.0,1.0,1.0
38.36,23.5056,1.0,1.0,1.0
38.37,38.0,1.0,1.0,1.0
38.38,41.0,1.0,1.0,1.0
38.39,36.0,1.0,1.0,1.0
38.4,28.0,1.0,1.0,1.0
38.41,32.0,1.0,1.0,1.0
38.42,30.0,1.0,1.0,1.0
38.43,25.0,1.0,1.0,1.0
38.44,19.9889,1.0,1.0,1.0
38.45,36.0,1.0,1.0,1.0
38.46,30.0111,1.0,1.0,1.0
38.47,27.9889,1.0,1.0,1.0
38.48,33.0111,1.0,1.0,1.0
38.49,35.0,1.0,1.0,1.0
38.5,23.4944,1.0,1.0,1.0
38.51,22.5056,1.0,1.0,1.0
38.52,33.0,1.0,1.0,1.0
38.53,26.9889,1.0,1.0,1.0
38.54,35.5056,1.0,1.0,1.0
38.55,28.5056,1.0,1.0,1.0
38.56,33.4944,1.0,1.0,1.0
38.57,42.0,1.0,1.0,1.0
38.58,32.4944,1.0,1.0,1.0
38.59,47.0111,1.0,1.0,1.0
38.6,39.4944,1.0,1.0,1.0
38.61,29.5056,1.0,1.0,1.0
38.62,19.9889,1.0,1.0,1.0
38.63,45.0111,1.0,1.0,1.0
38.64,31.0,1.0,1.0,1.0
38.65,39.0,1.0,1.0,1.0
38.66,30.0,1.0,1.0,1.0
38.67,38.0,1.0,1.0,1.0
38.68,45.0,1.0,1.0,1.0
38.69,23.4944,1.0,1.0,1.0
38.7,47.5056,1.0,1.0,1.0
38.71,20.4944,1.0,1.0,1.0
38.72,38.5056,1.0,1.0,1.0
38.73,46.4944,1.0,1.0,1.0
38.74,36.0,1.0,1.0,1.0
38.75,25.5056,1.0,1.0,1.0
38.76,40.9889,1.0,1.0,1.0
38.77,40.0,1.0,1.0,1.0
38.78,37.0111,1.0,1.0,1.0
38.79,26.0,1.0,1.0,1.0
38.8,37.4944,1.0,1.0,1.0
38.81,31.4944,1.0,1.0,1.0
38.82,31.0111,1.0,1.0,1.0
38.83,55.0,1.0,1.0,1.0
38.84,49.0,1.0,1.0,1.0
38.85,32.9889,1.0,1.0,1.0
38.86,31.5056,1.0,1.0,1.0
38.87,49.4944,1.0,1.0,1.0
38.88,46.0111,1.0,1.0,1.0
38.89,34.4944,1.0,1.0,1.0
38.9,31.0,1.0,1.0,1.0
38.91,22.5056,1.0,1.0,1.0
38.92,31.0,1.0,1.0,1.0
38.93,26.0,1.0,1.0,1.0
38.94,30.0,1.0,1.0,1.0
38.95,17.4944,1.0,1.0,1.0
38.96,28.0,1.0,1.0,1.0
38.97,23.5056,1.0,1.0,1.0
38.98,24.4944,1.0,1.0,1.0
38.99,26.0,1.0,1.0,1.0
39.0,31.0,1.0,1.0,1.0
39.01,36.5056,1.0,1.0,1.0
39.02,43.4944,1.0,1.0,1.0
39.03,30.5056,1.0,1.0,1.0
39.04,25.0,1.0,1.0,1.0
39.05,32.9889,1.0,1.0,1.0
39.06,40.0111,1.0,1.0,1.0
39.07,24.0,1.0,1.0,1.0
39.08,43.9889,1.0,1.0,1.0
39.09,36.0111,1.0,1.0,1.0
39.1,38.4944,1.0,1.0,1.0
39.11,78.5056,1.0,1.0,1.0
39.12,25.0,1.0,1.0,1.0
39.13,46.9889,1.0,1.0,1.0
39.14,35.5056,1.0,1.0,1.0
39.15,10.0,1.0,1.0,1.0
39.16,43.5056,1.0,1.0,1.0
39.17,24.0,1.0,1.0,1.0
39.18,24.0,1.0,1.0,1.0
39.19,15.9889,1.0,1.0,1.0
39.2,35.0111,1.0,1.0,1.0
39.21,27.0,1.0,1.0,1.0
39.22,30.0,1.0,1.0,1.0
39.23,43.0,1.0,1.0,1.0
39.24,23.0,1.0,1.0,1.0
39.25,30.0,1.0,1.0,1.0
39.26,32.4944,1.0,1.0,1.0
39.27,19.5056,1.0,1.0,1.0
39.28,17.0,1.0,1.0,1.0
39.29,28.0,1.0,1.0,1.0
39.3,33.0,1.0,1.0,1.0
39.31,23.0,1.0,1.0,1.0
39.32,27.0,1.0,1.0,1.0
39.33,31.0,1.0,1.0,1.0
39.34,30.0,1.0,1.0,1.0
39.35,36.9889,1.0,1.0,1.0
39.36,15.0111,1.0,1.0,1.0
39.37,25.0,1.0,1.0,1.0
39.38,24.0,1.0,1.0,1.0
39.39,31.0,1.0,1.0,1.0
39.4,31.0,1.0,1.0,1.0
39.41,33.0,1.0,1.0,1.0
39.42,24.9889,1.0,1.0,1.0
39.43,21.0111,1.0,1.0,1.0
39.44,24.0,1.0,1.0,1.0
39.45,21.0,1.0,1.0,1.0
39.46,49.4833,1.0,1.0,1.0
39.47,25.0111,1.0,1.0,1.0
39.48,23.0,1.0,1.0,1.0
39.49,34.4944,1.0,1.0,1.0
39.5,28.5056,1.0,1.0,1.0
39.51,30.5056,1.0,1.0,1.0
39.52,33.4944,1.0,1.0,1.0
39.53,37.4944,1.0,1.0,1.0
39.54,33.0,1.0,1.0,1.0
39.55,46.4944,1.0,1.0,1.0
39.56,25.5167,1.0,1.0,1.0
39.57,35.9889,1.0,1.0,1.0
39.58,32.0111,1.0,1.0,1.0
39.59,39.0,1.0,1.0,1.0
39.6,22.4944,1.0,1.0,1.0
39.61,40.0,1.0,1.0,1.0
39.62,49.4944,1.0,1.0,1.0
39.63,28.0111,1.0,1.0,1.0
39.64,32.0,1.0,1.0,1.0
39.65,39.0,1.0,1.0,1.0
39.66,29.0,1.0,1.0,1.0
39.67,39.9889,1.0,1.0,1.0
39.68,56.5056,1.0,1.0,1.0
39.69,84.0,1.0,1.0,1.0
39.7,53.4944,1.0,1.0,1.0
39.71,43.0111,1.0,1.0,1.0
