#twotheta, yobs, ycal, bkg, diff
41.0,53.4944,1.0,1.0,1.0
41.01,49.5056,1.0,1.0,1.0
41.02,63.4944,1.0,1.0,1.0
41.03,57.0,1.0,1.0,1.0
41.04,56.4944,1.0,1.0,1.0
41.05,49.5056,1.0,1.0,1.0
41.06,44.0111,1.0,1.0,1.0
41.07,72.9778,1.0,1.0,1.0
41.08,62.5167,1.0,1.0,1.0
41.09,72.5056,1.0,1.0,1.0
41.1,47.4944,1.0,1.0,1.0
41.11,48.5056,1.0,1.0,1.0
41.12,63.4833,1.0,1.0,1.0
41.13,60.0,1.0,1.0,1.0
41.14,56.0111,1.0,1.0,1.0
41.15,61.4944,1.0,1.0,1.0
41.16,53.4833,1.0,1.0,1.0
41.17,69.5278,1.0,1.0,1.0
41.18,55.4944,1.0,1.0,1.0
41.19,58.5056,1.0,1.0,1.0
41.2,37.0,1.0,1.0,1.0
41.21,37.0,1.0,1.0,1.0
41.22,61.4944,1.0,1.0,1.0
41.23,52.0,1.0,1.0,1.0
41.24,66.5056,1.0,1.0,1.0
41.25,60.0,1.0,1.0,1.0
41.26,54.0,1.0,1.0,1.0
41.27,61.9889,1.0,1.0,1.0
41.28,87.0111,1.0,1.0,1.0
41.29,64.4944,1.0,1.0,1.0
41.3,60.5056,1.0,1.0,1.0
41.31,65.4944,1.0,1.0,1.0
41.32,44.5056,1.0,1.0,1.0
41.33,54.0,1.0,1.0,1.0
41.34,63.9889,1.0,1.0,1.0
41.35,48.5056,1.0,1.0,1.0
41.36,74.0,1.0,1.0,1.0
41.37,64.5056,1.0,1.0,1.0
41.38,54.4944,1.0,1.0,1.0
41.39,59.5056,1.0,1.0,1.0
41.4,54.0,1.0,1.0,1.0
41.41,59.0,1.0,1.0,1.0
41.42,70.9889,1.0,1.0,1.0
41.43,58.5056,1.0,1.0,1.0
41.44,55.5056,1.0,1.0,1.0
41.45,49.4944,1.0,1.0,1.0
41.46,64.4944,1.0,1.0,1.0
41.47,72.5056,1.0,1.0,1.0
41.48,43.5056,1.0,1.0,1.0
41.49,63.0,1.0,1.0,1.0
41.5,44.0,1.0,1.0,1.0
41.51,54.4944,1.0,1.0,1.0
41.52,64.4944,1.0,1.0,1.0
41.53,39.0111,1.0,1.0,1.0
41.54,49.0,1.0,1.0,1.0
41.55,72.4944,1.0,1.0,1.0
41.56,49.5056,1.0,1.0,1.0
41.57,64.0,1.0,1.0,1.0
41.58,65.0,1.0,1.0,1.0
41.59,65.9889,1.0,1.0,1.0
41.6,49.0111,1.0,1.0,1.0
41.61,48.9889,1.0,1.0,1.0
41.62,70.5056,1.0,1.0,1.0
41.63,46.5056,1.0,1.0,1.0
41.64,56.9889,1.0,1.0,1.0
41.65,44.0111,1.0,1.0,1.0
41.66,68.9889,1.0,1.0,1.0
41.67,75.5056,1.0,1.0,1.0
41.68,65.4944,1.0,1.0,1.0
41.69,65.5056,1.0,1.0,1.0
