#twotheta, yobs, ycal, bkg, diff
42.0,36.9889,1.0,1.0,1.0
42.01,36.5056,1.0,1.0,1.0
42.02,60.4944,1.0,1.0,1.0
42.03,33.0111,1.0,1.0,1.0
42.04,51.0,1.0,1.0,1.0
42.05,34.0,1.0,1.0,1.0
42.06,42.0,1.0,1.0,1.0
42.07,47.4833,1.0,1.0,1.0
42.08,35.5167,1.0,1.0,1.0
42.09,40.0,1.0,1.0,1.0
42.1,41.0,1.0,1.0,1.0
42.11,45.0,1.0,1.0,1.0
42.12,40.4944,1.0,1.0,1.0
42.13,55.0,1.0,1.0,1.0
42.14,46.5056,1.0,1.0,1.0
42.15,52.0,1.0,1.0,1.0
42.16,53.4944,1.0,1.0,1.0
42.17,41.5056,1.0,1.0,1.0
42.18,24.0,1.0,1.0,1.0
42.19,45.0,1.0,1.0,1.0
42.2,27.4944,1.0,1.0,1.0
42.21,46.0,1.0,1.0,1.0
42.22,22.0,1.0,1.0,1.0
42.23,49.0,1.0,1.0,1.0
42.24,41.4944,1.0,1.0,1.0
42.25,44.5056,1.0,1.0,1.0
42.26,49.5056,1.0,1.0,1.0
42.27,40.4944,1.0,1.0,1.0
42.28,33.0,1.0,1.0,1.0
42.29,40.0,1.0,1.0,1.0
42.3,46.5056,1.0,1.0,1.0
42.31,46.9889,1.0,1.0,1.0
42.32,35.0,1.0,1.0,1.0
42.33,40.5056,1.0,1.0,1.0
42.34,63.0,1.0,1.0,1.0
42.35,55.0,1.0,1.0,1.0
42.36,44.4944,1.0,1.0,1.0
42.37,61.5056,1.0,1.0,1.0
42.38,48.5056,1.0,1.0,1.0
42.39,50.4944,1.0,1.0,1.0
42.4,46.5056,1.0,1.0,1.0
42.41,59.9889,1.0,1.0,1.0
42.42,61.4944,1.0,1.0,1.0
42.43,63.5167,1.0,1.0,1.0
42.44,80.4944,1.0,1.0,1.0
42.45,80.5056,1.0,1.0,1.0
42.46,67.4833,1.0,1.0,1.0
42.47,76.5167,1.0,1.0,1.0
42.48,62.0,1.0,1.0,1.0
42.49,80.4833,1.0,1.0,1.0
42.5,80.5056,1.0,1.0,1.0
42.51,55.0111,1.0,1.0,1.0
42.52,72.9889,1.0,1.0,1.0
42.53,68.0,1.0,1.0,1.0
42.54,76.5056,1.0,1.0,1.0
42.55,63.5056,1.0,1.0,1.0
42.56,65.4944,1.0,1.0,1.0
42.57,58.5056,1.0,1.0,1.0
42.58,40.0,1.0,1.0,1.0
42.59,80.4833,1.0,1.0,1.0
42.6,69.5056,1.0,1.0,1.0
42.61,69.0,1.0,1.0,1.0
42.62,58.0,1.0,1.0,1.0
42.63,70.0111,1.0,1.0,1.0
42.64,62.9889,1.0,1.0,1.0
42.65,53.5056,1.0,1.0,1.0
42.66,86.9889,1.0,1.0,1.0
42.67,89.5056,1.0,1.0,1.0
42.68,88.5056,1.0,1.0,1.0
42.69,93.0,1.0,1.0,1.0
42.7,82.0,1.0,1.0,1.0
42.71,72.9889,1.0,1.0,1.0
42.72,71.4944,1.0,1.0,1.0
42.73,89.0222,1.0,1.0,1.0
42.74,59.4833,1.0,1.0,1.0
42.75,89.5167,1.0,1.0,1.0
42.76,83.9889,1.0,1.0,1.0
42.77,99.9889,1.0,1.0,1.0
42.78,86.0222,1.0,1.0,1.0
42.79,90.4833,1.0,1.0,1.0
42.8,87.5167,1.0,1.0,1.0
42.81,64.0,1.0,1.0,1.0
42.82,70.0,1.0,1.0,1.0
42.83,69.0,1.0,1.0,1.0
42.84,86.4944,1.0,1.0,1.0
42.85,64.5056,1.0,1.0,1.0
42.86,69.4944,1.0,1.0,1.0
42.87,92.4722,1.0,1.0,1.0
42.88,77.5278,1.0,1.0,1.0
42.89,97.0,1.0,1.0,1.0
42.9,58.5056,1.0,1.0,1.0
42.91,75.4944,1.0,1.0,1.0
42.92,68.4944,1.0,1.0,1.0
42.93,77.5056,1.0,1.0,1.0
42.94,70.4833,1.0,1.0,1.0
42.95,93.5056,1.0,1.0,1.0
42.96,74.5056,1.0,1.0,1.0
42.97,49.5056,1.0,1.0,1.0
42.98,79.0,1.0,1.0,1.0
42.99,81.5056,1.0,1.0,1.0
43.0,72.4944,1.0,1.0,1.0
43.01,67.9889,1.0,1.0,1.0
43.02,64.0,1.0,1.0,1.0
43.03,80.5167,1.0,1.0,1.0
43.04,70.0,1.0,1.0,1.0
43.05,35.9778,1.0,1.0,1.0
43.06,57.0222,1.0,1.0,1.0
43.07,56.0,1.0,1.0,1.0
43.08,50.0,1.0,1.0,1.0
43.09,50.4944,1.0,1.0,1.0
43.1,58.5056,1.0,1.0,1.0
43.11,53.4944,1.0,1.0,1.0
43.12,64.0,1.0,1.0,1.0
43.13,34.0,1.0,1.0,1.0
43.14,67.4944,1.0,1.0,1.0
43.15,62.0,1.0,1.0,1.0
43.16,47.0,1.0,1.0,1.0
43.17,53.0,1.0,1.0,1.0
43.18,53.4944,1.0,1.0,1.0
43.19,54.5056,1.0,1.0,1.0
43.2,61.0,1.0,1.0,1.0
43.21,52.0111,1.0,1.0,1.0
43.22,53.0,1.0,1.0,1.0
43.23,47.4944,1.0,1.0,1.0
43.24,55.9889,1.0,1.0,1.0
43.25,50.5167,1.0,1.0,1.0
43.26,36.4944,1.0,1.0,1.0
43.27,54.4944,1.0,1.0,1.0
43.28,33.0111,1.0,1.0,1.0
43.29,51.4944,1.0,1.0,1.0
43.3,47.0,1.0,1.0,1.0
43.31,42.4944,1.0,1.0,1.0
43.32,62.0,1.0,1.0,1.0
43.33,60.0111,1.0,1.0,1.0
43.34,59.4944,1.0,1.0,1.0
43.35,50.5056,1.0,1.0,1.0
43.36,63.9889,1.0,1.0,1.0
43.37,54.0111,1.0,1.0,1.0
43.38,57.0,1.0,1.0,1.0
43.39,42.9889,1.0,1.0,1.0
43.4,61.0111,1.0,1.0,1.0
43.41,63.9889,1.0,1.0,1.0
43.42,60.0111,1.0,1.0,1.0
43.43,57.4833,1.0,1.0,1.0
43.44,60.5056,1.0,1.0,1.0
43.45,59.4833,1.0,1.0,1.0
43.46,36.5278,1.0,1.0,1.0
43.47,66.4944,1.0,1.0,1.0
43.48,61.9889,1.0,1.0,1.0
43.49,92.9889,1.0,1.0,1.0
43.5,94.0222,1.0,1.0,1.0
43.51,83.0,1.0,1.0,1.0
43.52,83.4944,1.0,1.0,1.0
43.53,69.5056,1.0,1.0,1.0
43.54,59.0,1.0,1.0,1.0
43.55,80.9889,1.0,1.0,1.0
43.56,106.0,1.0,1.0,1.0
43.57,91.5056,1.0,1.0,1.0
43.58,91.5056,1.0,1.0,1.0
43.59,78.4944,1.0,1.0,1.0
43.6,109.5056,1.0,1.0,1.0
43.61,94.9889,1.0,1.0,1.0
43.62,113.0111,1.0,1.0,1.0
43.63,103.0,1.0,1.0,1.0
43.64,126.4833,1.0,1.0,1.0
43.65,122.0,1.0,1.0,1.0
43.66,137.5167,1.0,1.0,1.0
43.67,131.0,1.0,1.0,1.0
43.68,116.9778,1.0,1.0,1.0
43.69,140.0111,1.0,1.0,1.0
43.7,171.0111,1.0,1.0,1.0
43.71,134.9778,1.0,1.0,1.0
43.72,170.0222,1.0,1.0,1.0
43.73,154.4944,1.0,1.0,1.0
43.74,170.0,1.0,1.0,1.0
43.75,135.9889,1.0,1.0,1.0
43.76,158.5056,1.0,1.0,1.0
43.77,143.0,1.0,1.0,1.0
43.78,167.4944,1.0,1.0,1.0
43.79,169.0,1.0,1.0,1.0
43.8,185.0,1.0,1.0,1.0
43.81,186.4944,1.0,1.0,1.0
43.82,194.0,1.0,1.0,1.0
43.83,163.0111,1.0,1.0,1.0
43.84,213.4833,1.0,1.0,1.0
43.85,198.0,1.0,1.0,1.0
43.86,193.0222,1.0,1.0,1.0
43.87,194.4944,1.0,1.0,1.0
43.88,185.0,1.0,1.0,1.0
43.89,210.0111,1.0,1.0,1.0
43.9,225.4833,1.0,1.0,1.0
43.91,185.9889,1.0,1.0,1.0
43.92,206.0111,1.0,1.0,1.0
43.93,207.0111,1.0,1.0,1.0
43.94,225.0,1.0,1.0,1.0
43.95,200.9889,1.0,1.0,1.0
43.96,196.4944,1.0,1.0,1.0
43.97,243.4833,1.0,1.0,1.0
43.98,235.5167,1.0,1.0,1.0
43.99,224.5056,1.0,1.0,1.0
44.0,224.9667,1.0,1.0,1.0
44.01,201.5278,1.0,1.0,1.0
44.02,183.4944,1.0,1.0,1.0
44.03,205.0111,1.0,1.0,1.0
44.04,227.4944,1.0,1.0,1.0
44.05,217.5278,1.0,1.0,1.0
44.06,210.4722,1.0,1.0,1.0
44.07,177.0111,1.0,1.0,1.0
44.08,179.5056,1.0,1.0,1.0
44.09,191.9778,1.0,1.0,1.0
44.1,185.5278,1.0,1.0,1.0
44.11,221.4944,1.0,1.0,1.0
44.12,216.0,1.0,1.0,1.0
44.13,186.0111,1.0,1.0,1.0
44.14,181.4611,1.0,1.0,1.0
44.15,187.4944,1.0,1.0,1.0
44.16,192.0333,1.0,1.0,1.0
44.17,184.4833,1.0,1.0,1.0
44.18,182.5167,1.0,1.0,1.0
44.19,148.0,1.0,1.0,1.0
44.2,172.5056,1.0,1.0,1.0
44.21,144.5056,1.0,1.0,1.0
44.22,134.4833,1.0,1.0,1.0
44.23,167.0,1.0,1.0,1.0
44.24,141.0,1.0,1.0,1.0
44.25,147.9889,1.0,1.0,1.0
44.26,126.0222,1.0,1.0,1.0
44.27,104.9778,1.0,1.0,1.0
44.28,120.0,1.0,1.0,1.0
44.29,109.5167,1.0,1.0,1.0
44.3,138.0,1.0,1.0,1.0
44.31,102.0,1.0,1.0,1.0
44.32,114.4944,1.0,1.0,1.0
44.33,103.5167,1.0,1.0,1.0
44.34,96.9889,1.0,1.0,1.0
44.35,115.4944,1.0,1.0,1.0
44.36,92.5056,1.0,1.0,1.0
44.37,73.0111,1.0,1.0,1.0
44.38,63.4944,1.0,1.0,1.0
44.39,89.5056,1.0,1.0,1.0
44.4,65.0,1.0,1.0,1.0
44.41,87.0,1.0,1.0,1.0
44.42,76.9889,1.0,1.0,1.0
44.43,64.0111,1.0,1.0,1.0
44.44,49.4944,1.0,1.0,1.0
44.45,56.9889,1.0,1.0,1.0
44.46,54.5167,1.0,1.0,1.0
44.47,66.0,1.0,1.0,1.0
44.48,62.9889,1.0,1.0,1.0
44.49,60.5056,1.0,1.0,1.0
44.5,50.5056,1.0,1.0,1.0
44.51,54.0,1.0,1.0,1.0
44.52,82.4833,1.0,1.0,1.0
44.53,64.5056,1.0,1.0,1.0
44.54,73.4944,1.0,1.0,1.0
44.55,79.5167,1.0,1.0,1.0
44.56,92.4944,1.0,1.0,1.0
44.57,93.9889,1.0,1.0,1.0
44.58,101.0111,1.0,1.0,1.0
44.59,119.4944,1.0,1.0,1.0
44.6,146.5056,1.0,1.0,1.0
44.61,128.9889,1.0,1.0,1.0
44.62,134.0,1.0,1.0,1.0
44.63,202.9889,1.0,1.0,1.0
44.64,165.5056,1.0,1.0,1.0
44.65,178.9889,1.0,1.0,1.0
44.66,187.5056,1.0,1.0,1.0
44.67,204.5167,1.0,1.0,1.0
44.68,243.4833,1.0,1.0,1.0
44.69,256.9889,1.0,1.0,1.0
44.7,260.9889,1.0,1.0,1.0
44.71,289.0333,1.0,1.0,1.0
44.72,316.4944,1.0,1.0,1.0
44.73,341.9778,1.0,1.0,1.0
44.74,404.0111,1.0,1.0,1.0
44.75,415.9889,1.0,1.0,1.0
44.76,461.4833,1.0,1.0,1.0
44.77,479.9778,1.0,1.0,1.0
44.78,489.5278,1.0,1.0,1.0
44.79,531.0333,1.0,1.0,1.0
44.8,583.9222,1.0,1.0,1.0
44.81,650.0222,1.0,1.0,1.0
44.82,655.0111,1.0,1.0,1.0
44.83,726.4944,1.0,1.0,1.0
44.84,726.0111,1.0,1.0,1.0
44.85,786.9889,1.0,1.0,1.0
44.86,872.5167,1.0,1.0,1.0
44.87,821.4056,1.0,1.0,1.0
44.88,973.0555,1.0,1.0,1.0
44.89,1043.5167,1.0,1.0,1.0
44.9,1064.4277,1.0,1.0,1.0
44.91,1191.5167,1.0,1.0,1.0
44.92,1138.5389,1.0,1.0,1.0
44.93,1301.4166,1.0,1.0,1.0
44.94,1269.5167,1.0,1.0,1.0
44.95,1326.9889,1.0,1.0,1.0
44.96,1395.5389,1.0,1.0,1.0
44.97,1435.9333,1.0,1.0,1.0
44.98,1537.5389,1.0,1.0,1.0
44.99,1668.4611,1.0,1.0,1.0
45.0,1699.0111,1.0,1.0,1.0
45.01,1776.9556,1.0,1.0,1.0
45.02,1790.0111,1.0,1.0,1.0
45.03,1983.9889,1.0,1.0,1.0
45.04,2067.0667,1.0,1.0,1.0
45.05,2096.8999,1.0,1.0,1.0
45.06,2106.0112,1.0,1.0,1.0
45.07,2235.0667,1.0,1.0,1.0
45.08,2362.4055,1.0,1.0,1.0
45.09,2538.9443,1.0,1.0,1.0
45.1,2497.5723,1.0,1.0,1.0
45.11,2703.0,1.0,1.0,1.0
45.12,2726.8999,1.0,1.0,1.0
45.13,2849.5278,1.0,1.0,1.0
45.14,2873.439,1.0,1.0,1.0
45.15,3116.5833,1.0,1.0,1.0
45.16,3095.9443,1.0,1.0,1.0
45.17,3281.9443,1.0,1.0,1.0
45.18,3276.5166,1.0,1.0,1.0
45.19,3416.4834,1.0,1.0,1.0
45.2,3518.9333,1.0,1.0,1.0
45.21,3604.6943,1.0,1.0,1.0
45.22,3677.9443,1.0,1.0,1.0
45.23,3788.4055,1.0,1.0,1.0
45.24,3979.1111,1.0,1.0,1.0
45.25,4071.3833,1.0,1.0,1.0
45.26,4090.5166,1.0,1.0,1.0
45.27,4211.5054,1.0,1.0,1.0
45.28,4266.9111,1.0,1.0,1.0
45.29,4411.561,1.0,1.0,1.0
45.3,4629.439,1.0,1.0,1.0
45.31,4620.3945,1.0,1.0,1.0
45.32,4764.6611,1.0,1.0,1.0
45.33,4925.9775,1.0,1.0,1.0
45.34,4973.4502,1.0,1.0,1.0
45.35,5132.5166,1.0,1.0,1.0
45.36,5239.3833,1.0,1.0,1.0
45.37,5233.0557,1.0,1.0,1.0
45.38,5252.5166,1.0,1.0,1.0
45.39,5487.8667,1.0,1.0,1.0
45.4,5449.6167,1.0,1.0,1.0
45.41,5586.0,1.0,1.0,1.0
45.42,5892.8667,1.0,1.0,1.0
45.43,5983.4946,1.0,1.0,1.0
45.44,6019.6167,1.0,1.0,1.0
45.45,5961.8779,1.0,1.0,1.0
45.46,6259.0332,1.0,1.0,1.0
45.47,6244.9775,1.0,1.0,1.0
45.48,6280.439,1.0,1.0,1.0
45.49,6448.561,1.0,1.0,1.0
45.5,6498.0889,1.0,1.0,1.0
45.51,6644.8887,1.0,1.0,1.0
45.52,6629.9668,1.0,1.0,1.0
45.53,6983.5278,1.0,1.0,1.0
45.54,6935.5054,1.0,1.0,1.0
45.55,7001.0669,1.0,1.0,1.0
45.56,7066.9443,1.0,1.0,1.0
45.57,7196.4502,1.0,1.0,1.0
45.58,7294.6167,1.0,1.0,1.0
45.59,7326.811,1.0,1.0,1.0
45.6,7436.5166,1.0,1.0,1.0
45.61,7559.9775,1.0,1.0,1.0
45.62,7690.4946,1.0,1.0,1.0
45.63,7453.1558,1.0,1.0,1.0
45.64,7591.7778,1.0,1.0,1.0
45.65,7640.1777,1.0,1.0,1.0
45.66,7815.8667,1.0,1.0,1.0
45.67,7814.9556,1.0,1.0,1.0
45.68,7892.5391,1.0,1.0,1.0
45.69,7828.5278,1.0,1.0,1.0
45.7,8015.9224,1.0,1.0,1.0
45.71,7986.4834,1.0,1.0,1.0
45.72,8076.0669,1.0,1.0,1.0
45.73,8151.5166,1.0,1.0,1.0
45.74,8104.4502,1.0,1.0,1.0
45.75,7993.4277,1.0,1.0,1.0
45.76,8189.0669,1.0,1.0,1.0
45.77,8242.3945,1.0,1.0,1.0
45.78,8176.6167,1.0,1.0,1.0
45.79,8273.4502,1.0,1.0,1.0
45.8,8270.4941,1.0,1.0,1.0
45.81,8339.6162,1.0,1.0,1.0
45.82,8204.4385,1.0,1.0,1.0
45.83,8258.9443,1.0,1.0,1.0
45.84,8419.6504,1.0,1.0,1.0
45.85,8275.9668,1.0,1.0,1.0
45.86,8105.3833,1.0,1.0,1.0
45.87,8375.9111,1.0,1.0,1.0
45.88,8167.1445,1.0,1.0,1.0
45.89,8190.0557,1.0,1.0,1.0
45.9,8157.439,1.0,1.0,1.0
45.91,8223.0107,1.0,1.0,1.0
45.92,8162.5278,1.0,1.0,1.0
45.93,8168.5498,1.0,1.0,1.0
45.94,8214.3721,1.0,1.0,1.0
45.95,7894.6499,1.0,1.0,1.0
45.96,7882.561,1.0,1.0,1.0
45.97,7966.3833,1.0,1.0,1.0
45.98,8140.9331,1.0,1.0,1.0
45.99,7886.9888,1.0,1.0,1.0
46.0,7790.5498,1.0,1.0,1.0
46.01,7796.6167,1.0,1.0,1.0
46.02,7811.4502,1.0,1.0,1.0
46.03,7590.9775,1.0,1.0,1.0
46.04,7543.5723,1.0,1.0,1.0
46.05,7406.3613,1.0,1.0,1.0
46.06,7368.1558,1.0,1.0,1.0
46.07,7313.0225,1.0,1.0,1.0
46.08,7270.9556,1.0,1.0,1.0
46.09,7196.9888,1.0,1.0,1.0
46.1,7345.0776,1.0,1.0,1.0
46.11,7055.4277,1.0,1.0,1.0
46.12,7030.0112,1.0,1.0,1.0
46.13,6823.4722,1.0,1.0,1.0
46.14,6751.5278,1.0,1.0,1.0
46.15,6642.3945,1.0,1.0,1.0
46.16,6754.1777,1.0,1.0,1.0
46.17,6610.0444,1.0,1.0,1.0
46.18,6379.9775,1.0,1.0,1.0
46.19,6440.3945,1.0,1.0,1.0
46.2,6280.1333,1.0,1.0,1.0
46.21,6228.5498,1.0,1.0,1.0
46.22,5970.9668,1.0,1.0,1.0
46.23,5932.0332,1.0,1.0,1.0
46.24,5834.0444,1.0,1.0,1.0
46.25,5788.0225,1.0,1.0,1.0
46.26,5606.8667,1.0,1.0,1.0
46.27,5511.5835,1.0,1.0,1.0
46.28,5565.0112,1.0,1.0,1.0
46.29,5308.8887,1.0,1.0,1.0
46.3,5209.6499,1.0,1.0,1.0
46.31,5209.4609,1.0,1.0,1.0
46.32,5048.5942,1.0,1.0,1.0
46.33,4825.4277,1.0,1.0,1.0
46.34,4765.0557,1.0,1.0,1.0
46.35,4821.4609,1.0,1.0,1.0
46.36,4666.4946,1.0,1.0,1.0
46.37,4529.5498,1.0,1.0,1.0
46.38,4453.4609,1.0,1.0,1.0
46.39,4438.6611,1.0,1.0,1.0
46.4,4270.8223,1.0,1.0,1.0
46.41,4220.6055,1.0,1.0,1.0
46.42,3977.45,1.0,1.0,1.0
46.43,4060.561,1.0,1.0,1.0
46.44,3863.9556,1.0,1.0,1.0
46.45,3856.5833,1.0,1.0,1.0
46.46,3727.5166,1.0,1.0,1.0
46.47,3630.45,1.0,1.0,1.0
46.48,3570.55,1.0,1.0,1.0
46.49,3597.45,1.0,1.0,1.0
46.5,3463.0779,1.0,1.0,1.0
46.51,3408.5278,1.0,1.0,1.0
46.52,3540.9888,1.0,1.0,1.0
46.53,3301.9888,1.0,1.0,1.0
46.54,3330.5056,1.0,1.0,1.0
46.55,3228.0222,1.0,1.0,1.0
46.56,3081.4944,1.0,1.0,1.0
46.57,3212.45,1.0,1.0,1.0
46.58,3092.5388,1.0,1.0,1.0
46.59,3183.9443,1.0,1.0,1.0
46.6,3218.1223,1.0,1.0,1.0
46.61,3117.8667,1.0,1.0,1.0
46.62,3124.5056,1.0,1.0,1.0
46.63,3296.5723,1.0,1.0,1.0
46.64,3294.3723,1.0,1.0,1.0
46.65,3380.5278,1.0,1.0,1.0
46.66,3448.0889,1.0,1.0,1.0
46.67,3435.9333,1.0,1.0,1.0
46.68,3594.9443,1.0,1.0,1.0
46.69,3821.5388,1.0,1.0,1.0
46.7,4011.5723,1.0,1.0,1.0
46.71,4133.8442,1.0,1.0,1.0
46.72,4381.0225,1.0,1.0,1.0
46.73,4575.9775,1.0,1.0,1.0
46.74,4852.9668,1.0,1.0,1.0
46.75,5223.0112,1.0,1.0,1.0
46.76,5561.8887,1.0,1.0,1.0
46.77,5951.3389,1.0,1.0,1.0
46.78,6639.0,1.0,1.0,1.0
46.79,7165.9111,1.0,1.0,1.0
46.8,7558.0,1.0,1.0,1.0
46.81,8406.3945,1.0,1.0,1.0
46.82,9349.9893,1.0,1.0,1.0
46.83,10399.8887,1.0,1.0,1.0
46.84,11393.1611,1.0,1.0,1.0
46.85,13228.3945,1.0,1.0,1.0
46.86,14865.6338,1.0,1.0,1.0
46.87,17067.3945,1.0,1.0,1.0
46.88,19885.7441,1.0,1.0,1.0
46.89,23504.8066,1.0,1.0,1.0
46.9,27273.3672,1.0,1.0,1.0
46.91,33264.0039,1.0,1.0,1.0
46.92,40261.6055,1.0,1.0,1.0
