#twotheta, yobs, ycal, bkg, diff
42.0,174.0,1.0,1.0,1.0
42.01,208.0111,1.0,1.0,1.0
42.02,171.5056,1.0,1.0,1.0
42.03,193.5056,1.0,1.0,1.0
42.04,161.4833,1.0,1.0,1.0
42.05,173.4833,1.0,1.0,1.0
42.06,150.5278,1.0,1.0,1.0
42.07,167.0,1.0,1.0,1.0
42.08,186.9889,1.0,1.0,1.0
42.09,149.5056,1.0,1.0,1.0
42.1,184.9889,1.0,1.0,1.0
42.11,213.0,1.0,1.0,1.0
42.12,183.4944,1.0,1.0,1.0
42.13,181.0111,1.0,1.0,1.0
42.14,166.4833,1.0,1.0,1.0
42.15,171.0222,1.0,1.0,1.0
42.16,163.0,1.0,1.0,1.0
42.17,149.4944,1.0,1.0,1.0
42.18,179.9889,1.0,1.0,1.0
42.19,165.0,1.0,1.0,1.0
42.2,167.0111,1.0,1.0,1.0
42.21,160.0,1.0,1.0,1.0
42.22,167.5056,1.0,1.0,1.0
42.23,192.5056,1.0,1.0,1.0
42.24,168.4833,1.0,1.0,1.0
42.25,169.4833,1.0,1.0,1.0
42.26,170.5278,1.0,1.0,1.0
42.27,169.5056,1.0,1.0,1.0
42.28,151.4833,1.0,1.0,1.0
42.29,188.4833,1.0,1.0,1.0
42.3,192.5167,1.0,1.0,1.0
42.31,170.0,1.0,1.0,1.0
42.32,164.4944,1.0,1.0,1.0
42.33,168.0,1.0,1.0,1.0
42.34,156.0222,1.0,1.0,1.0
42.35,199.5056,1.0,1.0,1.0
42.36,165.0,1.0,1.0,1.0
42.37,146.4944,1.0,1.0,1.0
42.38,174.4944,1.0,1.0,1.0
42.39,161.9889,1.0,1.0,1.0
42.4,174.5167,1.0,1.0,1.0
42.41,124.4833,1.0,1.0,1.0
42.42,150.5167,1.0,1.0,1.0
42.43,184.9667,1.0,1.0,1.0
42.44,165.0333,1.0,1.0,1.0
42.45,125.9667,1.0,1.0,1.0
42.46,148.0222,1.0,1.0,1.0
42.47,142.5056,1.0,1.0,1.0
42.48,197.4833,1.0,1.0,1.0
42.49,164.4944,1.0,1.0,1.0
42.5,155.5167,1.0,1.0,1.0
42.51,161.0,1.0,1.0,1.0
42.52,155.0,1.0,1.0,1.0
42.53,151.5056,1.0,1.0,1.0
42.54,146.4944,1.0,1.0,1.0
42.55,173.9778,1.0,1.0,1.0
42.56,172.0222,1.0,1.0,1.0
42.57,172.5056,1.0,1.0,1.0
42.58,138.4944,1.0,1.0,1.0
42.59,135.5056,1.0,1.0,1.0
42.6,133.4944,1.0,1.0,1.0
42.61,149.0,1.0,1.0,1.0
42.62,157.0,1.0,1.0,1.0
42.63,146.5056,1.0,1.0,1.0
42.64,174.9889,1.0,1.0,1.0
42.65,161.0111,1.0,1.0,1.0
42.66,129.9889,1.0,1.0,1.0
42.67,170.4833,1.0,1.0,1.0
42.68,161.0333,1.0,1.0,1.0
42.69,182.4833,1.0,1.0,1.0
42.7,170.5056,1.0,1.0,1.0
42.71,180.5167,1.0,1.0,1.0
42.72,159.9778,1.0,1.0,1.0
42.73,162.0,1.0,1.0,1.0
42.74,193.0111,1.0,1.0,1.0
42.75,196.4944,1.0,1.0,1.0
42.76,167.5056,1.0,1.0,1.0
42.77,190.9889,1.0,1.0,1.0
42.78,186.9667,1.0,1.0,1.0
42.79,178.0555,1.0,1.0,1.0
42.8,185.45,1.0,1.0,1.0
42.81,164.0111,1.0,1.0,1.0
42.82,212.5167,1.0,1.0,1.0
42.83,178.0111,1.0,1.0,1.0
42.84,158.4944,1.0,1.0,1.0
42.85,194.4833,1.0,1.0,1.0
42.86,206.0222,1.0,1.0,1.0
42.87,163.9778,1.0,1.0,1.0
42.88,198.0111,1.0,1.0,1.0
