#twotheta, yobs, ycal, bkg, diff
0.6,28384.0,1.0,1.0,1.0
0.61,27177.0,1.0,1.0,1.0
0.62,26260.0,1.0,1.0,1.0
0.63,25202.5,1.0,1.0,1.0
0.64,24024.5,1.0,1.0,1.0
0.65,22764.0,1.0,1.0,1.0
0.66,21435.0,1.0,1.0,1.0
0.67,20073.5,1.0,1.0,1.0
0.68,18700.0,1.0,1.0,1.0
0.69,17379.5,1.0,1.0,1.0
0.7,15663.5,1.0,1.0,1.0
0.71,14087.001,1.0,1.0,1.0
0.72,12437.0,1.0,1.0,1.0
0.73,10836.501,1.0,1.0,1.0
0.74,9012.5,1.0,1.0,1.0
0.75,7670.0005,1.0,1.0,1.0
0.76,6082.0005,1.0,1.0,1.0
0.77,4973.0,1.0,1.0,1.0
0.78,3885.5002,1.0,1.0,1.0
0.79,3247.0002,1.0,1.0,1.0
0.8,2684.0002,1.0,1.0,1.0
0.81,2311.0002,1.0,1.0,1.0
0.82,1970.9999,1.0,1.0,1.0
0.83,1802.0002,1.0,1.0,1.0
0.84,1607.5,1.0,1.0,1.0
0.85,1553.4999,1.0,1.0,1.0
0.86,1507.0,1.0,1.0,1.0
0.87,1472.0,1.0,1.0,1.0
0.88,1446.0001,1.0,1.0,1.0
0.89,1495.5,1.0,1.0,1.0
0.9,1548.0,1.0,1.0,1.0
0.91,1520.0001,1.0,1.0,1.0
0.92,1490.4998,1.0,1.0,1.0
0.93,1487.5001,1.0,1.0,1.0
0.94,1501.5,1.0,1.0,1.0
0.95,1525.0,1.0,1.0,1.0
0.96,1395.0001,1.0,1.0,1.0
0.97,1484.9999,1.0,1.0,1.0
0.98,1426.0,1.0,1.0,1.0
0.99,1285.0001,1.0,1.0,1.0
1.0,1341.4999,1.0,1.0,1.0
1.01,1294.0001,1.0,1.0,1.0
1.02,1258.5,1.0,1.0,1.0
1.03,1274.5001,1.0,1.0,1.0
1.04,1129.5,1.0,1.0,1.0
1.05,1156.4999,1.0,1.0,1.0
1.06,1118.5,1.0,1.0,1.0
1.07,1107.0,1.0,1.0,1.0
1.08,1083.5,1.0,1.0,1.0
1.09,1018.0001,1.0,1.0,1.0
1.1,927.0,1.0,1.0,1.0
1.11,985.9999,1.0,1.0,1.0
1.12,943.0001,1.0,1.0,1.0
1.13,899.9999,1.0,1.0,1.0
1.14,877.5001,1.0,1.0,1.0
1.15,802.4999,1.0,1.0,1.0
1.16,755.5001,1.0,1.0,1.0
1.17,721.4999,1.0,1.0,1.0
1.18,699.0001,1.0,1.0,1.0
1.19,694.0,1.0,1.0,1.0
1.2,610.0001,1.0,1.0,1.0
1.21,597.4999,1.0,1.0,1.0
1.22,561.5001,1.0,1.0,1.0
1.23,555.0,1.0,1.0,1.0
1.24,524.0,1.0,1.0,1.0
1.25,524.0,1.0,1.0,1.0
1.26,489.5001,1.0,1.0,1.0
1.27,475.0,1.0,1.0,1.0
1.28,432.0,1.0,1.0,1.0
1.29,419.5,1.0,1.0,1.0
1.3,382.9999,1.0,1.0,1.0
1.31,384.5001,1.0,1.0,1.0
1.32,389.0,1.0,1.0,1.0
1.33,361.0,1.0,1.0,1.0
1.34,345.5,1.0,1.0,1.0
1.35,322.5,1.0,1.0,1.0
1.36,307.5,1.0,1.0,1.0
1.37,293.0,1.0,1.0,1.0
1.38,293.0,1.0,1.0,1.0
1.39,295.0,1.0,1.0,1.0
1.4,332.5,1.0,1.0,1.0
1.41,285.0,1.0,1.0,1.0
1.42,335.5,1.0,1.0,1.0
1.43,340.0001,1.0,1.0,1.0
1.44,302.4999,1.0,1.0,1.0
1.45,272.5,1.0,1.0,1.0
1.46,252.0001,1.0,1.0,1.0
1.47,260.5,1.0,1.0,1.0
1.48,300.0,1.0,1.0,1.0
1.49,266.0,1.0,1.0,1.0
1.5,295.5,1.0,1.0,1.0
1.51,307.0,1.0,1.0,1.0
1.52,261.0,1.0,1.0,1.0
1.53,284.0,1.0,1.0,1.0
1.54,300.5,1.0,1.0,1.0
1.55,318.5,1.0,1.0,1.0
1.56,301.5,1.0,1.0,1.0
1.57,299.0,1.0,1.0,1.0
1.58,331.0,1.0,1.0,1.0
1.59,286.5,1.0,1.0,1.0
1.6,266.5,1.0,1.0,1.0
1.61,284.0,1.0,1.0,1.0
1.62,282.0,1.0,1.0,1.0
1.63,338.5001,1.0,1.0,1.0
1.64,258.5,1.0,1.0,1.0
1.65,266.4999,1.0,1.0,1.0
1.66,268.5001,1.0,1.0,1.0
1.67,255.0,1.0,1.0,1.0
1.68,290.0,1.0,1.0,1.0
1.69,252.5,1.0,1.0,1.0
1.7,257.5,1.0,1.0,1.0
1.71,261.5,1.0,1.0,1.0
1.72,269.0001,1.0,1.0,1.0
1.73,261.5,1.0,1.0,1.0
1.74,294.5,1.0,1.0,1.0
1.75,273.0,1.0,1.0,1.0
1.76,263.4999,1.0,1.0,1.0
1.77,255.5,1.0,1.0,1.0
1.78,215.5,1.0,1.0,1.0
1.79,203.5,1.0,1.0,1.0
1.8,222.0,1.0,1.0,1.0
1.81,187.0,1.0,1.0,1.0
1.82,240.5,1.0,1.0,1.0
1.83,221.5,1.0,1.0,1.0
1.84,237.0,1.0,1.0,1.0
1.85,237.0,1.0,1.0,1.0
1.86,219.5,1.0,1.0,1.0
1.87,227.0,1.0,1.0,1.0
1.88,217.5,1.0,1.0,1.0
1.89,195.4999,1.0,1.0,1.0
1.9,234.5001,1.0,1.0,1.0
1.91,212.5,1.0,1.0,1.0
1.92,204.5,1.0,1.0,1.0
1.93,205.4999,1.0,1.0,1.0
1.94,194.5,1.0,1.0,1.0
1.95,153.5,1.0,1.0,1.0
1.96,165.5,1.0,1.0,1.0
1.97,178.0,1.0,1.0,1.0
1.98,144.5,1.0,1.0,1.0
1.99,187.0,1.0,1.0,1.0
2.0,174.0,1.0,1.0,1.0
2.01,170.0,1.0,1.0,1.0
2.02,150.5,1.0,1.0,1.0
2.03,194.5,1.0,1.0,1.0
2.04,145.0,1.0,1.0,1.0
2.05,171.0,1.0,1.0,1.0
2.06,151.0,1.0,1.0,1.0
2.07,174.5,1.0,1.0,1.0
2.08,146.5,1.0,1.0,1.0
2.09,159.0,1.0,1.0,1.0
2.1,162.5,1.0,1.0,1.0
2.11,115.0,1.0,1.0,1.0
2.12,168.4999,1.0,1.0,1.0
