#twotheta, yobs, ycal, bkg, diff
0.4,593320.0,1.0,1.0,1.0
0.41,604835.0,1.0,1.0,1.0
0.42,616781.5,1.0,1.0,1.0
0.43,628314.0,1.0,1.0,1.0
0.44,639235.0,1.0,1.0,1.0
0.45,648360.5,1.0,1.0,1.0
0.46,660515.0,1.0,1.0,1.0
0.47,669433.5,1.0,1.0,1.0
0.48,682078.5,1.0,1.0,1.0
0.49,693084.0,1.0,1.0,1.0
0.5,702769.0,1.0,1.0,1.0
0.51,711352.5,1.0,1.0,1.0
0.52,720325.5,1.0,1.0,1.0
0.53,729379.0,1.0,1.0,1.0
0.54,735908.0,1.0,1.0,1.0
0.55,746093.0,1.0,1.0,1.0
0.56,751859.0,1.0,1.0,1.0
0.57,756328.5,1.0,1.0,1.0
0.58,758870.0,1.0,1.0,1.0
0.59,762642.0,1.0,1.0,1.0
0.6,760807.5,1.0,1.0,1.0
0.61,758089.5,1.0,1.0,1.0
0.62,752345.0,1.0,1.0,1.0
0.63,747853.0,1.0,1.0,1.0
0.64,732819.0,1.0,1.0,1.0
0.65,714362.0,1.0,1.0,1.0
0.66,693531.5,1.0,1.0,1.0
0.67,664485.0,1.0,1.0,1.0
0.68,627817.5625,1.0,1.0,1.0
0.69,587162.5625,1.0,1.0,1.0
0.7,535949.5625,1.0,1.0,1.0
0.71,484607.0625,1.0,1.0,1.0
0.72,428298.5625,1.0,1.0,1.0
0.73,376302.5625,1.0,1.0,1.0
0.74,328348.0625,1.0,1.0,1.0
0.75,285533.0313,1.0,1.0,1.0
0.76,247488.0313,1.0,1.0,1.0
0.77,216680.0313,1.0,1.0,1.0
0.78,189544.0156,1.0,1.0,1.0
0.79,166922.0313,1.0,1.0,1.0
0.8,147381.0156,1.0,1.0,1.0
0.81,131972.5156,1.0,1.0,1.0
0.82,117321.0156,1.0,1.0,1.0
0.83,105006.5156,1.0,1.0,1.0
0.84,94499.0078,1.0,1.0,1.0
0.85,86179.5078,1.0,1.0,1.0
0.86,77815.5078,1.0,1.0,1.0
0.87,70807.0078,1.0,1.0,1.0
0.88,64536.0078,1.0,1.0,1.0
0.89,59349.0078,1.0,1.0,1.0
0.9,54305.5078,1.0,1.0,1.0
0.91,50020.5,1.0,1.0,1.0
0.92,46017.5039,1.0,1.0,1.0
0.93,42160.5078,1.0,1.0,1.0
0.94,39630.5,1.0,1.0,1.0
0.95,36270.5,1.0,1.0,1.0
0.96,33850.5039,1.0,1.0,1.0
0.97,31069.5,1.0,1.0,1.0
0.98,29060.002,1.0,1.0,1.0
0.99,27257.002,1.0,1.0,1.0
1.0,25212.0,1.0,1.0,1.0
1.01,23597.0039,1.0,1.0,1.0
1.02,21813.002,1.0,1.0,1.0
1.03,20342.5,1.0,1.0,1.0
1.04,19312.002,1.0,1.0,1.0
1.05,18007.502,1.0,1.0,1.0
1.06,16895.0,1.0,1.0,1.0
1.07,15579.001,1.0,1.0,1.0
1.08,14552.502,1.0,1.0,1.0
1.09,13810.001,1.0,1.0,1.0
1.1,13161.501,1.0,1.0,1.0
1.11,12468.0,1.0,1.0,1.0
1.12,11610.001,1.0,1.0,1.0
1.13,11000.001,1.0,1.0,1.0
1.14,10340.5,1.0,1.0,1.0
1.15,9840.502,1.0,1.0,1.0
1.16,9329.501,1.0,1.0,1.0
1.17,8678.0,1.0,1.0,1.0
1.18,8196.5,1.0,1.0,1.0
1.19,7885.0015,1.0,1.0,1.0
1.2,7642.999,1.0,1.0,1.0
1.21,7067.5,1.0,1.0,1.0
1.22,6749.002,1.0,1.0,1.0
1.23,6427.0,1.0,1.0,1.0
1.24,6202.0,1.0,1.0,1.0
1.25,5847.0015,1.0,1.0,1.0
1.26,5487.9995,1.0,1.0,1.0
1.27,5462.9995,1.0,1.0,1.0
1.28,5223.0,1.0,1.0,1.0
1.29,4976.5015,1.0,1.0,1.0
1.3,4682.499,1.0,1.0,1.0
1.31,4621.501,1.0,1.0,1.0
1.32,4433.501,1.0,1.0,1.0
1.33,4193.9995,1.0,1.0,1.0
1.34,4093.0,1.0,1.0,1.0
1.35,3919.5,1.0,1.0,1.0
1.36,3904.999,1.0,1.0,1.0
1.37,3703.0007,1.0,1.0,1.0
1.38,3679.0002,1.0,1.0,1.0
1.39,3486.4998,1.0,1.0,1.0
1.4,3421.5002,1.0,1.0,1.0
1.41,3209.4998,1.0,1.0,1.0
1.42,3235.5007,1.0,1.0,1.0
1.43,3045.4993,1.0,1.0,1.0
1.44,3205.5005,1.0,1.0,1.0
1.45,3034.5,1.0,1.0,1.0
1.46,3000.0,1.0,1.0,1.0
1.47,2858.9995,1.0,1.0,1.0
1.48,2939.5017,1.0,1.0,1.0
1.49,2764.9985,1.0,1.0,1.0
1.5,2655.5005,1.0,1.0,1.0
1.51,2679.5002,1.0,1.0,1.0
1.52,2646.5002,1.0,1.0,1.0
1.53,2614.0,1.0,1.0,1.0
1.54,2516.5,1.0,1.0,1.0
1.55,2489.0,1.0,1.0,1.0
1.56,2435.5,1.0,1.0,1.0
1.57,2460.0,1.0,1.0,1.0
1.58,2477.5,1.0,1.0,1.0
1.59,2398.4995,1.0,1.0,1.0
1.6,2373.501,1.0,1.0,1.0
1.61,2391.9998,1.0,1.0,1.0
1.62,2332.5002,1.0,1.0,1.0
1.63,2341.0005,1.0,1.0,1.0
1.64,2293.4993,1.0,1.0,1.0
1.65,2319.0005,1.0,1.0,1.0
1.66,2281.5,1.0,1.0,1.0
1.67,2162.0,1.0,1.0,1.0
1.68,2214.0,1.0,1.0,1.0
1.69,2186.4998,1.0,1.0,1.0
1.7,2220.5002,1.0,1.0,1.0
1.71,2140.5,1.0,1.0,1.0
1.72,2118.0007,1.0,1.0,1.0
1.73,2080.499,1.0,1.0,1.0
1.74,2061.0007,1.0,1.0,1.0
1.75,2080.9998,1.0,1.0,1.0
1.76,2030.9999,1.0,1.0,1.0
1.77,2074.5005,1.0,1.0,1.0
1.78,2110.5002,1.0,1.0,1.0
1.79,2008.0,1.0,1.0,1.0
1.8,2008.4996,1.0,1.0,1.0
1.81,2025.5007,1.0,1.0,1.0
1.82,2029.9988,1.0,1.0,1.0
1.83,2021.0006,1.0,1.0,1.0
1.84,1992.4994,1.0,1.0,1.0
1.85,1985.0002,1.0,1.0,1.0
1.86,1946.5009,1.0,1.0,1.0
1.87,1907.999,1.0,1.0,1.0
1.88,1880.5002,1.0,1.0,1.0
1.89,1898.5,1.0,1.0,1.0
1.9,1850.0002,1.0,1.0,1.0
1.91,1796.5002,1.0,1.0,1.0
1.92,1817.9995,1.0,1.0,1.0
1.93,1900.5,1.0,1.0,1.0
1.94,1893.0007,1.0,1.0,1.0
1.95,1798.4991,1.0,1.0,1.0
1.96,1815.0006,1.0,1.0,1.0
1.97,1845.4996,1.0,1.0,1.0
1.98,1714.9998,1.0,1.0,1.0
1.99,1686.5002,1.0,1.0,1.0
2.0,1759.0002,1.0,1.0,1.0
2.01,1715.9996,1.0,1.0,1.0
2.02,1718.5001,1.0,1.0,1.0
2.03,1741.4995,1.0,1.0,1.0
2.04,1757.5006,1.0,1.0,1.0
2.05,1652.0001,1.0,1.0,1.0
2.06,1665.9998,1.0,1.0,1.0
2.07,1580.0001,1.0,1.0,1.0
2.08,1623.0001,1.0,1.0,1.0
2.09,1621.5004,1.0,1.0,1.0
2.1,1603.9995,1.0,1.0,1.0
2.11,1577.5005,1.0,1.0,1.0
