#twotheta, yobs, ycal, bkg, diff
42.0,0.0,1.0,1.0,1.0
42.01,0.0,1.0,1.0,1.0
42.02,4.4944,1.0,1.0,1.0
42.03,4.5056,1.0,1.0,1.0
42.04,7.0,1.0,1.0,1.0
42.05,2.0,1.0,1.0,1.0
42.06,2.0,1.0,1.0,1.0
42.07,2.0,1.0,1.0,1.0
42.08,3.4944,1.0,1.0,1.0
42.09,2.5056,1.0,1.0,1.0
42.1,2.0,1.0,1.0,1.0
42.11,3.0,1.0,1.0,1.0
42.12,2.0,1.0,1.0,1.0
42.13,0.0,1.0,1.0,1.0
42.14,0.0,1.0,1.0,1.0
42.15,3.0,1.0,1.0,1.0
42.16,4.0,1.0,1.0,1.0
42.17,2.0,1.0,1.0,1.0
42.18,2.0,1.0,1.0,1.0
42.19,2.0,1.0,1.0,1.0
42.2,0.0,1.0,1.0,1.0
42.21,5.0,1.0,1.0,1.0
42.22,5.0,1.0,1.0,1.0
42.23,8.0,1.0,1.0,1.0
42.24,5.0,1.0,1.0,1.0
42.25,5.0,1.0,1.0,1.0
42.26,2.0,1.0,1.0,1.0
42.27,0.0,1.0,1.0,1.0
42.28,2.0,1.0,1.0,1.0
42.29,5.0,1.0,1.0,1.0
42.3,2.0,1.0,1.0,1.0
42.31,0.0,1.0,1.0,1.0
42.32,2.0,1.0,1.0,1.0
42.33,5.0,1.0,1.0,1.0
42.34,3.0,1.0,1.0,1.0
42.35,6.0,1.0,1.0,1.0
42.36,2.0,1.0,1.0,1.0
42.37,0.0,1.0,1.0,1.0
42.38,0.0,1.0,1.0,1.0
42.39,0.0,1.0,1.0,1.0
42.4,0.0,1.0,1.0,1.0
42.41,4.0,1.0,1.0,1.0
42.42,0.0,1.0,1.0,1.0
42.43,0.0,1.0,1.0,1.0
42.44,2.0,1.0,1.0,1.0
42.45,2.0,1.0,1.0,1.0
42.46,0.0,1.0,1.0,1.0
42.47,0.0,1.0,1.0,1.0
42.48,4.0,1.0,1.0,1.0
42.49,0.0,1.0,1.0,1.0
42.5,2.0,1.0,1.0,1.0
42.51,0.0,1.0,1.0,1.0
42.52,2.0,1.0,1.0,1.0
42.53,2.0,1.0,1.0,1.0
42.54,0.0,1.0,1.0,1.0
42.55,2.0,1.0,1.0,1.0
42.56,2.0,1.0,1.0,1.0
42.57,2.0,1.0,1.0,1.0
42.58,6.0,1.0,1.0,1.0
42.59,4.0,1.0,1.0,1.0
42.6,0.0,1.0,1.0,1.0
