#twotheta, yobs, ycal, bkg, diff
42.0,7.0,1.0,1.0,1.0
42.01,2.0,1.0,1.0,1.0
42.02,6.0,1.0,1.0,1.0
42.03,2.0,1.0,1.0,1.0
42.04,2.0,1.0,1.0,1.0
42.05,7.0,1.0,1.0,1.0
42.06,0.0,1.0,1.0,1.0
42.07,6.0,1.0,1.0,1.0
42.08,0.0,1.0,1.0,1.0
42.09,4.0,1.0,1.0,1.0
42.1,4.0,1.0,1.0,1.0
42.11,6.4944,1.0,1.0,1.0
42.12,3.5056,1.0,1.0,1.0
42.13,5.0,1.0,1.0,1.0
42.14,4.0,1.0,1.0,1.0
42.15,4.0,1.0,1.0,1.0
42.16,0.0,1.0,1.0,1.0
42.17,3.0,1.0,1.0,1.0
42.18,6.0,1.0,1.0,1.0
42.19,13.4944,1.0,1.0,1.0
42.2,5.0,1.0,1.0,1.0
42.21,9.5056,1.0,1.0,1.0
42.22,7.0,1.0,1.0,1.0
42.23,9.4944,1.0,1.0,1.0
42.24,2.5056,1.0,1.0,1.0
42.25,0.0,1.0,1.0,1.0
42.26,8.0,1.0,1.0,1.0
42.27,2.9889,1.0,1.0,1.0
42.28,3.0111,1.0,1.0,1.0
42.29,2.0,1.0,1.0,1.0
42.3,5.0,1.0,1.0,1.0
42.31,4.0,1.0,1.0,1.0
42.32,2.4944,1.0,1.0,1.0
42.33,5.5056,1.0,1.0,1.0
42.34,4.0,1.0,1.0,1.0
42.35,0.0,1.0,1.0,1.0
42.36,0.4944,1.0,1.0,1.0
42.37,1.5056,1.0,1.0,1.0
42.38,4.0,1.0,1.0,1.0
42.39,0.0,1.0,1.0,1.0
42.4,2.0,1.0,1.0,1.0
42.41,7.0,1.0,1.0,1.0
42.42,2.0,1.0,1.0,1.0
42.43,2.0,1.0,1.0,1.0
42.44,7.0,1.0,1.0,1.0
42.45,2.0,1.0,1.0,1.0
42.46,2.0,1.0,1.0,1.0
42.47,1.0,1.0,1.0,1.0
42.48,3.0,1.0,1.0,1.0
42.49,11.0,1.0,1.0,1.0
42.5,2.0,1.0,1.0,1.0
42.51,3.0,1.0,1.0,1.0
42.52,10.0,1.0,1.0,1.0
42.53,11.0,1.0,1.0,1.0
42.54,4.0,1.0,1.0,1.0
42.55,0.0,1.0,1.0,1.0
42.56,5.4944,1.0,1.0,1.0
42.57,0.5056,1.0,1.0,1.0
42.58,5.0,1.0,1.0,1.0
42.59,6.0,1.0,1.0,1.0
42.6,5.0,1.0,1.0,1.0
42.61,1.4944,1.0,1.0,1.0
42.62,3.5056,1.0,1.0,1.0
42.63,0.0,1.0,1.0,1.0
42.64,4.4944,1.0,1.0,1.0
42.65,7.5056,1.0,1.0,1.0
42.66,6.0,1.0,1.0,1.0
42.67,8.0,1.0,1.0,1.0
42.68,12.0,1.0,1.0,1.0
42.69,5.0,1.0,1.0,1.0
42.7,4.0,1.0,1.0,1.0
42.71,6.0,1.0,1.0,1.0
42.72,8.0,1.0,1.0,1.0
42.73,7.0,1.0,1.0,1.0
42.74,6.0,1.0,1.0,1.0
42.75,4.0,1.0,1.0,1.0
42.76,7.0,1.0,1.0,1.0
42.77,3.0,1.0,1.0,1.0
42.78,0.0,1.0,1.0,1.0
42.79,5.0,1.0,1.0,1.0
42.8,4.0,1.0,1.0,1.0
42.81,7.0,1.0,1.0,1.0
42.82,3.0,1.0,1.0,1.0
42.83,4.0,1.0,1.0,1.0
42.84,6.0,1.0,1.0,1.0
42.85,4.0,1.0,1.0,1.0
42.86,14.0,1.0,1.0,1.0
42.87,4.0,1.0,1.0,1.0
42.88,11.0,1.0,1.0,1.0
42.89,9.0,1.0,1.0,1.0
42.9,6.0,1.0,1.0,1.0
42.91,11.4944,1.0,1.0,1.0
42.92,15.0,1.0,1.0,1.0
42.93,10.5056,1.0,1.0,1.0
42.94,4.0,1.0,1.0,1.0
42.95,8.0,1.0,1.0,1.0
42.96,11.0,1.0,1.0,1.0
42.97,2.0,1.0,1.0,1.0
42.98,11.0,1.0,1.0,1.0
42.99,4.4944,1.0,1.0,1.0
43.0,0.5056,1.0,1.0,1.0
43.01,15.0,1.0,1.0,1.0
43.02,7.4944,1.0,1.0,1.0
43.03,15.0,1.0,1.0,1.0
43.04,12.5056,1.0,1.0,1.0
43.05,18.0,1.0,1.0,1.0
43.06,12.0,1.0,1.0,1.0
43.07,2.9889,1.0,1.0,1.0
43.08,13.5056,1.0,1.0,1.0
43.09,15.5056,1.0,1.0,1.0
43.1,0.0,1.0,1.0,1.0
43.11,15.0,1.0,1.0,1.0
43.12,7.0,1.0,1.0,1.0
43.13,5.4944,1.0,1.0,1.0
43.14,16.5056,1.0,1.0,1.0
43.15,12.0,1.0,1.0,1.0
43.16,6.0,1.0,1.0,1.0
43.17,18.0,1.0,1.0,1.0
43.18,14.0,1.0,1.0,1.0
43.19,15.0,1.0,1.0,1.0
43.2,14.0,1.0,1.0,1.0
43.21,12.4944,1.0,1.0,1.0
43.22,19.5056,1.0,1.0,1.0
43.23,12.0,1.0,1.0,1.0
43.24,9.0,1.0,1.0,1.0
43.25,10.0,1.0,1.0,1.0
43.26,9.0,1.0,1.0,1.0
43.27,17.9889,1.0,1.0,1.0
43.28,15.0111,1.0,1.0,1.0
43.29,11.0,1.0,1.0,1.0
43.3,14.0,1.0,1.0,1.0
43.31,15.0,1.0,1.0,1.0
43.32,12.0,1.0,1.0,1.0
43.33,10.0,1.0,1.0,1.0
43.34,21.0,1.0,1.0,1.0
43.35,9.0,1.0,1.0,1.0
43.36,7.0,1.0,1.0,1.0
43.37,14.0,1.0,1.0,1.0
43.38,10.0,1.0,1.0,1.0
43.39,18.4944,1.0,1.0,1.0
43.4,19.5056,1.0,1.0,1.0
43.41,9.4944,1.0,1.0,1.0
43.42,7.0,1.0,1.0,1.0
43.43,8.5056,1.0,1.0,1.0
43.44,0.0,1.0,1.0,1.0
43.45,8.0,1.0,1.0,1.0
43.46,14.4944,1.0,1.0,1.0
43.47,4.5056,1.0,1.0,1.0
43.48,10.0,1.0,1.0,1.0
43.49,10.0,1.0,1.0,1.0
43.5,5.0,1.0,1.0,1.0
43.51,6.0,1.0,1.0,1.0
43.52,9.0,1.0,1.0,1.0
43.53,5.4944,1.0,1.0,1.0
43.54,8.5056,1.0,1.0,1.0
43.55,4.0,1.0,1.0,1.0
43.56,10.0,1.0,1.0,1.0
43.57,0.4944,1.0,1.0,1.0
43.58,10.5056,1.0,1.0,1.0
43.59,16.0,1.0,1.0,1.0
43.6,5.0,1.0,1.0,1.0
43.61,9.0,1.0,1.0,1.0
43.62,7.4944,1.0,1.0,1.0
43.63,7.5056,1.0,1.0,1.0
43.64,9.4944,1.0,1.0,1.0
43.65,4.5056,1.0,1.0,1.0
43.66,6.0,1.0,1.0,1.0
43.67,3.0,1.0,1.0,1.0
43.68,3.0,1.0,1.0,1.0
43.69,14.0,1.0,1.0,1.0
43.7,11.0,1.0,1.0,1.0
43.71,0.0,1.0,1.0,1.0
43.72,3.0,1.0,1.0,1.0
43.73,13.0,1.0,1.0,1.0
43.74,8.0,1.0,1.0,1.0
43.75,12.4944,1.0,1.0,1.0
43.76,10.5056,1.0,1.0,1.0
43.77,2.0,1.0,1.0,1.0
43.78,6.0,1.0,1.0,1.0
43.79,2.0,1.0,1.0,1.0
43.8,14.0,1.0,1.0,1.0
43.81,4.0,1.0,1.0,1.0
43.82,9.0,1.0,1.0,1.0
43.83,4.0,1.0,1.0,1.0
43.84,9.0,1.0,1.0,1.0
43.85,8.4944,1.0,1.0,1.0
43.86,2.5056,1.0,1.0,1.0
43.87,8.0,1.0,1.0,1.0
43.88,14.0,1.0,1.0,1.0
43.89,11.4944,1.0,1.0,1.0
43.9,10.5056,1.0,1.0,1.0
43.91,16.0,1.0,1.0,1.0
43.92,5.0,1.0,1.0,1.0
43.93,10.0,1.0,1.0,1.0
43.94,8.0,1.0,1.0,1.0
43.95,8.0,1.0,1.0,1.0
43.96,9.0,1.0,1.0,1.0
43.97,7.0,1.0,1.0,1.0
43.98,19.0,1.0,1.0,1.0
43.99,13.0,1.0,1.0,1.0
44.0,11.0,1.0,1.0,1.0
44.01,19.4944,1.0,1.0,1.0
44.02,26.0,1.0,1.0,1.0
44.03,29.5056,1.0,1.0,1.0
44.04,16.0,1.0,1.0,1.0
44.05,21.0,1.0,1.0,1.0
44.06,11.0,1.0,1.0,1.0
44.07,24.0,1.0,1.0,1.0
44.08,18.0,1.0,1.0,1.0
44.09,37.0,1.0,1.0,1.0
44.1,37.9889,1.0,1.0,1.0
44.11,32.0111,1.0,1.0,1.0
44.12,38.9889,1.0,1.0,1.0
44.13,33.5056,1.0,1.0,1.0
44.14,54.0,1.0,1.0,1.0
44.15,38.0,1.0,1.0,1.0
44.16,35.0,1.0,1.0,1.0
44.17,57.4833,1.0,1.0,1.0
44.18,51.5167,1.0,1.0,1.0
44.19,45.5056,1.0,1.0,1.0
44.2,55.4944,1.0,1.0,1.0
44.21,40.4944,1.0,1.0,1.0
44.22,53.9889,1.0,1.0,1.0
44.23,59.5167,1.0,1.0,1.0
44.24,65.0,1.0,1.0,1.0
44.25,69.5056,1.0,1.0,1.0
44.26,42.4944,1.0,1.0,1.0
44.27,68.0,1.0,1.0,1.0
44.28,93.0,1.0,1.0,1.0
44.29,75.5056,1.0,1.0,1.0
44.3,93.0,1.0,1.0,1.0
44.31,92.0,1.0,1.0,1.0
44.32,104.9889,1.0,1.0,1.0
44.33,105.0,1.0,1.0,1.0
44.34,89.9889,1.0,1.0,1.0
44.35,109.5056,1.0,1.0,1.0
44.36,105.5056,1.0,1.0,1.0
44.37,107.4944,1.0,1.0,1.0
44.38,123.5167,1.0,1.0,1.0
44.39,120.9889,1.0,1.0,1.0
44.4,125.4944,1.0,1.0,1.0
44.41,118.0,1.0,1.0,1.0
44.42,131.5056,1.0,1.0,1.0
44.43,104.0,1.0,1.0,1.0
44.44,153.9889,1.0,1.0,1.0
44.45,117.0111,1.0,1.0,1.0
44.46,131.4833,1.0,1.0,1.0
44.47,174.5167,1.0,1.0,1.0
44.48,143.5056,1.0,1.0,1.0
44.49,148.4722,1.0,1.0,1.0
44.5,164.5278,1.0,1.0,1.0
44.51,176.9889,1.0,1.0,1.0
44.52,185.5056,1.0,1.0,1.0
44.53,148.4944,1.0,1.0,1.0
44.54,174.0111,1.0,1.0,1.0
44.55,192.4722,1.0,1.0,1.0
44.56,192.5056,1.0,1.0,1.0
44.57,187.9889,1.0,1.0,1.0
44.58,199.0111,1.0,1.0,1.0
44.59,190.5056,1.0,1.0,1.0
44.6,194.0111,1.0,1.0,1.0
44.61,220.4833,1.0,1.0,1.0
44.62,194.5167,1.0,1.0,1.0
44.63,229.0,1.0,1.0,1.0
44.64,222.0,1.0,1.0,1.0
44.65,235.9778,1.0,1.0,1.0
44.66,209.5056,1.0,1.0,1.0
44.67,222.0111,1.0,1.0,1.0
44.68,237.5056,1.0,1.0,1.0
44.69,283.4833,1.0,1.0,1.0
44.7,273.9556,1.0,1.0,1.0
44.71,253.0555,1.0,1.0,1.0
44.72,225.4944,1.0,1.0,1.0
44.73,253.4833,1.0,1.0,1.0
44.74,268.9889,1.0,1.0,1.0
44.75,267.5056,1.0,1.0,1.0
44.76,281.5056,1.0,1.0,1.0
44.77,283.5056,1.0,1.0,1.0
44.78,248.0111,1.0,1.0,1.0
44.79,269.4833,1.0,1.0,1.0
44.8,323.5056,1.0,1.0,1.0
44.81,309.0111,1.0,1.0,1.0
44.82,294.4944,1.0,1.0,1.0
44.83,298.0,1.0,1.0,1.0
44.84,306.9667,1.0,1.0,1.0
44.85,317.0111,1.0,1.0,1.0
44.86,320.5278,1.0,1.0,1.0
44.87,304.4833,1.0,1.0,1.0
44.88,290.0111,1.0,1.0,1.0
44.89,324.4944,1.0,1.0,1.0
44.9,342.9889,1.0,1.0,1.0
44.91,336.0222,1.0,1.0,1.0
44.92,318.9889,1.0,1.0,1.0
44.93,388.4944,1.0,1.0,1.0
44.94,324.0,1.0,1.0,1.0
44.95,339.0,1.0,1.0,1.0
44.96,354.4833,1.0,1.0,1.0
44.97,343.0222,1.0,1.0,1.0
44.98,354.5056,1.0,1.0,1.0
44.99,349.4944,1.0,1.0,1.0
45.0,371.0,1.0,1.0,1.0
45.01,364.4722,1.0,1.0,1.0
