#twotheta, yobs, ycal, bkg, diff
42.0,13.0,1.0,1.0,1.0
42.01,26.9889,1.0,1.0,1.0
42.02,11.0111,1.0,1.0,1.0
42.03,13.0,1.0,1.0,1.0
42.04,19.4944,1.0,1.0,1.0
42.05,20.5056,1.0,1.0,1.0
42.06,20.0,1.0,1.0,1.0
42.07,15.0,1.0,1.0,1.0
42.08,21.0,1.0,1.0,1.0
42.09,19.0,1.0,1.0,1.0
42.1,10.0,1.0,1.0,1.0
42.11,16.4944,1.0,1.0,1.0
42.12,24.0,1.0,1.0,1.0
42.13,19.5056,1.0,1.0,1.0
42.14,22.4944,1.0,1.0,1.0
42.15,13.0,1.0,1.0,1.0
42.16,21.4944,1.0,1.0,1.0
42.17,30.5056,1.0,1.0,1.0
42.18,10.5056,1.0,1.0,1.0
42.19,19.0,1.0,1.0,1.0
42.2,22.0,1.0,1.0,1.0
42.21,17.0,1.0,1.0,1.0
42.22,26.4944,1.0,1.0,1.0
42.23,26.0,1.0,1.0,1.0
42.24,14.5056,1.0,1.0,1.0
42.25,13.4833,1.0,1.0,1.0
42.26,16.5167,1.0,1.0,1.0
42.27,27.0,1.0,1.0,1.0
42.28,9.0,1.0,1.0,1.0
42.29,30.9889,1.0,1.0,1.0
42.3,16.0111,1.0,1.0,1.0
42.31,13.0,1.0,1.0,1.0
42.32,9.0,1.0,1.0,1.0
42.33,24.0,1.0,1.0,1.0
42.34,32.4944,1.0,1.0,1.0
42.35,17.5056,1.0,1.0,1.0
42.36,22.0,1.0,1.0,1.0
42.37,23.4944,1.0,1.0,1.0
42.38,19.5056,1.0,1.0,1.0
42.39,10.0,1.0,1.0,1.0
42.4,10.0,1.0,1.0,1.0
42.41,27.0,1.0,1.0,1.0
42.42,26.0,1.0,1.0,1.0
42.43,19.4944,1.0,1.0,1.0
42.44,22.0,1.0,1.0,1.0
42.45,12.5056,1.0,1.0,1.0
42.46,21.0,1.0,1.0,1.0
42.47,18.0,1.0,1.0,1.0
42.48,24.0,1.0,1.0,1.0
42.49,17.0,1.0,1.0,1.0
42.5,24.0,1.0,1.0,1.0
42.51,19.0,1.0,1.0,1.0
42.52,20.0,1.0,1.0,1.0
42.53,7.4944,1.0,1.0,1.0
42.54,10.5056,1.0,1.0,1.0
42.55,27.0,1.0,1.0,1.0
42.56,8.0,1.0,1.0,1.0
42.57,21.0,1.0,1.0,1.0
42.58,22.4944,1.0,1.0,1.0
42.59,11.5056,1.0,1.0,1.0
42.6,22.0,1.0,1.0,1.0
42.61,15.0,1.0,1.0,1.0
42.62,18.4944,1.0,1.0,1.0
42.63,11.5056,1.0,1.0,1.0
42.64,19.0,1.0,1.0,1.0
42.65,18.0,1.0,1.0,1.0
42.66,25.4944,1.0,1.0,1.0
42.67,16.0,1.0,1.0,1.0
42.68,20.4944,1.0,1.0,1.0
42.69,27.0,1.0,1.0,1.0
42.7,18.0111,1.0,1.0,1.0
42.71,24.0,1.0,1.0,1.0
42.72,18.4944,1.0,1.0,1.0
42.73,15.5056,1.0,1.0,1.0
42.74,32.0,1.0,1.0,1.0
42.75,29.0,1.0,1.0,1.0
42.76,10.0,1.0,1.0,1.0
42.77,20.0,1.0,1.0,1.0
42.78,13.4944,1.0,1.0,1.0
42.79,28.0,1.0,1.0,1.0
42.8,27.0,1.0,1.0,1.0
42.81,12.5056,1.0,1.0,1.0
42.82,28.0,1.0,1.0,1.0
42.83,18.0,1.0,1.0,1.0
42.84,20.0,1.0,1.0,1.0
42.85,23.4944,1.0,1.0,1.0
42.86,30.5056,1.0,1.0,1.0
42.87,31.9889,1.0,1.0,1.0
42.88,21.0,1.0,1.0,1.0
42.89,6.4944,1.0,1.0,1.0
42.9,30.5167,1.0,1.0,1.0
42.91,31.0,1.0,1.0,1.0
42.92,26.0,1.0,1.0,1.0
42.93,22.0,1.0,1.0,1.0
42.94,14.0,1.0,1.0,1.0
42.95,26.9889,1.0,1.0,1.0
42.96,24.0111,1.0,1.0,1.0
42.97,32.9889,1.0,1.0,1.0
42.98,21.0111,1.0,1.0,1.0
42.99,19.0,1.0,1.0,1.0
43.0,21.4944,1.0,1.0,1.0
43.01,18.0,1.0,1.0,1.0
43.02,25.0,1.0,1.0,1.0
43.03,27.0,1.0,1.0,1.0
43.04,22.4944,1.0,1.0,1.0
43.05,20.0111,1.0,1.0,1.0
43.06,21.9889,1.0,1.0,1.0
43.07,37.0111,1.0,1.0,1.0
43.08,13.9889,1.0,1.0,1.0
43.09,23.0111,1.0,1.0,1.0
43.1,19.0,1.0,1.0,1.0
43.11,26.4944,1.0,1.0,1.0
43.12,28.5056,1.0,1.0,1.0
43.13,11.0,1.0,1.0,1.0
43.14,13.4944,1.0,1.0,1.0
43.15,15.0,1.0,1.0,1.0
43.16,13.5056,1.0,1.0,1.0
43.17,6.0,1.0,1.0,1.0
43.18,20.4944,1.0,1.0,1.0
43.19,13.5056,1.0,1.0,1.0
43.2,20.0,1.0,1.0,1.0
43.21,8.0,1.0,1.0,1.0
43.22,16.0,1.0,1.0,1.0
43.23,22.0,1.0,1.0,1.0
43.24,19.0,1.0,1.0,1.0
43.25,13.9889,1.0,1.0,1.0
43.26,20.0111,1.0,1.0,1.0
43.27,17.0,1.0,1.0,1.0
43.28,13.0,1.0,1.0,1.0
43.29,32.0,1.0,1.0,1.0
43.3,11.4944,1.0,1.0,1.0
43.31,13.0,1.0,1.0,1.0
43.32,25.0,1.0,1.0,1.0
43.33,15.0,1.0,1.0,1.0
43.34,21.0,1.0,1.0,1.0
43.35,25.4944,1.0,1.0,1.0
43.36,15.0111,1.0,1.0,1.0
