#twotheta, yobs, ycal, bkg, diff
42.0,10.4944,1.0,1.0,1.0
42.01,11.5056,1.0,1.0,1.0
42.02,6.0,1.0,1.0,1.0
42.03,5.0,1.0,1.0,1.0
42.04,8.0,1.0,1.0,1.0
42.05,75.0,1.0,1.0,1.0
42.06,2.0,1.0,1.0,1.0
42.07,4.0,1.0,1.0,1.0
42.08,8.0,1.0,1.0,1.0
42.09,5.0,1.0,1.0,1.0
42.1,2.0,1.0,1.0,1.0
42.11,5.9889,1.0,1.0,1.0
42.12,15.0111,1.0,1.0,1.0
42.13,2.0,1.0,1.0,1.0
42.14,7.0,1.0,1.0,1.0
42.15,16.0,1.0,1.0,1.0
42.16,14.0,1.0,1.0,1.0
42.17,9.0,1.0,1.0,1.0
42.18,7.0,1.0,1.0,1.0
42.19,10.0,1.0,1.0,1.0
42.2,10.0,1.0,1.0,1.0
42.21,7.0,1.0,1.0,1.0
42.22,11.0,1.0,1.0,1.0
42.23,16.0,1.0,1.0,1.0
42.24,8.0,1.0,1.0,1.0
42.25,11.0,1.0,1.0,1.0
42.26,8.0,1.0,1.0,1.0
42.27,9.0,1.0,1.0,1.0
42.28,13.0,1.0,1.0,1.0
42.29,13.0,1.0,1.0,1.0
42.3,14.0,1.0,1.0,1.0
42.31,10.0,1.0,1.0,1.0
42.32,10.0,1.0,1.0,1.0
42.33,4.0,1.0,1.0,1.0
42.34,16.0,1.0,1.0,1.0
42.35,8.0,1.0,1.0,1.0
42.36,6.0,1.0,1.0,1.0
42.37,2.0,1.0,1.0,1.0
42.38,9.0,1.0,1.0,1.0
42.39,7.0,1.0,1.0,1.0
42.4,22.4944,1.0,1.0,1.0
42.41,12.0,1.0,1.0,1.0
42.42,9.0,1.0,1.0,1.0
42.43,17.5056,1.0,1.0,1.0
42.44,10.0,1.0,1.0,1.0
42.45,7.0,1.0,1.0,1.0
42.46,5.0,1.0,1.0,1.0
42.47,16.0,1.0,1.0,1.0
42.48,6.0,1.0,1.0,1.0
42.49,15.0,1.0,1.0,1.0
42.5,13.0,1.0,1.0,1.0
42.51,11.0,1.0,1.0,1.0
42.52,6.0,1.0,1.0,1.0
42.53,2.0,1.0,1.0,1.0
42.54,8.0,1.0,1.0,1.0
42.55,12.4944,1.0,1.0,1.0
42.56,6.5056,1.0,1.0,1.0
42.57,9.0,1.0,1.0,1.0
42.58,2.4944,1.0,1.0,1.0
42.59,6.5056,1.0,1.0,1.0
42.6,9.0,1.0,1.0,1.0
42.61,11.0,1.0,1.0,1.0
42.62,15.0,1.0,1.0,1.0
42.63,12.0,1.0,1.0,1.0
42.64,5.0,1.0,1.0,1.0
42.65,11.0,1.0,1.0,1.0
42.66,13.0,1.0,1.0,1.0
42.67,10.0,1.0,1.0,1.0
42.68,16.0,1.0,1.0,1.0
42.69,11.0,1.0,1.0,1.0
42.7,2.0,1.0,1.0,1.0
42.71,11.9889,1.0,1.0,1.0
42.72,8.5056,1.0,1.0,1.0
42.73,10.5056,1.0,1.0,1.0
42.74,4.0,1.0,1.0,1.0
42.75,8.4944,1.0,1.0,1.0
42.76,24.5056,1.0,1.0,1.0
42.77,17.0,1.0,1.0,1.0
42.78,18.0,1.0,1.0,1.0
42.79,15.0,1.0,1.0,1.0
42.8,23.0,1.0,1.0,1.0
42.81,7.0,1.0,1.0,1.0
42.82,17.0,1.0,1.0,1.0
42.83,7.0,1.0,1.0,1.0
42.84,17.0,1.0,1.0,1.0
42.85,15.0,1.0,1.0,1.0
42.86,14.4944,1.0,1.0,1.0
42.87,12.5056,1.0,1.0,1.0
42.88,7.0,1.0,1.0,1.0
42.89,13.0,1.0,1.0,1.0
42.9,19.0,1.0,1.0,1.0
42.91,8.0,1.0,1.0,1.0
42.92,15.0,1.0,1.0,1.0
42.93,7.4944,1.0,1.0,1.0
42.94,11.0,1.0,1.0,1.0
42.95,10.5056,1.0,1.0,1.0
42.96,14.0,1.0,1.0,1.0
42.97,19.0,1.0,1.0,1.0
42.98,24.0,1.0,1.0,1.0
42.99,13.0,1.0,1.0,1.0
43.0,12.0,1.0,1.0,1.0
43.01,9.0,1.0,1.0,1.0
43.02,13.0,1.0,1.0,1.0
43.03,22.0,1.0,1.0,1.0
43.04,18.0,1.0,1.0,1.0
43.05,13.0,1.0,1.0,1.0
43.06,9.0,1.0,1.0,1.0
43.07,6.4944,1.0,1.0,1.0
43.08,18.0,1.0,1.0,1.0
43.09,16.4944,1.0,1.0,1.0
43.1,17.0111,1.0,1.0,1.0
43.11,12.0,1.0,1.0,1.0
43.12,20.4944,1.0,1.0,1.0
43.13,22.5056,1.0,1.0,1.0
43.14,20.0,1.0,1.0,1.0
43.15,13.0,1.0,1.0,1.0
43.16,13.0,1.0,1.0,1.0
43.17,18.0,1.0,1.0,1.0
43.18,25.0,1.0,1.0,1.0
43.19,5.0,1.0,1.0,1.0
43.2,15.0,1.0,1.0,1.0
43.21,13.0,1.0,1.0,1.0
43.22,12.0,1.0,1.0,1.0
43.23,3.0,1.0,1.0,1.0
43.24,14.0,1.0,1.0,1.0
43.25,21.4944,1.0,1.0,1.0
43.26,14.5056,1.0,1.0,1.0
43.27,4.0,1.0,1.0,1.0
43.28,8.4944,1.0,1.0,1.0
43.29,14.5056,1.0,1.0,1.0
43.3,7.4944,1.0,1.0,1.0
43.31,8.0,1.0,1.0,1.0
43.32,9.5056,1.0,1.0,1.0
43.33,19.4944,1.0,1.0,1.0
43.34,13.5056,1.0,1.0,1.0
43.35,11.4944,1.0,1.0,1.0
43.36,7.5056,1.0,1.0,1.0
43.37,12.0,1.0,1.0,1.0
43.38,7.0,1.0,1.0,1.0
43.39,14.0,1.0,1.0,1.0
43.4,2.0,1.0,1.0,1.0
43.41,15.4944,1.0,1.0,1.0
43.42,29.5056,1.0,1.0,1.0
43.43,21.4944,1.0,1.0,1.0
43.44,7.5056,1.0,1.0,1.0
43.45,7.0,1.0,1.0,1.0
43.46,7.0,1.0,1.0,1.0
43.47,14.0,1.0,1.0,1.0
43.48,15.9889,1.0,1.0,1.0
43.49,23.0111,1.0,1.0,1.0
43.5,18.4944,1.0,1.0,1.0
43.51,9.5056,1.0,1.0,1.0
43.52,16.0,1.0,1.0,1.0
43.53,14.0,1.0,1.0,1.0
43.54,20.0,1.0,1.0,1.0
43.55,33.4944,1.0,1.0,1.0
43.56,28.5056,1.0,1.0,1.0
43.57,22.9889,1.0,1.0,1.0
43.58,20.0111,1.0,1.0,1.0
43.59,20.4944,1.0,1.0,1.0
43.6,18.5056,1.0,1.0,1.0
43.61,13.0,1.0,1.0,1.0
43.62,16.4944,1.0,1.0,1.0
43.63,18.5056,1.0,1.0,1.0
43.64,24.0,1.0,1.0,1.0
43.65,26.0,1.0,1.0,1.0
43.66,28.4944,1.0,1.0,1.0
43.67,29.5056,1.0,1.0,1.0
43.68,18.4944,1.0,1.0,1.0
43.69,29.5056,1.0,1.0,1.0
43.7,28.9889,1.0,1.0,1.0
43.71,34.0111,1.0,1.0,1.0
43.72,16.0,1.0,1.0,1.0
43.73,42.4944,1.0,1.0,1.0
43.74,34.5056,1.0,1.0,1.0
43.75,29.0,1.0,1.0,1.0
43.76,31.0,1.0,1.0,1.0
43.77,34.0,1.0,1.0,1.0
43.78,22.4944,1.0,1.0,1.0
43.79,33.4833,1.0,1.0,1.0
43.8,30.5167,1.0,1.0,1.0
43.81,36.0,1.0,1.0,1.0
43.82,26.4944,1.0,1.0,1.0
43.83,40.5056,1.0,1.0,1.0
43.84,35.5056,1.0,1.0,1.0
43.85,42.4944,1.0,1.0,1.0
43.86,22.0,1.0,1.0,1.0
43.87,48.5056,1.0,1.0,1.0
43.88,50.4944,1.0,1.0,1.0
43.89,37.0,1.0,1.0,1.0
43.9,39.5056,1.0,1.0,1.0
43.91,37.4944,1.0,1.0,1.0
43.92,39.0,1.0,1.0,1.0
43.93,34.4944,1.0,1.0,1.0
43.94,30.5056,1.0,1.0,1.0
43.95,33.4944,1.0,1.0,1.0
43.96,38.0111,1.0,1.0,1.0
43.97,37.4944,1.0,1.0,1.0
43.98,46.4944,1.0,1.0,1.0
43.99,45.0111,1.0,1.0,1.0
44.0,52.0,1.0,1.0,1.0
44.01,34.9889,1.0,1.0,1.0
44.02,43.0,1.0,1.0,1.0
44.03,35.0111,1.0,1.0,1.0
44.04,32.0,1.0,1.0,1.0
44.05,28.0,1.0,1.0,1.0
44.06,41.0,1.0,1.0,1.0
44.07,34.0,1.0,1.0,1.0
44.08,40.0,1.0,1.0,1.0
44.09,41.0,1.0,1.0,1.0
44.1,32.0,1.0,1.0,1.0
44.11,34.4944,1.0,1.0,1.0
44.12,24.0,1.0,1.0,1.0
44.13,34.4944,1.0,1.0,1.0
44.14,53.0111,1.0,1.0,1.0
44.15,45.4944,1.0,1.0,1.0
44.16,40.5056,1.0,1.0,1.0
44.17,21.4944,1.0,1.0,1.0
44.18,40.0,1.0,1.0,1.0
44.19,42.0,1.0,1.0,1.0
44.2,41.5056,1.0,1.0,1.0
44.21,28.0,1.0,1.0,1.0
44.22,32.0,1.0,1.0,1.0
44.23,19.0,1.0,1.0,1.0
44.24,32.4944,1.0,1.0,1.0
44.25,41.5056,1.0,1.0,1.0
44.26,36.0,1.0,1.0,1.0
44.27,41.4944,1.0,1.0,1.0
44.28,39.5056,1.0,1.0,1.0
44.29,31.0,1.0,1.0,1.0
44.3,29.0,1.0,1.0,1.0
44.31,53.0,1.0,1.0,1.0
44.32,36.9889,1.0,1.0,1.0
44.33,50.5056,1.0,1.0,1.0
44.34,25.5056,1.0,1.0,1.0
44.35,42.0,1.0,1.0,1.0
44.36,44.0,1.0,1.0,1.0
44.37,62.4944,1.0,1.0,1.0
44.38,37.0,1.0,1.0,1.0
44.39,72.0,1.0,1.0,1.0
44.4,79.5056,1.0,1.0,1.0
44.41,67.9889,1.0,1.0,1.0
44.42,75.9889,1.0,1.0,1.0
44.43,92.5056,1.0,1.0,1.0
44.44,84.5167,1.0,1.0,1.0
44.45,81.4833,1.0,1.0,1.0
44.46,90.0111,1.0,1.0,1.0
44.47,104.4833,1.0,1.0,1.0
44.48,116.5056,1.0,1.0,1.0
44.49,117.5056,1.0,1.0,1.0
44.5,114.0,1.0,1.0,1.0
44.51,118.4944,1.0,1.0,1.0
44.52,148.0,1.0,1.0,1.0
44.53,152.5056,1.0,1.0,1.0
44.54,173.0,1.0,1.0,1.0
44.55,146.4944,1.0,1.0,1.0
44.56,157.0,1.0,1.0,1.0
44.57,167.5167,1.0,1.0,1.0
44.58,205.0,1.0,1.0,1.0
44.59,201.9778,1.0,1.0,1.0
44.6,206.0111,1.0,1.0,1.0
44.61,221.4833,1.0,1.0,1.0
44.62,219.4944,1.0,1.0,1.0
44.63,287.0,1.0,1.0,1.0
44.64,208.0222,1.0,1.0,1.0
44.65,248.4944,1.0,1.0,1.0
44.66,302.4944,1.0,1.0,1.0
44.67,298.4944,1.0,1.0,1.0
44.68,278.5056,1.0,1.0,1.0
44.69,294.0,1.0,1.0,1.0
44.7,314.4944,1.0,1.0,1.0
44.71,303.0,1.0,1.0,1.0
44.72,326.4944,1.0,1.0,1.0
44.73,379.9778,1.0,1.0,1.0
44.74,350.0333,1.0,1.0,1.0
44.75,361.4722,1.0,1.0,1.0
44.76,422.9889,1.0,1.0,1.0
44.77,449.0333,1.0,1.0,1.0
44.78,462.4944,1.0,1.0,1.0
44.79,440.9889,1.0,1.0,1.0
44.8,448.0333,1.0,1.0,1.0
44.81,472.4722,1.0,1.0,1.0
44.82,520.0,1.0,1.0,1.0
44.83,534.9556,1.0,1.0,1.0
44.84,524.5278,1.0,1.0,1.0
44.85,578.0222,1.0,1.0,1.0
44.86,574.9445,1.0,1.0,1.0
44.87,637.5278,1.0,1.0,1.0
44.88,631.5167,1.0,1.0,1.0
44.89,607.9556,1.0,1.0,1.0
44.9,634.4833,1.0,1.0,1.0
44.91,645.0444,1.0,1.0,1.0
44.92,597.5167,1.0,1.0,1.0
44.93,700.9778,1.0,1.0,1.0
44.94,727.0333,1.0,1.0,1.0
44.95,719.4278,1.0,1.0,1.0
44.96,716.5389,1.0,1.0,1.0
44.97,762.0,1.0,1.0,1.0
44.98,774.9778,1.0,1.0,1.0
44.99,714.5056,1.0,1.0,1.0
45.0,786.0222,1.0,1.0,1.0
45.01,784.9445,1.0,1.0,1.0
45.02,844.5278,1.0,1.0,1.0
45.03,813.4944,1.0,1.0,1.0
45.04,821.4833,1.0,1.0,1.0
45.05,889.9667,1.0,1.0,1.0
45.06,933.0,1.0,1.0,1.0
45.07,916.5389,1.0,1.0,1.0
45.08,903.0111,1.0,1.0,1.0
45.09,899.9778,1.0,1.0,1.0
45.1,957.0444,1.0,1.0,1.0
45.11,912.0,1.0,1.0,1.0
45.12,1012.4722,1.0,1.0,1.0
45.13,977.5167,1.0,1.0,1.0
45.14,967.4944,1.0,1.0,1.0
45.15,949.9889,1.0,1.0,1.0
45.16,1039.9222,1.0,1.0,1.0
45.17,961.0778,1.0,1.0,1.0
45.18,991.9667,1.0,1.0,1.0
45.19,994.5278,1.0,1.0,1.0
45.2,1077.9667,1.0,1.0,1.0
45.21,1014.0444,1.0,1.0,1.0
45.22,1065.4722,1.0,1.0,1.0
45.23,1022.9889,1.0,1.0,1.0
45.24,1062.5389,1.0,1.0,1.0
45.25,1085.45,1.0,1.0,1.0
45.26,1014.0111,1.0,1.0,1.0
45.27,1081.5167,1.0,1.0,1.0
45.28,1062.9556,1.0,1.0,1.0
45.29,1124.0778,1.0,1.0,1.0
45.3,1103.4833,1.0,1.0,1.0
45.31,1137.0222,1.0,1.0,1.0
45.32,1061.9778,1.0,1.0,1.0
45.33,1082.5056,1.0,1.0,1.0
45.34,1093.4833,1.0,1.0,1.0
45.35,1140.9889,1.0,1.0,1.0
45.36,1057.4944,1.0,1.0,1.0
45.37,1034.5389,1.0,1.0,1.0
45.38,1121.9222,1.0,1.0,1.0
45.39,1023.0222,1.0,1.0,1.0
45.4,1086.5389,1.0,1.0,1.0
45.41,1090.45,1.0,1.0,1.0
45.42,1098.9778,1.0,1.0,1.0
45.43,1052.5945,1.0,1.0,1.0
45.44,1094.9889,1.0,1.0,1.0
45.45,1059.9889,1.0,1.0,1.0
45.46,1064.4833,1.0,1.0,1.0
45.47,1092.9445,1.0,1.0,1.0
45.48,1046.0444,1.0,1.0,1.0
45.49,1005.0222,1.0,1.0,1.0
45.5,1027.0333,1.0,1.0,1.0
45.51,1073.5167,1.0,1.0,1.0
45.52,1057.4277,1.0,1.0,1.0
45.53,1014.5056,1.0,1.0,1.0
45.54,975.4722,1.0,1.0,1.0
45.55,991.55,1.0,1.0,1.0
45.56,1023.9778,1.0,1.0,1.0
45.57,1033.0,1.0,1.0,1.0
45.58,966.5056,1.0,1.0,1.0
45.59,941.0222,1.0,1.0,1.0
45.6,986.4833,1.0,1.0,1.0
45.61,1001.9889,1.0,1.0,1.0
45.62,976.5722,1.0,1.0,1.0
45.63,935.3945,1.0,1.0,1.0
45.64,937.55,1.0,1.0,1.0
45.65,910.5056,1.0,1.0,1.0
45.66,935.5056,1.0,1.0,1.0
45.67,898.0333,1.0,1.0,1.0
45.68,890.4944,1.0,1.0,1.0
45.69,927.9556,1.0,1.0,1.0
45.7,864.5278,1.0,1.0,1.0
45.71,933.9778,1.0,1.0,1.0
45.72,857.0111,1.0,1.0,1.0
45.73,856.5278,1.0,1.0,1.0
45.74,835.9778,1.0,1.0,1.0
45.75,828.4944,1.0,1.0,1.0
45.76,858.5056,1.0,1.0,1.0
45.77,860.4722,1.0,1.0,1.0
45.78,806.0,1.0,1.0,1.0
45.79,786.5611,1.0,1.0,1.0
45.8,773.4611,1.0,1.0,1.0
45.81,777.5278,1.0,1.0,1.0
45.82,746.0,1.0,1.0,1.0
45.83,754.4833,1.0,1.0,1.0
45.84,763.4944,1.0,1.0,1.0
45.85,752.5056,1.0,1.0,1.0
45.86,722.5167,1.0,1.0,1.0
45.87,702.5167,1.0,1.0,1.0
45.88,715.9778,1.0,1.0,1.0
45.89,726.0,1.0,1.0,1.0
45.9,689.5278,1.0,1.0,1.0
45.91,716.5167,1.0,1.0,1.0
45.92,682.4722,1.0,1.0,1.0
45.93,665.9889,1.0,1.0,1.0
45.94,693.5278,1.0,1.0,1.0
45.95,674.9667,1.0,1.0,1.0
45.96,622.0111,1.0,1.0,1.0
45.97,652.0111,1.0,1.0,1.0
45.98,654.4722,1.0,1.0,1.0
45.99,637.0,1.0,1.0,1.0
46.0,645.4944,1.0,1.0,1.0
46.01,698.0222,1.0,1.0,1.0
46.02,623.0111,1.0,1.0,1.0
46.03,597.9889,1.0,1.0,1.0
46.04,626.4944,1.0,1.0,1.0
46.05,622.0222,1.0,1.0,1.0
46.06,589.4833,1.0,1.0,1.0
46.07,601.9778,1.0,1.0,1.0
46.08,578.5167,1.0,1.0,1.0
46.09,518.5167,1.0,1.0,1.0
46.1,540.5056,1.0,1.0,1.0
46.11,558.9667,1.0,1.0,1.0
46.12,592.0,1.0,1.0,1.0
46.13,590.0444,1.0,1.0,1.0
46.14,557.0,1.0,1.0,1.0
46.15,561.4611,1.0,1.0,1.0
46.16,534.5056,1.0,1.0,1.0
46.17,565.5389,1.0,1.0,1.0
46.18,566.4611,1.0,1.0,1.0
46.19,501.4944,1.0,1.0,1.0
46.2,511.5167,1.0,1.0,1.0
46.21,501.4722,1.0,1.0,1.0
46.22,536.5056,1.0,1.0,1.0
46.23,521.55,1.0,1.0,1.0
46.24,456.4833,1.0,1.0,1.0
46.25,545.5056,1.0,1.0,1.0
46.26,512.0,1.0,1.0,1.0
46.27,466.0,1.0,1.0,1.0
46.28,428.5056,1.0,1.0,1.0
46.29,462.9778,1.0,1.0,1.0
46.3,461.4944,1.0,1.0,1.0
46.31,458.9889,1.0,1.0,1.0
46.32,455.0444,1.0,1.0,1.0
46.33,408.0,1.0,1.0,1.0
46.34,434.4722,1.0,1.0,1.0
46.35,437.0,1.0,1.0,1.0
46.36,459.0222,1.0,1.0,1.0
46.37,447.4944,1.0,1.0,1.0
46.38,400.4833,1.0,1.0,1.0
46.39,395.5056,1.0,1.0,1.0
46.4,410.0222,1.0,1.0,1.0
46.41,388.0,1.0,1.0,1.0
46.42,407.9778,1.0,1.0,1.0
46.43,388.0222,1.0,1.0,1.0
46.44,345.9889,1.0,1.0,1.0
46.45,370.9667,1.0,1.0,1.0
46.46,394.5389,1.0,1.0,1.0
46.47,388.4944,1.0,1.0,1.0
46.48,356.0222,1.0,1.0,1.0
46.49,321.9889,1.0,1.0,1.0
46.5,369.0111,1.0,1.0,1.0
46.51,370.0,1.0,1.0,1.0
46.52,282.4833,1.0,1.0,1.0
46.53,318.0,1.0,1.0,1.0
46.54,304.0,1.0,1.0,1.0
46.55,315.0222,1.0,1.0,1.0
46.56,301.4833,1.0,1.0,1.0
46.57,300.9889,1.0,1.0,1.0
46.58,284.5278,1.0,1.0,1.0
46.59,255.4833,1.0,1.0,1.0
46.6,275.0111,1.0,1.0,1.0
46.61,284.0,1.0,1.0,1.0
46.62,283.0,1.0,1.0,1.0
46.63,237.0111,1.0,1.0,1.0
46.64,259.9667,1.0,1.0,1.0
46.65,206.0333,1.0,1.0,1.0
46.66,245.4833,1.0,1.0,1.0
46.67,260.0111,1.0,1.0,1.0
46.68,205.5167,1.0,1.0,1.0
46.69,205.4722,1.0,1.0,1.0
46.7,202.9889,1.0,1.0,1.0
46.71,207.0111,1.0,1.0,1.0
46.72,186.9889,1.0,1.0,1.0
46.73,189.5167,1.0,1.0,1.0
46.74,189.9889,1.0,1.0,1.0
46.75,205.5167,1.0,1.0,1.0
46.76,192.4944,1.0,1.0,1.0
46.77,161.0222,1.0,1.0,1.0
46.78,169.9778,1.0,1.0,1.0
46.79,187.4944,1.0,1.0,1.0
46.8,152.0222,1.0,1.0,1.0
46.81,152.9889,1.0,1.0,1.0
46.82,157.0111,1.0,1.0,1.0
46.83,133.4833,1.0,1.0,1.0
46.84,168.0,1.0,1.0,1.0
46.85,120.5167,1.0,1.0,1.0
46.86,132.4833,1.0,1.0,1.0
46.87,119.0,1.0,1.0,1.0
46.88,150.0,1.0,1.0,1.0
46.89,130.5056,1.0,1.0,1.0
